[00:00:24.978 --> 00:00:27.159]  Waging war on corruption.
[00:00:27.599 --> 00:00:32.842]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:00:34.262 --> 00:00:49.909]  You know, I've had the General Flynn scoop since before he was even named as the National Security Advisor to the President, when the President was President-elect back in December of 2016.
[00:00:50.029 --> 00:00:52.970]  And they had lawyers look at it,
[00:00:55.445 --> 00:01:06.052]  And it was decided that it was just a paperwork issue, lobbying for Turkey after he'd retired four years ago, five years ago, or been sacked by Obama is what really happened.
[00:01:08.634 --> 00:01:12.837]  And so that's the issue they're going to bring up, and that's why they've targeted Flynn.
[00:01:13.257 --> 00:01:19.461]  And the reason they've targeted Flynn is he led the group of retired and current military
[00:01:23.004 --> 00:01:28.987]  And was the point guy to say no to backing radical Islam and the whole Obama triple cross of America.
[00:01:29.007 --> 00:01:33.589]  And of course we told you about that with Senator Paul at the time and Senator Cruz.
[00:01:33.949 --> 00:01:37.350]  But of course Colonel Schaefer first broke it here the week of Benghazi.
[00:01:37.510 --> 00:01:38.951]  That was when the military said, that's it.
[00:01:39.991 --> 00:01:42.112]  We know what the plan is and we're not going along with it.
[00:01:42.172 --> 00:01:43.533]  And since then, that's all come out.
[00:01:43.573 --> 00:01:44.393]  That's not a theory.
[00:01:44.453 --> 00:01:45.214]  It's not speculation.
[00:01:45.234 --> 00:01:46.754]  That's now accepted, known fact.
[00:01:46.794 --> 00:01:47.915]  And the Congress knows it.
[00:01:48.435 --> 00:01:52.437]  And so Flynn was told at the time, we're going to destroy you.
[00:01:54.079 --> 00:01:56.300]  And so Dr. Corsi, I know Dr. Corsi's source.
[00:01:57.421 --> 00:02:03.284]  I'm obviously not going to say Dr. Corsi's source, but I separately have that same source.
[00:02:03.564 --> 00:02:04.144]  I'll leave it at that.
[00:02:04.164 --> 00:02:09.727]  Of course, everyone listening to my phone, when I'm having these phone calls, knows exactly who our sources are.
[00:02:10.408 --> 00:02:15.030]  But it's highly respected, bipartisan, highest level retired general.
[00:02:16.071 --> 00:02:16.871]  As high as it gets.
[00:02:17.151 --> 00:02:17.712]  I'll leave it at that.
[00:02:17.992 --> 00:02:21.194]  There's only maybe living maybe six or seven of those guys.
[00:02:22.555 --> 00:02:24.036]  Okay, so I'll just leave it at that.
[00:02:24.196 --> 00:02:25.718]  The enemy knows exactly who it is.
[00:02:26.218 --> 00:02:28.660]  But all the documents, everything, of course he has it.
[00:02:30.341 --> 00:02:33.043]  This headline isn't even strong enough on Infowars.com.
[00:02:33.664 --> 00:02:33.944]  U.S.
[00:02:33.984 --> 00:02:36.866]  senior retired military dims scapegoating General Flint.
[00:02:38.167 --> 00:02:41.590]  Circulated email reveals what the media won't tell you.
[00:02:42.691 --> 00:02:52.077]  And then he can then be pointed at an email that's been put out that basically gets into the secretive info, you know, happening behind the scenes.
[00:02:52.898 --> 00:02:56.680]  But the headline should be, and by the way, of course, he's amazing.
[00:02:56.700 --> 00:02:57.801]  He writes like three articles a day.
[00:02:59.222 --> 00:03:02.344]  Three-time number one New York Times bestseller, author, we all know that.
[00:03:02.744 --> 00:03:08.748]  It's just that Paul, him, they all tend to water down the sensational stuff that's going on.
[00:03:10.768 --> 00:03:16.750]  I mean, a top Democrat official comes out and says, we were spying on Trump on MSNBC, and we say, did she just admit it?
[00:03:17.310 --> 00:03:17.710]  Farkas.
[00:03:17.850 --> 00:03:18.750]  I mean, she said it.
[00:03:20.071 --> 00:03:21.211]  There's no question mark needed.
[00:03:21.271 --> 00:03:21.911]  She just did it.
[00:03:23.191 --> 00:03:24.152]  But Paul knows what he's doing.
[00:03:24.172 --> 00:03:26.192]  I guess you get more people to read it if there's a question mark.
[00:03:26.432 --> 00:03:28.113]  It's not a question mark.
[00:03:28.633 --> 00:03:35.195]  I don't even know how to, like, put a headline on this, because of course he gets the best info, but then the headlines just... U.S.
[00:03:35.215 --> 00:03:37.555]  senior retired military dimscapegoating General Flynn.
[00:03:37.915 --> 00:03:40.116]  Circulated email reveals what the media won't tell you.
[00:03:45.219 --> 00:03:50.641]  And I guess then you read the article, but I mean what it really is is, you know, top military sources.
[00:03:53.922 --> 00:04:02.525]  Dems targeting Flynn, or Dems targeting, you know, Top Insider would be the headline.
[00:04:02.745 --> 00:04:03.365]  Top Insider.
[00:04:06.326 --> 00:04:13.289]  Dems targeting, or General Flynn being targeted because he did not back
[00:04:14.696 --> 00:04:20.720]  Obama's Al Qaeda slash ISIS takeover of the Middle East or Saudi Arabia's ISIS takeover.
[00:04:20.740 --> 00:04:22.101]  I don't know how you want to say that.
[00:04:22.141 --> 00:04:22.981]  That's what he did.
[00:04:23.401 --> 00:04:24.622]  That's why the guy's a hero.
[00:04:25.083 --> 00:04:26.443]  That's why the media demonizes him.
[00:04:26.463 --> 00:04:27.524]  That's why they're going after him.
[00:04:27.864 --> 00:04:28.685]  It's why all this happened.
[00:04:29.205 --> 00:04:35.949]  And I know for a fact that, of course, he was working at the Jones Group, which is one of the biggest
[00:04:37.631 --> 00:04:44.377]  Private groups out there now with the former head of the National Security Council, I mean the former head of the U.S.
[00:04:44.417 --> 00:04:46.299]  National Security Council, General Jones.
[00:04:48.060 --> 00:04:50.782]  And Jones was actually originally offered the job and said, I'm not doing it.
[00:04:50.802 --> 00:04:52.164]  I can do more good outside of this thing.
[00:04:52.764 --> 00:04:53.605]  So they sent Flynn in.
[00:04:53.665 --> 00:04:55.046]  He's basically ordered into this again.
[00:04:55.066 --> 00:04:55.647]  He didn't want to do it.
[00:04:56.247 --> 00:04:57.548]  And so now you see him crucifying him.
[00:04:58.109 --> 00:04:59.010]  We'll be right back, folks.
[00:04:59.050 --> 00:04:59.410]  Stay with us.
[00:04:59.450 --> 00:05:00.511]  That's exactly what's going on.
[00:05:02.895 --> 00:05:05.276]  Hey, this is Joe Biggs with Infowars.com.
[00:05:05.356 --> 00:05:10.257]  Trudeau Airport secure despite concerns about radicalized workers, officials say.
[00:05:10.597 --> 00:05:18.018]  And if someone dies from a jihadi, don't forget the Canadian government will send an I'm sorry letter to you and it'll make up for all that you've lost.
[00:05:18.298 --> 00:05:29.781]  Officials are trying to reassure the public that Montreal's Trudeau Airport is secure and there are strict screening procedures in place to vet employees following a report about potentially radicalized workers.
[00:05:30.441 --> 00:05:42.267]  We do conduct, on a continuous basis, threat analysis, risk analysis, vulnerability analysis, just to make sure we can face any kind of threat, said Pierre Paul Ferrand, Vice President of Airport Operations.
[00:05:42.467 --> 00:05:46.529]  The comments come following an investigation by the French language television station,
[00:05:46.769 --> 00:05:47.710]  Electrify your day with Secret 12.
[00:05:47.790 --> 00:05:48.872]  It's like lightning in a bottle!
[00:06:07.153 --> 00:06:10.674]  We all have days in which we just can't seem to perform at the level we'd like to.
[00:06:11.034 --> 00:06:18.796]  InfoWars Life Secret 12 is designed to naturally energize your body and mind with two great tasting and super high quality forms of vitamin B12.
