[00:00:05.799 --> 00:00:06.539]  What's his name?
[00:00:06.859 --> 00:00:08.900]  This is an emergency transmission.
[00:00:08.920 --> 00:00:21.086]  This is an emergency transmission from FEMA Region 6 in Occupy.
[00:00:27.577 --> 00:00:28.817]  There is a war.
[00:00:29.237 --> 00:00:30.238]  It's happening now.
[00:00:31.118 --> 00:00:32.918]  It will decide the fate of humanity.
[00:00:33.499 --> 00:00:35.279]  The time to choose sides has come.
[00:00:36.059 --> 00:00:37.520]  We are the resistance.
[00:00:37.980 --> 00:00:45.382]  We are the Infowar.
[00:00:46.422 --> 00:00:48.143]  Ladies and gentlemen, it's 4-4.
[00:00:50.923 --> 00:00:55.225]  Already, the fourth day of April 2000,
[00:00:57.941 --> 00:01:08.969]  The plot is thickening and President Donald John Trump is striking back against the globalists.
[00:01:09.709 --> 00:01:12.071]  It is a very, very exciting time to be alive.
[00:01:13.872 --> 00:01:15.433]  Isn't it funny how fate works?
[00:01:16.513 --> 00:01:26.560]  Mike Cernovich, who is a lawyer and filmmaker and an activist the last few years, really exploding onto the scene with his dogged determination to take on tyranny.
[00:01:28.598 --> 00:01:32.800]  Was profiled a week and a half ago on 60 Minutes as the ultimate fake news purveyor.
[00:01:33.440 --> 00:01:36.341]  Because he reported Hillary Clinton fell down and was ill!
[00:01:37.422 --> 00:01:41.203]  And then they didn't show the full video of her falling down, only showed her wobbling!
[00:01:41.603 --> 00:01:41.943]  Wow!
[00:01:42.224 --> 00:01:44.264]  Very impressive, 60 Minutes!
[00:01:46.705 --> 00:01:47.686]  Danger and Play.
[00:01:47.986 --> 00:01:48.606]  It's his website.
[00:01:51.007 --> 00:01:52.048]  Guess what happens then?
[00:01:52.088 --> 00:01:55.309]  Yesterday, we covered it some, but I didn't realize how big it would be
[00:01:57.816 --> 00:02:01.958]  How the media would panic and go into damage mode because we've known Susan Rice was involved.
[00:02:02.379 --> 00:02:03.139]  That's who's over it.
[00:02:04.560 --> 00:02:12.344]  They bragged in the New York Times on March 1st that Obama was saving all the evidence and, you know, ferreting it away illegally.
[00:02:12.945 --> 00:02:14.165]  But see, there is no evidence.
[00:02:14.185 --> 00:02:15.566]  They just keep saying, we have the evidence.
[00:02:15.946 --> 00:02:18.788]  And then Trump says, oh, you have evidence and you've illegally leaked it.
[00:02:19.348 --> 00:02:20.449]  Let us see the evidence.
[00:02:21.129 --> 00:02:22.490]  The president has access to everything.
[00:02:22.730 --> 00:02:24.091]  He knows there is no evidence.
[00:02:27.287 --> 00:02:33.991]  So then, folks inside Bloomberg know that this is all being sat on for months.
[00:02:36.653 --> 00:02:38.174]  And who exactly leaked it?
[00:02:38.574 --> 00:02:39.695]  And then who purveyed it?
[00:02:39.735 --> 00:02:40.575]  We have all the names.
[00:02:40.715 --> 00:02:47.400]  And then, the purveyor of it is so arrogant, she goes on TV last week and admits that they were spying.
[00:02:48.540 --> 00:02:51.042]  And it turns out a month before that, she said they were spying on them.
[00:02:54.984 --> 00:02:55.585]  It's incredible.
[00:02:56.764 --> 00:03:03.709]  Evelyn Farkas, head of the State Department and Pentagon's Russia operations.
[00:03:07.091 --> 00:03:16.677]  So, they're admitting they're doing it in the newspapers, and then they say they weren't, and then Bloomberg is sitting on top of the story, and Cernovich hasn't told me this, but I know some of the same people.
[00:03:17.538 --> 00:03:18.559]  That gets leaked to him.
[00:03:19.019 --> 00:03:20.320]  They have the full story waiting.
[00:03:22.918 --> 00:03:27.419]  Laying there on their desk, and because the information gets leaked, BOOM!
[00:03:29.180 --> 00:03:32.101]  It comes out that, yes, Bloomberg's forced to report.
[00:03:33.541 --> 00:03:35.682]  We're talking an hour after Cernovich put it out.
[00:03:38.063 --> 00:03:45.285]  They're forced to admit that, indeed, she gave the orders, and that they had detailed breakdowns on everything that the entire Trump operation was doing.
[00:03:45.685 --> 00:03:48.626]  And you know they were doing it during the campaign, too, ladies and gentlemen.
[00:03:49.066 --> 00:03:49.967]  Read all the WikiLeaks.
[00:03:49.987 --> 00:03:51.227]  They've got everybody under surveillance.
[00:03:53.382 --> 00:03:54.882]  I've come out in federal wiretaps.
[00:03:55.162 --> 00:03:56.263]  So has Roger Stone.
[00:03:58.203 --> 00:03:59.623]  I've had to get rid of so many phones.
[00:03:59.643 --> 00:04:04.344]  They get on my phone, start calling people, start going to websites, start doing things in live time.
[00:04:04.624 --> 00:04:08.085]  Sometimes I'll wake up, the phone's turned on, and it will be going places.
[00:04:09.185 --> 00:04:10.585]  People say, well, why do you have all these horrible things?
[00:04:10.625 --> 00:04:11.526]  I think Matt Grudge is right.
[00:04:11.546 --> 00:04:13.306]  I should just get rid of it, just go back to a flip phone.
[00:04:13.586 --> 00:04:17.307]  Problem is, I could do so much with it if it wasn't filled with all this crap.
[00:04:18.347 --> 00:04:19.307]  All these Trojan horses.
[00:04:19.567 --> 00:04:22.868]  But here they are, caught red-handed, and then you notice the key words.
[00:04:25.066 --> 00:04:30.707]  that are used by people like Chris Cuomo.
[00:04:31.808 --> 00:04:33.308]  He calls it a fake scandal.
[00:04:33.748 --> 00:04:34.728]  Doesn't call it fake news.
[00:04:34.768 --> 00:04:36.809]  He calls it a fake scandal.
[00:04:38.149 --> 00:04:39.049]  Doesn't call it a hoax.
[00:04:39.709 --> 00:04:40.950]  A fake scandal.
[00:04:41.990 --> 00:04:43.450]  Oh, so this whole scandal's fake.
[00:04:43.830 --> 00:04:45.011]  Can't say the story's fake.
[00:04:45.031 --> 00:04:46.711]  Just the whole, it's a scandal.
[00:04:46.951 --> 00:04:50.272]  No, it's a scandal that you're a bunch of whores selling this country out.
[00:04:53.123 --> 00:04:57.669]  And that you think we're all stupid, and that you're better than us, Cuomo, you and your bully brother!
[00:04:58.991 --> 00:05:01.294]  Well, feel your hand, you un-American piece of trash!
[00:05:03.737 --> 00:05:06.038]  Mainstream media threw a fit on Monday.
[00:05:06.278 --> 00:05:20.185]  Independent journalist Mike Cernovich outed Susan Rice, who was Obama's national security advisor, as the person who requested the unmasking of Donald Trump and his associates' names in the months leading up to the election, all the way up until Trump's inauguration.
[00:05:20.345 --> 00:05:22.766]  This, of course, was turning out to be the biggest story of the day.
[00:05:22.926 --> 00:05:23.647]  So what happened?
[00:05:23.787 --> 00:05:25.848]  Later in the afternoon, we got the manufactured.
[00:05:26.028 --> 00:05:30.070]  Blackwater found secret Seychelles meeting to establish Trump-Putin backchannel.
[00:05:30.330 --> 00:05:36.696]  That's right, Trump-Putin backchannel could be found in thousands of articles, all released within two hours of each other.
[00:05:36.896 --> 00:05:44.402]  And they claim that Eric Prince of Blackwater was having secret meetings at an Indian Ocean island with Russia to set up a secret backchannel with Putin.
[00:05:46.886 --> 00:05:57.855]  The proof we do have are the NSA request logs with Susan Rice's name all over them, which is asking for the unmasking of Donald Trump and his associates so she, Obama, and others could spy on them.
[00:05:58.516 --> 00:06:01.598]  Rob Dewey reporting for InfoWars.com and InfoWars Nightly News.
[00:06:06.522 --> 00:06:07.904]  Let's go to Devon in Florida.
[00:06:07.964 --> 00:06:09.225]  Devon in Florida, you're on the air.
[00:06:10.208 --> 00:06:10.548]  Great!
[00:06:10.648 --> 00:06:11.629]  Hey, thank you so much.
[00:06:11.769 --> 00:06:16.151]  Listen, I have bought your products and I gotta say they're amazing.
[00:06:16.312 --> 00:06:25.397]  Anyone who's on the fence, buy it because I've got Caveman, Superman Vitality, Secret 12, Vitamin Mineral Fusion, I've got the Body Armor.
[00:06:25.417 --> 00:06:26.137]  Wow, thank you.
[00:06:26.157 --> 00:06:28.739]  You're the type of listener that makes it all possible.
[00:06:28.799 --> 00:06:30.420]  Which nutraceuticals do you like best?
[00:06:30.640 --> 00:06:33.942]  I really like the Vitamin Mineral Fusion to be honest.
[00:06:34.102 --> 00:06:34.582]  That's amazing.
[00:06:34.582 --> 00:06:35.142]  Absolutely incredible.
[00:06:35.362 --> 00:06:38.403]  I drank it in the morning and I swear to you, I felt incredible.
[00:06:38.423 --> 00:06:39.683]  Like, I haven't felt this week.
[00:06:39.783 --> 00:06:42.564]  My morning was fantastic and I love you guys.
[00:06:42.584 --> 00:06:51.546]  I love the InfoWars crew and I just want to, yeah, I want to take this opportunity to tell anybody out there who's on the fence, just buy it.
[00:06:51.706 --> 00:06:52.486]  You will love it.
[00:06:52.726 --> 00:06:54.847]  I'm telling you, I've never bought a bad product.
[00:06:54.887 --> 00:06:59.228]  What you find in our news is the same thing you find in our products at InfoWarsLife.com.
[00:06:59.308 --> 00:07:01.148]  It's a win-win, InfoWarsLife.com.
[00:07:03.638 --> 00:07:12.643]  Alex Jones here to tell you about how you can help spread liberty worldwide while also enjoying what I have found to be the best tasting, 100% organic coffee on the planet.
[00:07:12.723 --> 00:07:20.827]  For more than a decade, my favorite coffee has come from the high mountains of southern Mexico, where the Chiapas farmers grow their unique shade-grown Arabica beans.
[00:07:21.127 --> 00:07:25.809]  We have now managed to secure the sought-after beans in a highly customized blend.
[00:07:26.009 --> 00:07:32.712]  Discover and try a bag of the Patriot Blend 100% Organic Coffee at Infowarslife.com.
[00:07:32.792 --> 00:07:39.874]  This coffee gives you a long, smooth pick-me-up for hours without the headaches and heartburn that so many other coffees give me personally.
[00:07:39.974 --> 00:07:46.817]  Hands down, this is my favorite coffee, and it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[00:07:46.997 --> 00:07:51.341]  Drop by the site today, order a bag or two, and I don't think you're going to be disappointed.
[00:07:51.481 --> 00:07:54.724]  Available in original or with our immune support infusion blend.
[00:07:54.864 --> 00:08:00.990]  You will be supporting a free press, all the while enjoying a truly great tasting cup of my favorite coffee.
[00:08:01.170 --> 00:08:02.831]  Available at InfoWarsLife.com
[00:08:10.307 --> 00:08:21.074]  In the councils of government, we must guard against the acquisition of unwarranted influence, whether sought or unsought, by the military-industrial commons.
[00:08:21.214 --> 00:08:26.577]  In Dallas, Texas, three shots were fired at President Kennedy's motorcade in downtown Dallas.
[00:08:27.137 --> 00:08:32.801]  The first reports say that President Kennedy has been seriously wounded by the shooting.
[00:08:33.181 --> 00:08:34.642]  It is a big idea.
[00:08:34.662 --> 00:08:35.762]  A new world order.
[00:08:40.230 --> 00:08:42.652]  It was almost as if they were planned in post.
[00:08:42.672 --> 00:08:43.812]  It's just pancakes.
[00:08:43.912 --> 00:08:46.834]  Either you were with us, or you were with the terrorists.
[00:08:46.914 --> 00:09:04.225]  I also believe a lot of gun owners would agree with me.
[00:09:04.405 --> 00:09:09.729]  AK-47s belong to the hands of soldiers, not the hands of criminals.
[00:09:14.383 --> 00:09:15.143]  The guns will be taken.
[00:09:15.243 --> 00:09:17.144]  No one will be able to be armed.
[00:09:17.184 --> 00:09:19.464]  We're going to take all the weapons.
[00:09:19.484 --> 00:09:22.745]  For many of the police and guard troops, it is an uncomfortable job to do this in an American city.
[00:09:22.765 --> 00:09:24.385]  Is global governance at last?
[00:09:24.485 --> 00:09:26.865]  Is it one world the central bank is in charge?
[00:09:26.885 --> 00:09:30.206]  Aren't we all just living and dying for what the central banks do?
[00:09:30.346 --> 00:09:34.987]  1776 will commence again if you try to take our firearms!
[00:09:35.087 --> 00:09:36.327]  Do you understand?
[00:09:37.047 --> 00:09:41.748]  Live from the InfoWars.com studios, it's Alex Jones.
[00:09:44.676 --> 00:09:49.839]  I don't do like CNN, MSNBC, and other globalist media outlets do.
[00:09:51.720 --> 00:09:55.562]  When Trump's in crisis, and when Trump's starting to slide backwards, I'll tell you.
[00:09:58.623 --> 00:09:59.944]  That's been happening the last few weeks.
[00:10:02.405 --> 00:10:07.248]  But I can smell it, and I can see it, and I can taste it, and I can feel it in the wind.
[00:10:07.268 --> 00:10:09.669]  I can intellectually analyze it.
[00:10:10.657 --> 00:10:30.338]  The whole House of Cards is starting to completely tumble on the Democrats and on George Soros and massive momentum has shifted against them because moles inside the major corporate media that are patriots are beginning to leak everything.
[00:10:31.513 --> 00:10:34.814]  They're beginning to record the executives telling them how to lie.
[00:10:35.194 --> 00:10:44.817]  They are beginning to find their conscience, and you are now going to see floods of leaks from the corporate media combine.
[00:10:46.618 --> 00:10:48.018]  Like what you just saw with Rice.
[00:10:50.359 --> 00:10:51.079]  And it's better than that.
