[00:00:05.091 --> 00:00:05.852]  You've got it.
[00:00:05.892 --> 00:00:12.119]  This transmission is coming to you.
[00:00:12.199 --> 00:00:14.301]  Waging war on corruption.
[00:00:16.584 --> 00:00:22.230]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:00:32.322 --> 00:00:49.706]  Well, close to four weeks ago, the controlled corporate enemy media, the globalist media, came out and acted like it was the end of the world when President Trump decried the white supremacists, as well as the anti-f... thugs.
[00:00:50.806 --> 00:01:01.409]  And then three weeks later, he was totally vindicated when we saw all across the country them savagely beating and attacking innocent prayer vigils, free speech rallies,
[00:01:03.109 --> 00:01:06.092]  Land rights events, Second Amendment events, you name it.
[00:01:07.854 --> 00:01:14.480]  That blew up squarely in Nancy Pelosi, Maxine Water, Michael Moores, and other people's faces.
[00:01:16.022 --> 00:01:23.650]  Now, they're acting like the Dreamer Act put in place by Obama, used to flood the United States with people,
[00:01:24.978 --> 00:01:34.105]  On average, 30 years of age, calling illegal aliens dreamers when they couldn't document when they actually got here.
[00:01:34.626 --> 00:01:36.667]  It's been used for massive fraud.
[00:01:37.308 --> 00:01:38.749]  That's what the facts show.
[00:01:39.910 --> 00:01:50.998]  The truth is Trump is planning to try to get reform in that makes it easier for people that have come here legally to get working permits and to be in the United States.
[00:01:51.038 --> 00:01:51.439]  And I've got
[00:01:52.298 --> 00:02:06.902]  Three people working in my office right now who are from Mexico and who work here legally and lawfully and they do a great job and they're on their way to be citizens down the road.
[00:02:07.982 --> 00:02:14.524]  So this isn't about not letting people be in the country who aren't from here.
[00:02:14.664 --> 00:02:21.626]  It's about having basic laws that at least match up with the average laws in the world.
[00:02:22.810 --> 00:02:34.138]  Because globalism is trying to end our sovereignty, and the big corporations want cheap labor, and the Democrats want a political pool they can put chips on the shoulders and create massive division.
[00:02:34.758 --> 00:02:50.709]  So this is a giant exercise in the media, picking some of the people that are here and would qualify for the Dreamer Act, who do speak three or four or five languages, who really are doing a great job, who really are EMTs, who really are good people.
[00:02:50.989 --> 00:02:51.930]  No one's denying that.
[00:02:53.756 --> 00:02:56.317]  Immigrants are some of the best workers and smartest folks we've got.
[00:02:56.537 --> 00:03:03.040]  Because America's been so free and so wealthy, a lot of Americans, I don't care if they're black, white, or Hispanic, or Asian, have gotten lazy.
[00:03:03.820 --> 00:03:04.861]  And the statistics show that.
[00:03:04.881 --> 00:03:06.982]  So, I hire immigrants.
[00:03:07.932 --> 00:03:09.253]  Because they work hard on average.
[00:03:09.593 --> 00:03:10.774]  I guess the cliché is true.
[00:03:11.174 --> 00:03:17.219]  But within that cliché, there's a large group of criminals that are above the law because we've become lawless in this country.
[00:03:17.559 --> 00:03:22.363]  And that minority of criminals is creating a disproportionate amount of crime.
[00:03:22.883 --> 00:03:24.084]  And no one can debate that.
[00:03:25.104 --> 00:03:30.568]  And so all the whining and all the screaming and all the gnashing of teeth is nothing but hype.
[00:03:31.429 --> 00:03:32.650]  I can't go to Brazil.
[00:03:33.551 --> 00:03:34.731]  I can't go to Mexico.
[00:03:35.894 --> 00:03:49.946]  I can't go to Russia, I can't go to China, I can't go to Nigeria, I can't go to Japan and say I've lived there for 20 years and suddenly they just make you a citizen when you came there illegally or make you legal.
[00:03:50.987 --> 00:03:57.593]  Now here is the Attorney General talking about this today and then we'll be back with the big news on North Korea.
[00:04:01.548 --> 00:04:02.109]  Good morning.
[00:04:02.909 --> 00:04:11.736]  I'm here today to announce that the program known as DACA that was effectuated under the Obama administration is being rescinded.
[00:04:12.337 --> 00:04:25.448]  The DACA program was implemented in 2012 and essentially provided a legal status for recipients for a renewable two-year term, worker authorization, and other benefits
[00:04:25.988 --> 00:04:33.953]  Including participation in the social security program to 800,000 mostly adult illegal aliens.
[00:04:34.573 --> 00:04:49.802]  The policy was implemented unilaterally to great controversy and legal concern after Congress rejected legislative proposals to extend similar benefits on numerous occasions to this same group of illegal aliens.
[00:04:52.148 --> 00:04:56.569]  And that's all this is, is Trump reasserting our sovereignty.
[00:04:57.870 --> 00:05:02.691]  And the media is trying to turn reality upside down and act like this is evil.
[00:05:06.713 --> 00:05:07.433]  I can't hear you.
[00:05:07.573 --> 00:05:09.053]  You're a f***ing anti-American!
[00:05:09.513 --> 00:05:10.954]  I'm an anti-American?
[00:05:11.014 --> 00:05:12.974]  You stupid bastard!
[00:05:13.074 --> 00:05:14.435]  I'm a f***ing patriot!
[00:05:17.313 --> 00:05:23.817]  Now you know you're winning the information war when the other side has no response but to resort to censorship.
[00:05:28.199 --> 00:05:28.940]  Drain the swamp?
[00:05:29.360 --> 00:05:34.663]  We're gonna have to drain the privilege out of Washington first because that's what the swamp feeds on, their privilege.
[00:05:35.598 --> 00:05:39.880]  I can't stand for people to exercise their First and Second Amendments together.
[00:05:40.280 --> 00:05:40.940]  You found it.
[00:05:41.280 --> 00:05:42.620]  It's the real news.
[00:05:43.061 --> 00:05:46.942]  That's what you have to look forward to.
[00:05:47.042 --> 00:05:50.003]  He's not sorry when snowflakes can't handle the truth.
[00:05:50.543 --> 00:05:52.604]  It's your host, David Knight.
[00:05:52.844 --> 00:05:55.745]  Start your mornings every Monday through Friday, 8 a.m.
[00:05:55.825 --> 00:05:57.005]  Central, 9 a.m.
[00:05:57.185 --> 00:05:57.526]  Eastern.
[00:05:57.986 --> 00:05:59.126]  Real news of David Knight.
[00:05:59.206 --> 00:06:01.867]  You can find us on infowars.com forward slash show.
[00:06:03.748 --> 00:06:04.168]  They trolled him.
[00:06:05.401 --> 00:06:05.881]  He baited him.
[00:06:07.002 --> 00:06:08.604]  He trolled him.
[00:06:08.624 --> 00:06:10.265]  He baited him.
[00:06:10.285 --> 00:06:11.886]  He trolled him.
[00:06:11.906 --> 00:06:12.407]  He baited him.
[00:06:13.607 --> 00:06:15.229]  I wish I was that smart.
[00:06:15.309 --> 00:06:16.890]  That's the Trump dimension.
[00:06:16.950 --> 00:06:18.011]  That's the Trump dimension.
[00:06:18.071 --> 00:06:18.531]  He trolled him.
[00:06:18.571 --> 00:06:19.612]  That's the Trump dimension.
[00:06:19.632 --> 00:06:20.193]  He baited him.
[00:06:20.213 --> 00:06:21.273]  That's the Trump dimension.
[00:06:21.293 --> 00:06:21.814]  He trolled him.
[00:06:21.854 --> 00:06:22.915]  That's the Trump dimension.
[00:06:22.975 --> 00:06:23.395]  He trolled him.
[00:06:23.415 --> 00:06:24.556]  That's the Trump dimension.
[00:06:24.616 --> 00:06:25.016]  He trolled him.
[00:06:25.036 --> 00:06:26.157]  That's the Trump dimension.
[00:06:26.177 --> 00:06:26.638]  He baited him.
[00:06:26.718 --> 00:06:27.859]  I wish I was that smart.
[00:06:28.399 --> 00:06:31.021]  That's the Trump dimension.
[00:06:31.542 --> 00:06:31.902]  It's Trump.
[00:06:41.998 --> 00:06:43.184]  Just trolled you.
[00:06:43.204 --> 00:06:44.210]  That's okay!
[00:07:03.044 --> 00:07:04.425]  Clean, pure drinking water.
[00:07:04.685 --> 00:07:05.965]  You can't survive without it.
[00:07:06.166 --> 00:07:07.066]  But where do you get it?
[00:07:07.366 --> 00:07:13.129]  Alexa Pure Pro is a brand new, groundbreaking, gravity-fed water filtration system that is like no other.
[00:07:13.369 --> 00:07:19.092]  The Alexa Pure Pro transforms water from virtually any fresh source into clean, healthy drinking water.
[00:07:19.272 --> 00:07:36.154]  Pairing the unprecedented superfiltration power of an all-new gravity block core with a hybrid chromatic shell, it removes up to 99.999% of impurities, including bacteria, viruses, fluoride, disinfectants, volatile organic contaminants, and hormones.
[00:07:36.534 --> 00:07:38.655]  Filter capacity up to 5,000 gallons.
[00:07:39.015 --> 00:07:40.215]  Stainless steel construction.
[00:07:40.495 --> 00:07:41.255]  Easy assembly.
[00:07:41.515 --> 00:07:42.156]  Low maintenance.
[00:07:42.436 --> 00:07:44.256]  Replacement filters are simple to install.
[00:07:44.536 --> 00:07:51.638]  And now, as part of an exclusive limited time introductory offer, you can save $20 off the retail price and get free shipping.
[00:07:51.798 --> 00:07:56.819]  This is a limited time offer, so order your unit today and receive free shipping and $20 off.
[00:07:56.999 --> 00:07:59.580]  Go to InfoWarsStore.com or call 888-253-3139.
[00:08:21.517 --> 00:08:25.979]  Rallying patriots worldwide in defense of human liberty.
[00:08:26.539 --> 00:08:28.040]  It's Alex Jones.
[00:08:30.461 --> 00:08:36.883]  It is already the fifth day of September 2017.
[00:08:37.143 --> 00:08:42.846]  Coming up, Vladimir Putin.
[00:08:43.226 --> 00:08:48.468]  The South Korean president as well, the Japanese president.
[00:08:49.753 --> 00:08:56.782]  And our own Pentagon all agree the world has never been closer to thermal nuclear war as it is right now.
[00:08:56.842 --> 00:09:01.487]  We're going to go over the latest developments with the crisis of crises.
[00:09:02.577 --> 00:09:08.439]  Nuclear-armed North Korea with hydrogen bombs, threatening all-out nuclear war against their neighbors.
[00:09:09.439 --> 00:09:13.901]  How long will the world sit here while this threat continues to expand?
[00:09:14.541 --> 00:09:26.105]  And can North Korea be reasoned with back from the edge of the abyss that megalomania and globalist appeasement has led us all to?
[00:09:29.653 --> 00:09:37.984]  First off, I want to get into the secrets of the DREAM Act and DACA's recension by the President today.
[00:09:39.266 --> 00:09:41.449]  The President is following the law.
[00:09:42.754 --> 00:09:52.359]  Obama had lots of executive orders, where he would advertise that illegals by the millions could pour in, and then the media would simply call them children!
[00:09:53.179 --> 00:10:02.383]  Some of them 45-year-old, multiple-time serial killers, who'd been deported in some cases more than 40 times!
[00:10:04.224 --> 00:10:11.888]  But they just kept saying, oh, but I went to school in Los Angeles, or I went to school in Austin, Texas, and look, I'm in the yearbook!
[00:10:13.049 --> 00:10:15.113]  That shows how long this has been going on.
[00:10:15.213 --> 00:10:15.935]  And here's the issue.
[00:10:16.516 --> 00:10:23.830]  Mexico or China doesn't let you go there and do anything like the DREAM Act or anything like Anchor Babies or any of it.
[00:10:25.302 --> 00:10:26.403]  It's not fair.
[00:10:26.783 --> 00:10:28.424]  That's the secret of the DREAM Act.
[00:10:29.044 --> 00:10:34.328]  And it's being used as a political tool by the Democrats and the Republicans that want cheap labor and voting blocks.
[00:10:35.188 --> 00:10:47.396]  And it is penalizing people that come here legally and lawfully, that go to school here in college, that then get their work visas and contribute to the economy.
[00:10:48.197 --> 00:10:50.098]  And I'm all for work visas.
[00:10:51.331 --> 00:10:52.311]  In things that are needed.
[00:10:53.092 --> 00:10:58.874]  In areas in the economy where workers are needed and hard-working folks and smart people are needed.
[00:11:00.274 --> 00:11:04.076]  But when it talks about something like engineering or manufacturing?
[00:11:05.276 --> 00:11:10.198]  The unions are out today decrying Trump as racist, saying DACA will keep wages up.
[00:11:11.498 --> 00:11:12.379]  No, it's the opposite.
[00:11:12.439 --> 00:11:15.520]  It'll drive wages down to keep that in place.
[00:11:15.800 --> 00:11:17.000]  That's what all the economists know.
[00:11:17.440 --> 00:11:18.901]  So it's a lot of deception.
[00:11:20.686 --> 00:11:25.528]  And since we've had NAFTA and GATT and since we've had more open borders, we've seen our wages go where?
[00:11:26.448 --> 00:11:27.009]  Straight down.
[00:11:27.029 --> 00:11:34.312]  There's all these graphs that they put out showing by the mid-1970s that American prosperity began to wane.
[00:11:34.332 --> 00:11:36.693]  And they say, oh, it's because we're capitalists.
[00:11:36.753 --> 00:11:38.974]  No, it's because of offshoring.
[00:11:40.962 --> 00:11:52.127]  And it's because of bringing in large third-world populations and allowing corporations to use the labor to undercut the middle class of every race, color, and creed.
[00:11:52.507 --> 00:11:57.270]  This is a fact that in Latin America the power structure teaches people poor by design.
[00:11:57.750 --> 00:11:59.371]  It is a fact in Eastern Europe.
[00:11:59.411 --> 00:12:00.731]  That's what's been done for thousands of years.
[00:12:01.132 --> 00:12:03.232]  It's a fact that's done in most areas of Asia.
[00:12:04.093 --> 00:12:08.055]  The rich families get together and they openly do not want innovation
[00:12:09.209 --> 00:12:12.271]  They want stagnant, class-driven systems.
[00:12:13.652 --> 00:12:21.056]  Now that's started to get eroded in India, starting to get eroded in areas of Africa, starting to get eroded in Latin America, and I'm all for it.
[00:12:21.296 --> 00:12:32.542]  Because if you ever gave free market to many areas of Asia or Latin America, they would take off and within a few decades be gorgeous, amazing, clean, safe, beautiful places.
[00:12:32.963 --> 00:12:35.144]  But they've never been allowed to have it.
[00:12:36.291 --> 00:12:37.451]  And that is the real problem.
[00:12:37.751 --> 00:12:43.173]  Turning us, though, into these collapsed nations and these collapsed cultures is not going to fix anything.
[00:12:43.193 --> 00:12:56.136]  And the globalists, in their own white papers, admit that they want a large quagmire, a giant underclass, and that they want to get rid of English being the world language to sabotage the world communicating with each other.
