[00:00:12.250 --> 00:00:13.451]  Wow, Friday.
[00:00:13.471 --> 00:00:15.633]  Waging war on corruption.
[00:00:15.993 --> 00:00:22.398]  It's Alex Jones, coming to you live from the front lines of the Infowar.
[00:00:23.999 --> 00:00:25.500]  Well, here we are, ladies and gentlemen.
[00:00:25.560 --> 00:00:30.063]  Hard to believe it's already Friday, the 23rd day of June, 2017, and all hell is breaking loose.
[00:00:34.946 --> 00:00:38.068]  The Democrats have lost a fourth consecutive special election.
[00:00:38.468 --> 00:00:49.113]  They consecutively broke all previous records in each one of the four failed special elections since President Trump was sworn in on January 20th, 2017.
[00:00:50.233 --> 00:01:01.759]  The day the power began to transfer from Washington and from globalist combines offshore back to we, the people.
[00:01:02.717 --> 00:01:06.659]  And he's been delivering in royal spades.
[00:01:07.199 --> 00:01:22.387]  And the globalists who've hijacked our country, hijacked Europe, hijacked Latin America, hijacked Africa, hijacked Eastern Europe, hijacked Russia, hijacked the Middle East, are in total, complete, absolute freak-out mode.
[00:01:24.022 --> 00:01:30.566]  They burned through 35 million on the special elections, and that was just the party, not just their PACs.
[00:01:31.447 --> 00:01:32.888]  Unbelievable.
[00:01:33.588 --> 00:01:44.736]  And so how do they respond, being spoiled brat, wannabe elitist, who are part of a cult of power, who believe that they're sitting on top of the bitter clingers, and that they control, you know, the Christians and the patriots, and I guess they do.
[00:01:45.076 --> 00:01:46.397]  They have our children in their clutches.
[00:01:46.877 --> 00:01:47.718]  They brainwash them.
[00:01:48.218 --> 00:01:49.279]  They force-inoculate them.
[00:01:49.739 --> 00:01:53.642]  But the sleeping giant is awakening to what they're doing, so they're trying to
[00:01:54.323 --> 00:01:55.528]  Cling on to the host.
[00:01:55.648 --> 00:01:59.201]  The parasites are in a desperate, insane panic.
[00:02:01.476 --> 00:02:02.256]  Do they back off?
[00:02:02.356 --> 00:02:02.597]  No.
[00:02:02.717 --> 00:02:09.200]  Johnny Depp, a meth-head, $600 million that he made in the last 20 years, lost it all.
[00:02:09.940 --> 00:02:16.164]  Looks like, again, some meth-mouth guy, some kind of homeless person you see on the side of the street.
[00:02:17.064 --> 00:02:22.607]  He comes out like he's a big, tough man, he can hardly stand up, with some other waterhead.
[00:02:22.627 --> 00:02:28.070]  And they stand up there and talk about how they dream about killing the president.
[00:02:29.165 --> 00:02:35.387]  Oh, how original by another spoiled rotten piece of filth that if you don't like America, you should move to North Korea.
[00:02:35.627 --> 00:02:37.608]  In fact, Paul Watson has a video we're going to play coming up.
[00:02:37.808 --> 00:02:39.569]  The dubbest liberal ever.
[00:02:40.269 --> 00:02:42.330]  And the woman says she wants more Muslims.
[00:02:42.350 --> 00:02:43.070]  They're not a threat.
[00:02:43.310 --> 00:02:44.651]  She says white men are.
[00:02:45.311 --> 00:02:55.115]  Some addled, spoiled, pension fund, government funded, college paid for, scholarship whining idiot.
[00:02:55.835 --> 00:02:57.896]  I am going to offer this moron
[00:02:58.905 --> 00:03:00.085]  First-class tickets!
[00:03:01.486 --> 00:03:10.548]  First-class tickets and 20,000 pounds to move for one year to Libya or to Syria.
[00:03:10.608 --> 00:03:14.368]  I'm sorry, those are total war zones thanks to you people helping put the radical jihadis in.
[00:03:14.568 --> 00:03:15.589]  How about Saudi Arabia?
[00:03:15.649 --> 00:03:16.649]  I'm offering you 20,000 pounds.
[00:03:16.689 --> 00:03:16.929]  That's $35,000.
[00:03:16.969 --> 00:03:16.929]  $30,000.
[00:03:16.989 --> 00:03:19.069]  And I'm offering you first-class one-way tickets to Riyadh, Saudi Arabia, baby!
[00:03:27.045 --> 00:03:32.308]  You go there, you run your mouth, you show your face in public, they'll cane you, and next they'll kill you.
[00:03:34.149 --> 00:03:37.311]  The headline will be, Jones wishes Muslims to kill a poor woman.
[00:03:37.811 --> 00:03:40.513]  That's how they spit it when J-Lo's like, bring in more Muslims.
[00:03:41.453 --> 00:03:43.755]  Or, you know, any of these globalist minions.
[00:03:43.775 --> 00:03:45.816]  And I go, hey, why don't you go move there then?
[00:03:46.276 --> 00:03:46.436]  Oh!
[00:03:48.197 --> 00:03:49.198]  Oh no, we're not gonna do that!
[00:03:50.037 --> 00:03:52.958]  The media spends, I hope they go to the Middle East and get raped.
[00:03:53.238 --> 00:04:00.261]  No, I hope you don't bring that here because I've got three daughters and a son and I don't like it.
[00:04:00.821 --> 00:04:02.302]  I don't want to bring North Korea here.
[00:04:02.542 --> 00:04:07.584]  Hell, they're trying to transplant whole Syrian towns of invaders that came in and took over.
[00:04:08.749 --> 00:04:09.971]  into Germany right now.
[00:04:09.991 --> 00:04:11.713]  They've already brought 10 million in.
[00:04:11.993 --> 00:04:16.678]  I'm sorry, I kept seeing 5 million the last couple years and 7 million total the last 8 years.
[00:04:16.718 --> 00:04:21.604]  No, it's 10 m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-
[00:04:30.700 --> 00:04:32.802]  And I'm in my Info Wars uniform today.
[00:04:32.842 --> 00:04:40.109]  I'm not wearing the sports jacket and the button-up shirt because I need to be able to get wound up proper here today.
[00:04:40.129 --> 00:04:44.312]  Oh, Tuck Buckford's wound up today, everybody.
[00:04:44.673 --> 00:04:47.595]  So get ready because this is the Info War.
[00:04:47.816 --> 00:04:49.737]  We're going in through
[00:04:50.778 --> 00:04:51.660]  And beyond.
[00:04:51.920 --> 00:04:52.701]  Spread the word.
[00:04:52.782 --> 00:04:53.423]  Spread the links.
[00:04:53.463 --> 00:04:55.606]  The live feeds on Facebook, Twitter, YouTube.
[00:04:55.766 --> 00:04:56.668]  Your local stations.
[00:04:56.728 --> 00:04:57.349]  Spread the word.
[00:04:57.569 --> 00:05:02.617]  It's an act of resistance against the dirtbag globalists that know they're hanging on by their fingernails.
[00:05:04.144 --> 00:05:07.367]  This July 4th, we're having some of the biggest sales ever.
[00:05:07.647 --> 00:05:14.233]  Our incredible Nootropic Brain Force Plus, 30% off, and now with 20% more in each bottle.
[00:05:14.513 --> 00:05:17.035]  Super Mel Vitality, sold out for months.
[00:05:17.175 --> 00:05:22.000]  Concentrated Herbs that have absolutely changed my life and so many others, 30% off as well.
[00:05:22.380 --> 00:05:24.242]  So again, I want to thank you all for your support.
[00:05:24.782 --> 00:05:26.063]  I want to thank you for your prayers.
[00:05:26.523 --> 00:05:33.028]  You have changed the world, and I want to encourage you to continue to change the world and to accelerate your resistance.
[00:05:33.429 --> 00:05:39.794]  To celebrate this July 4th, I want to ask everybody to redouble their efforts, to spread the word, and to take action against tyranny.
[00:05:40.254 --> 00:05:44.798]  We have store-wide free shipping at Infowarsstore.com through July 4th.
[00:05:45.578 --> 00:05:50.683]  Deep Earth, Pure Iodine, X2, now back in stock, 30% off.
[00:05:51.043 --> 00:05:56.488]  Z-Shield, our newest product, out of the gates, 30% off, because it's so amazing and I want you to try it.
[00:05:56.689 --> 00:06:02.534]  So for myself, the InfoWorks crew, and my family, I want to wish you all a wonderful 4th of July, and I want to thank you all for your support.
[00:06:04.284 --> 00:06:06.685]  Super Blue Fluoride-Free Toothpaste!
[00:06:07.066 --> 00:06:15.150]  A revolutionary new toothpaste designed to deliver a powerful clean while supporting good oral health and fresh breath.
[00:06:15.611 --> 00:06:30.019]  Unlike other leading brands, this groundbreaking toothpaste features natural oils and ingredients to supercharge your smile with an array of beneficial compounds hand-selected for your oral health benefits.
[00:06:31.605 --> 00:06:35.647]  Notice the difference with Super Blue Fluoride Free Toothpaste.
[00:06:36.128 --> 00:06:39.489]  Refresh your breath with a glistening clean smile.
[00:06:39.950 --> 00:06:42.951]  Have crisp, beaming, spotless teeth.
[00:06:43.512 --> 00:06:45.252]  Don't be afraid to show them off.
[00:06:45.733 --> 00:06:51.556]  Let Super Blue radiate purity and freshness through your new expression of happiness.
[00:06:52.476 --> 00:06:55.478]  Try Super Blue Fluoride Free Toothpaste today.
[00:06:55.798 --> 00:06:57.219]  You won't be disappointed.
[00:06:57.639 --> 00:07:00.201]  Only available at InfoWarsStore.com.
[00:07:03.157 --> 00:07:03.577]  We're good to go.
[00:07:32.807 --> 00:07:38.835]  You've got to have the will to accept the truth and buck the system and the group collective.
[00:07:39.876 --> 00:07:43.601]  Do that, and you'll earn your way to the next level.
[00:07:44.983 --> 00:07:46.065]  This is the Infowar.
[00:08:06.966 --> 00:08:09.508]  Waging war on corruption.
[00:08:09.628 --> 00:08:16.013]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:08:17.654 --> 00:08:21.637]  Ladies and gentlemen, it's Friday, the 23rd day of June 2017.
[00:08:21.677 --> 00:08:29.703]  And everybody knows, I don't put a good face on things unless really good things are happening.
[00:08:30.423 --> 00:08:32.105]  And that is happening right now.
[00:08:33.157 --> 00:08:38.241]  The air is electrical with political change across the globe, not just here but the United States.
[00:08:38.581 --> 00:08:54.572]  We've seen four special elections with the Democrats spending more money than they've ever spent in any other elections, and they lost despite the mainstream media demonization, the dirty tricks, the illegals voting, people voting under dead people's identities.
[00:08:54.712 --> 00:08:55.733]  It's all been confirmed.
[00:08:56.593 --> 00:08:58.575]  5.7 million voting illegally.
[00:08:59.435 --> 00:09:15.887]  All of it confirmed now coming out in the last election but still they lost despite the fake polls, despite giving the debate questions weeks before to Hillary to try to rig it, despite having the moderators go after Trump where it'd be 3-1.
[00:09:16.407 --> 00:09:20.050]  Trump called it out and said it's 3-1 but still I'm winning.
[00:09:21.365 --> 00:09:24.969]  And it's that same attitude, ladies and gentlemen, that we've all got to have.
[00:09:25.349 --> 00:09:26.570]  Forget the Super Bowl.
[00:09:26.651 --> 00:09:28.552]  Forget NBA basketball.
[00:09:28.633 --> 00:09:32.997]  This is the real game of life for the future of America and the world.
[00:09:33.858 --> 00:09:35.239]  Freedom versus slavery.
[00:09:35.920 --> 00:09:37.702]  This is such an amazing time to be alive.
[00:09:37.722 --> 00:09:40.204]  This is going to be a powerful transmission today.
[00:09:41.499 --> 00:09:42.580]  Just look at these headlines.
[00:09:43.481 --> 00:09:48.107]  MSNBC's Brzezinski, Trump is developing a dictatorship, must be stopped.
[00:09:48.708 --> 00:09:51.611]  MSNBC analyst compares Trump to a suicide bomber.
[00:09:51.991 --> 00:09:59.000]  And of course another MSNBC host, an analyst, called for ISIS to hit Trump properties, like Trump Tower.
[00:09:59.260 --> 00:10:01.162]  So everything they say about Trump, they are.
[00:10:01.883 --> 00:10:06.646]  They're trying to overthrow the election instead of a dictatorship of the bureaucracy in the deep state.
[00:10:07.266 --> 00:10:21.896]  Connecticut campus shut as professor flees following let them effing die tweet directing students to begin killing right-wingers and Trump supporters and all bigots saying smile a bit as you kill them and as you murder them.
[00:10:23.223 --> 00:10:27.966]  More and more campuses are just totally having to shut because of mass total mental illness.
[00:10:28.947 --> 00:10:29.688]  Unbelievable.
[00:10:29.728 --> 00:10:33.190]  These are re-education camps, but they've been contained.
[00:10:33.550 --> 00:10:35.492]  They're designed to be culture bombs.
