[00:00:09.617 --> 00:00:10.558]  Another time.
[00:00:10.779 --> 00:00:12.301]  In the Age of Wonder.
[00:00:28.900 --> 00:00:37.844]  I've said this many times and it's always been true, but as the world quickens, as time and space and technological developments
[00:00:55.180 --> 00:01:03.985]  Accelerate as populations explode, as knowledge increases, but also ignorance, for every action there's an opposite and equal reaction.
[00:01:05.745 --> 00:01:16.871]  As time and space piles on, it is harder and harder to even try to scratch the surface of the incredible developments, but somehow I've got to do it today.
[00:01:17.972 --> 00:01:22.454]  Because each story has other stories that are corollary that give you the big picture.
[00:01:24.994 --> 00:01:26.875]  We have Hurricane Harvey hysteria.
[00:01:26.935 --> 00:01:33.898]  Customers all over Texas fight a store sellout of water and other key staples.
[00:01:35.999 --> 00:01:38.700]  Why do people never have the basic staples, most folks?
[00:01:39.461 --> 00:01:43.262]  And then images from space are just unbelievable.
[00:01:43.282 --> 00:01:45.383]  Like I said, it's from the International Space Station.
[00:01:45.403 --> 00:01:50.706]  If you're watching us on television, we are a radio slash television transmission.
[00:01:51.386 --> 00:01:53.147]  Infowars.com forward slash show.
[00:01:54.548 --> 00:01:56.669]  But our report is up on DrugsReport.com.
[00:01:56.709 --> 00:01:58.230]  Hurricane Harvey hysteria.
[00:01:59.430 --> 00:02:01.851]  And they're calling it the perfect storm.
[00:02:02.772 --> 00:02:03.792]  No pun intended.
[00:02:04.252 --> 00:02:06.453]  Harvey to make landfall as cat 3 hurricane.
[00:02:06.473 --> 00:02:07.714]  40 inches of rain.
[00:02:08.234 --> 00:02:09.274]  Latest updates.
[00:02:10.815 --> 00:02:12.896]  I'm looking to send some reporters down there right now.
[00:02:13.516 --> 00:02:16.938]  Worst case scenario looms for Texas with Hurricane Harvey.
[00:02:18.925 --> 00:02:19.846]  Storm of the decade.
[00:02:19.946 --> 00:02:20.926]  Perfect conditions.
[00:02:21.446 --> 00:02:23.548]  Could make Harvey the strongest hurricane to hit the U.S.
[00:02:23.848 --> 00:02:25.749]  in 12 years, as Texans are told.
[00:02:26.309 --> 00:02:32.393]  Get out of Dodge before 130 mile an hour wind and rain cause alligator infested floods.
[00:02:33.493 --> 00:02:34.234]  It's actually true.
[00:02:34.734 --> 00:02:37.956]  They took the ban on hunting alligators off of 10 years ago or something.
[00:02:38.216 --> 00:02:39.737]  They're like running around like roaches.
[00:02:40.577 --> 00:02:42.659]  My son killed three just a few years ago in one hunt.
[00:02:42.679 --> 00:02:44.900]  One of them 10 feet long.
[00:02:46.521 --> 00:02:48.002]  That's bigger gators in Louisiana now.
[00:02:49.693 --> 00:02:51.994]  So Hurricane Harvey could be a flooding disaster.
[00:02:52.034 --> 00:02:53.254]  A storm stalls over Texas.
[00:02:53.274 --> 00:02:54.855]  They get three inches in Houston, they flood.
[00:02:55.015 --> 00:02:57.756]  They're talking 40 inches and it's building.
[00:02:58.416 --> 00:02:59.476]  It's accelerating.
[00:03:00.377 --> 00:03:02.197]  And it's set to start hitting tonight.
[00:03:03.858 --> 00:03:05.118]  This thing kind of crept up on us.
[00:03:05.178 --> 00:03:07.759]  It was first as a tropical storm in Category 1.
[00:03:08.039 --> 00:03:09.520]  We're not sure.
[00:03:09.780 --> 00:03:13.121]  Category 2, Category 3 accelerating right towards
[00:03:14.704 --> 00:03:17.926]  Texas going to hit around Corpus Christi, Port Aransas.
