[00:00:15.409 --> 00:00:17.210]  This is our land.
[00:00:20.033 --> 00:00:21.675]  These are our people.
[00:00:23.357 --> 00:00:24.077]  The workers.
[00:00:25.197 --> 00:00:27.158]  The strikers.
[00:00:27.218 --> 00:00:29.839]  The builders.
[00:00:29.899 --> 00:00:33.300]  These are our people.
[00:00:33.380 --> 00:00:36.602]  Who are they?
[00:00:36.722 --> 00:00:39.463]  They are the dark armies.
[00:00:39.503 --> 00:00:44.064]  The dark murdering armies whose only honor is atrocity.
[00:00:44.084 --> 00:00:45.565]  The answer to 1984 is 1776.
[00:00:55.154 --> 00:00:57.608]  You're listening to The Alex Jones Show!
[00:01:04.297 --> 00:01:13.202]  That means I'm out here in Seattle time or total eclipse of the Sun time at 2 to 4 p.m.
[00:01:13.923 --> 00:01:16.304]  Pacific, 3 to 5 mountain time.
[00:01:16.804 --> 00:01:28.872]  David Knight's gonna be riding a shotgun there back in the main big professional studio in the old ATX and tomorrow morning he's gonna be a busy beaver along with many of the great crew of InfoWars we've expanded thanks to your support.
[00:01:29.292 --> 00:01:38.614]  We're going to be launching a syndicated radio transmission that already has new stations ready to pick it up this week, and everybody can watch it and listen to it for free at InfoWars.com forward slash show.
[00:01:38.634 --> 00:01:41.575]  It'll have its own feed, its own archive, its own podcast.
[00:01:41.595 --> 00:01:43.195]  We're going to get that podcast up tomorrow.
[00:01:43.876 --> 00:01:44.516]  Watch that tomorrow.
[00:01:44.536 --> 00:01:49.557]  If the show's over, you can subscribe to that at InfoWars.com forward slash show.
[00:01:49.577 --> 00:01:53.658]  And then in about two weeks, we're going to launch a show with Roger Stone, Mike Cernovich, and Owen Schroer.
[00:01:53.678 --> 00:01:57.619]  That'll be the War Room, three o'clock central, four o'clock eastern.
[00:01:58.439 --> 00:01:58.659]  Thank you.
[00:02:18.126 --> 00:02:19.447]  Eighteen hours a day live.
[00:02:19.507 --> 00:02:25.292]  I'd like to be live from about midnight till about 6 a.m.
[00:02:25.932 --> 00:02:26.773]  Midnight to 6 a.m.
[00:02:26.793 --> 00:02:28.554]  We'll leave that purview to Coast to Coast a.m.
[00:02:28.955 --> 00:02:34.079]  But we are going to put these broadcasts out there because if we build it, you certainly have come.
[00:02:34.099 --> 00:02:39.163]  Of course, the big debate will be today, why am I not wearing a shirt?
[00:02:39.223 --> 00:02:40.564]  It'll be all over newspapers tonight.
[00:02:41.384 --> 00:02:43.046]  It'll be in probably a thousand publications tomorrow.
[00:02:43.942 --> 00:02:49.384]  And that's because I can wear a pair of sunglasses on air if I have a sty, which I had last year.
[00:02:50.625 --> 00:02:51.685]  And it was a big conspiracy.
[00:02:51.705 --> 00:02:54.826]  We had like double the viewers instead of a couple million viewers on YouTube.
[00:02:54.846 --> 00:02:58.088]  It was like 4 million one day just because I was wearing sunglasses.
[00:02:58.108 --> 00:03:00.709]  And I said, hey, I've got an infected eye.
[00:03:01.069 --> 00:03:01.769]  It's closed.
[00:03:02.089 --> 00:03:03.390]  It's weeping.
[00:03:03.450 --> 00:03:04.030]  It's dripping.
[00:03:04.570 --> 00:03:05.311]  It's infected.
[00:03:06.420 --> 00:03:09.763]  I got this on and I'm not missing a shirt here because I have any problems.
[00:03:10.343 --> 00:03:15.907]  I'm sitting in my hotel room getting ready to check out and fly out today back to Austin and I'm just like, you know what?
[00:03:17.369 --> 00:03:20.711]  I haven't not worn my shirt on air in a while and this is a pretty important broadcast.
[00:03:21.031 --> 00:03:22.933]  A lot of big breaking things are going to be coming up today.
[00:03:23.233 --> 00:03:27.316]  We're launching the new Real News Transmission with Dave and I tomorrow at 8 a.m.
[00:03:27.356 --> 00:03:27.697]  Central.
[00:03:29.544 --> 00:03:32.867]  I've had the Antifa basically physically attack me all over the city.
[00:03:33.507 --> 00:03:35.528]  They're stripping us of our rights, our free speech.
[00:03:36.129 --> 00:03:38.230]  Google and Facebook and Twitter are censoring more so.
[00:03:38.591 --> 00:03:42.874]  We're being stripped of our sovereignty.
[00:03:42.894 --> 00:03:46.676]  We're being stripped of our prosperity through globalism.
[00:03:46.716 --> 00:03:49.899]  We're being stripped of our culture.
[00:03:49.919 --> 00:03:52.000]  We're being stripped of our honor.
[00:03:52.020 --> 00:03:58.545]  We're being stripped of everything that ends up allowing countries to be sovereign and upright.
[00:03:59.665 --> 00:04:00.106]  I don't know.
[00:04:21.442 --> 00:04:47.497]  A group of people that live in hysteria bubbles, like DC, like Chicago, like Seattle, and like my own Austin, colonized by the failures of California and places like Seattle, who have now come scrabbling there in their desperate, parasitic, vampiric desire to pull down any place they haven't imploded yet.
[00:04:48.291 --> 00:04:51.633]  With their depression, with their heroin head behavior.
[00:04:51.653 --> 00:04:55.296]  I'm not bashing on people that are on heroin, but people that revel in their heroin headness.
[00:04:56.236 --> 00:04:57.837]  It is, it is truly amazing.
[00:04:58.338 --> 00:04:59.018]  We'll be right back.
[00:04:59.058 --> 00:04:59.498]  Stay with us.
[00:04:59.538 --> 00:05:01.540]  Big insight into all the White House as well.
[00:05:03.852 --> 00:05:24.485]  I'm Millie Weaver and you're watching Flyover America, an InfoWars original series where we're going to be traveling around the United States talking to Flyover America, the people who feel like they have had their voices ignored by their government, by the mainstream media, and by the people on the coast.
[00:05:24.945 --> 00:05:30.169]  So we're going to be talking to the deplorables, finding out why they actually supported Trump,
