[00:00:08.900 --> 00:00:10.584]  Thursday, 27th.
[00:00:12.287 --> 00:00:17.016]  Live from the InfoWars.com studios, it's Alex Jones.
[00:00:17.778 --> 00:00:20.022]  How many times must I tell you?
[00:00:22.200 --> 00:00:31.327]  That we're going to defeat the globalists together by exposing the fact that they're an unelected, worldwide, totalitarian, crony-capitalist, organized crime system.
[00:00:32.468 --> 00:00:33.308]  You see it happening.
[00:00:33.328 --> 00:00:34.129]  They're in big trouble.
[00:00:35.250 --> 00:00:42.355]  They're saying we're going to politically destroy and financially destroy anybody that tries to lead a resistance against us.
[00:00:42.935 --> 00:00:44.696]  That way the elite just sit there in power.
[00:00:44.937 --> 00:00:46.037]  Everybody knows they're corrupt.
[00:00:46.057 --> 00:00:48.179]  Everybody knows they want us poor and dumbed down.
[00:00:48.199 --> 00:00:50.220]  Everybody knows they're a bunch of eugenicists.
[00:00:51.101 --> 00:00:58.323]  But they'll destroy anybody that tries to resist them or any nation that tries to break free of their octopus hydra grip.
[00:00:59.583 --> 00:01:08.246]  But history shows no amount of propaganda, no amount of intimidation will work once the general population is awakened and culturally focused against it.
[00:01:09.646 --> 00:01:12.827]  Wow, there is so much obviously that I'm going to get to today and then David Knight's coming in.
[00:01:13.996 --> 00:01:17.761]  I'll be back hosting the full show, Lord willing, this Sunday, 4 to 6 p.m.
[00:01:17.941 --> 00:01:27.954]  Of course, I'll be back in tomorrow, some as well, but I'm going through major trials and tribulations right now, as everyone knows, and they're only intensifying each week in the test.
[00:01:28.775 --> 00:01:30.798]  And the real test is, I don't blame God for any of this,
[00:01:31.298 --> 00:01:37.202]  This is just the nature of the world, the nature of fallen man, and also a lot of mistakes and things I've done.
[00:01:37.822 --> 00:01:44.646]  I'm far from perfect, but because I'm not here trying to sell people out or enslave humanity, I'm trying to empower humanity, and I do love God.
[00:01:45.146 --> 00:01:48.528]  The enemy and the world absolutely hates me, just as the Bible tells us.
[00:01:50.309 --> 00:01:58.374]  Ivanka Trump goes to a UN Women's Summit in Berlin, obviously yesterday, rubs elbows with Angela Merkel,
[00:01:59.776 --> 00:02:03.957]  And breaks with her father because it's a women's rights issue.
[00:02:04.017 --> 00:02:05.337]  She says, bring in refugees.
[00:02:05.877 --> 00:02:06.557]  Isn't that funny?
[00:02:06.637 --> 00:02:12.679]  For the women, 80% according to Interpol of the migrants are military age men.
[00:02:13.339 --> 00:02:16.940]  Close to 90% are of the male gender.
[00:02:18.420 --> 00:02:22.561]  So we're talking 11% or so that are women and children.
[00:02:22.841 --> 00:02:26.242]  But they always show you the women and children in the shots.
[00:02:26.282 --> 00:02:27.982]  They find those shots.
[00:02:29.226 --> 00:02:32.569]  So that you feel bad and you feel sorry and then you accept it.
[00:02:33.510 --> 00:02:36.553]  And then she can go on TV and say we need to let him in.
[00:02:38.475 --> 00:02:40.718]  So truly disgusting propaganda.
[00:02:41.659 --> 00:02:44.081]  And is it Trump playing good cop bad cop?
[00:02:45.963 --> 00:02:52.510]  He has tried to stop the seven nations where they don't vet anybody and they just give them fake passports like Somalia, Sudan and others.
[00:02:54.278 --> 00:02:58.840]  But now she's challenging the President, her own father, to change his policies.
[00:02:59.440 --> 00:03:00.781]  This is just ridiculous.
[00:03:00.821 --> 00:03:02.602]  We did not elect Ivanka Trump.
[00:03:04.203 --> 00:03:08.405]  We did not elect her Democratic Party husband, Jared Kushner.
[00:03:08.685 --> 00:03:19.310]  Oh, remember about two and a half, three weeks ago, we had Steve Pachetnik on, saying it was going to break soon in the news that Jared Kushner has been compromised by Communist China.
[00:03:21.191 --> 00:03:22.692]  And guess what was in the New York Times?
[00:03:23.871 --> 00:03:24.452]  Yesterday.
[00:03:24.472 --> 00:03:27.595]  Oh, fake news scoops you again.
[00:03:27.615 --> 00:03:28.476]  No, we're the real news.
[00:03:31.920 --> 00:03:38.769]  Bribe cases of Jared Kushner partner and potential conflicts with Communist China and so much more.
[00:03:39.944 --> 00:03:41.305]  Isn't that just special?
[00:03:42.406 --> 00:03:43.447]  So, there you go.
[00:03:43.507 --> 00:03:56.055]  That's why they hate us so much, because we can force this information out in the open, and it's come out now in the Daily Caller, it's up on Infowars.com, that Stephen Bannon called Jared Kushner a cuck and a globalist behind his back.
[00:03:56.116 --> 00:04:01.379]  Well, he certainly is a cuck for the establishment, and everything he touches goes bankrupt.
[00:04:02.080 --> 00:04:04.281]  He's a good-looking guy, we've never heard him talk.
[00:04:05.602 --> 00:04:07.504]  I mean, you know, you want to be in a man's game, sonny?
[00:04:08.124 --> 00:04:09.365]  Need to hear you talk a little bit.
[00:04:12.179 --> 00:04:15.541]  We hear your wife out there quite a bit, and what comes out of her mouth doesn't sound too good.
[00:04:16.701 --> 00:04:19.063]  What came out of her mouth sounded real good at the RNC.
[00:04:19.563 --> 00:04:26.486]  Now, that said, we're 100 days now into the Trump administration, and it's a love-hate relationship, personally.
[00:04:27.047 --> 00:04:27.927]  It's paradoxical.
[00:04:28.988 --> 00:04:38.493]  Just so good on the economy, so good on sovereignty, so good on TPP, so good on bringing jobs back, so good on moving for the border wall, moving to kill NAFTA and GATT.
[00:04:39.986 --> 00:04:46.173]  But more and more who he's bringing in, bad, bad, bad, bad, bad, like this big bad one when we come back.
[00:04:46.834 --> 00:04:55.264]  They're leveling their crosshairs for sure on whistleblowers, Julian Assange, Snowden and others, calling them foreign intelligence operatives.
[00:04:56.025 --> 00:04:59.369]  So you might as well have John McCain running the White House with that type of baloney.
[00:04:59.609 --> 00:05:00.090]  Stay with us.
[00:05:03.109 --> 00:05:05.631]  This is Owen Schroer for InfoWars.com.
[00:05:05.711 --> 00:05:08.033]  Listen to these headlines from just the last week.
[00:05:08.333 --> 00:05:11.836]  Four times in four days, Russian military aircraft fly off U.S.
[00:05:11.916 --> 00:05:13.537]  coast, some nuclear-capable.
[00:05:13.878 --> 00:05:14.118]  U.S.
[00:05:14.158 --> 00:05:16.240]  sends nuclear sniffer plane to Korea.
[00:05:16.460 --> 00:05:22.184]  China tests missile on deadly new destroyer ship near North Korea as it warns it's getting troops battle-ready.
[00:05:22.504 --> 00:05:22.765]  U.S.
[00:05:22.825 --> 00:05:26.808]  preparing to evacuate 230,000 Americans from South Korea.
[00:05:27.068 --> 00:05:28.029]  Washington, D.C.
[00:05:28.049 --> 00:05:30.511]  to hold massive coordinated terror attack drill.
[00:05:30.751 --> 00:05:33.212]  Feds prepare for nuclear attack in New Jersey.
[00:05:33.412 --> 00:05:37.013]  North Korea flexes muscle in unprecedented live fire drill.
[00:05:37.273 --> 00:05:37.673]  D.C.
[00:05:37.773 --> 00:05:41.114]  area first responders prepare for a complex terror attack.
[00:05:41.514 --> 00:05:41.774]  U.S.
[00:05:41.854 --> 00:05:45.375]  Navy fires warning flare at Iran vessel in Persian Gulf.
[00:05:45.635 --> 00:05:48.616]  Air Force launches test missile off California coast.
[00:05:49.036 --> 00:05:49.896]  Entire U.S.
[00:05:49.956 --> 00:05:52.617]  Senate called for meeting on North Korea briefing.
[00:05:52.877 --> 00:05:57.698]  And now, NBC News is telling its audience what to do in case of a nuclear attack.
[00:05:57.918 --> 00:06:00.020]  Will this cold world war ever go hot?
[00:06:00.181 --> 00:06:02.403]  Stay informed at InfoWars.com.
[00:06:13.015 --> 00:06:28.889]  Attackers on every level now with the YouTube scandal they're demonetizing our channels which again takes a huge chunk out of our income which is why we always appreciate and rely on you getting the products because that's how we stay afloat.
[00:06:29.569 --> 00:06:31.191]  They can't get to us that way.
[00:06:31.571 --> 00:06:34.393]  They can't pressure you to not buy the products.
[00:06:34.413 --> 00:06:35.414]  They don't have that power.
[00:06:35.874 --> 00:06:38.396]  And that's why you're the key to this entire operation.
[00:06:38.757 --> 00:06:41.159]  We have Super Blue Fluoride Free Toothpaste.
[00:06:41.599 --> 00:06:44.441]  Bubblegum flavor just arrived at Infowarsstore.com.
[00:06:44.461 --> 00:06:46.103]  This is by listener request.
[00:06:46.343 --> 00:06:51.587]  Bubblegum flavored Super Blue Toothpaste now available at Infowarsstore.com in limited supply.
[00:06:51.607 --> 00:06:52.188]  Again,
[00:06:52.928 --> 00:06:58.674]  If you're not using fluoride-free toothpaste by now, you're absolutely insane.
[00:06:59.094 --> 00:07:03.399]  Harvard studies, it reduces IQ, it causes bone cancer.
[00:07:03.979 --> 00:07:07.683]  It's not great, let's just put it that way, and I've been using it for about, what, 15 years now?
[00:07:09.865 --> 00:07:12.587]  So, you're gonna buy it anyway, why not buy it from us?
[00:07:12.607 --> 00:07:31.000]  It's in limited supply, but it is available at InfoWarsStore.com with the new bubblegum flavor, super blue, fluoride-free toothpaste, and it supports this network which is under constant demonization and attack because we don't take big fat checks from George Soros.
[00:07:31.340 --> 00:07:34.161]  We don't get put on extremist list even though they want us to.
[00:07:34.201 --> 00:07:36.222]  That's how they're taking away the YouTube money.
[00:07:36.582 --> 00:07:38.583]  That's why we need your support more than ever.
[00:07:39.043 --> 00:07:50.447]  Because we're not funded by giant corporations who are now pulling the plug on YouTube as they move it into a TV thing, a Netflix model, to drown out independent voices.
[00:07:50.667 --> 00:07:53.769]  So support us by getting the products at infowarsstore.com.
[00:08:18.126 --> 00:08:23.148]  From the front lines of the Information War, it's Alex Jones.
[00:08:23.748 --> 00:08:25.629]  Out of my way!
[00:08:28.830 --> 00:08:30.130]  Out of my way, Satan!
[00:08:30.351 --> 00:08:31.031]  Get behind me!
[00:08:32.471 --> 00:08:34.612]  I'm not strong, but God's strong.
[00:08:35.693 --> 00:08:43.215]  When I come into the presence of God, when I got on my knees this morning for about 15 minutes, I could just feel how fallen I was in my separation from God.
[00:08:44.556 --> 00:08:47.257]  And then, I could feel God come closer.
[00:08:48.567 --> 00:08:50.308]  And I could feel the Spirit rise in me.
[00:08:51.709 --> 00:08:59.515]  And quite frankly, it makes you be ashamed of yourself, but you are so close to God, it's just you know how real it is, and how you want to be purified and sanctified.
[00:08:59.535 --> 00:09:16.528]  You know, the Holy Spirit comes on me when I'm never expecting it, and it's so strong, but it's whenever you purposely get on your knees and pray at a set time, it's good to do because you realize how worldly you are, and how you were in the world, and how you were so much more fallen, like someone down deep in black water.
[00:09:17.438 --> 00:09:22.660]  But as you begin to swim up towards the surface, you break out and then there's the sun.
[00:09:22.680 --> 00:09:37.787]  You're not like God, you're not pure like God, you're not holy like God, but now you're in the atmosphere of God and you can see the edge, the light, the archetype of God.
[00:09:37.807 --> 00:09:40.368]  It's an amazing time to be alive.
[00:09:41.629 --> 00:09:44.410]  Evil is rising because liberty is rising.
[00:09:45.230 --> 00:09:45.931]  The great test!
[00:09:47.469 --> 00:09:56.793]  The trials and tribulations that we're always facing are now going to intensify because the energetic level of the planet is rising.
[00:09:57.813 --> 00:10:06.957]  And the enemy is moving against humanity on every front, but God is working through you and so many others in the face of this flood of corruption.
[00:10:07.902 --> 00:10:15.366]  Forget the exact area of the Bible, maybe we can search engine it, but when the enemy comes in like a flood, the Spirit of the Lord will lift up a standard against it.
[00:10:16.246 --> 00:10:17.527]  Everything is part of God's plan.
[00:10:17.807 --> 00:10:19.248]  The Lord works in mysterious ways.
[00:10:21.068 --> 00:10:32.214]  And you see the enemy taking everything we say out of context, twisting it, turning the fact that I'm truthful against me, using their worldly systems for control.
[00:10:33.985 --> 00:10:35.988]  But then you have to really pity people like that.
[00:10:37.169 --> 00:10:42.917]  Isaiah, so shall they fear the name of the Lord from the west and his glory from the rising of the sun.
[00:10:43.819 --> 00:10:48.065]  When the enemy shall come in like a flood, the spirit of the Lord shall lift up a standard against them.
[00:10:49.989 --> 00:10:52.233]  All right, let me just hit some of the basics that's coming up today.
[00:10:52.273 --> 00:10:59.444]  David Knight's gonna be here, and then I get to go enjoy my trials and tribulations and my family's trials and tribulations.
[00:11:00.485 --> 00:11:04.011]  And then I should be back Sunday, maybe even tomorrow, here in studio.
[00:11:04.372 --> 00:11:05.333]  We'll see, ladies and gentlemen.
[00:11:10.230 --> 00:11:10.550]  It's wonderful.
[00:11:34.557 --> 00:11:42.600]  Kind of wears off on each other, but we've got to just always remember that we're focused, we're moving forward, and we're going to keep the bullets going politically down field.
[00:11:44.761 --> 00:11:45.781]  Let me hit this first.
[00:11:46.762 --> 00:11:53.725]  We started hearing rumblings the last month that the new CIA director and the new Attorney General were going to make their big focus leaks.
[00:11:54.765 --> 00:11:59.507]  Now the President has said leaks in the White House, leaks in Congress, leaks in the intelligence agencies.
[00:12:01.004 --> 00:12:03.245]  People leaking on his meetings every day.
[00:12:03.886 --> 00:12:06.047]  Oh, Jared Kushner's not going to get in trouble.
[00:12:06.307 --> 00:12:06.988]  We've confirmed.
[00:12:07.008 --> 00:12:08.508]  We've got the copies of the text messages.
[00:12:09.109 --> 00:12:09.969]  Oh, yeah, we've got them all.
[00:12:09.989 --> 00:12:15.332]  That's why they didn't deny it when it all came out a few weeks ago with Roger Stone.
[00:12:17.013 --> 00:12:18.775]  Mr. Fake News is not Mr. Fake News.
[00:12:19.175 --> 00:12:20.976]  The media immediately went, oh, my God, it's true.
[00:12:21.016 --> 00:12:27.680]  And then you saw all the backpedaling where Kushner and others are leaking like a sieve.
[00:12:29.221 --> 00:12:34.602]  Bannon will not even talk to anybody, including Breitbart, because he won't be accused of leaking.
[00:12:36.862 --> 00:12:37.782]  So he won't even talk to people.
[00:12:37.803 --> 00:12:41.483]  He's completely isolated because he's doing what Trump says.
[00:12:42.423 --> 00:12:54.585]  So, imagine with the pedophile rings getting rounded up, and the borders getting secured, and the first hundred days, a lot of good economic things that are happening, a lot of amazing things like TPP getting killed.
[00:12:54.905 --> 00:12:56.186]  Trump is an American president.
[00:12:56.226 --> 00:12:57.726]  He is actually acting as president.
[00:12:59.025 --> 00:13:02.207]  Doing some things I don't like, doing a lot of things I love, but he's being the president.
[00:13:02.227 --> 00:13:03.628]  So that's the big positive.
[00:13:03.648 --> 00:13:08.392]  And there's a lot of great positive things in the first hundred days that take hours to go over.
[00:13:08.752 --> 00:13:10.713]  Most of you can probably think of more than I can.
[00:13:10.773 --> 00:13:12.414]  But look at these headlines now.
[00:13:12.494 --> 00:13:14.256]  This is bad.
[00:13:15.857 --> 00:13:24.463]  If they were prosecuting the leakers in the government with the hack that happened a few years ago, with the OPM hack,
[00:13:25.472 --> 00:13:35.760]  Where you've had 14 to 20 million names of secret agents and government people and their social security numbers and their phone numbers and their associates and their connections all leaked.
[00:13:37.061 --> 00:13:39.183]  Nobody got in trouble, nobody lost their job.
[00:13:40.684 --> 00:13:44.307]  Biggest devastating blow to our security in our history probably.
[00:13:45.808 --> 00:13:47.690]  And there's been so many other big events like that.
[00:13:50.600 --> 00:13:53.381]  Inside the cyber attack that shocked the U.S.
[00:13:53.401 --> 00:13:53.741]  government.
[00:13:54.402 --> 00:13:55.322]  Well, nothing ever happened.
[00:13:56.863 --> 00:13:58.784]  Here we are like three years later, two and a half years later.
[00:13:59.364 --> 00:14:07.107]  So, you've got all this leaking of sellouts to the Communist China, all the Clintons in bed with the Russians and Chinese, up to their eyeballs.
[00:14:09.328 --> 00:14:11.069]  And then, Snowden
[00:14:12.239 --> 00:14:33.528]  And Assange that have exposed targeted corruption that whistleblowers have put out that needs to be exposed, that's criminal activity against the American people, the DNC rigging the election, trying to steal it, rigging the questions, all the things they did, let's keep America poor, let's keep them in the dark, all those incredible revelations of just how bonafide evil they are.
[00:14:36.104 --> 00:14:39.205]  And now the Democratic Party's running the entire MSM every day.
[00:14:39.265 --> 00:14:42.486]  Running Google, banning Libertarian Patriot News.
[00:14:43.126 --> 00:14:43.927]  All of it proof.
[00:14:45.047 --> 00:14:46.067]  Huge victories we had.
[00:14:46.467 --> 00:14:47.568]  None of that's even in the news.
[00:14:47.788 --> 00:14:51.689]  And all we hear from Trump is, stop these leaks.
[00:14:51.709 --> 00:14:53.010]  They go, oh yes sir, we will.
[00:14:53.670 --> 00:14:55.110]  Well sir, you said stop the leaks.
[00:14:55.951 --> 00:14:57.251]  And I know this isn't Trump.
[00:14:57.971 --> 00:14:58.832]  This is him delegating.
[00:14:59.532 --> 00:15:01.492]  I can barely run an office here with 60-something crew members.
[00:15:02.113 --> 00:15:02.773]  They're great people.
[00:15:03.652 --> 00:15:05.394]  You get a few traders in there, a few moles.
[00:15:05.654 --> 00:15:09.678]  We've had a couple moles in here over the years, and they almost ran the ship aground.
[00:15:09.918 --> 00:15:10.318]  They tried.
[00:15:10.338 --> 00:15:15.763]  By the grace of God, we discovered them right as they were, you know, basically involved in the sabotage.
[00:15:16.704 --> 00:15:24.551]  And can you imagine Trump with 4,000 people under him and all the other interlocking agencies and a million-plus employees that plug into that?
[00:15:24.671 --> 00:15:25.752]  It is crazy.
[00:15:29.434 --> 00:15:36.921]  You've got the Vault 7 stuff coming out, all the illegal hacking and everything, that proves that Trump's being illegally spied on and being framed.
[00:15:38.382 --> 00:15:39.443]  So people in the U.S.
[00:15:39.463 --> 00:15:40.864]  government are leaking the WikiLeaks.
[00:15:43.726 --> 00:15:46.269]  He was high-level contractor, been the CIA, you name it, Snowden.
[00:15:47.683 --> 00:15:50.124]  All of that's happening to back up what Trump's saying.
[00:15:50.545 --> 00:15:51.545]  Putting him in office.
[00:15:52.145 --> 00:15:53.226]  Exposing the deep state.
[00:15:53.446 --> 00:15:55.067]  The deep state's trying to sabotage Trump.
[00:15:55.147 --> 00:15:55.987]  He said that himself.
[00:15:56.328 --> 00:15:57.168]  So has Spicer.
[00:15:57.748 --> 00:15:58.369]  John Spicer.
[00:15:59.009 --> 00:15:59.689]  The press secretary.
[00:16:00.050 --> 00:16:03.351]  They've all said, yes, we're battling deep state.
[00:16:03.391 --> 00:16:07.914]  And here's all the intel proving that and trying to save the country.
[00:16:08.194 --> 00:16:15.758]  And now the CIA director says the WikiLeaks is a hostile intelligence service.
[00:16:18.018 --> 00:16:18.318]  Wow!
[00:16:19.219 --> 00:16:22.442]  Our own patriots are giving 90% of the intel to Wikileaks.
[00:16:22.482 --> 00:16:23.023]  That's admitted.
[00:16:23.543 --> 00:16:27.066]  And he says that CIA chief blasts Wikileaks once praised by Trump.
[00:16:27.387 --> 00:16:28.287]  That's USA Today.
[00:16:29.108 --> 00:16:30.389]  Candidate Trump, I love Wikileaks.
[00:16:30.429 --> 00:16:31.911]  President Trump arrests Assange.
[00:16:32.351 --> 00:16:32.812]  Ron Paul.
[00:16:33.452 --> 00:16:34.873]  It's all up on InfoWars.com.
[00:16:38.377 --> 00:16:38.557]  So...
[00:16:40.580 --> 00:16:44.984]  Trump always talks about how he's loyal and how he, you know, all the rest of this stuff.
[00:16:45.464 --> 00:16:50.129]  And these people went out on a total limb to do all this and they're being thrown to the wolves.
[00:16:51.270 --> 00:16:54.913]  You add the cherry on top of Ivanka Trump.
[00:16:58.260 --> 00:17:01.743]  Go to the Women's Conference with Merkel and say we need to bring more refugees in.
[00:17:01.803 --> 00:17:16.015]  It's for the women when it's 80% military-age men, 89% men gender-wise, 11% women, and it's giant rape gangs all over, running people over with cars in every major country multiple times a year, shooting people every week.
[00:17:16.095 --> 00:17:17.076]  They won't even call it terror.
[00:17:17.336 --> 00:17:19.759]  And then she sits up there and says, I disagree with my father.
[00:17:20.019 --> 00:17:21.280]  He needs to change his position.
[00:17:21.660 --> 00:17:24.643]  Wow, Ivanka, we didn't elect you, sweetheart.
[00:17:28.061 --> 00:17:28.961]  Is it intimidation?
[00:17:29.041 --> 00:17:29.982]  Is it because they're liberals?
[00:17:30.042 --> 00:17:32.023]  Is it because they want to go to the coolest trendy restaurants?
[00:17:32.203 --> 00:17:32.643]  I don't know.
[00:17:32.723 --> 00:17:35.344]  But it's betrayal after betrayal.
[00:17:35.384 --> 00:17:36.144]  And it's a paradox.
[00:17:36.365 --> 00:17:38.706]  Because Trump's doing all this great stuff and I'm glad Hillary isn't in.
[00:17:39.626 --> 00:17:40.906]  And he is being the American president.
[00:17:41.247 --> 00:17:42.247]  And the globalists still hate him.
[00:17:42.567 --> 00:17:44.248]  But what is his family thinking?
[00:17:45.362 --> 00:17:48.823]  And it's family taking advantage of Trump, bare minimum.
[00:17:49.203 --> 00:18:04.507]  But it doesn't matter, because even if he's a good guy or a bad guy or whatever it is, it's dereliction of duty to let his daughter run around and countervail everything we've built, our sovereignty, what we've done, and to side with the UN and the globalists that are trying to destroy her father and this country.
[00:18:06.254 --> 00:18:08.636]  And then we told you two and a half weeks ago, was it three weeks ago?
[00:18:08.656 --> 00:18:09.857]  We can put it on screen.
[00:18:10.597 --> 00:18:12.819]  We had former high-level CIA, you name it.
[00:18:13.239 --> 00:18:20.184]  That's all classified regime change expert, Dr. Steve Pucinich, saying it's going to come out that Kushner's run by the Communist Chinese.
[00:18:20.204 --> 00:18:23.126]  That was April 10th, so three weeks ago.
[00:18:24.607 --> 00:18:30.351]  Bribe cases of Jared Kushner, partner, and potential conflicts, New York Times, getting into all of that yesterday.
[00:18:30.391 --> 00:18:34.414]  So there we are, giving you all that intel, way ahead of it being mainstream news.
[00:18:36.226 --> 00:18:37.367]  So it's simply amazing.
[00:18:37.947 --> 00:18:44.029]  Meanwhile, Paramount's new chief revives a China deal where they begin the takeover of Paramount.
[00:18:44.049 --> 00:18:46.230]  They're trying to buy up all six right now.
[00:18:46.270 --> 00:18:47.991]  Look at DrudgeReport.com.
[00:18:48.051 --> 00:18:51.393]  Kim puts White House in crosshairs, threatens to blow it up.
[00:18:52.173 --> 00:18:53.794]  Just look at government worship.
[00:18:53.814 --> 00:19:01.059]  Just look at the cult of government worship and how Venezuela is starving to death and Brazil has the natives shooting arrows.
[00:19:01.079 --> 00:19:02.059]  I want to play that when we come back.
[00:19:02.379 --> 00:19:09.604]  Shooting arrows, you know, at the parliament building because they won't even let the natives into the parliament to be represented in their tribal lands.
[00:19:09.984 --> 00:19:13.886]  And just all the craziness that's going on.
[00:19:15.147 --> 00:19:17.449]  Historic tax cuts to put USA back to work.
[00:19:18.329 --> 00:19:19.170]  That's some good news.
[00:19:19.190 --> 00:19:20.771]  Trump is trying to fulfill that promise.
[00:19:21.994 --> 00:19:26.178]  Austrian press, all women must wear headscarves to fight Islamophobia.
[00:19:26.418 --> 00:19:27.098]  See what I told you?
[00:19:27.419 --> 00:19:33.063]  They're gonna make everyone submit to Islam to stop making them get mad at us.
[00:19:33.103 --> 00:19:36.546]  I've been saying that for five, six years, and now they're actually doing it.
[00:19:36.626 --> 00:19:37.427]  That's the plan.
[00:19:38.528 --> 00:19:42.611]  You go to the liberal women's marches funded by Soros, half the women are wearing hijabs.
[00:19:42.671 --> 00:19:45.474]  It's like a little rebellious, you know, cuckold thing they do.
[00:19:47.785 --> 00:19:48.045]  Wow!
[00:19:48.726 --> 00:19:54.990]  We're gonna come back and get into where I see all this going for one more segment and then David Knight's coming in.
[00:19:55.530 --> 00:19:57.092]  We've got so much to cover today.
[00:19:57.112 --> 00:19:59.533]  Infowarriors.com forward slash show.
[00:19:59.934 --> 00:20:04.657]  The enemy hates the broadcast because we are telling the truth and we bring our fellow Infowarriors.
[00:20:05.097 --> 00:20:11.699]  Across the United States and across the planet, really love the Hillary for Prison 2016 shirts that we began to put out in 2015.
[00:20:12.679 --> 00:20:21.481]  It became a global meme against globalism and corruption, and a very strong maxim that's now being continued on today.
