[00:00:18.700 --> 00:00:20.320]  Welcome to the Infowars Nightly News.
[00:00:20.420 --> 00:00:21.081]  I'm David Knight.
[00:00:21.141 --> 00:00:22.561]  It's Wednesday, February the 8th, 2017.
[00:00:22.821 --> 00:00:25.262]  Here are our top stories.
[00:00:28.063 --> 00:00:37.485]  Tonight, the EU is unraveling as nationalist candidates are rising in popularity and Greek debt is spiraling out of control.
[00:00:38.166 --> 00:00:46.628]  Meanwhile, violence continues to spread in Europe as more sexual abuse is reported, this time by asylum seekers in Germany and France.
[00:00:56.858 --> 00:01:06.600]  Also, the mainstream media continues to ignore crimes being done in Haiti as prosecutors further a case against the new Haitian president, a Clinton stooge.
[00:01:07.001 --> 00:01:16.403]  And then, campuses all over the nation are openly calling themselves sanctuary campuses in a public stand against President Trump's new immigration policies.
[00:01:16.863 --> 00:01:20.304]  All that and more tonight on the InfoWars Nightly News.
[00:01:30.346 --> 00:01:36.951]  In case you haven't heard, InfoWars has become the most influential media outlet in America.
[00:01:37.071 --> 00:01:44.718]  We're making freedom go viral, and now we are proud to announce a new weapon in the epic battle against the globalists.
[00:01:45.038 --> 00:01:55.747]  InfoWars Prime, where you can watch live, high-definition feeds of the Alex Jones Show, plus exclusive insider videos from the InfoWars crew and behind-the-scenes
[00:01:56.007 --> 00:01:56.387]  Action!
[00:01:56.427 --> 00:02:00.388]  Go to InfoWars.com forward slash app and download today.
[00:02:00.668 --> 00:02:04.870]  InfoWars Prime is available right now for your iPhone or Android.
[00:02:04.990 --> 00:02:09.511]  You will have access to exclusive videos that you can't see anywhere else.
[00:02:09.891 --> 00:02:15.173]  That means live coverage of events and breaking news on location as it happens.
[00:02:15.433 --> 00:02:22.343]  You can also take advantage of amazing deals from the InfoWars store that are only available for InfoWars Prime subscribers.
[00:02:22.503 --> 00:02:26.589]  That's InfoWars Prime at InfoWars.com forward slash app.
[00:02:26.850 --> 00:02:29.493]  If you can hear my voice, you are the resistance.
[00:03:01.903 --> 00:03:03.583]  Well, France is about to have an election.
[00:03:04.063 --> 00:03:08.244]  And as we see in the campaign, we had Marine Le Pen characterize it this way.
[00:03:08.284 --> 00:03:11.545]  She said, this election is about a choice of civilizations.
[00:03:11.625 --> 00:03:13.225]  We are at a crossroads.
[00:03:13.245 --> 00:03:19.947]  She said, the division is no longer between the right and the left, but between patriot and globalist.
[00:03:20.487 --> 00:03:21.427]  And that is exactly right.
[00:03:21.467 --> 00:03:31.469]  As some people in Germany have called it, it is a decision, when we look at these open borders, these mass migrations that are being encouraged by the globalist, it is a great people replacement.
[00:03:32.009 --> 00:03:38.212]  So do the people who are in these areas want to retain their culture, retain their sovereignty, or are they going to be replaced?
[00:03:38.812 --> 00:03:43.894]  And of course, one of the reasons that the globalists want to do that is because they want a soft kill.
[00:03:43.914 --> 00:03:49.416]  They're going to move to a situation where all the population is going to be heavily controlled, heavily concentrated.
[00:03:49.716 --> 00:03:51.777]  They're going to have automation replace the jobs.
[00:03:51.797 --> 00:03:55.698]  They won't really need us because they won't need slave labor in third world countries.
[00:03:55.719 --> 00:03:57.819]  They won't even need slave labor in our country.
[00:03:57.859 --> 00:03:59.180]  They'll have robots.
[00:03:59.540 --> 00:04:04.661]  to replace this, and of course the term robot originally meant slave, that's where the robot came from, it was a Slavic name.
[00:04:05.381 --> 00:04:14.883]  But they want to be able to divide and conquer the peoples in the areas in the West, in Europe and in America, the people that could mount an opposition to the globalist takeover.
[00:04:15.443 --> 00:04:28.245]  So when we look at the Davos man, these people who talk about the fact that they have no allegiance, no affinity for any nation, they see themselves as globalists who are above and beyond ordinary people, they want to have a soft kill.
[00:04:29.105 --> 00:04:34.389]  And the way that they can do that is to have a divide-and-conquer, a kind of Tower of Babel situation.
[00:04:34.409 --> 00:04:36.930]  Now this is the way the French presidential candidate described it.
[00:04:37.050 --> 00:04:44.836]  She said she blasted globalization, Islamic fundamentalism in her closing speech Sunday on a two-day national front party conference.
[00:04:45.216 --> 00:04:50.960]  She called Islam and globalism two totalitarianisms.
[00:04:51.540 --> 00:04:53.341]  And that is precisely what they are.
[00:04:53.401 --> 00:04:58.465]  We have to understand that they're two totalitarianisms, but they're working together in the same goal.
[00:04:59.085 --> 00:05:01.407]  You see, one is a tool of the other.
[00:05:01.908 --> 00:05:03.049]  That's the way Islam is being used.
[00:05:03.069 --> 00:05:04.770]  She said, we're at a crossroads.
[00:05:04.891 --> 00:05:06.913]  She said, I have three children.
[00:05:07.813 --> 00:05:08.594]  They're young citizens.
[00:05:08.634 --> 00:05:13.479]  Will your young children have the rights and the cultures of our current generation?
[00:05:13.759 --> 00:05:16.241]  Will they even speak the French language?
[00:05:16.702 --> 00:05:23.969]  She unveiled 144 commitments and an agenda that envisions a France that is unshackled from the European Union and from NATO.
[00:05:24.529 --> 00:05:31.894]  And that ensures work, health care, and other services for its own citizens along with drastically reduced immigration.
[00:05:32.494 --> 00:05:40.240]  She told the crowd that globalization is erasing France and that Islamic fundamentalism is planting itself in neighborhoods and in vulnerable minds.
[00:05:40.260 --> 00:05:44.342]  We're going to give you an example of this as she's doing this campaign speech.
[00:05:44.783 --> 00:05:50.026]  There are another massive riots that are happening in Paris that recall riots of 12 years ago in 2005.
[00:05:50.066 --> 00:05:52.168]  So we're going to tell you about that in just a moment.
[00:05:52.468 --> 00:05:53.969]  She said when you arrive in a country
