[00:00:05.826 --> 00:00:06.787]  You want answers?
[00:00:07.247 --> 00:00:08.327]  Well, so does he.
[00:00:08.988 --> 00:00:17.072]  It's Alex Jones.
[00:00:17.352 --> 00:00:20.794]  Welcome to the Alex Jones Show on this Monday, May 22nd, 2017.
[00:00:21.134 --> 00:00:22.795]  I'm David Knight.
[00:00:22.835 --> 00:00:26.056]  I'll be your host today, but we have a lot of reports from Alex.
[00:00:26.096 --> 00:00:28.918]  We have Roger Stone joining us with an update about the
[00:00:29.818 --> 00:00:33.299]  Let's call it the Russian Red Herring Conspiracy Theory.
[00:00:33.319 --> 00:00:36.960]  The favorite conspiracy theory of the Democrat Party.
[00:00:36.980 --> 00:00:44.401]  I want to break down, as part of this broadcast, a little bit about James Comey, who the Democrats hated.
[00:00:44.461 --> 00:00:47.982]  Remember, they all cheered and surprised Colbert.
[00:00:48.002 --> 00:00:50.403]  Stephen Colbert told them Trump's just fired Comey.
[00:00:50.443 --> 00:00:51.603]  And they all started cheering.
[00:00:51.663 --> 00:00:52.903]  And he's like, oh, wait a minute.
[00:00:53.384 --> 00:00:55.444]  You have to kind of bring them around.
[00:00:55.524 --> 00:00:58.985]  Get them to realize that, no, it's a bad thing because Trump did it.
[00:00:59.665 --> 00:01:00.566]  They liked it before.
[00:01:01.428 --> 00:01:10.039]  Before the election, we had stories from Politico, and they were absolutely right that Comey wanted to be another J. Edgar Hoover.
[00:01:10.440 --> 00:01:11.561]  He was a J. Edgar wannabe.
[00:01:11.962 --> 00:01:13.904]  But now he's their J. Edgar homie.
[00:01:14.773 --> 00:01:16.715]  Because they love everything this guy does.
[00:01:16.775 --> 00:01:21.260]  Because there's a conflict that they've manufactured here between him and Trump.
[00:01:21.280 --> 00:01:22.561]  So we're going to talk a bit about that.
[00:01:22.581 --> 00:01:26.365]  We're also going to talk about, of course, the trip that is happening right now.
[00:01:26.826 --> 00:01:32.832]  Talked about this a little bit on Friday in terms of the fact that the Saudis have most graciously
[00:01:33.553 --> 00:01:43.835]  Given us $40 billion to use to fix some of our roads out of the trillion dollars that we need to fix our crumbling infrastructure because we've been blowing up the infrastructure of other countries who are enemies of the Saudis.
[00:01:43.895 --> 00:01:46.136]  And of course you can see that realignment happening right now.
[00:01:46.736 --> 00:01:48.877]  Both the Saudis and the Israelis don't like Iran.
[00:01:48.897 --> 00:01:49.677]  They're the boogeyman.
[00:01:49.717 --> 00:01:52.497]  So now we're realigning to go after Iran.
[00:01:52.778 --> 00:01:54.358]  Hey, and I'm not defending Iran.
[00:01:54.378 --> 00:01:57.959]  I don't think that Iran is a great regime either.
[00:01:58.179 --> 00:02:00.499]  You know, the problem is there's not any good guys over there.
[00:02:00.519 --> 00:02:02.600]  But I think this trip really reminds us
[00:02:03.894 --> 00:02:27.030]  If anything, we've got some pretty bad photo ops coming out, and I think when Roger Stone, and he's going to be in the broadcast later today, talking about a secret deposition of somebody, they really are digging, going back, trying to find a CIA employee that goes back to the days of Boris Yeltsin, when they were trying to encourage an opening of Russia.
[00:02:27.070 --> 00:02:30.433]  But they're really digging, and so Roger Stone is going to break that down for us today.
[00:02:32.614 --> 00:02:35.178]  We're also going to have interviews from Daniel Estelin and others.
[00:02:35.238 --> 00:02:42.108]  But when we go back and we look at this, I think a lot of this trip, we saw Henry Kissinger come in and meet with Donald Trump.
[00:02:42.148 --> 00:02:46.354]  I think he was telling him, you know, the best way, Mr. President, to get out of this is to take a trip.
[00:02:47.165 --> 00:02:48.085]  And of course, where would you go?
[00:02:48.346 --> 00:02:50.387]  First place you would want to go is Saudi Arabia.
[00:02:50.427 --> 00:02:55.429]  The people who, according to the government's official conspiracy theory of 9-11, were the ones who took down the tower.
[00:02:55.669 --> 00:02:59.191]  And they protected them, redacted that information, said you can't sue these guys.
[00:02:59.251 --> 00:03:01.292]  And so now we're going over there and we're getting awards from them.
[00:03:01.572 --> 00:03:02.793]  It's a very bad photo op.
[00:03:02.833 --> 00:03:09.636]  And I think when Roger Stone said, it makes me want to puke when I see Donald Trump bending over and getting an award.
[00:03:10.036 --> 00:03:11.157]  And so there's been this back and forth.
[00:03:11.177 --> 00:03:11.837]  Did he bow?
[00:03:11.857 --> 00:03:12.698]  Did he curtsy?
[00:03:12.758 --> 00:03:13.098]  Whatever.
[00:03:14.158 --> 00:03:15.039]  The bottom line is,
[00:03:15.942 --> 00:03:18.044]  That we are doing whatever they want.
[00:03:18.064 --> 00:03:23.208]  You want to talk about NATO and the spending that we're doing on their behalf to defend them?
[00:03:23.248 --> 00:03:27.051]  What about the spending that we're doing for Saudi Arabia on their behalf?
[00:03:27.091 --> 00:03:33.255]  And of course what they're talking about as well is a kind of Arab NATO, where I guess we get screwed even more.
[00:03:33.996 --> 00:03:35.117]  Just like we do with the regular NATO.
[00:03:35.137 --> 00:03:35.878]  That's not bad enough.
[00:03:35.938 --> 00:03:37.280]  Now we've got to create an Arab NATO.
[00:03:37.560 --> 00:03:39.943]  We've got to create a global center to fight terrorism.
[00:03:39.963 --> 00:03:43.387]  And ironically, they're going to do it, I guess, in the center of Saudi Arabia.
[00:03:43.407 --> 00:03:46.471]  Because that's what the Orb photo op that everybody's laughing about.
[00:03:46.511 --> 00:03:51.296]  So I think it's a very bad idea unless you want to get people's minds off of
[00:03:52.037 --> 00:03:57.561]  The Russian Conspiracy Theory and point out to them who really influences our elections.
[00:03:58.121 --> 00:04:00.202]  The Israelis and the Saudis.
[00:04:00.302 --> 00:04:02.764]  They're the real foreign powers behind our elections.
[00:04:03.424 --> 00:04:06.666]  So we're going to talk about a little bit of the Saudis today.
[00:04:07.287 --> 00:04:10.709]  And we're going to show you a little bit of background on them as well.
[00:04:11.169 --> 00:04:20.996]  But we also have Alex Jones is going to be breaking down the Kober Chobani Yogurt parodies that were done at the end of the week this last week.
[00:04:21.656 --> 00:04:23.497]  He dissects that bit by bit.
[00:04:23.537 --> 00:04:24.978]  We're going to play that at the bottom of the hour.
[00:04:25.018 --> 00:04:27.099]  We're going to have Roger Stone joining us in the third hour.
[00:04:27.519 --> 00:04:33.003]  Daniel Estelin is going to be joining us about his latest book on Bilderberg, because that's about to come up again.
[00:04:33.043 --> 00:04:36.625]  I'm sorry, not a book, but a movie, a documentary that he's done.
[00:04:37.245 --> 00:04:40.109]  And Dr. Jerome Corsi is going to join us from Washington.
[00:04:40.970 --> 00:04:43.514]  He is in the White House press briefing room.
