[00:00:00.009 --> 00:00:00.790]  Total fact.
[00:00:00.890 --> 00:00:04.373]  The next generation would be justified in looking back at us and asking, what were you thinking?
[00:00:04.413 --> 00:00:05.714]  Couldn't you hear what the scientists were saying?
[00:00:05.734 --> 00:00:07.975]  Couldn't you hear what Mother Nature was screaming at you?
[00:00:08.176 --> 00:00:13.260]  But studies by scientists, astrophysicists, you name it, prove humans don't even affect 1% of it.
[00:00:13.560 --> 00:00:18.824]  And Al Gore and his global corporate carbon taxes are absolutely not the solution to save us.
[00:00:19.565 --> 00:00:25.670]  From Paramount Classics comes a film that has shocked audiences everywhere they've seen it.
[00:00:32.449 --> 00:00:33.290]  I am Al Gore.
[00:00:33.310 --> 00:00:35.534]  I used to be the next president of the United States.
[00:00:37.310 --> 00:00:41.413]  In 2006, Al Gore put out the film An Inconvenient Truth.
[00:00:42.133 --> 00:00:48.978]  Now in 2017, An Inconvenient Truth Part 2 is set to hit screens across the world.
[00:00:49.699 --> 00:00:55.623]  We are about to fully debunk his previous film and, of course, his current film.
[00:00:55.923 --> 00:01:01.247]  And we've also gotten a synopsis, a spoiler sneak peek, of what's in the film.
[00:01:01.307 --> 00:01:03.649]  And, of course, we have the trailer here for review.
[00:01:04.389 --> 00:01:22.029]  An Inconvenient Load of Manure Part 2 by Mr. Gore sets him up as the savior of the world and someone who is on a pedestal above the people who must be listened to like he is Jesus Christ or Moses speaking from the mountaintop.
[00:01:22.509 --> 00:01:36.812]  Throughout the new sequel, we are treated to fawning minions literally holding his hand and crying in joy that they have met the Christ-like figure, the archetypal savior of the world.
[00:01:37.292 --> 00:01:50.514]  The film begins as our guru, Al Gore, leads us through what's happening in the world and his attempts to save it, and how the evil antichrist, Donald Trump, has come to overheat the planet and kill us all.
[00:01:51.562 --> 00:01:54.985]  It's supposed to be 70 degrees today, it's freezing here!
[00:01:56.186 --> 00:01:59.509]  Speaking of global warming, where is We Need Some Global Warming?
[00:02:00.910 --> 00:02:01.611]  It's freezing!
