[00:00:04.648 --> 00:00:05.749]  You've got it.
[00:00:05.990 --> 00:00:11.696]  This transmission is coming to you.
[00:00:11.776 --> 00:00:13.879]  Waging war on corruption.
[00:00:16.161 --> 00:00:21.768]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:00:25.174 --> 00:00:32.702]  Ladies and gentlemen, there are some people out there saying that hype about Hurricane Irma is just that hype.
[00:00:32.822 --> 00:00:39.929]  But I agree with the governor of Florida and others, as well as the mainline meteorologist.
[00:00:40.510 --> 00:00:45.996]  When I say mainline, I mean all of them agree that this storm has the potential
[00:00:47.074 --> 00:00:49.456]  To be the most devastating storm in U.S.
[00:00:49.476 --> 00:00:49.837]  history.
[00:00:50.437 --> 00:00:59.906]  It's only hit small islands in the Caribbean so far and has destroyed everything, rendering these islands uninhabitable.
[00:01:00.846 --> 00:01:02.348]  The storm is still at 180 miles an hour.
[00:01:02.368 --> 00:01:03.729]  It's gone as high as 185 miles an hour.
[00:01:03.749 --> 00:01:05.551]  Nothing will be left standing but
[00:01:11.912 --> 00:01:17.096]  Concrete telephone poles, when something's at that speed, it'll even push over concrete buildings.
[00:01:18.957 --> 00:01:20.518]  All you'll have is steel girders left.
[00:01:21.539 --> 00:01:34.589]  If it hits Cuba, if it hits the Dominican Republic, if it directly hits these areas, which it's starting to graze right now, you're going to see incredible loss of life.
[00:01:35.009 --> 00:01:37.271]  And that's why they've said in Florida, get out.
[00:01:38.254 --> 00:01:41.218]  Get out of your house, get out of the state, get out.
[00:01:41.658 --> 00:01:52.511]  The problem is the gas is already sold out in most major cities in Florida, especially in southern Florida and on the east coast, where many of the tracks show the storms headed.
[00:01:52.832 --> 00:01:57.458]  But NOAA has chosen, with its computers, a track that shows it going towards
[00:01:59.130 --> 00:02:06.174]  South Florida and the Keys and then turning a bit towards the West and going into the Gulf of Mexico.
[00:02:06.694 --> 00:02:09.516]  And so many times, where does it go once it jumps Florida?
[00:02:09.936 --> 00:02:13.919]  Right into Louisiana, right into Mississippi, right into Texas.
[00:02:15.980 --> 00:02:19.222]  So, you talk about nail-biting.
[00:02:20.602 --> 00:02:24.585]  If this sucker hits major cities as a Category 3, it is going to
[00:02:26.741 --> 00:02:28.902]  Create devastation rarely seen.
[00:02:29.022 --> 00:02:36.145]  If it hits as a 4 or a 5, or God forbid a 6, it's like 14 Godzillas came out of the ocean.
[00:02:37.265 --> 00:02:38.826]  The level of destruction we're about to see.
[00:02:39.926 --> 00:02:41.707]  So I'm getting chills, personally.
[00:02:42.867 --> 00:02:48.189]  And one of our crew members, Quentin Carter, his wife stays part-time in Florida.
[00:02:48.669 --> 00:02:49.570]  They've got a house there.
[00:02:50.230 --> 00:02:52.071]  And he's going there to take care of her and the dogs.
[00:02:53.186 --> 00:02:55.467]  I tell you, when he lands, everything's already going to be sold out.
[00:02:55.487 --> 00:02:56.368]  But he's a smart guy.
[00:02:56.388 --> 00:02:59.209]  He's already got a generator and plywood and stuff ready.
[00:03:00.149 --> 00:03:02.951]  But he's going to be there reporting from us live.
[00:03:03.791 --> 00:03:09.434]  And he's where a lot of the storm tracks say it's going to be hitting down there on the east coast in southern Florida.
[00:03:11.328 --> 00:03:12.148]  This is amazing.
[00:03:12.188 --> 00:03:13.049]  This is biblical.
[00:03:13.109 --> 00:03:20.873]  We just saw the giant storm Harvey, and they're still finding dead bodies there, and a bunch of Houston's already underwater.
[00:03:20.933 --> 00:03:25.535]  And unfortunately, this is going to distract some from the aid effort there, but how could it not?
[00:03:27.736 --> 00:03:29.177]  Now, Harvey brought us together.
[00:03:29.617 --> 00:03:31.318]  The Lord works in mysterious ways.
[00:03:31.358 --> 00:03:40.462]  And a lot of times, historically, you see this in the Bible as well, great, great tragedies are visited upon people as a warning to wake up.
[00:03:41.800 --> 00:03:43.861]  The left is saying it's global warming, it's man-made.
[00:03:43.881 --> 00:03:46.182]  The left is saying pay carbon taxes to globalists.
[00:03:46.402 --> 00:03:52.884]  But if we had signed on to their carbon taxes two years ago, it wouldn't have reduced greenhouse gases that they say drive these storms.
[00:03:53.524 --> 00:03:56.865]  And we've seen record lows in hurricanes the last 20 years.
[00:03:56.945 --> 00:03:58.386]  That's the Weather Channel's own admission.
[00:03:59.605 --> 00:04:05.553]  But now it's heating back up, and this is the biggest, most deadly hurricane ever recorded.
[00:04:05.613 --> 00:04:13.623]  Now, typhoons get up to 170, 180 miles an hour, because the Pacific Ocean's bigger, and they have storms like this routinely.
[00:04:16.007 --> 00:04:20.408]  So, clearly, they've only been measuring these for 60 years accurately.
[00:04:20.748 --> 00:04:27.089]  You know there's been hurricanes reported by the Spanish galleons and by the British Navy and by the U.S.
