[00:00:00.089 --> 00:00:00.552]  The End.
[00:00:20.290 --> 00:00:31.238]  And so here we are on this Saturday transmission with Shemaine Nugent and Ted Nugent from their bunker, they tell me, out in the beautiful woods of Michigan where they're recording a new hit album.
[00:00:31.778 --> 00:00:35.401]  So much happening here in the country, the best of times, the worst of times it seems.
[00:00:36.081 --> 00:00:37.843]  Ted, Shemaine, where do you guys want to start?
[00:00:39.349 --> 00:00:41.631]  Well, I think the best of times, the worst of times.
[00:00:41.691 --> 00:00:55.005]  First of all, every time we get together, Alex, we have a new toxic level of evil and power abuse and criminal misuse of authority by government, media, academia, the punks in Hollywood.
[00:00:55.265 --> 00:00:57.047]  But let's start on a positive note.
[00:00:57.407 --> 00:01:09.991]  That I have Mrs. Nugent at my side, and we got Coco, Happy, and Sadie on the floor of our Sonic Bombast Barn Recording Studio, Man Cave, Cuckoo's Nest, Ammo Dump, Arsenal, Taxidermy Celebration.
[00:01:10.811 --> 00:01:13.432]  Everybody I know, Alex, and I think everybody you know,
[00:01:14.122 --> 00:01:17.627]  We carve out a positive American dream every day.
[00:01:17.687 --> 00:01:19.749]  Everybody I know is in the asset column.
[00:01:19.769 --> 00:01:20.991]  We continue to work hard.
[00:01:21.251 --> 00:01:31.504]  Here in the state of Michigan, the government could not misrepresent us more horribly than they do here in the state of Michigan, like so many states.
[00:01:31.824 --> 00:01:40.109]  But that positive energy, that positive spirit, making the greatest music of my life with Jason and Greg and Mike and Andy and Tim.
[00:01:40.630 --> 00:01:42.611]  What a positive celebration.
[00:01:42.651 --> 00:01:49.775]  The wildlife is thriving in the swamps of Michigan, but we still combat the evil that is ubiquitous.
[00:01:49.896 --> 00:01:53.278]  It's literally metastasizing at an evil pace.
[00:01:53.298 --> 00:01:55.059]  So a big salute to you, Alex,
[00:01:55.459 --> 00:01:58.662]  For spotlighting these cockroaches and sounding the alarm.
[00:01:59.063 --> 00:02:03.727]  Everybody I know is starting to wake up going, you know, Alex Jones has been right.
[00:02:04.108 --> 00:02:09.052]  Even some of the pundits on some of the major, like my friend Tucker Carlson.
[00:02:09.333 --> 00:02:16.340]  He's given you a nod recently going, you know, you can laugh at Alex Jones, but you're denying the facts and the evidence.
[00:02:16.360 --> 00:02:17.601]  So a big salute to you.
[00:02:18.171 --> 00:02:27.080]  You know, I, I'm going to say something that I think you might be surprised and Ted might be surprised because I heard your podcast yesterday and it was kind of dark.
[00:02:27.880 --> 00:02:32.765]  And I want to say that this, honestly, I am excited to be alive right now.
[00:02:32.985 --> 00:02:41.634]  This is an incredible time for us to be here on this planet for us, for you and Ted really to be the voices.
[00:02:42.153 --> 00:02:43.374]  And Tucker, a few others.
[00:02:43.734 --> 00:02:51.161]  But you know, in the Bible, we are reminded that not everyone who has eyes can see, not everyone who has ears can hear.
[00:02:51.781 --> 00:02:57.706]  And what you and Ted have always talked about, people are now waking up.
[00:02:58.267 --> 00:03:00.849]  I feel like this is kind of an exciting time.
[00:03:01.769 --> 00:03:04.431]  Shemaine, I want you to elaborate on that, because some days I'm really upbeat.
[00:03:04.471 --> 00:03:07.473]  Yesterday, the broadcast was fake.
[00:03:07.553 --> 00:03:18.142]  I was kind of down, just really pissed, reading all the evil, horrible things that even the Chairman of the Joint Chiefs was saying about America, and just seeing the Black Lives Matter and Antifa garbage.
[00:03:18.642 --> 00:03:20.523]  Sometimes it gets me down, but you're absolutely right.
[00:03:20.984 --> 00:03:25.587]  We should be positive, because the awakening is so huge that it's happening right now.
