[00:00:01.162 --> 00:00:03.264]  1884 is 1776.
[00:00:03.264 --> 00:00:17.756]  Info Wars has been banned.
[00:00:17.756 --> 00:00:21.680]  Arrested.
[00:00:21.680 --> 00:00:24.442]  Attacked and threatened.
[00:00:24.442 --> 00:00:26.284]  Because we are effective.
[00:00:27.845 --> 00:00:29.526]  The Great Awakening is here.
[00:00:29.526 --> 00:00:31.867]  Go to Banned.Video.
[00:00:31.867 --> 00:00:35.969]  Download the videos and share.
[00:00:35.969 --> 00:00:43.312]  Support the Information War at InfoWarStore.com.
[00:00:43.312 --> 00:00:46.033]  And never give up the fight.
[00:00:58.582 --> 00:01:02.226]  Covens in Europe, in America, and in Australia, and they have one right here.
[00:01:02.226 --> 00:01:03.648]  That whole bunch.
[00:01:03.648 --> 00:01:06.250]  The parties with the singing, and the flute, and the chanting.
[00:01:06.250 --> 00:01:08.452]  Those are espeths, or sabbaths, or whatever they're called.
[00:01:08.452 --> 00:01:09.313]  Honey, don't get excited, huh?
[00:01:09.313 --> 00:01:11.055]  Read what they do, Guy.
[00:01:11.055 --> 00:01:15.760]  They use blood in their rituals, and the blood that has the most power is baby's blood.
[00:01:15.760 --> 00:01:17.962]  And they don't just use the blood, they use the flesh, too.
[00:01:17.962 --> 00:01:19.444]  Rosemary, for God's sakes!
[00:01:19.964 --> 00:01:36.229]  Bloomberg, why is there at least 10 bills I've seen for implantable microchips implanted inside so-called vaccines and vaccine tattoos that are little microchips that are embedded in your skin, microglass that's on the patch that goes into your skin?
[00:01:37.109 --> 00:01:45.333]  And global blockchain to control the human body, and it's all from the UN, and it's all from the Rockefeller Foundation, and Bill Gates.
[00:01:45.333 --> 00:01:46.153]  I mean, it's all there.
[00:01:46.153 --> 00:01:47.474]  You can pull it up yourself.
[00:01:47.474 --> 00:01:50.455]  And then they just always call the bill numbers 666.
[00:01:50.455 --> 00:01:57.378]  A lot of people are aware of the 666 within Microsoft's patent to use people's brain waves to mine cryptocurrencies.
[00:01:58.358 --> 00:02:07.450]  Now, we see the number is on the H.R.6666, COVID-19 testing, reaching, and contacting everyone, trace, act.
[00:02:07.450 --> 00:02:14.738]  Why do we keep seeing the number 666 contained within all these patents and bill numbers?
[00:02:14.738 --> 00:02:16.180]  Is this deliberate?
[00:02:16.180 --> 00:02:17.442]  Is this the true sign of the times?
[00:02:18.214 --> 00:02:29.052]  And they just fetishize that number to rub it in our face as they bring in a world cashless society that you cannot buy nor sell unless you take whatever the new thing is they're wanting to put in your body.
[00:02:29.052 --> 00:02:30.795]  They wanted to rub your nose in it.
[00:02:30.795 --> 00:02:31.316]  Here's another one.
[00:02:32.384 --> 00:02:35.066]  Again, CNBC tweets this Pfizer article.
[00:02:35.066 --> 00:02:36.226]  Pfizer wrote this.
[00:02:36.226 --> 00:02:43.730]  For Pfizer, a COVID-19 vaccine may just be the beginning for the potential revolutionary promise of mRNA technology.
[00:02:43.730 --> 00:02:48.433]  That's experimental, that they just foisted on us, and it's killing a bunch of people, but that's just the way it is.
[00:02:48.433 --> 00:02:49.833]  You're gonna take it in your body.
[00:02:49.833 --> 00:02:52.635]  Now, let's ask ourselves what world we've reached here.
[00:02:52.995 --> 00:02:59.298]  This is a military globalist assault through the medical system by the central banks to collapse civilization.
[00:02:59.298 --> 00:03:02.500]  Now let me just show you this little jewel.
[00:03:02.500 --> 00:03:03.941]  For any listeners, I'll narrate it.
[00:03:03.941 --> 00:03:09.064]  It's got an image of Scott Gottlieb, who is at the FDA, and then next to him,
[00:03:10.044 --> 00:03:13.687]  A Pfizer executive who is him, Scott Gottlieb.
[00:03:13.687 --> 00:03:18.451]  On the left is the former FDA commissioner in charge of regulating Pfizer.
[00:03:18.451 --> 00:03:23.975]  On the right is a current member of the board of directors of Pfizer making tens of millions a year.
[00:03:23.975 --> 00:03:24.636]  Can you see that?
[00:03:25.376 --> 00:03:26.317]  Here's another one.
[00:03:26.317 --> 00:03:27.758]  Stephen Hahn.
[00:03:27.758 --> 00:03:29.400]  Here he is at the FDA.
[00:03:29.400 --> 00:03:30.961]  Here he is at Moderna.
[00:03:30.961 --> 00:03:32.142]  That means Gates.
[00:03:32.142 --> 00:03:33.003]  Stephen Hahn.
[00:03:33.003 --> 00:03:36.507]  On the left is the former FDA commissioner in charge of regulating Moderna.
[00:03:36.507 --> 00:03:42.592]  On the right is the current chief medical officer of flagship pioneering, the venture capital firm behind Moderna.
[00:03:42.592 --> 00:03:43.213]  That's Bill Gates.
[00:03:43.213 --> 00:03:45.055]  Oh, there's another one.
[00:03:45.055 --> 00:03:46.015]  Reuters.
[00:03:46.015 --> 00:03:46.116]  Oh!
[00:03:47.199 --> 00:04:02.288]  The CEO of Reuters, who wrote two articles last week saying that we were making it up, that Fauci cooked it up in a lab, which is all admitted, and that Fauci bragged about how he'd eat a new virus to scare everyone into accepting mRNA technology, which he said
[00:04:03.188 --> 00:04:12.290]  Oh, look, James C. Smith on the left is the CEO of Reuters in charge of informing people about the COVID-19 vaccines.
[00:04:12.290 --> 00:04:18.292]  On the right is a current member of the board of directors of Pfizer, James C. Smith.
[00:04:18.292 --> 00:04:19.492]  Here's another one.
[00:04:19.492 --> 00:04:21.993]  Anthony Fauci on the left is the NIH
[00:04:22.919 --> 00:04:26.261]  AID, director under the National Institutes of Health.
[00:04:26.261 --> 00:04:35.227]  On the right is the funder of bioweapons research on gain-of-function bat coronaviruses at the Wuhan Institute of Virology.
[00:04:35.227 --> 00:04:36.408]  That's a fact.
[00:04:36.408 --> 00:04:39.810]  But let me guess, you know the fact checker said this isn't true.
[00:04:39.810 --> 00:04:40.931]  It's all true.
[00:04:40.931 --> 00:04:41.732]  They're lying to you.
[00:04:41.732 --> 00:04:43.533]  You can verify this in 10 seconds.
[00:04:45.393 --> 00:04:46.054]  Then why would they do that?
[00:04:46.054 --> 00:04:49.357]  Because they're training new psychologists to accept their criminal line.
[00:04:49.357 --> 00:04:52.000]  And then buying the news like they've already done.
[00:04:52.000 --> 00:04:54.122]  I mean, this is a criminal takeover.
