[00:00:00.830 --> 00:00:12.742]  We've got to make sure that they know that we mean business.
[00:00:17.307 --> 00:00:18.068]  InfoWars.
[00:00:18.408 --> 00:00:19.930]  Tomorrow's news, today.
[00:00:21.696 --> 00:00:32.844]  It's Sunday, April 18th, the year is 2021, and Maxine Waters, along with major CNN hosts and others, are calling for violence and calling for dead white people.
[00:00:33.244 --> 00:00:41.350]  That's right, Cuomo said we need dead young white people before we care about the pandemic of police shooting black people, which doesn't exist.
[00:00:41.831 --> 00:00:43.132]  This is the mainstream media
[00:00:44.324 --> 00:00:44.684]  All right.
[00:00:59.434 --> 00:01:02.175]  She's the same one that said, go and confront Republicans, get in their faces.
[00:01:02.876 --> 00:01:08.378]  And then she's the same person that says everybody should be charged with terrorism that entered the Capitol, most of them peacefully.
[00:01:08.719 --> 00:01:09.879]  This is so hypocritical.
[00:01:09.959 --> 00:01:10.820]  It's total fraud.
[00:01:10.880 --> 00:01:13.281]  We decry all of this offensive violence.
[00:01:13.641 --> 00:01:15.262]  But we have multinational corporations.
[00:01:16.274 --> 00:01:18.596]  They're dividing and conquering this country right now.
[00:01:19.416 --> 00:01:25.680]  And they want to distract us from destroying our borders, from destroying our dollar, from selling us out to China, from the slave camps that Apple runs in China.
[00:01:26.000 --> 00:01:32.925]  And that's why all the big corporations have given $10.6 billion the last year to Black Lives Matter to make that the huge issue.
[00:01:33.085 --> 00:01:40.150]  And within hours of Maxine Waters calling for violence, the National Guard and police just got shot at in Minnesota and were almost killed.
[00:01:40.490 --> 00:01:45.053]  This is a designed civil war they're trying to trigger and we've got to stop it.
[00:01:45.153 --> 00:01:46.074]  So on this live
[00:01:46.754 --> 00:01:49.196]  Special Sunday night broadcast.
[00:01:49.696 --> 00:01:54.679]  Constitutional lawyer Robert Barnes, who's an expert on this, is going to be co-hosting with Owen Schroer.
[00:01:54.699 --> 00:01:58.361]  I'm going to be popping in with special reports for the next four hours.
[00:01:58.401 --> 00:02:01.623]  The Alex Jones Show into Sunday live with Owen Schroer tonight.
[00:02:02.799 --> 00:02:17.028]  To watch Cuomo say this, to watch Maxine Waters say this, while they activate the CIA illegally, domestically against Trump supporters, because a few hundred people went to the Capitol, and a few hundred people might have gotten in a fistfight with the cops.
[00:02:17.408 --> 00:02:31.697]  Now, all of us are guilty while they've burned down cities, police stations all across the country last summer, and now we're heating up to do it again, to hold the cities hostage until local governments, this is the key, turn control of their police departments over to George Soros,
[00:02:32.077 --> 00:02:33.078]  We're good to go.
[00:02:48.656 --> 00:02:48.937]  We're good.
[00:03:09.480 --> 00:03:11.321]  And said they're turning America over to the UN.
[00:03:11.661 --> 00:03:15.023]  The UN's in charge of our immigration laws, of the refugee laws.
[00:03:15.103 --> 00:03:22.847]  And when Biden first got in via election theft, they had a UN meeting with all of them up there officially turning power over to the UN.
[00:03:23.768 --> 00:03:24.508]  How do they win this?
[00:03:24.749 --> 00:03:25.409]  How do they win this war?
[00:03:26.431 --> 00:03:35.473]  By causing a race war here, ladies and gentlemen, and they are literally activating so many groups of racist black people to go out and start fights with whites, to kill whites, and the media tries to cover it up.
[00:03:35.493 --> 00:03:37.133]  The average black person is involved in this.
[00:03:37.653 --> 00:03:41.374]  But this is still so sad, and all people, whether you're black or white, doesn't matter.
[00:03:41.394 --> 00:03:45.635]  You've got to decry racial violence or offensive violence of any type.
[00:03:45.675 --> 00:03:51.176]  So, Robert Barnes coming up, Owen Sawyer coming up, a lot of exclusive footage we haven't aired from the border coming up.
[00:03:51.856 --> 00:03:54.658]  Bill Maher coming out, and the wheels are coming off the COVID hoax.
[00:03:54.698 --> 00:03:55.519]  He's come out against it.
[00:03:55.539 --> 00:03:56.339]  So has Decker Carlson.
[00:03:56.779 --> 00:04:01.983]  The truth is coming out, but only because we're still on the air, only because you're taking action.
[00:04:02.243 --> 00:04:07.987]  Don't underestimate how important you are, and don't ever underestimate how important your word of mouth is.
[00:04:08.467 --> 00:04:25.963]  Take the live feed of this Sunday show, share with everyone you know right now, and let them know that this is the attempt to take down not just America, but the whole world by these ruthless, wicked corporate globalists that exploit the third world, collapse the third world under a lockdown, flood through the third world, and then try to trigger a race war.
[00:04:26.303 --> 00:04:29.726]  All right, we'll be right back on the other side with Robert Barnes and more.
[00:04:29.746 --> 00:04:30.147]  Stay with us.
[00:04:30.777 --> 00:04:32.098]  What should protesters do?
[00:04:32.858 --> 00:04:34.460]  Well, we've got to stay on the street.
[00:04:35.180 --> 00:04:37.221]  And we've got to get more active.
[00:04:37.522 --> 00:04:39.783]  We've got to get more confrontational.
[00:04:40.083 --> 00:04:43.886]  We've got to make sure that they know that we mean business.
[00:05:03.076 --> 00:05:03.716]  Big Brother.
[00:05:04.217 --> 00:05:05.457]  Mainstream media.
[00:05:05.998 --> 00:05:07.139]  Government cover-ups.
[00:05:07.899 --> 00:05:09.340]  You want to stop tyranny?
[00:05:09.600 --> 00:05:10.721]  Well, so does he.
[00:05:11.241 --> 00:05:15.945]  Live from the InfoWars.com studios, it's Alex Jones.
[00:05:18.737 --> 00:05:22.601]  Ladies and gentlemen, it's Sunday, April 18th, 2021.
[00:05:22.661 --> 00:05:23.922]  This is the Alex Jones Show.
[00:05:23.982 --> 00:05:35.814]  Owen Troyer sitting in the InfoWars World Headquarters in Austin, Texas, to let you know what is coming up here live at InfoWars for the next four hours.
[00:05:37.153 --> 00:05:43.080]  Legal expert, constitutional law expert, Bob Barnes is about to host the Alex Jones Show.
[00:05:43.260 --> 00:05:51.771]  I'll be bringing us in and out of some of the breaks just with breaking news from the live studio, but Robert Barnes will be hosting the Alex Jones Show from 4 to 6 p.m.
[00:05:51.811 --> 00:05:52.331]  Central today.
[00:05:53.191 --> 00:06:03.421]  And then, from 6 to 8, I am going to be hosting an emergency broadcast, the Southern Border Emergency Broadcast.
[00:06:03.981 --> 00:06:13.930]  For two hours, I'm going to be giving you the expert analysis, my expert analysis, of everything that's going on at the Southern Border and the human trafficking operation, because quite frankly,
[00:06:14.631 --> 00:06:18.034]  There's really nobody else out there that knows this like I do.
[00:06:18.174 --> 00:06:20.055]  I've been on the ground there for weeks.
[00:06:20.215 --> 00:06:21.336]  There's no other media.
[00:06:21.676 --> 00:06:29.122]  The only people who may know more than I do about this are the people that are actually running it and or the Border Patrol, but they've been gagged.
[00:06:29.702 --> 00:06:42.249]  So we have to be the voice of truth here to tell you about Joe Biden's human smuggling, human smuggling operation being run by Joe Biden, the illegal immigration pipeline going through McAllen, Texas and other such places.
[00:06:42.269 --> 00:06:49.172]  So for two hours, I'm going to be breaking that down and taking your calls, what your observations have been, what you've been noticing.
[00:06:49.212 --> 00:06:50.713]  Maybe you live in a border town.
[00:06:50.993 --> 00:06:52.434]  Maybe you are a border patrol agent.
[00:06:52.674 --> 00:06:53.915]  Maybe you know a Border Patrol agent.
[00:06:53.935 --> 00:06:56.177]  Maybe you're married to a Border Patrol agent.
[00:06:56.538 --> 00:06:59.220]  So we're going to do that for two hours from six to eight.
[00:06:59.280 --> 00:07:10.951]  But first, we go to Robert Barnes here to talk about the unbelievable behavior, the criminal behavior of Maxine Waters, in fact.
[00:07:11.071 --> 00:07:11.811]  Criminal behavior.
[00:07:13.086 --> 00:07:17.869]  Bob, when Donald Trump made a speech, they said, oh, he's inciting violence!
[00:07:17.909 --> 00:07:19.029]  He's inciting violence!
[00:07:19.790 --> 00:07:22.792]  And they censored him across the internet, and they tried to impeach him.
[00:07:23.272 --> 00:07:37.340]  But when Maxine Waters goes out in the middle of riots, when Maxine Waters multiple times says, form a crowd, get confrontational, get more confrontational, and then violence follows directly after at the very riots that she's at, nobody seems to bat an eye.
[00:07:37.380 --> 00:07:38.761]  Law enforcement doesn't seem to care.
[00:07:38.821 --> 00:07:41.482]  No calls for impeachment or removal of Maxine Waters.
[00:07:42.642 --> 00:07:50.704]  Bob, break down the criminal behavior and the incitement of a violent and crossing state lines to incite a riot that Maxine Waters is guilty of.
[00:07:52.265 --> 00:07:57.686]  Well, Mad Max has definitely taken a different path, and it's a path that's particularly precarious for justice in the United States.
[00:07:58.567 --> 00:08:02.208]  Because this is happening when it's happening is the most problematic.
[00:08:02.268 --> 00:08:09.530]  This is happening on the eve of closing arguments in the Derek Chauvin trial concerning the death of George Floyd.
[00:08:10.289 --> 00:08:18.573]  And this is happening on the eve of the jury deliberating, and it is happening while the jury is known to be not sequestered.
[00:08:19.014 --> 00:08:35.362]  It means the jury is going to see this news, see this information, see this, where basically you have a member of Congress threatening the jury that if they don't convict Chauvin, there will be more, quote, confrontation, more going to the streets, basically more riots.
[00:08:36.222 --> 00:08:36.763]  More threats.
[00:08:36.843 --> 00:08:47.009]  And these are jurors, many of whom during the jury selection process voiced concern about their own well-being and safety if they were merely involved in the case.
[00:08:47.630 --> 00:09:02.359]  And so the judge made the decision to still hold the jury in Minneapolis with jurors from Minneapolis, even though during jury selection they found out about the $27 million payoff to race baiter, race grifter Ben Crump.
[00:09:03.039 --> 00:09:03.679]  We're good.
[00:09:25.379 --> 00:09:28.562]  Then the confrontational tactics will be escalated.
[00:09:28.602 --> 00:09:31.925]  Then people have been called out to go to the streets.
[00:09:32.705 --> 00:09:37.629]  Imagine if Trump had said anything even close to this prior to January 6th.
[00:09:37.970 --> 00:09:39.391]  He would be in prison today.
[00:09:40.172 --> 00:09:44.015]  Instead, here you have someone trying to effectively tamper with the jury.
[00:09:44.495 --> 00:09:51.381]  Not just incite riotous behavior, but tamper with the jury, tamper with the criminal justice process, and the rest.
[00:09:51.421 --> 00:09:52.142]  And the reason
[00:09:52.842 --> 00:09:55.503]  Is because they desperately need a conviction in this case.
[00:09:55.964 --> 00:09:57.865]  The media needs a conviction in this case.
[00:09:58.305 --> 00:10:01.166]  The Democrats need a conviction in this case.
[00:10:01.966 --> 00:10:08.510]  BLM, which apparently means Buy Luxury Mansions, in fact, needs a conviction in this case.
[00:10:08.950 --> 00:10:12.612]  And the reason is because the media narrative has been a false narrative.
[00:10:12.672 --> 00:10:17.354]  The reason why they're scared, the reason why they're nervous, the reason why they're frightened about the verdict,
[00:10:17.874 --> 00:10:36.506]  Is even though this is a jury that's going to have six African-American members extraordinarily diverse from Minneapolis, which normally would have one African-American member on a jury despite that being a Minneapolis Democratic jury pool where 80 to 90 percent of the likely jurors voted for Joe Biden in the last election.
[00:10:36.986 --> 00:10:45.190]  Despite the fact that almost 90% of Biden voters said that they would vote to convict Chauvin even before the trial started.
[00:10:45.250 --> 00:10:50.873]  Despite the fact that most of these jurors said during jury selection that they lean towards guilt.
