[00:00:14.845 --> 00:00:15.611]  InfoWars.
[00:00:15.953 --> 00:00:16.839]  Tomorrow's news.
[00:00:17.162 --> 00:00:17.484]  Today.
[00:00:45.700 --> 00:00:55.989]  Just two weeks ago, and then again another week ago, the puppet president promised we would not see any images that resembled the fall of Saigon in 1975.
[00:00:56.209 --> 00:01:04.176]  But maybe we should probably go to YouTube and type that in, helicopter airlift Saigon 1975, and then compare the two.
[00:01:07.855 --> 00:01:09.656]  Together, in fact, there it is on Twitter.
[00:01:09.696 --> 00:01:11.097]  They're basically identical.
[00:01:11.117 --> 00:01:14.359]  In fact, they're still using the Chinooks from Vietnam to do it.
[00:01:14.819 --> 00:01:17.720]  They still can't make a better helicopter.
[00:01:18.341 --> 00:01:27.325]  Designed in the 1950s, it goes 200 miles an hour and can pick people up off the side of a cliff or a mountain.
[00:01:28.126 --> 00:01:28.926]  Pretty amazing.
[00:01:29.046 --> 00:01:31.627]  And there are the images for TV viewers, radio listeners.
[00:01:32.248 --> 00:01:34.009]  It's all posted on InfoWars.com.
[00:01:34.709 --> 00:01:36.330]  People scrambling for dear life.
[00:01:37.697 --> 00:01:54.125]  After 20 years and $2.trillion spent to create this United Nations utopia of love and kindness and goodness, it's all been a giant fraud to get the opium.
[00:01:54.185 --> 00:02:00.928]  It's all been a giant scam to secure the country for China so they can get trillions of dollars in rare earth minerals.
[00:02:02.378 --> 00:02:02.978]  Out of the country.
[00:02:03.738 --> 00:02:10.240]  And now China is moving in to replace the United States as the new empire to take control, but they don't need to use any violence.
[00:02:10.780 --> 00:02:13.001]  They'll just simply buy off the Taliban.
[00:02:16.161 --> 00:02:23.623]  They're trying to blame President Trump for what has happened, but he had a completely different plan of withdrawal.
[00:02:24.403 --> 00:02:31.845]  This has been a panic withdrawal, almost as if they wanted this to happen on purpose.
[00:02:33.814 --> 00:02:35.956]  Helicopters are evacuating staff from the U.S.
[00:02:36.016 --> 00:02:40.719]  Embassy in Kabul as the Taliban enter the Afghan capital from all sides.
[00:02:42.640 --> 00:02:43.581]  Watch hundreds of U.S.
[00:02:43.741 --> 00:02:52.868]  citizens scramble aboard C-17 as Taliban ready to declare Islamic Emirate of Afghanistan, which China has already recognized.
[00:02:53.428 --> 00:02:58.672]  Former CIA officer, the most infamous and devastating press conference ever held by an American president.
[00:02:59.520 --> 00:03:02.823]  Twenty years of war in Afghanistan has cost the U.S.
[00:03:02.863 --> 00:03:12.251]  taxpayer over $2.2 trillion, which of course was the play on a giant cash machine of U.S.
[00:03:12.271 --> 00:03:14.573]  taxpayer money directly into globalist coffers.
[00:03:15.794 --> 00:03:18.016]  Again, you can watch the footage at Infowars.com.
[00:03:18.136 --> 00:03:18.376]  U.S.
[00:03:18.416 --> 00:03:23.661]  choppers evacuate Kabul embassy as Blinken defiantly rejects Vietnam pullout.
[00:03:24.690 --> 00:03:25.430]  Comparisons.
[00:03:25.571 --> 00:03:26.851]  Talk about gaslighting.
[00:03:27.231 --> 00:03:31.674]  The Afghan president has fled the country as the Taliban enter the capital.
