[00:00:00.572 --> 00:00:04.636]  Dr. Fauci, as you are aware, it is a crime to lie to Congress.
[00:00:05.176 --> 00:00:07.238]  Section 1001 of the U.S.
[00:00:07.278 --> 00:00:12.123]  Criminal Code creates a felony and a five-year penalty for lying to Congress.
[00:00:12.523 --> 00:00:22.752]  On your last trip to our committee on May 11th, you stated that the NIH has not ever and does not now fund gain-of-function research in the Wuhan Institute of Virology.
[00:00:23.633 --> 00:00:24.014]  And yet,
[00:00:25.046 --> 00:00:32.150]  Gain-of-function research was done entirely in the Wuhan Institute by Dr. Shi, and was funded by the NIH.
[00:00:33.031 --> 00:00:41.976]  I'd like to ask unanimous consent to insert into the record the Wuhan virology paper entitled, Discovery of a Rich Gene Pool of Bat-SARS-Related Coronaviruses.
[00:00:42.496 --> 00:00:45.378]  Please deliver a copy of the journal article to Dr. Fauci.
[00:00:46.914 --> 00:00:54.716]  In this paper, Dr. Xi credits the NIH and lists the actual number of the grant that she was given by the NIH.
[00:00:55.797 --> 00:01:08.561]  In this paper, she took two bat coronavirus genes, spike genes, and combined them with a SARS-related backbone to create new viruses that are not found in nature.
[00:01:09.321 --> 00:01:12.982]  These lab-created viruses were then shown to replicate in humans.
[00:01:14.022 --> 00:01:25.829]  These experiments combine genetic information from different coronaviruses that infect animals but not humans to create novel artificial viruses able to infect human cells.
[00:01:26.689 --> 00:01:35.174]  Viruses that in nature only infect animals were manipulated in the Wuhan lab to gain the function of infecting humans.
[00:01:35.854 --> 00:01:43.970]  This research fits the definition of the research that the NIH said was subject to the pause in 2014 to 2017, a pause in funding on gain of function.
[00:01:48.336 --> 00:01:55.539]  But the NIH failed to recognize this, defines it away, and it never came under any scrutiny.
[00:01:56.219 --> 00:02:09.004]  Dr. Richard Ebright, a molecular biologist from Rutgers, described this research in Wuhan as, the Wuhan lab used NIH funding to construct novel chimeric SARS-related coronaviruses
[00:02:09.582 --> 00:02:13.085]  Able to infect human cells and laboratory animals.
[00:02:13.565 --> 00:02:19.689]  This is high-risk research that creates new potential pandemic pathogens.
[00:02:20.330 --> 00:02:25.073]  Potential pandemic pathogens that exist only in the lab, not in nature.
[00:02:25.794 --> 00:02:35.280]  This research matches, these are Dr. Ebright's words, this research matches, indeed epitomizes, the definition of gain-of-function research.
[00:02:35.601 --> 00:02:37.242]  Done entirely in Wuhan.
[00:02:38.376 --> 00:02:40.777]  For which there was supposed to be a federal pause.
[00:02:42.398 --> 00:02:52.743]  Dr. Fauci, knowing that it is a crime to lie to Congress, do you wish to retract your statement of May 11th where you claimed that the NIH never funded gain-of-function research in Wuhan?
[00:03:00.697 --> 00:03:07.321]  Senator Paul, I have never lied before the Congress, and I do not retract that statement.
[00:03:08.062 --> 00:03:18.468]  This paper that you are referring to was judged by qualified staff up and down the chain as not being gain of function.
[00:03:19.168 --> 00:03:25.711]  You're saying when you take an animal virus and you increase its transmissibility to humans, you're saying that's not gain-of-function?
