[00:00:00.069 --> 00:00:00.870]  But who knows?
[00:00:02.411 --> 00:00:03.131]  Who knows?
[00:00:04.072 --> 00:00:08.214]  I may even decide to beat them for a third time, okay?
[00:00:19.318 --> 00:00:19.719]  And pause.
[00:00:20.079 --> 00:00:23.043]  This is key, because again, he started 10 minutes early.
[00:00:23.223 --> 00:00:24.164]  Trump never starts early.
[00:00:24.304 --> 00:00:25.326]  He usually starts 5-10 minutes late.
[00:00:25.786 --> 00:00:28.309]  So we were going to, the show's going to start at 4, 5 Eastern, right?
[00:00:28.350 --> 00:00:29.231]  We were going to carry it.
[00:00:29.631 --> 00:00:31.053]  But we're pausing it as we go.
[00:00:31.413 --> 00:00:33.977]  Again, his speech is ongoing, way towards the end right now.
[00:00:34.017 --> 00:00:36.800]  But we're going to play most of it here today, and of course a lot of it tomorrow.
[00:00:38.075 --> 00:00:43.999]  I'm seeing this in live time right now, and I was saying to the crew earlier, he needs to come out and say the election was fraudulent.
[00:00:44.199 --> 00:00:54.365]  Because they were going to do a 25th Amendment, they were going to do the impeachment, they probably actually had the votes to convict him, and McConnell told him, you better shut up and say you lost or we're going to do this to you.
[00:00:54.885 --> 00:00:58.607]  But now they have no leverage over him, so he needs to double back and just expose it all!
[00:00:59.188 --> 00:01:00.088]  And so he's doing it!
[00:01:00.528 --> 00:01:03.010]  He beat him once, he beat him twice, he'll beat him three times!
[00:01:03.410 --> 00:01:04.171]  This is awesome!
[00:01:04.191 --> 00:01:04.751]  Let's continue.
[00:01:13.597 --> 00:01:14.818]  Sunday live transmission.
[00:01:14.858 --> 00:01:25.762]  President Trump has just started speaking from Florida at the 2021 C-SPAC that the controlled corporate press and big tech are trying to censor and block everywhere.
[00:01:27.482 --> 00:01:31.864]  But before we hear from the real president, let's hear from the imposter.
[00:01:32.424 --> 00:01:38.426]  Let's hear from the puppet who just did a victory lap Friday in Houston, Texas.
[00:01:40.454 --> 00:01:42.095]  I think he's getting on a plane.
