[00:00:15.194 --> 00:00:16.294]  InfoWars.
[00:00:16.294 --> 00:00:17.495]  Tomorrow's news.
[00:00:17.495 --> 00:00:18.035]  Today.
[00:00:18.035 --> 00:00:22.757]  Clowns.
[00:00:22.757 --> 00:00:26.438]  Send in the clowns.
[00:00:28.942 --> 00:00:36.744]  Don't bother, they're here.
[00:00:36.744 --> 00:00:42.786]  Isn't it rich?
[00:00:42.786 --> 00:00:44.087]  Isn't it queer?
[00:00:52.562 --> 00:01:09.772]  I got them 1.9 trillion dollars relief so far.
[00:01:09.772 --> 00:01:12.894]  They're gonna be getting checks in the mail that are consequential.
[00:01:12.894 --> 00:01:16.476]  I wrote the bill on the environment.
[00:01:20.996 --> 00:01:27.299]  This is an employee's... employee's bargaining chip now.
[00:01:27.299 --> 00:01:28.459]  What's happening?
[00:01:28.459 --> 00:01:35.722]  Thank you, blue eyes.
[00:01:35.722 --> 00:01:43.265]  Telling us like it is from the grave.
[00:01:51.204 --> 00:02:15.230]  It's a live Friday transmission on this June 25th, and General Flynn, former head of Defense Intelligence Agency, former National Security Advisor to the real President, has come out in an absolutely key analysis and said, the globalists are going to stage false flags ahead of the evidence of the audit being overwhelming and other states joining the audit.
[00:02:17.057 --> 00:02:29.481]  This is just simply what all the preparation has been about at the Pentagon, what the critical, radical brainwashing has been about with the race theory.
[00:02:29.481 --> 00:02:40.244]  All of this has been prepping it to say that anyone that opposes open borders, global government, election fraud, disarmament, sellout to China is a white supremacist.
[00:02:40.244 --> 00:02:45.065]  And even mainstream news has now basically gotten that and understood that.
[00:02:45.763 --> 00:02:53.246]  And are now saying any opposition to even forced inoculations or lockdowns is white supremacist.
[00:02:53.246 --> 00:02:55.867]  So that's how they're dividing the American people up.
[00:02:55.867 --> 00:02:59.728]  White against black, hoping they can confuse people to join the globalist side.
[00:02:59.728 --> 00:03:03.009]  It is an incredible time to be alive.
[00:03:03.009 --> 00:03:06.231]  And the wheels are all really coming off right now.
[00:03:06.231 --> 00:03:09.832]  Look at this interesting tweet by Major Patriot.
[00:03:09.832 --> 00:03:11.553]  Let me get this straight.
[00:03:11.553 --> 00:03:11.953]  Within 24 hours,
