[00:00:15.527 --> 00:00:18.228]  InfoWars, tomorrow's news today.
[00:00:19.189 --> 00:00:22.371]  My friends, it is Saturday, August 28th.
[00:00:23.951 --> 00:00:25.512]  Thank you so much for joining us.
[00:00:25.632 --> 00:00:35.457]  We have two very special guests joining us on the Saturday transmission that are on the front lines of human liberty against this globalist Great Reset tyranny.
[00:00:37.078 --> 00:00:42.401]  Activist from Canada, Chris Sky, recently arrested again for the crime of protesting against martial law.
[00:00:43.302 --> 00:00:45.045]  We'll be joining us coming up here in just a few minutes.
[00:00:45.065 --> 00:00:48.110]  We have him on the line via Zoom on the road right now.
[00:00:48.671 --> 00:00:51.496]  And then I had him on my Friday show and I was very impressed with him.
[00:00:52.622 --> 00:00:58.844]  I was already aware of his work and I wanted to get him on to talk more about solutions and more about how to fight back against the globalists.
[00:00:59.184 --> 00:01:00.724]  He's a medical doctor and psychiatrist.
[00:01:00.744 --> 00:01:07.867]  Dr. Peter Bregan will be coming up as well today, basically commercial free.
[00:01:07.907 --> 00:01:12.788]  By that we'll have a few breaks, but we're not following the regular radio slash TV clock.
[00:01:13.228 --> 00:01:15.409]  So I want to thank you all again for joining us.
[00:01:16.269 --> 00:01:31.501]  I was on the fence about coming in today because I've been working seven days a week for a long time, but I know that you really like these Saturday transmissions and millions of people end up watching them and there's so much news breaking that I'm really thankful for the crew coming in today.
[00:01:32.287 --> 00:01:37.991]  So let me tell you what's coming up after Chris Sky leaves us with Dr. Bregan.
[00:01:38.011 --> 00:01:45.776]  And then we also have one of our investigative journalists that works here in the crew and does a great job joining us afterwards.
[00:01:46.176 --> 00:01:49.419]  So we're going to have Mike Halperin in here with us in studio after that.
[00:01:49.779 --> 00:01:54.322]  Give everybody an update on SPARS and on Operation Lockstep.
[00:01:55.896 --> 00:02:02.620]  Five months after we put out that first viral report that got six million views at Man.Video, thanks to all of you spreading the word.
[00:02:02.660 --> 00:02:09.584]  So a major update on SPARS and the globalist program of depopulation coming up.
[00:02:11.185 --> 00:02:14.868]  Okay, look at some of these headlines.
[00:02:16.008 --> 00:02:17.569]  Mitt Romney done vaccinated.
[00:02:18.110 --> 00:02:19.671]  Your liberty affects my health.
[00:02:20.714 --> 00:02:23.556]  He says, you're getting me sick because you're not vaccinated.
[00:02:24.196 --> 00:02:32.202]  Funny, I actually have the studies and statistics that it's the vaccinated for these live virus vaccines that are actually causing the variants and making people sick.
[00:02:32.662 --> 00:02:41.088]  So we're going to expose the globalist corporate minion, Mitt Romney, coming up today.
[00:02:43.130 --> 00:02:47.093]  You see, globalist puppets like Romney talk down to you like you're a dumb animal.
[00:02:48.018 --> 00:02:53.402]  And he hopes you don't look at the statistics or the numbers or the scientific reports like this one right here.
[00:02:54.083 --> 00:02:58.827]  The world in data from John Hopkins University, which is the establishment mouthpiece.
[00:02:59.347 --> 00:03:02.209]  Israel has the highest vaccination rate in the world of any major country.
[00:03:02.910 --> 00:03:04.811]  You can see their infection and death rates off the chart.
[00:03:05.532 --> 00:03:15.068]  You can then see it right next to other countries like India that have the lowest vaccination rates and they have the lowest death rate and hospitalization.
[00:03:15.448 --> 00:03:17.792]  That is the wages of big pharma sin.
[00:03:18.763 --> 00:03:27.906]  And the literal biological rape that Romney wants to carry out over your body, he actually says in the article, you must give in to his authority.
[00:03:28.386 --> 00:03:32.307]  Hey, listen, you pervert, genetic rapist, burn in hell!
[00:03:33.027 --> 00:03:35.348]  So there you go, ladies and gentlemen.
[00:03:35.368 --> 00:03:40.810]  We're going to be looking at all the facts on that subject today.
[00:03:41.830 --> 00:03:47.212]  And then the huge news, absolutely giant news out of
[00:03:48.570 --> 00:04:07.800]  Japan, where their main medical doctor union in Tokyo, who have had tens of thousands of patients with COVID-19, had a 100% recovery rate with ivermectin, something again the criminal globalists are trying to suppress around the world.
[00:04:07.820 --> 00:04:13.944]  But I know people personally who are ready to go to the hospital and couldn't breathe with COVID, and within hours of ivermectin,
[00:04:14.827 --> 00:04:19.870]  They were a lot better within a day, almost completely better within two days, completely better.
[00:04:19.910 --> 00:04:22.011]  And these criminals are trying to suppress it.
[00:04:22.051 --> 00:04:28.314]  Meanwhile, coroner rules BBC presenter's death from blood clots directly linked to vaccine.
[00:04:29.635 --> 00:04:34.177]  Reporter hospitalized with a heart attack after Pfizer jab caused heart inflammation.
[00:04:34.557 --> 00:04:37.339]  Still urges Australians to get vaccinated.
[00:04:38.271 --> 00:04:46.863]  Breaking update, fire material containing metal and magnetic found in the Moderna shots now pulled in Japan.
[00:04:48.465 --> 00:04:54.033]  Japan suspects contamination in Moderna vaccines as metallic reacts to magnets.
[00:04:56.001 --> 00:05:02.405]  Here's the head of the Japanese Medical Union laying out thousands and thousands treated, 100% cure rate.
[00:05:02.905 --> 00:05:06.548]  And then he points out African countries that hand out Ivermectin have almost no death rate.
[00:05:06.588 --> 00:05:08.429]  Those that don't, giant death rate.
[00:05:08.449 --> 00:05:10.230]  We're going to look at all the statistics.
[00:05:10.250 --> 00:05:19.656]  Here's another big Japanese doctor on national TV saying he treated 500 COVID cases, 100% success rate with Ivermectin.
[00:05:20.777 --> 00:05:23.238]  It stops the prions from
[00:05:24.127 --> 00:05:24.807]  Dividing.
[00:05:24.847 --> 00:05:28.650]  It's one of the most popular drugs in the world, not just for horses.
[00:05:28.710 --> 00:05:30.290]  That is all coming up.
[00:05:30.330 --> 00:05:32.992]  And then this really exciting good news.
[00:05:33.512 --> 00:05:40.376]  Denmark to scrap all COVID-19 restrictions, basically saying it's all been a giant fraud the whole time.
[00:05:40.836 --> 00:05:42.317]  So the House of Cards is coming down.
[00:05:42.357 --> 00:05:48.881]  Meanwhile, Texas Supreme Court rules mandatory mask orders here in Austin implemented by school districts are illegal.
[00:05:51.471 --> 00:06:03.399]  Israeli study finds natural immunity 13 times better than the inoculation immunity, which they now admit doesn't even work.
[00:06:04.180 --> 00:06:08.423]  That is all coming up today.
[00:06:10.163 --> 00:06:11.603]  And so much more.
[00:06:12.124 --> 00:06:21.927]  We'll show you our future, and we don't turn this around, of what's happening in Canada, and in Australia, the UK, and the continental area of Europe as well.
[00:06:22.127 --> 00:06:24.748]  Again, that is all coming up today.
[00:06:24.768 --> 00:06:25.448]  Chilling!
[00:06:26.008 --> 00:06:28.789]  Vaccinated Australians to be granted new freedom.
