[00:00:00.782 --> 00:00:04.684]  This is a Monday evening emergency broadcast.
[00:00:05.304 --> 00:00:11.368]  Please call your friends, your family, everyone you know, and tell them to tune in now and share this link.
[00:00:12.287 --> 00:00:25.995]  The Mark of the Beast is officially being announced as we speak and if humanity submits to this and lets them give us these worldwide medical ID cards, we're going under a communist Chinese social credit score.
[00:00:26.275 --> 00:00:33.479]  I'm about to lay out what's happening across the world and why it's so dangerous and why we must resist now or forever be slaves.
[00:00:34.124 --> 00:00:39.505]  It's Monday, July 19th, 2021, and I'm up here very late at night with Rob Doo putting out this emergency
[00:01:00.891 --> 00:01:15.676]  Alert this this emergency broadcast concerning total planetary social credit score enslavement system, not just being announced, but being deployed, being implemented.
[00:01:16.817 --> 00:01:22.979]  And I went home today at about six o'clock, saw my wife, saw my child, had some dinner.
[00:01:24.161 --> 00:01:25.962]  And then I had to come back and my wife understood.
[00:01:26.022 --> 00:01:27.462]  I said, I gotta call the crew.
[00:01:27.502 --> 00:01:35.585]  I gotta see who'll stay with me to come back up and shoot this special report because something this serious, you can't even wait till tomorrow.
[00:01:36.285 --> 00:01:39.366]  Because who knows if tomorrow will even be there when things like this are happening.
[00:01:40.926 --> 00:01:49.009]  All the developments happening are just over the top in a historical perspective.
[00:01:49.949 --> 00:01:52.510]  If you used a yardstick historically,
[00:01:53.775 --> 00:01:57.258]  Or a barometer as a historical measure.
[00:01:58.479 --> 00:02:05.905]  The type of tyranny we see being rolled out very quickly is the most intense tyranny the world's ever seen.
[00:02:06.666 --> 00:02:08.347]  It is simply staggering.
[00:02:09.328 --> 00:02:17.115]  And now the final pieces of a tyranny, the surveillance, the control, the checkpoints, the lockdown of the economy,
[00:02:18.757 --> 00:02:45.458]  Are coming to fruition and the final pieces of the violence of a tyranny, of a democide, of a genocide are here, not just with these poisoned inoculations masquerading as vaccines, but with the global lockdown still ongoing in India and many areas of Africa and other parts of the world that the UN admits has 280 plus million people extra on the verge of death
[00:02:46.058 --> 00:02:46.498]  We're good to go.
[00:03:10.612 --> 00:03:13.413]  And then the ones that sit back and say, oh, look, the whole world's starving to death.
[00:03:13.794 --> 00:03:14.934]  Give the UN more power.
[00:03:14.994 --> 00:03:16.035]  Give UNICEF more money.
[00:03:16.395 --> 00:03:17.415]  We'll feed the starving.
[00:03:17.836 --> 00:03:34.704]  Then we'll organize them into these UN refugee camps in Latin America, in Africa, in the Middle East, in Asia, and then invade the Western world with these people signed up with the UN to then be clients inside the West to basically have reverse colonization.
[00:03:35.244 --> 00:03:37.486]  So we're going to lay all of this out today.
[00:03:38.486 --> 00:03:39.967]  But first, the reason we're doing
[00:03:40.527 --> 00:03:56.178]  This emergency report that is front and center the global vaccine passport that is the foundation of the worldwide social credit score and what compliance with this incredible evil really means.
[00:03:56.558 --> 00:03:57.399]  Here's how it works.
[00:03:57.639 --> 00:04:04.323]  You download the Travel Pass app on your iPhone, then snap a selfie and scan your passport to verify your identity.
[00:04:04.944 --> 00:04:07.946]  If you're vaccinated, you can upload a copy of your certificate.
[00:04:09.557 --> 00:04:15.720]  If your destination requires a COVID test, you can book in at a participating lab.
[00:04:17.722 --> 00:04:20.283]  The results will automatically upload in the app.
[00:04:20.703 --> 00:04:22.985]  A green check mark means you're clear to travel.
[00:04:23.385 --> 00:04:30.669]  Now before I lay out this information and play the chilling clip from the British Prime Minister Boris Johnson,
[00:04:31.775 --> 00:04:42.417]  And break down what's happening in other areas of the world with this rollout of the World ID, the Social ID, the Medical ID that Klaus Schwab and the UN have been announcing that they want as their main goal for many years that's down here.
[00:04:42.437 --> 00:04:46.058]  I want to just give you a real world example of what we're talking about.
[00:04:47.058 --> 00:04:50.938]  Paul Joseph Watson has done work with Infowars off and on for 19 years.
[00:04:52.799 --> 00:04:53.819]  And he still writes for Infowars.
[00:04:53.859 --> 00:04:54.819]  He has his own site.
[00:04:56.099 --> 00:04:59.560]  I've tried to get Paul to move to the United States last year and a half.
[00:05:00.891 --> 00:05:13.175]  And I explained to him that London is an epicenter of the world to prepare the public for this world ID, for this world empire, for this world social credit score.
[00:05:13.215 --> 00:05:25.399]  And that as soon as they announced their Freedom Day six months ago, that was going to be in a few months, I said, Paul, they're going to move the goalpost of Freedom Day to the end of the summer.
[00:05:27.099 --> 00:05:27.860]  And I said, and then
[00:05:28.840 --> 00:05:32.323]  They're going, and I told him this on air, I told him this off air, I told you on air.
[00:05:33.524 --> 00:05:47.514]  I said, they will then announce, oh, Freedom Day is a medical ID on your phone and or a bracelet to be able to go out of your house and buy and sell and have a job or get on a boat or get on a train or get on an airplane.
[00:05:48.475 --> 00:05:51.597]  And Paul said, well, if that's the case, I'm going to leave when that happens.
[00:05:55.299 --> 00:05:57.200]  It's now happened, so I'm going to lay that out in a moment.
[00:05:57.220 --> 00:06:02.083]  Eddie Bravo, top jujitsu guy, one of the top guys in the world, if not the top guy.
[00:06:02.344 --> 00:06:04.545]  Definitely a trailblazer, good friend of mine of many years.
[00:06:04.565 --> 00:06:11.990]  One of the great French benefits of being friends with Joe Rogan for 22 years is I've been friends with Eddie Bravo for 16, 17 years.
[00:06:13.351 --> 00:06:14.252]  Eddie's an incredible guy.
[00:06:15.172 --> 00:06:18.995]  Funny, smart, you name it, and in many ways more awake than I am.
[00:06:19.035 --> 00:06:21.737]  I mean, he's into stuff and research that I haven't even done.
[00:06:23.564 --> 00:06:31.591]  I was just telling him a month ago when he was here for a big fight that he was sponsoring with some of his fighters, and I said, Eddie, you need to leave Los Angeles.
[00:06:31.611 --> 00:06:32.551]  You need to leave California.
[00:06:33.012 --> 00:06:34.613]  I said, they will bring back new lockdowns.
[00:06:34.653 --> 00:06:39.577]  He said, well, they claim they're ending them in a few months, but if they bring them back, I'm going to have to leave.
[00:06:41.539 --> 00:06:42.920]  Well, now they're bringing the lockdowns back.
[00:06:43.721 --> 00:06:47.564]  So this was a plan to never stop these lockdowns.
[00:06:47.584 --> 00:06:51.267]  This has always been the psychology of getting you to
[00:06:52.586 --> 00:07:03.468]  Submit to tyranny, submit to lockdown, submit to mask, submit to being tracked and traced, and then, oh, there's a lot of things in the tunnel, comply, and we'll loosen the noose around your neck.
[00:07:03.988 --> 00:07:05.349]  But they never really fully release it.
[00:07:05.709 --> 00:07:13.970]  They let it off a little bit, so in the future, when they finally draw the noose around your neck, you won't struggle or fight, and then they're never going to release it.
[00:07:14.410 --> 00:07:17.491]  So this is basic Pavlovian psychology, and
