[00:00:00.000 --> 00:00:20.000]  [Outro]
[00:00:20.223 --> 00:00:22.585]  The indictment and arrest of Danchenko.
[00:00:23.265 --> 00:00:32.232]  The entire Russiagate house of cards is now collapsing and even mainstream news is saying it leads right to Hillary Clinton and the highest levels of the Democratic Party.
[00:00:33.496 --> 00:00:37.897]  I broke all this down in a special two-hour report today with Roger Stone.
[00:00:38.197 --> 00:00:39.517]  It's posted to Band.Video.
[00:00:40.077 --> 00:00:50.500]  Now that all this incredible new information has come out and we have clarity about what really happened with Russiagate, it's important to go watch that groundbreaking historical interview with Roger Stone.
[00:00:50.580 --> 00:00:53.140]  It's going up as we speak to Band.Video.
[00:00:53.820 --> 00:01:00.742]  But here and now, I wanted to talk about an angle that is very, very important.
[00:01:01.567 --> 00:01:05.910]  To not just Russiagate, but to where America and the world is today in general.
[00:01:06.150 --> 00:01:06.611]  And it's this.
[00:01:07.291 --> 00:01:09.072]  An issue of lack of courage.
[00:01:09.793 --> 00:01:18.939]  An issue of a population that has become very jellyfish-like, even at the highest levels of government, including our intelligence agencies and our military.
[00:01:19.620 --> 00:01:23.723]  Our problem is not the evil people in the government.
[00:01:24.623 --> 00:01:28.626]  Our problem is that good men, as many of our founding fathers said, do nothing.
[00:01:29.278 --> 00:01:33.519]  The only thing that evil men and tyrants need to flourish is that good men do nothing.
[00:01:33.679 --> 00:01:51.584]  And when I look back at Russiagate and I look back at how the globalists that have conducted a coup over this country use that as a pretext to prosecute and persecute and spy on and demonize and sue and jail loyal Americans that were standing up and doing their duty.
[00:01:52.256 --> 00:02:01.619]  It's just disgusting to know that the vast majority of people in government were not involved in those crimes, but they sat back and they watched those crimes be committed.
[00:02:01.919 --> 00:02:02.600]  And I want to be clear.
[00:02:03.200 --> 00:02:07.261]  I'm not just talking about the crimes that were committed against Roger Stone or myself or many others.
[00:02:08.061 --> 00:02:14.584]  I'm talking about the crimes being committed by the corporate system that's hijacked our country.
[00:02:15.044 --> 00:02:16.885]  It's not the Russians that have hijacked our nation.
[00:02:16.985 --> 00:02:21.166]  It's not even the Communist Chinese, though they are heavily involved in espionage and they have infiltrated.
