[00:00:14.793 --> 00:00:15.894]  InfoWars.
[00:00:15.894 --> 00:00:19.635]  Tomorrow's news, today.
[00:00:19.635 --> 00:00:21.496]  The Alex Jones Show.
[00:00:21.496 --> 00:00:23.797]  There is a war on, for your mind.
[00:00:23.797 --> 00:00:27.539]  I mean, I'm not even worthy to be bringing you information this powerful.
[00:00:27.539 --> 00:00:32.401]  And I hope that you pay attention to what we cover here, minute by minute.
[00:00:32.401 --> 00:00:36.683]  Because I've had chills, uh, since last night.
[00:00:36.683 --> 00:00:39.444]  This just confirms everything else we've already researched.
[00:00:41.721 --> 00:00:52.688]  A Rockefeller study envisions future dictatorship controlled by elite, millions being killed, mandatory quarantines, checkpoints, the end of the family, everything that's in the other documents.
[00:00:52.688 --> 00:00:58.732]  But this dovetails with all the other Rockefeller Foundation documents about the GMO food to sterilize you and the forced vaccines.
[00:00:59.432 --> 00:01:05.475]  The hell we're already living in is just going to continue to intensify until we take our governments back from these eugenics madmen.
[00:01:05.475 --> 00:01:08.237]  But that story is up on PrisonPlanet.com.
[00:01:08.237 --> 00:01:11.579]  The question is, will you have the courage to really do the research yourself?
[00:01:11.579 --> 00:01:14.761]  Because I don't want you to just sit here and hear me make these claims.
[00:01:15.521 --> 00:01:27.394]  These people are so arrogant that they write policy papers, so many of them, that they're producing these policy papers and reports and white papers so fast that you could never read them all.
[00:01:27.394 --> 00:01:30.798]  It is an open conspiracy against you and your family.
[00:01:30.798 --> 00:01:35.303]  I pray to God, I pray to my Heavenly Father Jesus Christ every night to give me the strength
[00:01:36.124 --> 00:01:49.671]  And the will to be able to face this fire and to give me the strength to carry on because I know why a lot of you don't want to look at this information and just want to comment on the YouTube videos or on message boards that I'm a liar.
[00:01:49.671 --> 00:01:50.651]  I know why.
[00:01:50.651 --> 00:01:56.214]  Because it's scary.
[00:01:56.214 --> 00:02:00.596]  You're not going to be able to go to the ball games anymore.
[00:02:00.596 --> 00:02:02.957]  You're not going to be able to just go out and get drunk with your friends.
[00:02:02.957 --> 00:02:03.898]  You're not going to be able to just
[00:02:05.438 --> 00:02:08.641]  You know, go out and enjoy yourself all the time.
[00:02:08.641 --> 00:02:31.802]  The only chance we've got of beating this scientific dictatorship, this creeping death that takes its time to incrementally enslave you, mentally, psychologically, physically, spiritually, the only way to defeat it is for the rank and file of this planet to realize that you have a choice to make on what your destiny is going to be.
[00:02:33.459 --> 00:02:38.943]  Once you face this information, once you've consciously admitted it to yourself, it will take over your life.
[00:02:38.943 --> 00:02:41.065]  It should take over your life.
[00:02:41.065 --> 00:02:42.486]  I mean, what else?
[00:02:42.486 --> 00:02:45.749]  What else could it do?
[00:02:45.749 --> 00:02:56.097]  We've got to get past the artificial stigma that the controlled corporate media has been putting out for decades, ahead of their open, unveiling of planetary dictatorship.
[00:02:57.796 --> 00:03:01.199]  They all talk about how we need a police state to carry this out.
[00:03:01.199 --> 00:03:09.167]  Canada and the United States are going to work in lockstep to display the seriousness of our commitment at both home and abroad.
[00:03:09.167 --> 00:03:12.210]  Win, lose, or draw, you need to choose a side.
[00:03:13.371 --> 00:03:22.857]  The globalists have said in their white papers, in their own UN documents, that they want to create race-specific bioweapons and other systems to depopulate the planet.
[00:03:22.857 --> 00:03:30.021]  A lot of this, from my sources, is that they're preparing to release bioweapons, claiming that they're naturally occurring.
[00:03:30.481 --> 00:03:36.945]  And then use that as the cover for civil emergency, societal control, crackdowns on free speech.
[00:03:36.945 --> 00:03:39.467]  Obama put the internet kill switch in five years ago.
[00:03:39.467 --> 00:03:45.511]  And when he got confronted by Congress, he said, well, it's in case the bird flu or SARS gets out.
[00:03:45.511 --> 00:03:46.152]  Just type that in.
[00:03:46.932 --> 00:03:57.098]  CDC says internet kill switch is in case bird flu or SARS breaks out and they have to control panic and direct every website in the US to one government announcement.
[00:03:57.098 --> 00:04:11.067]  And we looked at every angle and believe a bioweapon release could be the thing they'd release to bring in a world government to counter a global problem and the UN has said that a global pandemic is the only thing that may save their world government.
[00:04:11.067 --> 00:04:12.988]  The answer to 1984.
[00:04:15.500 --> 00:04:30.010]  Info Wars has been banned.
[00:04:30.010 --> 00:04:30.431]  Arrested.
[00:04:33.952 --> 00:04:36.693]  Attacked and threatened.
[00:04:36.693 --> 00:04:38.154]  Because we are effective.
[00:04:38.154 --> 00:04:41.835]  The Great Awakening is here.
[00:04:41.835 --> 00:04:44.116]  Go to band.video.
[00:04:44.116 --> 00:04:46.197]  Download the videos and share.
[00:05:00.757 --> 00:05:06.840]  Hello, I'm Mike Lindell, and I'm coming to you with the most important commercial that I've ever done.
[00:05:06.840 --> 00:05:14.344]  All of you know what my pillow and myself have gone through in the last five months in my efforts to bring the truth forward.
[00:05:14.344 --> 00:05:16.645]  Well, it's all come down to this.
[00:05:16.645 --> 00:05:20.227]  I'm having a cyber symposium on August 10th, 11th, and 12th.
[00:05:22.148 --> 00:05:30.333]  This historical event will be live streamed 72 hours straight on my new platform, FrankSpeech.com.
[00:05:30.333 --> 00:05:36.237]  You can help by getting everybody you know to go to FrankSpeech.com now.
[00:05:36.237 --> 00:05:46.964]  To help support this cyber symposium event, I am offering some of the best prices ever on my pillow products, but they're only offered at FrankSpeech.com.
[00:05:46.964 --> 00:05:48.225]  Thank you and God bless.
[00:05:49.005 --> 00:05:54.631]  Go to frankspeech.com and enter promo code ALEX or call 800-675-4614 and use promo code ALEX.
[00:06:18.877 --> 00:06:37.308]  Ladies and gentlemen, thank you so much for joining us on this live August 9th, 2021 broadcast.
[00:06:37.308 --> 00:06:48.335]  I'm going to do my best to be here with you for the next four hours and I've kind of reached that point again here starting the broadcast where
[00:06:49.811 --> 00:07:00.600]  I just don't have ways to impart to people just how incredibly serious this entire situation is for civilization.
[00:07:00.600 --> 00:07:12.029]  And the fact that the decision has been made to cut the resources off of the planet and have a long controlled collapse into a new dark age that will kill at least 90% of the world population, that is the official plan.
[00:07:13.655 --> 00:07:30.240]  And so when you see Obama and the globalists partying at Martha's Vineyard, they're partying and celebrating the successful war and operations that they have been able to basically launch against humanity.
[00:07:30.240 --> 00:07:38.283]  And people like Obama are simply the front people of the more evil individuals
[00:07:39.755 --> 00:07:42.256]  that are in full control of that.
[00:07:42.256 --> 00:07:50.801]  And so I'm going to really, really, really do my best today to break all of that down for you.
[00:07:50.801 --> 00:08:01.708]  But the first thing I want to do is just let the listeners know that we're going to have to have a larger discussion here
[00:08:03.044 --> 00:08:23.366]  About what we're going to do about this because we've been trained since the advent of the radio and the television to be spectators and to only sit back and watch things as they happen, like it's a movie or a radio drama.
[00:08:24.969 --> 00:08:40.303]  And it's that development in human society that all the behavioral psychologists agree is what turned people into the passive jellyfish that we are today.
[00:08:40.303 --> 00:08:42.845]  And so I'm not ready to do the show at this time.
[00:08:42.845 --> 00:08:47.789]  I have a lot of stuff happen right before the show and then a train of other things that happened right as we began the show.
[00:08:47.789 --> 00:08:49.891]  Nobody's fault.
[00:08:49.891 --> 00:08:51.893]  So I'm going to air some special reports here.
[00:08:53.254 --> 00:08:57.376]  Then I'm going to really try to come back in a focused way with my headset working.
[00:08:57.376 --> 00:09:00.358]  And I'm going to try to do the show here.
[00:09:00.358 --> 00:09:05.581]  Again, thank you so much for joining us here today.
[00:09:05.581 --> 00:09:07.242]  Let's play clip 13.
[00:09:07.242 --> 00:09:09.804]  Let's cue that up.
[00:09:09.804 --> 00:09:13.126]  And let's get that ready here in a moment.
[00:09:13.126 --> 00:09:15.307]  We'll play that clip.
[00:09:15.307 --> 00:09:19.970]  And then we'll play one of these important John Bowne reports.
[00:09:21.926 --> 00:09:28.011]  And then we'll come back and we'll start the main broadcast on this Monday, August 9th show.
[00:09:28.011 --> 00:09:31.554]  Please stay with us.
[00:09:31.554 --> 00:09:33.455]  It's time for us to resist.
[00:09:33.455 --> 00:09:35.357]  They can't arrest all of us.
[00:09:35.357 --> 00:09:38.219]  They can't keep all of your kids home from school.
[00:09:38.219 --> 00:09:45.765]  They can't keep every government building closed, although I've got a long list of ones they might keep closed or might ought to keep closed.
[00:09:46.906 --> 00:09:53.211]  We don't have to accept the mandates, lockdowns, and harmful policies of the petty tyrants and bureaucrats.
[00:09:53.211 --> 00:09:55.553]  We can simply say no, not again.
[00:09:55.553 --> 00:10:02.038]  Nancy Pelosi, you will not arrest or stop me or anyone on my staff from doing our jobs.
[00:10:02.859 --> 00:10:07.223]  We have either had COVID, had the vaccine, or been offered the vaccine.
[00:10:07.223 --> 00:10:09.304]  We will make our own health choices.
[00:10:09.304 --> 00:10:11.466]  We will not show you a passport.
[00:10:11.466 --> 00:10:12.787]  We will not wear a mask.
[00:10:12.787 --> 00:10:20.113]  We will not be forced into random screenings and testings so you can continue your drunk with power reign over the Capitol.
[00:10:22.375 --> 00:10:27.438]  We will not accept your agency's mandates or your reported moves towards a lockdown.
