[00:00:19.286 --> 00:00:21.367]  It's Wednesday, August 25th.
[00:00:21.367 --> 00:00:24.048]  The year is 2021.
[00:00:24.048 --> 00:00:28.570]  And what an incredibly exciting and dangerous time to be alive.
[00:00:28.570 --> 00:00:30.871]  I am your host, Alex Jones.
[00:00:30.871 --> 00:00:36.013]  And we have world exclusive information so powerful.
[00:00:37.150 --> 00:00:46.116]  So over the top that I've got a frog in my throat, and I'm having basically an anxiety attack, unable to even cover it at this point.
[00:00:46.116 --> 00:00:50.039]  And I've been on air 27 years, that might have happened five times.
[00:00:50.039 --> 00:00:52.401]  I was less nervous watching my children be born.
[00:00:52.401 --> 00:00:57.784]  This is such an incredible time we're in, we've passed the point of no return.
[00:00:57.784 --> 00:01:05.470]  I have been doing a lot of preparation today, and I got so busy I didn't have time to go out there during the beginning of the show and write the live show headline.
[00:01:06.400 --> 00:01:26.033]  We put out every day that kind of gives you a flavor what the main theme of the transmission is and I'm just sitting back thinking about how huge this is and I don't know how to phrase it but we have all the evidence we have all the documentation we have all the background and we know what's going on and we know that it is the vaccinated
[00:01:27.005 --> 00:01:32.847]  They're the majority of the sick and dying and the ones releasing and sloughing these new variants.
[00:01:32.847 --> 00:01:39.870]  And I've got a ton of mainline science and documents and news proving that.
[00:01:39.870 --> 00:01:52.316]  And we also know that it's not just the quote Delta variant out there, but that they have, the smart money believes and people I really trust, released out of a laboratory what they're calling SARS-4.
[00:01:52.316 --> 00:01:53.876]  And that's why the vaccine is 100% ineffective.
[00:01:55.828 --> 00:02:04.112]  Whether it's the Pfizer, or the Moderna, or the J&J, or the AstraZeneca, or any of it.
[00:02:04.112 --> 00:02:07.494]  And so, this is a big, big deal.
[00:02:07.494 --> 00:02:12.316]  And I talk to people all over the country and all over the world.
[00:02:12.316 --> 00:02:14.037]  Things are coming to a standstill.
[00:02:15.931 --> 00:02:23.578]  Half the warehouses and other businesses and even public schools are having trouble reopening because so many people are sick from the inoculations.
[00:02:23.578 --> 00:02:27.101]  In fact, I actually covered this some on the show yesterday.
[00:02:27.101 --> 00:02:39.891]  We had a guest on, a PhD educator, who was exposing the fact that a lot of schools around the country this year couldn't open because so many of the people were sick.
[00:02:40.728 --> 00:02:46.410]  When they started taking the inoculations in January and February, and those numbers are continuing.
[00:02:46.410 --> 00:02:48.490]  I mean, it's just unbelievable.
[00:02:48.490 --> 00:03:00.434]  But the big news is, I've talked to a lot of really smart people, a lot of medical doctors, a lot of people in high-level, in former high-level in U.S.
[00:03:00.434 --> 00:03:02.975]  intelligence agencies, and others.
[00:03:04.028 --> 00:03:12.415]  And they've all concurred with the fact that this is an ongoing globalist bio attack and that we're facing a cocktail of attacks.
[00:03:12.415 --> 00:03:18.460]  And that's actually what the universities and other researchers are finding.
[00:03:18.460 --> 00:03:25.345]  So before we get into all of that, let me just show you something from the vault here.
[00:03:25.345 --> 00:03:26.966]  This is Fauci in March of 2020.
[00:03:29.817 --> 00:03:40.185]  18 months ago, 19 months ago, Fauci already knew about antibody-dependent enhancement and briefed about it in March of 2020 press briefing.
[00:03:40.185 --> 00:03:45.389]  ADE, how vaccines can enhance the disease and make things worse.
[00:03:45.389 --> 00:03:48.952]  And that's one of the things we see causing these problems.
[00:03:48.952 --> 00:03:52.594]  And now our own Kellan McBreen discovered yesterday that
[00:03:56.889 --> 00:04:04.475]  And nobody else has discovered this, that they're not counting people that have had the vaccine who die as if they had the vaccine.
[00:04:04.475 --> 00:04:06.017]  They just say they don't.
[00:04:06.017 --> 00:04:07.998]  So the numbers are even higher.
[00:04:07.998 --> 00:04:09.380]  Wait till we show you all this.
[00:04:09.380 --> 00:04:10.641]  It's just over the top.
[00:04:10.641 --> 00:04:15.385]  Let's take a break with Fauci saying the vaccine can be worse than the disease.
[00:04:16.587 --> 00:04:21.269]  The issue of safety is something that I want to make sure the American public understand.
[00:04:21.269 --> 00:04:30.033]  It's not only safety when you inject somebody and they get maybe an idiosyncratic reaction, they get a little allergic reaction, they get pain.
[00:04:30.033 --> 00:04:31.454]  There's safety associated
[00:04:32.034 --> 00:04:34.415]  Does the vaccine make you worse?
[00:04:34.415 --> 00:04:43.697]  And there are diseases in which you vaccinate someone, they get infected with what you're trying to protect them with, and you actually enhance the infection.
[00:04:43.697 --> 00:04:46.998]  You can get a good feel for that in animal models.
[00:04:46.998 --> 00:04:51.040]  So that's going to be interspersed at the same time that we're testing.
[00:04:51.040 --> 00:04:55.641]  Oh, well you test it on the general public and skip the animal models because you've already secretly done animal models.
[00:04:58.476 --> 00:05:02.198]  Not all vitamin and mineral supplements are equal.
[00:05:02.198 --> 00:05:03.298]  Many of them are synthetic.
[00:05:03.298 --> 00:05:05.259]  Many of them have fillers and additives.
[00:05:05.259 --> 00:05:08.241]  Many of them just pass right through the body and are not absorbed.
[00:05:08.241 --> 00:05:17.145]  Well, that's not the case with our incredibly popular, because it's so effective, product that has now been sold out for months, but it's finally back in stock.
[00:05:17.145 --> 00:05:19.647]  And that is Vitamin Mineral Fusion.
[00:05:19.647 --> 00:05:22.268]  All the essential vitamins, all the essential minerals,
[00:05:22.648 --> 00:05:26.769]  A bunch of key amino acids to help it upload better into your body and your cells.
[00:05:26.769 --> 00:05:27.730]  It's in powder form.
[00:05:27.730 --> 00:05:28.910]  It's great for children.
[00:05:28.910 --> 00:05:29.830]  It's great for adults.
[00:05:29.830 --> 00:05:34.372]  It's really important for folks that are older, because they don't absorb as well through their gut.
[00:05:34.372 --> 00:05:36.853]  So this liquid formula really, really does it.
[00:05:36.853 --> 00:05:42.135]  You mix up a pitcher of it every couple days, put it in the refrigerator or keep it out in the kitchen.
[00:05:42.135 --> 00:05:44.555]  And just remember to drink it in the morning and in the evening.
[00:05:44.555 --> 00:05:45.596]  It tastes great.
[00:05:45.596 --> 00:05:46.916]  It makes your body healthy.
[00:05:46.916 --> 00:05:48.617]  It boosts your immune system.
[00:05:48.617 --> 00:05:49.377]  And it's fun.
[00:05:49.397 --> 00:05:50.758]  Waging war on corruption.
[00:05:50.758 --> 00:05:54.241]  It's Alex Jones coming to you live from the front lines of the InfoWar.
[00:05:54.241 --> 00:05:57.864]  Alright, I have confirmed with multiple former heads of US intelligence agencies
[00:06:17.875 --> 00:06:33.127]  That there is a multinational bio-attack happening on the United States right now, and that multiple deadly viruses, one of them SARS-CoV-2, has been released in the last three months in the United States to bring us down.
[00:06:33.127 --> 00:06:41.875]  A year ago, I told you that they were counting everybody that was dying of heart attacks and car wrecks and gunshot wounds and pneumonia and the flu as COVID.
[00:06:41.875 --> 00:06:44.116]  That was basically overblown BS.
[00:06:44.116 --> 00:06:45.377]  The COVID was a real virus.
[00:06:46.383 --> 00:06:56.305]  A new chimera that they could own to then roll out a vaccine against it that would actually cause a live virus event and massive shedding.
[00:06:56.305 --> 00:07:13.609]  Well, I've known this for a few weeks and Mike Adams has alluded to it as well from his sources and deep research, but I in the last 48 hours have talked to a lot of high-level sources who have confirmed with current high-level individuals at Fort Detrick, Maryland,
[00:07:14.827 --> 00:07:28.151]  And in the Pentagon and in Interpol, that major universities are being told to suppress the isolated viruses they found that are SARS-4.
[00:07:28.151 --> 00:07:31.332]  And I already knew this information, again, a few weeks ago.
[00:07:31.332 --> 00:07:35.533]  I got more information a week ago and then I got even more information last night.
[00:07:35.533 --> 00:07:38.834]  And it was from basically the same quarters.
[00:07:38.834 --> 00:07:43.995]  And so this is a serious bioweapon attack on the United States, ladies and gentlemen.
[00:07:45.179 --> 00:07:55.142]  We're not sure how they're releasing it, maybe into air conditioning systems at grocery stores, shopping malls, but they are definitely deploying it, probably at airports.
[00:07:55.142 --> 00:07:56.583]  And this is the takedown of America.
[00:07:56.583 --> 00:08:00.905]  We're at war with China and China's sympathizers.
[00:08:00.905 --> 00:08:03.425]  And it is Biden's job to basically collapse the U.S.
[00:08:03.425 --> 00:08:05.486]  empire, bankrupt the U.S.
[00:08:05.486 --> 00:08:10.328]  dollar, bankrupt the middle class, bankrupt small landlords.
[00:08:11.601 --> 00:08:17.244]  And then have a permanent socialist communist class that'll burn the cities down if they're not giving all the free goodies.
[00:08:17.244 --> 00:08:23.307]  I'm going to be talking more about that coming up at the bottom of the hour.
[00:08:23.307 --> 00:08:27.530]  And folks, no, I don't just say things to sound official and stuff like that Q crap.
[00:08:28.507 --> 00:08:30.989]  But I tell ya, I got intel and I got research.
[00:08:30.989 --> 00:08:32.830]  It's bonafide.
[00:08:32.830 --> 00:08:34.952]  I make a mistake about 2% of the time.
[00:08:34.952 --> 00:08:36.914]  About 98% of the time we're dead on.
[00:08:36.914 --> 00:08:39.115]  And believe me, I wish I was wrong about this.
[00:08:39.115 --> 00:08:39.956]  We are not wrong.
[00:08:39.956 --> 00:08:42.778]  So you need to get ready to start burying a lot of your family.
[00:08:42.778 --> 00:08:46.441]  You need to get yourselves healthy as fast as you can.
[00:08:46.441 --> 00:08:50.644]  And you gotta get ready for the total breakdown of society and civilization.
[00:08:51.485 --> 00:08:57.789]  Because if you thought the supply chains went down the last year and a half, this is the beginning of the end.
[00:08:57.789 --> 00:09:03.373]  And I'm not somebody to be negative, I'm just going to be honest with you that you better brace for impact.
[00:09:03.373 --> 00:09:09.037]  When I say the end, the end of the world as we know it.
[00:09:09.037 --> 00:09:10.839]  Don't need to worry about that mortgage anymore.
[00:09:10.839 --> 00:09:14.881]  Don't need to worry about the stupid neighbor that dog craps in your yard.
[00:09:14.881 --> 00:09:17.223]  I wouldn't be worried about the 401k.
[00:09:17.223 --> 00:09:19.805]  You better be worried about getting ready and getting right with Jesus.
[00:09:21.049 --> 00:09:22.430]  Because this is it.
[00:09:22.430 --> 00:09:26.313]  China's going to invade Taiwan a whole nine yards.
[00:09:26.313 --> 00:09:30.196]  We're going to be busy over here dying.
[00:09:30.196 --> 00:09:34.078]  The enemies are not taking the shot.
[00:09:34.078 --> 00:09:36.860]  Because they know that's what gives it to you.
[00:09:36.860 --> 00:09:38.542]  That's why they're saying, get your third shot.
[00:09:39.462 --> 00:09:43.804]  When they take the third shot, that's when the really deadly mutations start being released.
[00:09:43.804 --> 00:09:50.288]  They've already tested all these viruses, and they know how they mutate in the body to actually mutate to be more deadly and more contagious.
[00:09:50.288 --> 00:09:56.050]  So they're using us as the factories to release it, but they're also releasing novel viruses themselves.
[00:09:56.050 --> 00:10:00.793]  We are under full bioweapon attack.
[00:10:00.793 --> 00:10:06.656]  Just like we're under full fentanyl attack, just like they're collapsing Afghanistan, collapsing the family.
[00:10:06.656 --> 00:10:08.397]  They are coming for you.
[00:10:10.387 --> 00:10:13.270]  Now, as usual, the left hand doesn't know what the right hand's doing.
[00:10:13.270 --> 00:10:14.911]  There's a lot of good medicine in this country.
[00:10:14.911 --> 00:10:16.933]  A lot of good doctors in this country.
[00:10:16.933 --> 00:10:20.296]  A lot of good people that are operating on their own track.
[00:10:20.296 --> 00:10:22.217]  You have the evil track and the good track.
[00:10:22.217 --> 00:10:25.560]  And then the track of people that don't know what they're doing that are the majority.
[00:10:25.560 --> 00:10:26.181]  Three tracks.
[00:10:26.181 --> 00:10:29.224]  The idiots, the good guys, and the bad guys.
[00:10:29.224 --> 00:10:30.425]  It's not the good, the bad, and the ugly.
[00:10:30.425 --> 00:10:34.528]  It's the good, the bad, and the asleep.
[00:10:34.528 --> 00:10:37.451]  And all hell's breaking loose.
[00:10:38.882 --> 00:10:44.065]  I want to play part of Tucker Carlson last night talking about how the globalists want you to be a slave and keep your mouth shut.
[00:10:44.065 --> 00:10:50.768]  Because it's an important piece, plus I've got one more phone call I need to make before I talk about this.
[00:10:50.768 --> 00:10:53.009]  And then we're going to come back and hit it all today.
[00:10:53.009 --> 00:10:54.950]  You do not want to miss this broadcast.
[00:10:54.950 --> 00:10:58.352]  I suggest you tell everybody you know, tune in right now.
[00:10:58.352 --> 00:11:01.054]  But again, the most important thing is getting right with God, okay?
[00:11:01.054 --> 00:11:01.714]  Here's Tucker Carlson.
[00:11:05.865 --> 00:11:08.166]  Good evening and welcome to Tucker Carlson Tonight.
[00:11:08.166 --> 00:11:09.866]  Ever get the feeling we've been here before?
[00:11:09.866 --> 00:11:12.167]  Oh, we have.
[00:11:12.167 --> 00:11:22.149]  At the height of the worst pandemic in American history, that would be the Spanish flu of 1918, cities across America did something that the rest of us would find familiar today.
[00:11:22.149 --> 00:11:27.071]  They issued mandatory mask mandates and they punished anyone who didn't comply.
[00:11:27.731 --> 00:11:36.895]  Quote, the man or woman or child who will not wear a mask now is a dangerous slacker, reads a typical announcement from the Red Cross at the time.
[00:11:36.895 --> 00:11:39.956]  The city of San Francisco took these rules very seriously.
[00:11:39.956 --> 00:11:45.519]  So seriously that a city health agent in San Francisco shot a man who refused to wear a mask.
[00:11:45.519 --> 00:11:48.200]  He hit the two bystanders who happened to be standing behind the man.
[00:11:49.349 --> 00:11:53.770]  Now that seemed a bit much to some people, but many other people thought it was fine.
[00:11:53.770 --> 00:11:54.931]  They went along with it.
[00:11:54.931 --> 00:11:56.871]  They were very afraid of the virus.
[00:11:56.871 --> 00:11:58.552]  They wanted to do their part to stop it.
[00:11:58.552 --> 00:12:00.872]  But most of all, they trusted their leaders.
[00:12:00.872 --> 00:12:04.874]  And if their leaders put a mandate in place, they assumed it was for a good reason.
[00:12:04.874 --> 00:12:05.794]  And they wanted to help.
[00:12:06.963 --> 00:12:10.705]  And then a single picture changed everything.
[00:12:10.705 --> 00:12:26.173]  A photographer who happened to be attending a boxing match in San Francisco snapped a shot of several high-ranking city officials, that would include the mayor of San Francisco, a member of Congress, a senior health administrator, all sitting at the event, all completely unmasked.
[00:12:27.332 --> 00:12:29.074]  The photograph went national.
