[00:00:16.105 --> 00:00:17.628]  Tomorrow's news, today.
[00:00:22.228 --> 00:00:26.632]  I'd like to report that later today I'll be signing the bill.
[00:00:26.632 --> 00:00:28.314]  America and China.
[00:00:28.314 --> 00:00:31.316]  Excuse me.
[00:00:31.316 --> 00:00:32.737]  I said that yesterday.
[00:00:32.737 --> 00:00:33.979]  We need to cut costs.
[00:00:33.979 --> 00:00:34.819]  Are you okay?
[00:00:34.819 --> 00:00:41.645]  What I have is a one-and-a-half-year-old grandson who had a cold who likes to kiss his pop.
[00:00:41.645 --> 00:00:43.947]  And he's been kissing it anyway.
[00:00:43.947 --> 00:00:45.669]  So, but it's just a cold.
[00:00:45.669 --> 00:00:48.932]  Deep State announces plan to remove Biden from office.
[00:00:50.342 --> 00:00:54.384]  And just like that, you wondered how they would begin the announcement.
[00:00:54.384 --> 00:01:05.829]  We're gonna have Kamala Harris step in, and Pete Buttigieg is a member of the Cabinet, the Transportation Department, and he'll be the first gay vice president, so we've gotta accept it!
[00:01:05.829 --> 00:01:09.970]  Uh, I would imagine we've probably had excellent presidents who were gay, we just didn't know which ones.
[00:01:09.970 --> 00:01:12.151]  You believe that we've had a gay commander-in-chief?
[00:01:12.151 --> 00:01:14.652]  I mean, statistically, it's almost certain.
[00:01:14.652 --> 00:01:15.733]  The first black
[00:01:16.491 --> 00:01:19.874]  President, oh, after Obama.
[00:01:19.874 --> 00:01:27.780]  I don't think that it's completely impossible for Kamala Harris to improve her image and put herself in a potentially winnable position going forward.
[00:01:27.780 --> 00:01:32.003]  But it has to be activated and done with a plan, right?
[00:01:32.003 --> 00:01:34.085]  She certainly has been sent on suicide missions.
[00:01:34.085 --> 00:01:43.012]  I mean, the one we just talked about, immigration, they sent Kamala down to the border to basically deal with a nearly impossible problem to rectify at this point in time.
[00:01:43.012 --> 00:01:45.394]  Harris and Buttigieg under the spotlight.
[00:01:46.596 --> 00:01:50.861]  Amid uncertainty over Biden's future.
[00:01:50.861 --> 00:01:52.162]  Just suddenly, it's in the news.
[00:01:52.162 --> 00:01:55.786]  Washington Post admits Biden may not be the nominee in 2024.
[00:01:55.786 --> 00:02:04.076]  Looks to Pete Buttigieg and Kamala Harris, both super unpopular, but both minions of the globalists.
[00:02:04.076 --> 00:02:05.658]  That's their plan, ladies and gentlemen.
[00:02:06.437 --> 00:02:18.623]  Now, how do you take somebody like Biden, who's been their puppet and who's taken all the blame for their globalist agenda, and who was a horrible person in his own right, but now not mentally even cognizant of his own actions?
[00:02:18.623 --> 00:02:24.486]  The president asked me to be in charge of managing that piece, then President Trump.
[00:02:24.486 --> 00:02:26.207]  Excuse me, Freudian slip.
[00:02:26.207 --> 00:02:29.328]  That was the last president he caused anyway.
[00:02:29.328 --> 00:02:30.369]  And how do you take
[00:02:31.323 --> 00:02:31.503]  Yeah.
[00:02:52.262 --> 00:02:52.963]  We're good to go.
[00:03:10.041 --> 00:03:27.411]  The number one threat is people that question lockdowns and people that question election fraud and people that protest drag queen story time and pedophile story time and critical race theory and communism being taught via the National Education Association through the school districts.
[00:03:28.308 --> 00:03:45.838]  And just like we saw the assassination of Lincoln back in the 1860s, leading to a decade of martial law, really nationwide, not just in the South, and Reconstruction, and that mini-civil war that went on for decades, they want the same thing here.
[00:03:45.838 --> 00:03:56.665]  And if you don't see that in the tea leaves, if you don't see that written on the wall, like Ezekiel saw it writing on the wall, I mean, if you don't see their next move, well, you're blind.
[00:03:59.560 --> 00:04:01.261]  The answer to 1984 is 1776.
[00:04:01.261 --> 00:04:14.732]  Info Wars has been banned.
[00:04:14.732 --> 00:04:15.452]  Arrested.
[00:04:15.452 --> 00:04:23.818]  Attacked and threatened.
[00:04:23.818 --> 00:04:27.101]  Because we are effective.
[00:04:30.283 --> 00:04:32.585]  Go to Banned.Video.
[00:04:32.585 --> 00:04:36.707]  Download the videos and share.
[00:04:36.707 --> 00:04:44.032]  Support the Information War at InfoWarStore.com.
[00:04:44.032 --> 00:04:45.773]  And never give up the fight.
[00:05:01.234 --> 00:05:04.395]  I have a question to ask you.
