[00:00:12.657 --> 00:00:14.759]  It's Tuesday, March 23rd.
[00:00:14.759 --> 00:00:16.621]  The year is 2021.
[00:00:16.621 --> 00:00:18.903]  I am your host, Alex Jones.
[00:00:18.903 --> 00:00:27.070]  And the entire planet and all of humanity is going through the most important test in all of our species development.
[00:00:27.070 --> 00:00:31.834]  We have a breakaway civilization of globalists establishing a scientific dictatorship.
[00:00:31.834 --> 00:00:35.898]  And if they can get us to do absurd, stupid things and submit
[00:00:37.068 --> 00:00:39.910]  They can roll out the next phases of their operation.
[00:00:39.910 --> 00:00:59.405]  They are now announcing in the UK, other blue states and blue cities in the US are announcing, like Oregon, permanent mask never to be removed, permanent social distancing, permanently working from our homes unless we are specially authorized big tech company personnel or big box store Walmart or Amazon people.
[00:00:59.405 --> 00:01:01.087]  This is a total vertical integration.
[00:01:01.087 --> 00:01:02.488]  These companies are taking the planet over.
[00:01:03.405 --> 00:01:10.029]  What's left of Main Street, what's left of the farms, what's left of that is being destroyed all over the world.
[00:01:10.029 --> 00:01:22.897]  This is a systematic criminal plan where they train the domesticated public to sign on to it because they're heroes and they stay in for two weeks to cut the curve and they wear their masks to save lives.
[00:01:23.562 --> 00:01:28.149]  And now they've come out and admitted, oh, this is really just the gray reset that came out in the last few weeks.
[00:01:28.149 --> 00:01:30.773]  Except, oh, we're just doing this to cut carbon footprint.
[00:01:30.773 --> 00:01:32.055]  It has nothing to do with COVID.
[00:01:32.055 --> 00:01:34.379]  COVID is just like the normal cold, normal flu.
[00:01:35.470 --> 00:01:44.995]  And still the sheep will do it because they like to show how they're good and just get the mindless dopamine of being heroes that survived the apocalypse.
[00:01:44.995 --> 00:01:49.378]  When the real apocalypse is the Great Reset and the takeover, I'll be covering next segment.
[00:01:49.378 --> 00:01:54.781]  But now we see the pure evil arrogance of the puppet Vice President Kamala Harris.
[00:01:54.781 --> 00:02:02.305]  Now with all the powers of Joe Biden, the zombie president being transferred to her, and she's getting on Air Force Two, and we'll play the clip in a moment, and they say, Hey,
[00:02:03.432 --> 00:02:04.453]  Any plans to go to the border?
[00:02:04.453 --> 00:02:08.594]  And she does her witch's cackle because that's her answer to everything.
[00:02:08.594 --> 00:02:10.795]  Because she doesn't need to have voters.
[00:02:10.795 --> 00:02:12.576]  She doesn't need to be popular.
[00:02:12.576 --> 00:02:17.998]  She just needs to be a puppet and take the heat while the globalists collapse our country.
[00:02:17.998 --> 00:02:25.421]  Do you have plans to visit the border?
[00:02:25.421 --> 00:02:27.281]  Not today.
[00:02:27.281 --> 00:02:29.822]  But I have before and I'm sure I will again.
[00:02:29.822 --> 00:02:31.643]  But it gets even worse with Psaki.
[00:02:32.842 --> 00:02:34.683]  Saying there isn't a crisis at the border.
[00:02:34.683 --> 00:02:36.364]  There isn't a crisis at the border.
[00:02:36.364 --> 00:02:46.468]  She was confronted by the incredible Project Veritas footage of scenes way worse than under Obama and way, way worse than under Trump, who tried to fix it.
[00:02:46.468 --> 00:02:51.310]  And again, it's Joe Biden that said during the election, Oh, surge the border if I get elected, I'll let you in.
[00:02:51.310 --> 00:02:52.511]  They're all wearing Biden shirts.
[00:02:52.511 --> 00:02:56.853]  So they literally trigger this crisis, blame Trump, blame the American people, blame the border patrol.
[00:02:56.853 --> 00:02:59.134]  That's one of the best agencies we've got busting their ass.
[00:03:00.077 --> 00:03:02.822]  And then he says, Surge up here, but he's still the good guy.
[00:03:02.822 --> 00:03:12.439]  And then now, here is the clip of Saki about our own troops being given metal shavings, getting sick from the food, food poisoning, sleeping on the floor for months.
[00:03:13.474 --> 00:03:16.918]  She says, oh, well, Joe Biden at least said he was concerned.
[00:03:16.918 --> 00:03:18.680]  So it's a virtue signal.
[00:03:18.680 --> 00:03:19.681]  Let them eat cake.
[00:03:19.681 --> 00:03:20.582]  Here it is.
[00:03:20.582 --> 00:03:22.424]  Also, you are opening up new facilities.
[00:03:22.424 --> 00:03:30.512]  One of the options that's being reported over the weekend is spending $86 million on hotel rooms for some migrants and feeding them.
[00:03:30.512 --> 00:03:34.917]  How do you square that with the National Guard troops?
[00:03:35.856 --> 00:03:44.565]  Who were sleeping in parking garages and, you know, some of them got sick from having contaminated food.
[00:03:44.565 --> 00:03:52.093]  That's a disparity a lot of people are pointing out, that our National Guard was treated one way and then illegal immigrants are going to be put in hotel rooms.
[00:03:52.293 --> 00:04:11.402]  Well, first let me say that at the time when we became aware of the conditions National Guard troops were in, in parking garages as you noted, the President called the head of the National Guard that day and offered his assistance, offered to play any role that he could play.
[00:04:11.402 --> 00:04:19.066]  Boosting morale, asking for more aid, making sure they had the right, were treated in the way that they deserved for the incredible role they've played.
[00:04:19.526 --> 00:04:23.610]  So, uh, I know that was some time ago, but that was the reaction.
[00:04:23.610 --> 00:04:25.272]  They're rubbing your noses in it.
[00:04:25.272 --> 00:04:27.674]  They're testing you to see what they can get away with.
[00:04:27.674 --> 00:04:29.756]  They're conditioning you to accept tyranny.
[00:04:29.756 --> 00:04:31.778]  Humanity must awaken and say, no, we'll be right back.
[00:04:58.457 --> 00:05:06.528]  As you know, we're always upping our game at InfoWars, and we brought you a new supplement, a new product that we know you're going to love, especially if you have trouble sleeping.
[00:05:06.528 --> 00:05:07.589]  It is Down and Out.
[00:05:07.589 --> 00:05:09.412]  We don't mean bankrupt under a bridge.
[00:05:09.412 --> 00:05:12.416]  We mean down your bed, sleeping hard throughout the night.
[00:05:12.416 --> 00:05:13.057]  It's got four
[00:05:13.237 --> 00:05:13.557]  I think so.
[00:05:34.697 --> 00:05:37.199]  If you take it sublingually, under the tongue, oh!
[00:05:37.199 --> 00:05:38.480]  How about blasting off to sleep?
[00:05:38.480 --> 00:05:39.200]  It's incredible.
[00:05:39.200 --> 00:05:41.722]  It's basically a liquid formula of rocket rest.
[00:05:41.722 --> 00:05:44.204]  It's so popular, we can't keep it in stock.
[00:05:44.204 --> 00:05:48.267]  Get yours today, down and out, exclusively at InfoWarsTore.com.
[00:05:48.267 --> 00:05:51.469]  40% off, out of the gates, with free shipping, while supplies last.
[00:05:51.469 --> 00:05:52.590]  Down and out.
[00:05:52.590 --> 00:05:53.611]  InfoWarsTore.com.
[00:06:06.095 --> 00:06:08.037]  It's Tuesday, March 23rd, 2021.
[00:06:08.037 --> 00:06:15.245]  I'm Alex Jones, your host, and as we speak, I'm about to arrive at the studio and complete the transmission live.
[00:06:15.245 --> 00:06:21.572]  But I'm coming to you from earlier today in the space-time continuum as major news and information breaks.
[00:06:22.259 --> 00:06:27.102]  We're about to premiere this amazing report that only you can share with others and defeat the globalists.
[00:06:27.102 --> 00:06:28.942]  This is seriously a mission.
[00:06:28.942 --> 00:06:31.384]  We are seriously on the cutting edge of this fight.
[00:06:31.384 --> 00:06:33.365]  So many others claim they're on the cutting edge.
[00:06:33.365 --> 00:06:35.306]  Others claim they've got the political answers.
[00:06:35.306 --> 00:06:37.047]  Others claim they understand how the world really works.
[00:06:37.047 --> 00:06:38.287]  I wish they did.
[00:06:38.287 --> 00:06:39.608]  We wouldn't be in this trouble.
[00:06:39.608 --> 00:06:45.371]  We're under attack because we study the globalist source documents themselves and we know their program.
[00:06:45.371 --> 00:06:46.251]  We know their operation.
[00:06:46.251 --> 00:06:49.473]  We know how to defeat this group of control freaks and sociopaths.
[00:06:50.166 --> 00:06:51.627]  So the report is at Band.Video.
[00:06:51.627 --> 00:06:53.268]  It's also Infowars.com.
[00:06:53.268 --> 00:06:56.311]  The age of genetically modified humans has arrived.
[00:06:56.311 --> 00:06:58.553]  If you're a radio listener, understand.
[00:06:58.553 --> 00:06:59.934]  You can't see this.
[00:06:59.934 --> 00:07:05.258]  Everyone watching and sharing it can see the documents, see the reports, see the quotes themselves.
[00:07:05.258 --> 00:07:10.742]  That's why it's so important to get this information, to check it out for yourself, and then share it with others.
[00:07:10.742 --> 00:07:14.305]  This is a massive criminal genetic takeover of the planet.
[00:07:14.305 --> 00:07:15.926]  This is the final revolution.
[00:07:15.926 --> 00:07:18.688]  Here is Greg Reese's report at Band.Video.
[00:07:20.029 --> 00:07:42.414]  Johns Hopkins Center for Health Security, a think tank started 23 years ago in 1998, has conducted dozens of exercises on simulated pandemics and bioweapons attacks, including Operation Dark Winter in 2001, where one of the main objectives was how to force vaccinate an uncooperative population.
[00:07:43.246 --> 00:07:51.389]  Atlantic Storm in 2005 addressed the logistics of mass vaccinations and military quarantines.
[00:07:51.389 --> 00:07:58.252]  Clade X in 2018 pushed for radical fast-tracking of vaccine production.
[00:07:58.252 --> 00:08:03.594]  Crimson Contagion was a massive exercise launched in January of 2019.
[00:08:03.594 --> 00:08:11.037]  It involved scores of organizations, public and private, from both the federal and state level.
[00:08:11.716 --> 00:08:20.160]  Crimson Contagion lasted for over half a year and was based on a severe pandemic that originated in China.
[00:08:20.160 --> 00:08:37.430]  On October 18th of 2019, John Hopkins partnered with the World Economic Forum and the Bill and Melinda Gates Foundation to sponsor Event 201, a simulation wherein an outbreak of a bat coronavirus kills 65 million people.
[00:08:39.119 --> 00:08:42.662]  The culmination of all these studies was published in November of 2019.
[00:08:42.662 --> 00:08:49.307]  The CSIS Commission on Strengthening America's Health Security urges the U.S.
[00:08:49.307 --> 00:09:01.937]  government to, quote, replace the cycle of crisis and complacency that has long plagued health security preparedness with a doctrine of continuous prevention, protection, and resilience.
[00:09:01.937 --> 00:09:07.302]  In other words, they're calling for the medical tyranny we are now seeing manifest around us.
[00:09:08.480 --> 00:09:11.704]  Signed by former military, big pharma, and U.S.
[00:09:11.704 --> 00:09:23.500]  representatives, the CSIS document calls for continuous rapid vaccines, while also warning that the vaccines may go wrong and start spreading more disease.
[00:09:24.708 --> 00:09:28.210]  And on that subject, what disease are we talking about?
[00:09:28.210 --> 00:09:33.854]  After a year of COVID-19, the numbers show us it is no more deadly than the common cold.
[00:09:33.854 --> 00:09:40.038]  And even the WHO admit that all the PCR tests from 2020 are meaningless.
[00:09:40.038 --> 00:09:44.821]  And they had the vaccine before the mysterious outbreak ever occurred.
[00:09:44.821 --> 00:09:49.564]  The agenda is now clearly about endless vaccinations for everyone.
[00:09:50.516 --> 00:09:55.897]  New mRNA vaccines that have never gone through human testing until now.
[00:09:55.897 --> 00:10:05.860]  The same controversial technology as the CRISPR tech, wherein one can easily splice human DNA and permanently modify it.
[00:10:05.860 --> 00:10:08.841]  They say the possibilities are endless.
[00:10:08.841 --> 00:10:12.442]  So now we can target nearly any sequence in our own genetic code at will.
[00:10:13.681 --> 00:10:24.110]  Jennifer Doudna, who won the Nobel Prize for CRISPR, tried calling for a worldwide moratorium on any clinical application of gene editing using CRISPR.
[00:10:24.110 --> 00:10:25.872]  But no one seemed to care.
[00:10:25.872 --> 00:10:36.601]  Not only does there seem to be zero regulation, but anyone can cheaply buy and learn what they need to online to permanently change the genome in practically any living creature.
[00:10:38.082 --> 00:10:45.325]  Coming straight to you from my garage lab and I want to talk to you about how to genetically engineer a human being.
[00:10:45.325 --> 00:10:50.267]  The mRNA vaccine is based on CRISPR technology.
[00:10:50.267 --> 00:10:59.370]  China recently used CRISPR tech to genetically modify babies to be immune to HIV and as a result lessened their lifespans.
[00:11:00.268 --> 00:11:04.049]  Just like CSIS warned, it all may go wrong.
[00:11:04.049 --> 00:11:06.829]  And when it does, Big Pharma et al.
[00:11:06.829 --> 00:11:09.630]  is free from any and all liability.
[00:11:09.630 --> 00:11:15.571]  The solution will be more gene-altering vaccinations until they finally get it right.
[00:11:15.571 --> 00:11:16.611]  Or not.
[00:11:16.611 --> 00:11:24.633]  Eventually, and certainly sooner rather than later, an unaltered natural human body will be considered a biohazard.
[00:11:25.660 --> 00:11:30.721]  And full control over the human genome will become the new normal.
[00:11:30.721 --> 00:11:35.622]  Without argument, we are now in the era of genetically modified humans.
[00:11:35.622 --> 00:11:44.483]  And while millions are gleefully lining up to get their experimental gene editing jab, others are being tagged like chattel.
[00:11:44.483 --> 00:11:54.165]  Vaccine passports, vaccine certificates, and freedom bracelets made by the same company that specializes in prison monitoring bracelets.
[00:11:55.709 --> 00:11:58.835]  And now we have a new think tank simulation.
[00:11:58.835 --> 00:12:00.799]  The Spars pandemic.
[00:12:00.799 --> 00:12:04.125]  Another outbreak and another vaccine.
[00:12:04.125 --> 00:12:07.351]  With warnings of the anti-vaccination movement.
[00:12:08.217 --> 00:12:28.305]  And don't forget the Rockefeller Foundation's Scenarios for the Future of Technology and International Development, Lockstep, wherein they illustrate plans to use pandemics and big pharma to usher in a world of tighter, top-down government control and more authoritarian leadership.
[00:12:28.305 --> 00:12:35.508]  Get ready for the next round, because without any opposition, this thing keeps going straight into the abyss.
[00:12:36.824 --> 00:12:39.327]  For InfoWars.com, this is Greg Reese.
[00:12:55.879 --> 00:13:02.102]  Human reproduction, humans eating, humans farming, humans doing anything, humans flying in airplanes.
[00:13:02.102 --> 00:13:04.684]  Here's the latest article on InfoWars.com.
[00:13:04.684 --> 00:13:05.564]  Eat the bugs!
[00:13:05.564 --> 00:13:10.707]  World Economic Forum claims bugs are our future in another great reset PSA.
[00:13:11.624 --> 00:13:28.359]  So they had a PSA a month ago saying it's so good we shut the planet down for carbon, we need to have regular carbon shutdowns, carbon martial law, and now they're back to, you will eat bugs, you will eat synthetic meat, and you will drink sewage, and you will eat water weeds.
[00:13:28.359 --> 00:13:34.925]  These are all things they can breed in giant factories, where they don't have to compete with farms, and ranches, and dairies.
[00:13:35.979 --> 00:13:41.381]  They're like, why do they come up with weeds and synthetic meat grown in vats in warehouses?
[00:13:41.381 --> 00:13:43.402]  And why do they come up with bugs?
[00:13:43.402 --> 00:13:45.063]  Because there's no industries that do that.
[00:13:45.063 --> 00:13:46.924]  There's no people doing that.
[00:13:46.924 --> 00:13:49.425]  That's got the same carbon footprint, probably higher.
[00:13:49.425 --> 00:13:54.367]  It's all about weird stuff they come up with and then mandate and then dystopically teach you all this.
[00:13:54.367 --> 00:13:55.467]  And it gets worse.
[00:13:55.467 --> 00:13:59.529]  Another article on FullHorse.com that links to the BBC, Reuters, all of it.
[00:13:59.529 --> 00:14:03.811]  Oh, UK health ministers say that we're never going to end the lockdown.
[00:14:04.668 --> 00:14:06.530]  And we're never going to end wearing the mask.
[00:14:06.530 --> 00:14:09.154]  And it says because the public is now habituated.
[00:14:09.154 --> 00:14:11.036]  That was always the plan.
[00:14:11.036 --> 00:14:12.258]  To habituate you.
[00:14:12.258 --> 00:14:13.720]  To get you to submit.
[00:14:13.720 --> 00:14:15.602]  To get you to live in fear.
[00:14:15.602 --> 00:14:18.285]  I was at Yale today at Skull and Bones.
[00:14:18.285 --> 00:14:19.407]  The report will be out in a few days.
[00:14:20.257 --> 00:14:26.719]  And most people were listeners and shook my hands, but a minority of people came over and just said, screw you, I'm not going to believe what you say.
[00:14:26.719 --> 00:14:27.779]  That's not Skull and Bones.
[00:14:27.779 --> 00:14:29.880]  That's not a satanic order.
[00:14:29.880 --> 00:14:31.100]  Oh, are the frogs gay?
[00:14:31.100 --> 00:14:31.601]  Ha ha ha.
[00:14:31.601 --> 00:14:34.401]  And all the evidences were being sterilized by advertising in the water.
[00:14:34.401 --> 00:14:36.162]  It's in even the mainstream news.
[00:14:36.162 --> 00:14:45.625]  But they couldn't even get out of the fact that they're caught in the system and that they've given up their life force and that they are subserving themselves to this system.
[00:14:45.625 --> 00:14:47.846]  You can see the deadness in their eyes.
[00:14:47.846 --> 00:14:49.046]  Some were black, some were white.
[00:14:49.642 --> 00:15:01.789]  But they all looked like a spiritual spider had put fangs into them, or a spiritual mosquito had put a proboscis into them, and sucked their very soul out of them.
[00:15:01.789 --> 00:15:17.497]  And they were now just giggling, snickering wraiths, who were slaves of the system, but just couldn't help it, wearing their masks, and then pulling them down to cuss at me, and then putting them back up, pulling them down to cuss, putting them back up, like marionettes that a globalist has their hand up in controlling.
[00:15:17.497 --> 00:15:18.398]  And I felt sorry for them.
[00:15:18.398 --> 00:15:19.138]  I was not their enemy.
[00:15:19.790 --> 00:15:25.208]  It's just so sad to see people working for the establishment when it's so corrupt and believing they're rebels.
[00:15:25.959 --> 00:15:38.903]  Because the establishment tells them they're elitist, tells them they're cool, tells them they're smart, they're anointed, they're the liberals, they're the great people as they burn books, as they ban books, as they back communist China, and all the incredible enslavement.
[00:15:38.903 --> 00:15:39.623]  It's just amazing.
[00:15:39.623 --> 00:15:41.284]  So, this report needs to be seen.
[00:15:41.284 --> 00:15:43.044]  Greg's reports are always powerful.
[00:15:43.044 --> 00:15:44.605]  This one's particularly important.
[00:15:44.605 --> 00:15:46.565]  I know he worked on it for a whole week.
[00:15:46.565 --> 00:15:48.786]  He's got a part two coming out very, very soon.
[00:15:48.786 --> 00:15:49.506]  Please stay with us.
[00:15:49.506 --> 00:15:52.227]  InfoWars.com, ChristopherPlanta.com.
[00:15:52.227 --> 00:15:53.648]  Tomorrow's news today.
[00:15:53.648 --> 00:15:54.328]  We'll be right back.
[00:15:59.444 --> 00:16:05.170]  Snowden and others taught us how mobile phones are constantly spying on us.
[00:16:05.170 --> 00:16:12.017]  Not just tracking and recording our GPS location, but recording audio and video as well.
[00:16:12.017 --> 00:16:13.659]  With or without a battery.
[00:16:14.446 --> 00:16:20.535]  Now, with the Infowars Privacy Pouch, you can go dark wherever you choose.
[00:16:20.535 --> 00:16:21.396]  Excellent.
[00:16:21.396 --> 00:16:27.003]  Now I have my own compact Faraday cage I can take wherever I want.
[00:16:27.003 --> 00:16:30.027]  And you can too, at InfowarsStore.com.
[00:16:31.589 --> 00:16:42.358]  Government agencies, identity thieves, tech giants, and now contact tracers are all tracking your every move through your mobile phone.
[00:16:42.358 --> 00:16:47.282]  Now you can have the power to easily cut them off and go dark.
[00:16:47.282 --> 00:16:53.187]  Support the InfoWar and get your InfoWars privacy pouch today.
[00:16:53.187 --> 00:16:54.288]  InfoWarStore.com
[00:16:57.000 --> 00:17:04.904]  Emerix Essentials is all-natural, all-organic, high-end, quality, clean, self-care products.
[00:17:04.904 --> 00:17:08.586]  And they are 50% off right now at Impowar stores.
[00:17:11.030 --> 00:17:11.450]  I think so.
[00:17:34.058 --> 00:17:37.360]  Deodorant from Enrich Essentials.
[00:17:37.360 --> 00:17:39.221]  50% off and free shipping.
[00:17:39.221 --> 00:17:42.342]  Part of our big blowout sale that's taking place right now.
[00:17:42.342 --> 00:17:46.785]  We also have Brain Force plus Nootropic back in stock.
[00:17:46.785 --> 00:17:51.027]  It's 50% off as well at MFullWorthStore.com.
[00:17:51.027 --> 00:17:55.229]  50% off and free shipping right now at MFullWorthStore.com on these select items.
[00:18:00.783 --> 00:18:03.388]  You're listening to The Alex Jones Show.
[00:18:11.218 --> 00:18:16.223]  I would in fact make sure that there is, we immediately surge to the border.
[00:18:16.223 --> 00:18:18.124]  All those people are seeking asylum.
[00:18:18.124 --> 00:18:19.125]  They deserve to be heard.
[00:18:19.125 --> 00:18:20.306]  That's who we are.
[00:18:20.306 --> 00:18:24.830]  We're a nation that says if you want to flee and you're fleeing oppression, you should come.
[00:18:24.830 --> 00:18:36.040]  Just six months ago, then candidate Joe Biden, before he had stolen the election, went on national television and told illegal aliens and their families to rush the U.S.
[00:18:36.040 --> 00:18:36.580]  border.
[00:18:36.580 --> 00:18:38.202]  He said, surge the border.
[00:18:38.971 --> 00:18:46.827]  Now that they've surged at the highest levels ever seen with massive caravans slamming into California, Texas, New Mexico, Arizona every day.
[00:18:47.759 --> 00:18:59.366]  He's totally silent on it, and Kamala Harris, the Vice President Puppet in Chief, she makes jokes about it and says, ha ha ha, no I'm not going to the border, don't have any plans to right now.
