[00:00:00.370 --> 00:00:01.552]  It's on InfoWars.com.
[00:00:01.592 --> 00:00:03.835]  It's a John Hopkins illustration with their data.
[00:00:04.216 --> 00:00:06.941]  Video illustrates how COVID vaccines have totally backfired.
[00:00:08.443 --> 00:00:10.286]  No, my friends, it's not backfired.
[00:00:10.326 --> 00:00:11.148]  There it is on screen.
[00:00:14.051 --> 00:00:20.915]  Everywhere in the world, when the vaccine starts, when the injection starts, it skyrockets to all-time record highs.
[00:00:21.775 --> 00:00:26.458]  This, out of all the videos we've seen, is the video to send your neighbors, your friends, your family.
[00:00:26.478 --> 00:00:27.959]  A lot of them have already taken the shots.
[00:00:27.999 --> 00:00:29.099]  They don't want to admit they were conned.
[00:00:29.460 --> 00:00:30.520]  They don't want to admit they were wrong.
[00:00:30.960 --> 00:00:31.961]  But this will wake them up.
[00:00:32.181 --> 00:00:35.103]  These are real numbers from John Hopkins all over the world.
[00:00:36.297 --> 00:00:37.520]  And I think I'm going to change the headline.
[00:00:37.560 --> 00:00:38.583]  Kellyanne McBrain did a great job.
[00:00:38.603 --> 00:00:41.390]  He says video illustrates how COVID vaccines have totally backfired.
[00:00:42.193 --> 00:00:49.216]   John Hopkins illustration proves COVID shots causing illness and death.
[00:00:50.076 --> 00:00:51.617]  Causing majority of illness and death.
[00:00:52.117 --> 00:00:53.698]  I mean, that's what it proves.
[00:00:54.419 --> 00:00:55.459]  Well, you're not a scientist.
[00:00:55.479 --> 00:00:58.121]  Well, I shoot you in the head with a gun and blow your brains out, it kills you.
[00:00:58.141 --> 00:01:01.523]  I'm also not a ballistics expert, but I know I just blew your head off.
[00:01:02.083 --> 00:01:02.743]  There it is.
[00:01:03.324 --> 00:01:07.006]  This is depopulation out in the open, but they hide it in the bureaucracy.
[00:01:09.224 --> 00:01:15.427]  I've got another video I'll have to get to later once Owen gets to the studio where this tragic, grieving uncle eulogizes vaccine-murdered niece.
[00:01:15.947 --> 00:01:19.368]  Jessica died as a direct result of an experimental vaccine.
[00:01:19.949 --> 00:01:25.931]  They're all just seeing if they can get away with it and all trying to censor that important information.
[00:01:25.750 --> 00:01:41.990]   From the front lines of the information war, it's Alex Jones.
[00:01:42.069 --> 00:01:42.609]  The year is 2021.
[00:01:42.709 --> 00:01:43.570]  I'm your host, Alex Jones.
[00:01:43.469 --> 00:01:52.549]   Ladies and gentlemen, it's Friday, October 8th, the year is 2021.
[00:01:52.549 --> 00:01:53.870]  I'm your host, Alex Jones.
[00:01:53.870 --> 00:02:03.709]   And we had a reporter on a few weeks ago from Australia, the Aussie Kazakh, Simeon Boykin
[00:02:03.709 --> 00:02:10.229]   Boykov, and he has been arrested in his own home for free speech saying he's against a
[00:02:10.229 --> 00:02:11.229]  lockdown.
[00:02:11.229 --> 00:02:11.909]  You're not allowed to do that.
[00:02:12.489 --> 00:02:16.210]  There's the interview, Australian citizen issues, major SOS to the world.
[00:02:17.671 --> 00:02:26.175]  He called for us to have peacefully protest at the embassies to point out that they become like North Korea and just like North Korea or China, they came and arrested him.
[00:02:26.796 --> 00:02:30.337]  He had a woman on who's facing several years in prison for peacefully protesting.
[00:02:30.657 --> 00:02:33.199]  She was out on bail after 20 plus days.
[00:02:34.090 --> 00:02:35.231]  So this is incredible tyranny.
[00:02:35.251 --> 00:02:36.111]  It's coming up next segment.
[00:02:36.552 --> 00:02:43.976]  And I've been asking Senator Paul, the other people I know personally, I've known Senator Paul since he was in college.
[00:02:44.757 --> 00:02:48.779]  He would come on for his dad when his dad was running for Congress in 1995.
[00:02:48.819 --> 00:02:51.841]  He got elected in 1996 to get back in Congress.
[00:02:51.861 --> 00:02:55.984]  He'd been there for one term in the 80s with Reagan.
[00:02:57.685 --> 00:02:59.126]  And I know Rand Paul's the real deal.
[00:02:59.666 --> 00:03:06.378]   And I can tell you that people like Josh Hawley are the real deal, and Ted Cruz is the real deal.
[00:03:07.318 --> 00:03:09.679]  He can be a jerk sometimes, but he's a good guy.
[00:03:09.739 --> 00:03:10.479]  He cares about the country.
[00:03:10.519 --> 00:03:11.279]  He doesn't like communists.
[00:03:11.979 --> 00:03:12.739]  He doesn't like globalists.
[00:03:13.779 --> 00:03:18.381]  But they all know what's going on, and they need to come out and say, this is the Great Reset.
[00:03:19.041 --> 00:03:20.821]  Fauci created the virus on purpose.
[00:03:20.861 --> 00:03:21.741]  They have all the evidence.
[00:03:22.361 --> 00:03:23.562]  Gazzik, they launched it.
[00:03:23.602 --> 00:03:24.782]  They've controlled the whole thing.
[00:03:26.701 --> 00:03:34.829]  Because of course, the people who release a bioweapon are going to be the ones that are in control of the media, the ones that are in control of the testing, the ones that are in control of the medical system.
[00:03:34.869 --> 00:03:37.432]  Because if they weren't, they'd start a world war.
[00:03:37.452 --> 00:03:41.135]  So they had to be in charge to be able to cover the whole damn thing up.
[00:03:41.155 --> 00:03:46.033]   And if you don't address them as the criminals they are and address them for the plan they're carrying out
[00:03:46.033 --> 00:03:51.275]   in Klaus Schwab's own words in the COVID-19, the great reset,
[00:03:51.275 --> 00:03:54.354]  then we don't have any hope.
[00:03:54.354 --> 00:03:56.574]  So they need to be addressed as an enemy group.
[00:03:56.574 --> 00:04:03.134]   Democrats are the collaborators working with the globalist to destroy America because they want worldwide tyranny.
[00:04:03.134 --> 00:04:07.055]   They don't want the example of gun ownership and private property and families and wealth.
[00:04:07.055 --> 00:04:11.435]   They want a giant poor class with no leadership they can exterminate.
[00:04:11.435 --> 00:04:15.474]  There's part of what Senator Paul had to say last night.
[00:04:15.417 --> 00:04:18.119]  DOJ weaponized to push left's agenda.
[00:04:18.579 --> 00:04:20.120]  He says, be afraid of your government.
[00:04:20.180 --> 00:04:22.761]  Says, watch list of the sinners already exists.
[00:04:22.781 --> 00:04:24.182]  Well, I would say don't be afraid.
[00:04:25.063 --> 00:04:27.104]  When the government fears the people, there is liberty.
[00:04:27.124 --> 00:04:31.447]  When the government is in charge and dominating and enslaving the people, there is tyranny.
[00:04:31.747 --> 00:04:36.090]  The actual Thomas Everson quote is, when the people fear the government, there is tyranny.
[00:04:36.470 --> 00:04:38.031]  When the government fears the people, there is liberty.
[00:04:39.031 --> 00:04:41.133]  So here's what Senator Paul, part of what he had to say.
[00:04:42.190 --> 00:04:52.459]  I'm very concerned, and I'm sure that there are people across the country who are concerned, that if they go to their local school board and say the wrong thing, that they're going to end up on some list that Merrick Garland goes after.
[00:04:52.499 --> 00:04:53.560]  What would you say to those people?
[00:04:54.710 --> 00:04:55.831]  I would say be afraid.
[00:04:55.931 --> 00:04:57.012]  Be afraid of your government.
[00:04:57.052 --> 00:05:00.114]  And that's a sad thing from someone in the government to say.
[00:05:00.575 --> 00:05:02.877]  But the thing is, is those lists already exist.
[00:05:03.237 --> 00:05:20.951]  For example, people in Northern Virginia that have gone to have been then sought out by the school council, by the members of the school board, and retaliated in a sort of legalistic way to try to put them on some sort of list and chill their speech by letting them know there'll be a penalty for showing up and protesting.
[00:05:21.371 --> 00:05:24.214]  Look, there are all kinds of laws about decorum, and there ought to be.
[00:05:24.674 --> 00:05:33.561]  You know, the idiot woman that goes in the bathroom filming Center Cinema in a bathroom, that is illegal according to every local ordinance and you should punish it.
[00:05:34.002 --> 00:05:34.702]  Punish that person.
[00:05:34.722 --> 00:05:41.948]  If you go to a school board meeting and you're disruptive and you don't obey the rules of the school board meeting, then there will be local punishment.
[00:05:42.208 --> 00:05:46.169]  But it has nothing to do with the federal law, has nothing to do with the Department of Justice.
[00:05:46.610 --> 00:05:57.474]  What Merrick Garland did is he's attempting to stifle dissent and he's attempting to say, beware or Big Brother's coming after you if you speak out against my policies or against the Biden policies.
[00:05:57.634 --> 00:06:04.456]  And that is designed to shut up everyone who isn't willing to sacrifice everything that they have in order to make that argument.
[00:06:04.896 --> 00:06:06.737]  Thank you so much for joining me tonight, Senator Paul.
[00:06:07.216 --> 00:06:11.617]  The full interview, that's just a short clip of it, is at Infowars.com, and he says even more truthful stuff.
[00:06:11.737 --> 00:06:13.617]  We are in an occupied country.
[00:06:13.657 --> 00:06:14.877]  We are under globalist control.
[00:06:15.057 --> 00:06:19.298]  They brag about it at the UN, they brag about it at the Davos Group, the head of the Bilderberg Group does.
[00:06:19.958 --> 00:06:25.499]  They're coming after our families, they're creating world IDs, they're saying our churches and our businesses are non-essential.
[00:06:26.119 --> 00:06:27.780]  They're bringing in a permanent tyranny.
[00:06:29.360 --> 00:06:36.121]  Next segment, I've got Jen Psaki saying, yeah, we can lower your gas prices, but we're not going to.
[00:06:38.158 --> 00:06:43.358]   to the earth. Let me explain that. And I'm going to tie that into this censored video of Trump
[00:06:43.358 --> 00:06:50.077]   from Hannity where he said they're flooding us with prisoners out of Central and South America,
[00:06:50.077 --> 00:06:55.438]   which is true. They're emptying their presence. That's very, very hard to find now that we have it.
[00:06:55.438 --> 00:06:59.278]  This is just an incredible time to be alive.
[00:06:59.494 --> 00:06:59.934]  The U.N.
[00:06:59.974 --> 00:07:05.475]  now admits replacement migration to bring in third-world populations with no history of freedom they can control.
[00:07:05.515 --> 00:07:07.116]  That's in the financial times of London.
[00:07:07.616 --> 00:07:10.297]  Again, that's all coming up today and so much more.
[00:07:10.397 --> 00:07:17.379]  Drew Hernandez is a great investigative journalist with Real America's Voice, just a great organization.
[00:07:18.479 --> 00:07:31.498]   And that's coming up with what he's been witnessing with the protest against the vaccine mandates and can't Travel, can't go in businesses, can't get on a subway without the deadly injections.
[00:07:31.538 --> 00:07:33.538]  We've got big news on that front.
[00:07:33.578 --> 00:07:37.139]  Just a massive Friday transmission lined up for you today.
[00:07:37.179 --> 00:07:49.481]  And Owen Schroer was just in court where they're trying to put him in jail for several years for peacefully being a reporter covering the demonstrations on January 6th that a small portion of people got out of hand on.
[00:07:49.822 --> 00:07:51.242]  He never went in the Capitol.
[00:07:52.202 --> 00:07:54.282]  They're charging him for, quote, breaking into the Capitol.
[00:07:54.302 --> 00:07:55.303]  That actually says it on there.
[00:07:55.343 --> 00:08:02.844]  And in his court filing, his lawyers point out this is criminal lying by the Justice Department, which I guess is just par for the course now.
[00:08:02.884 --> 00:08:03.845]  So that's all coming up.
[00:08:05.325 --> 00:08:07.786]  But the first thing I want to get to is Biden.
[00:08:08.886 --> 00:08:14.587]  Yesterday, last night, making fun of, quote, hundreds of people that have been fired.
[00:08:14.646 --> 00:08:20.266]   You know, it's hundreds of thousands of people around the country, by select big hospitals
[00:08:20.266 --> 00:08:24.726]   and other systems that want subservience, that want people to bow to their illegal
[00:08:24.726 --> 00:08:26.646]  experimental injection.
[00:08:26.646 --> 00:08:33.886]   Now remember, Biden's exempt, his staff's exempt, the White House is exempt, the Congress is exempt,
[00:08:33.886 --> 00:08:39.646]   the CDC is exempt, the NIH is exempt, and they can have him with photo ops
[00:08:39.646 --> 00:08:45.126]   getting saline injections all day in the fake Oval Office set they have across the street.
[00:08:45.326 --> 00:08:48.628]  Even though Reuters says it's not true, they show it's a set.
[00:08:48.648 --> 00:08:50.610]  It's all fake.
[00:08:51.854 --> 00:08:54.915]  They can do that all day, but we know it's not safe and effective.
[00:08:54.935 --> 00:08:59.097]  And I've got some of John Hopkins statistics put together by a British firm.
[00:08:59.778 --> 00:09:09.542]  We've checked the numbers, they're accurate, but it's been put together in a graph showing the worldwide devastation of people after they take these so-called COVID-19 vaccines.
[00:09:09.602 --> 00:09:18.523]   But here's the amazing statement of how good it is to fire people, even if they have natural immunity, Or even if they have an illness where they can't take shots,
[00:09:18.523 --> 00:09:23.163]   just one size fits all, even under their tyrannical system, that's outrageous.
[00:09:23.163 --> 00:09:27.482]   And he's just up there celebrating how we're getting used to persecuting large groups of
[00:09:27.482 --> 00:09:31.523]  people that make Hitler proud.
[00:09:31.523 --> 00:09:33.683]  These requirements work.
[00:09:33.683 --> 00:09:37.762]   And as the business roundtable others told me when I announced the first requirement,
[00:09:37.762 --> 00:09:41.242]   that encouraged businesses to feel they could come in and demand the same thing of their
[00:09:41.242 --> 00:09:42.003]  employees.
[00:09:42.826 --> 00:09:44.288]  More people are getting vaccinated.
[00:09:44.328 --> 00:09:45.569]  More lives are being saved.
[00:09:45.609 --> 00:09:46.270]  Let's be clear.
[00:09:46.770 --> 00:09:53.857]  When you see headlines and reports of mass firings and hundreds of people losing their jobs, look at the bigger story.
[00:09:54.597 --> 00:09:58.359]  I've spoken with Scott Kirby, CEO of United Airlines, who's here today.
