[00:00:00.000 --> 00:00:05.440]  [Sound Effects]
[00:00:05.440 --> 00:00:09.359]   It also shows the ethnic groups that are most affected by this.
[00:00:09.406 --> 00:00:16.390]  That's slide 17 and it shows that Native Americans have the highest rate of increased odds of negative outcomes.
[00:00:17.011 --> 00:00:24.416]  So if you're Native American and you're getting this vaccine, you have about a 1.5 times higher risk of death and negative side effects compared to Caucasians.
[00:00:24.856 --> 00:00:29.219]  If you're Hispanic, it's about a roughly 1.3 to 1.4 times greater odds.
[00:00:29.659 --> 00:00:34.442]  If you're black, it's something more like 1.25, roughly in that range.
[00:00:34.502 --> 00:00:45.974]   But the point is, This vaccine has ethnic effects that, you know, there have been many people out there warning about the possibility of this vaccine being a biological weapon.
[00:00:46.875 --> 00:00:49.418]  For example, you know, Louis Farrakhan warning about this.
[00:00:49.698 --> 00:00:56.985]  And I have to say, whether or not you agree with Louis Farrakhan on other things, this theory is plausible based on these data.
[00:00:58.180 --> 00:01:04.142]  It does have a different effect based on the ethnic background of the person being infected.
[00:01:04.282 --> 00:01:37.792]   Now, this looks like a flatline projection, so if we continue to project this out further in time to, let's say, 9 months or 12 months, which is coming up in our immediate future, it looks like this is going to triple the 3-month negative effects, or perhaps quadruple the 3-month negative effects at 12 months, and it looks like, Alex, that We're going to see probably, this is my estimation, this is not in the report, but by my estimation, we're going to see millions of Americans suffering severe hospitalizations and deaths over the next six months due to the vaccines.
[00:01:38.053 --> 00:01:43.639]  Don't forget the military replacement strategy that's now in play with Governor Hochul.
[00:01:43.999 --> 00:01:49.603]  Announcing she's firing all the nurses, the hospital workers who were unvaccinated last year and they were fine.
[00:01:50.063 --> 00:01:52.044]  Now this year, they're being fired.
[00:01:52.164 --> 00:02:03.651]  They're taking the people with natural immunity who would be the most qualified to function in a hospital environment and they're kicking them to the curb and then bringing in National Guard military troops in New York City.
[00:02:03.691 --> 00:02:08.334]  Well, this model, Alex, is going to be replicated across the country with first responders.
[00:02:08.695 --> 00:02:16.821]   So as they start to fire police officers, sheriff's deputies, Ambulance drivers, paramedics, EMTs and so on, guess who's going to replace them?
[00:02:16.861 --> 00:02:20.864]  At least in the blue states, it's going to be National Guard, i.e.
[00:02:21.184 --> 00:02:24.947]  military troops driving the ambulances, military troops driving the gasoline.
[00:02:24.967 --> 00:02:26.268]  And they're getting used to martial law.
[00:02:26.288 --> 00:02:28.390]  This is all the lockdowns or martial law drills.
[00:02:28.410 --> 00:02:34.055]  20 months ago we predicted after the lockdowns, by the next winter they would have troops in the streets because it's a formula.
[00:02:34.295 --> 00:02:35.416]  They've already done it in Australia.
[00:02:35.656 --> 00:02:41.269]   Once the money machine stops, they can no longer bribe everybody to keep playing along with the Democrats. Even
[00:02:41.269 --> 00:02:44.779]   the CDC would run out of money to keep bribing celebrities to push vaccines for
[00:02:44.779 --> 00:02:45.239]  example.
[00:02:45.239 --> 00:02:49.919]   We now have reached a, I wouldn't quite call it a civil war, I would call it a nullification
[00:02:49.919 --> 00:02:53.518]   stage for survival. Texas must take hold of its border,
[00:02:53.518 --> 00:02:59.838]   must take hold of medicine, must take hold of big pharma, get big pharma out of the system,
[00:02:59.838 --> 00:03:02.159]  otherwise Texas goes down with the blue states.
[00:03:02.249 --> 00:03:02.929]  That's my opinion.
[00:03:02.949 --> 00:03:12.096]  And that's why there are hundreds of ships parked outside the ports on both the west coast and the east coast, with the globalists locking down the ports on purpose to cause these restrictions.
[00:03:12.276 --> 00:03:19.621]  I mean, look, Alex, this is like, this is the naval blockade that America did to Japan in World War II to block fossil fuels from being shipped into Japan.
[00:03:19.841 --> 00:03:22.823]  The workers leave because if one person gets COVID, everything shuts down.
[00:03:22.863 --> 00:03:26.266]  The supply chains, the factories, the truckers, the schools.
[00:03:26.707 --> 00:03:29.529]  But then meanwhile, all China's never closed.
[00:03:29.549 --> 00:03:30.290]  It was all bull.
[00:03:30.750 --> 00:03:31.911]  We are shutting down.
[00:03:31.951 --> 00:03:33.832]  This is an economic consolidation.
[00:03:34.153 --> 00:03:36.955]  This is the end of the industrial world that the U.N.
[00:03:36.975 --> 00:03:39.677]  said they would do at the Rio de Janeiro meeting in...
[00:03:41.371 --> 00:03:44.853]  1992, that's agenda 21 that they launch in 2021, they said.
[00:03:44.873 --> 00:03:50.616]  And now by agenda 2030, they intend to depopulate the earth 90% in the next nine years.
[00:03:50.996 --> 00:03:57.400]  News broke this morning, Alex, that in Germany, a major coal-fired power plant has shut down because they can't get coal supplies.
[00:03:57.880 --> 00:04:00.021]  So again, single source restrictions.
[00:04:00.301 --> 00:04:09.665]   When they start restricting coal supplies, even to power plants in the United States, you're going to get regional Power outages, and then that has a tipping point.
[00:04:09.965 --> 00:04:15.867]  There's a certain point where society, if enough things are disrupted simultaneously... It's dominoes.
[00:04:15.887 --> 00:04:16.907]  ...it cannot recovery.
[00:04:17.227 --> 00:04:17.948]  There's no recovery.
[00:04:18.068 --> 00:04:19.728]  The dominoes are already falling fast.
[00:04:19.808 --> 00:04:21.069]  We're deep into this now.
[00:04:21.309 --> 00:04:27.510]  We're deep into the antibody crisis, the poisoning of the shots.
[00:04:27.831 --> 00:04:30.731]  We are now going to witness this collapse.
[00:04:30.891 --> 00:04:33.492]  It has begun and it is, I think, unstoppable.
[00:04:33.532 --> 00:04:35.513]  Now we have to ride it out and prepare to rebuild.
[00:04:35.913 --> 00:04:38.534]  Collapse is now happening, orchestrated by Klaus Schwab.
[00:04:38.653 --> 00:04:39.653]  God help us.
[00:04:39.653 --> 00:04:48.653]  (intro music)
[00:04:48.653 --> 00:04:53.653]   Bill Gates' policy of truth, being honest over the last 40 years,
[00:04:53.653 --> 00:04:55.653]  that he wants power over the world government.
[00:04:56.223 --> 00:05:07.068]  To depopulate you and your family, even told the Wall Street Journal that, and the New York Times, and the London Guardian that in 2009, when he made a little special tour about it all.
[00:05:08.569 --> 00:05:13.511]  And so now his policy of truth is causing him a really, really big problem.
[00:05:15.014 --> 00:05:22.018]  Because folks understand what's really happening and they're facing the full horror because criminals like Bill Gates like to brag.
[00:05:22.558 --> 00:05:28.462]  Again, thank you so much for joining us on this live, October 3rd, Sunday transmission.
[00:05:28.502 --> 00:05:30.023]  I'll be here for the next two hours.
[00:05:30.663 --> 00:05:36.206]  And then Harris Smith is coming in to host Sunday live, two hours of live radio slash TV.
[00:05:36.226 --> 00:05:38.468]  It only has six minutes of ads an hour.
[00:05:38.508 --> 00:05:44.071]  And so the customary 14, like syndicated radio and TV do when they are in this format.
[00:05:45.037 --> 00:06:25.781]   Again, I'm gonna try to be as calm as I can here today, but we really should all just sit back for a moment and take a deep breath and cogitate or meditate or just think very deeply and very calmly and very serenely so it will soak in at a cerebral level And then we have to make decisions at a cerebral level and then emotionally, once we've made our decisions in a very calm way, use the emotions the good Lord gave us to very aggressively power our intellect against the globalists.
[00:06:27.322 --> 00:06:44.708]   You can intellectually decide that you're going to do something, like unscrew a despot's head, But then if you're going to do it physically, it takes the horsepower psychologically, mentally, and physically to actually break that neck quickly and easily.
[00:06:45.728 --> 00:06:47.949]  I just use that as a historical metaphor.
[00:06:49.870 --> 00:07:00.556]  So here we are, ladies and gentlemen, and I think we should all take stake of how many people the globalists have already killed, and how many people they're going to kill, and how many are already walking dead.
[00:07:02.930 --> 00:07:15.659]  People ask me, how do you take it, all the attacks on the news, all the lies, unprecedented judge in Texas saying, you don't get a jury trial, I'm just going to shut down InfoWars in violation of the Seventh Amendment.
[00:07:16.420 --> 00:07:18.421]  People ask themselves, how are you taking that?
[00:07:18.602 --> 00:07:20.503]  And that isn't even on the Richter scale.
[00:07:22.008 --> 00:07:39.039]  With the devastation and the death and the pain and the suffering and the economic crises, the dollar devaluation, the global currency devaluations we're seeing, the short supply of staple goods and of energy around the world.
[00:07:40.119 --> 00:07:42.901]  I'm not just telling you what's coming now and then it happens next week.
[00:07:43.021 --> 00:07:46.923]  I told you years ago what was going to happen and I told you 20 months ago.
[00:07:49.025 --> 00:07:55.889]  In early February, what we'd be seeing by the fall and winter of 2021, and it's here.
[00:07:56.889 --> 00:07:58.590]  So I don't take any pleasure in that.
[00:07:58.810 --> 00:08:00.311]  I've got the globalist battle plan here.
[00:08:01.052 --> 00:08:26.530]   And people are finally figuring out whether it's Glenn Beck or whether it's Steven Crowder or whether it's Joe Rogan or whether it's Tucker Carlson or whether it's anybody else that's against, you know, this corrupt leftist movement, that the left is only the foot soldiers of a scientific corporate elite That are taking over the whole planet and preparing to bankrupt the world currencies to on its ashes bring in their global carbon tax and their global reset.
[00:08:28.531 --> 00:08:35.753]  And so it's a good thing that the intellectual resistance to the leftist movement is awake now, but can we wake Congress up?
[00:08:35.773 --> 00:08:36.813]  Can we wake the governors up?
[00:08:36.873 --> 00:08:40.814]  Because if we don't move against this, we're going to go through hellish pain.
[00:08:41.334 --> 00:08:43.615]  Already it's going to be stratospherically bad.
[00:08:44.784 --> 00:08:47.748]  So, I'm ready to deal with this.
