[00:00:01.190 --> 00:00:14.919]  InfoWars has been banned.
[00:00:14.919 --> 00:00:15.379]  Arrested.
[00:00:15.379 --> 00:00:25.386]  Attacked and threatened.
[00:00:25.386 --> 00:00:27.208]  Because we are effective.
[00:00:28.664 --> 00:00:30.446]  The Great Awakening is here.
[00:00:30.446 --> 00:00:32.788]  Go to band.video.
[00:00:32.788 --> 00:00:36.912]  Download the videos and share.
[00:00:36.912 --> 00:00:44.240]  Support The Information War at infowarestore.com.
[00:00:44.240 --> 00:00:46.982]  And never give up the fight.
[00:01:00.823 --> 00:01:06.208]  If that was an insurrection, it was the most poorly conducted insurrection ever.
[00:01:06.208 --> 00:01:09.750]  If it wasn't an insurrection, then what was it?
[00:01:09.750 --> 00:01:16.016]  Special Operations uses the military deception tactic of a false flag abroad against the enemies of America.
[00:01:17.358 --> 00:01:24.183]  A false flag is any time you want to frame another group so that you can then take action against that group.
[00:01:24.183 --> 00:01:30.528]  It is my opinion that false flags have happened in this country, one of which may have been January 6th.
[00:01:30.528 --> 00:01:33.691]  A wave of false flag intimidation is nigh.
[00:01:33.691 --> 00:01:35.472]  The warning signs are abundant.
[00:01:35.472 --> 00:01:36.373]  Some people showed up.
[00:01:36.973 --> 00:01:49.007]  At a Yunkin event, posing as Charlottesville protesters, a group you're with, the Lincoln Project, owned that it was them, that they posed this way because they wanted people to remember.
[00:01:49.007 --> 00:01:52.931]  You're getting crushed by people on the right as a dirty tactic.
[00:01:52.931 --> 00:01:56.796]  Do you stand behind what was done and is that being what you guys say you oppose?
[00:01:57.316 --> 00:01:58.317]  Um, no.
[00:01:58.317 --> 00:02:07.306]  Listen, every day I hear people pleading with the Lincoln Project to help show Democrats how to win, how to play hardball.
[00:02:07.306 --> 00:02:09.407]  You know, this is an example.
[00:02:09.407 --> 00:02:15.133]  The progressive fascists that have hijacked our government will ramp up their creeping deception.
[00:02:15.553 --> 00:02:34.368]  As the 2022 election nears, unleashing waves of provocateurs funded by political action committees, NGOs, grant-making networks, and the federal government itself upon the United States as their incompetence and Marxist agenda continues to bear rotten fruit.
[00:02:34.728 --> 00:02:39.872]  Mr. President, you tweeted earlier asking Virginia and New Jersey residents to vote.
[00:02:39.872 --> 00:02:44.595]  Democrat Terry McAuliffe is struggling in a state that you won by 10 points.
[00:02:44.595 --> 00:02:48.278]  Do you see his problems as a rebuke of your presidency?
[00:02:48.278 --> 00:02:52.881]  And could this signal near real losses for Democrats in the midterms?
[00:02:52.881 --> 00:02:53.522]  We're gonna win.
[00:02:55.322 --> 00:02:57.524]  I think we're going to win in Virginia.
[00:02:57.524 --> 00:02:59.205]  All righty, Virginia!
[00:02:59.205 --> 00:03:01.667]  We won this thing!
[00:03:01.667 --> 00:03:10.913]  Virginia Governor Terry McAuliffe's campaign, attempting to hang on to his tyrannical governor's seat, was rife with propaganda-fueled incidents.
[00:03:10.913 --> 00:03:14.536]  The McAuliffe campaign quickly seized on the tiki torches.
[00:03:14.536 --> 00:03:22.882]  Jen Goodman, a communications staffer for McAuliffe, said their presence in front of Yunkin's bus was, quote, disgusting and disqualifying.
[00:03:23.462 --> 00:03:31.309]  Christina Freundlich, another McAuliffe campaign spokesperson, tweeted the photo and said, this is who Yunkin supporters are.
[00:03:31.309 --> 00:03:49.925]  In Austin, Texas, a tiny out-of-state group of self-proclaimed neo-Nazis magically appeared right before a vote on the George Soros contested proposition that would fund the police, taking pictures with police officers and displaying anti-Semitic banners on highway bridges.
[00:03:50.385 --> 00:03:56.769]  One banner went so far as to attempt to implicate Infowars in its deception.
[00:03:56.769 --> 00:04:06.316]  It's a group of people from outside of Austin who came in with the sole intent of being as outrageous and as anti-Semitic as possible.
[00:04:07.034 --> 00:04:07.854]  I'm good.
[00:04:29.665 --> 00:04:51.656]  As laughable and ill-planned as they are with their cartoonish backfiring, the abundance of these provocateurs should be alarming, as Soros' wedge of House progressives face re-election along with 36 governors and 34 Senate seats following the 2020 census redistricting.
[00:04:51.656 --> 00:04:53.577]  John Bowne reporting.
[00:04:53.577 --> 00:04:54.578]  I want to use my five minutes.
[00:04:59.389 --> 00:05:15.632]  I am cutting this announcement on the... It's now becoming accepted knowledge, accepted fact, that global government run by private corporations is taking over the United States and other formerly sovereign nations.
[00:05:15.632 --> 00:05:16.772]  They're being destroyed.
[00:05:16.772 --> 00:05:19.333]  All the checks and balances are being annihilated.
[00:05:19.333 --> 00:05:20.593]  Our borders are being destroyed.
[00:05:20.593 --> 00:05:22.133]  Our currency is being destroyed.
[00:05:22.133 --> 00:05:25.654]  And the American people have been listed as terrorists by the rogue federal government.
[00:05:26.460 --> 00:05:28.522]  InfoWars is going to continue to fight on.
[00:05:28.522 --> 00:05:29.904]  And there is a big awakening happening.
[00:05:29.904 --> 00:05:31.726]  We have a good chance of beating these people.
[00:05:31.726 --> 00:05:34.048]  But we're not going to be able to stay on air unless you support us.
[00:05:34.048 --> 00:05:35.009]  And you've been doing it.
[00:05:35.009 --> 00:05:36.951]  So spread the word about the broadcast.
[00:05:36.951 --> 00:05:37.852]  Pray for the broadcast.
[00:05:37.852 --> 00:05:40.855]  But also buy great products at InfoWarshore.com.
[00:05:40.855 --> 00:05:44.479]  If you're shopping with the big corporations or the establishment, you're aiding the enemy.
[00:05:44.759 --> 00:05:49.424]  If you're funding us and getting great products, you are helping lead the war effort.
[00:05:49.424 --> 00:05:56.791]  I cannot express to you how important it is to buy your products and do your Christmas shopping and do your Black Friday shopping at infowarestore.com.
[00:05:56.791 --> 00:06:00.055]  We've got store-wide free shipping right now and double Patriot points.
[00:06:09.262 --> 00:06:13.865]  If you are receiving this transmission, you are the resistance.
[00:06:13.865 --> 00:06:26.855]  Live from Austin, Texas, you're listening to the Alex Jones Show.
[00:06:26.855 --> 00:06:37.883]  Dr. Peter McCullough, one of the leading voices exposing the dangers of the experimental COVID vaccine rollout, will be in studio today.
[00:06:39.628 --> 00:06:42.909]  I got in touch with him a few days ago because Joe Rogan wanted to talk to him.
[00:06:42.909 --> 00:06:44.970]  Very excited that's coming up.
[00:06:44.970 --> 00:06:46.730]  And he said, hey, I just popped right in.
[00:06:46.730 --> 00:06:49.151]  I'm going to be in town on Friday.
[00:06:49.151 --> 00:06:51.752]  So he's just passing through, driving through, a very busy man.
[00:06:51.752 --> 00:06:55.453]  He'll be in studio with us in the second hour.
[00:06:55.453 --> 00:06:57.593]  And boy, there couldn't be a better time for that, could there?
[00:06:57.593 --> 00:07:01.374]  We also have some other big guests I'll tell you about coming up.
[00:07:01.374 --> 00:07:06.676]  But it couldn't be a better time because, well, we've got a lot of news here, obviously, to cover.
[00:07:08.655 --> 00:07:20.401]  I happen to have some information here that is a pretty big deal.
[00:07:20.401 --> 00:07:30.506]  And if I don't build it up, people are just going to hear it and it's just going to kind of float over their heads or in one ear and out the other, including myself.
[00:07:30.506 --> 00:07:36.389]  I mean, I'm really thinking about what is the proper action for me to take concerning everything that's going on?
[00:07:37.759 --> 00:07:39.000]  And it's all tied together.
[00:07:39.000 --> 00:07:52.633]  You know the UN came out yesterday, or came out last week, we were the first to learn of it, and put out new policies saying globally you can inject children without parental consent.
[00:07:52.633 --> 00:07:55.055]  And they labeled that the new informed consent.
[00:07:55.055 --> 00:07:57.917]  If you send your children to school, you know they're going to be injected.
[00:07:57.917 --> 00:07:59.379]  Wow, what a statement.
[00:08:00.785 --> 00:08:03.467]  It's like saying you wear that short skirt, you're going to get raped.
[00:08:03.467 --> 00:08:05.769]  Or you go outside at night, you're going to get mugged.
[00:08:05.769 --> 00:08:09.352]  Or, I mean, they're just saying we're going to do this to you.
[00:08:09.352 --> 00:08:10.833]  And I've got more news on that today.
[00:08:10.833 --> 00:08:12.175]  It's a pretty big deal.
[00:08:12.175 --> 00:08:15.918]  In an article on InfoWars.com that needs to get out there.
[00:08:15.918 --> 00:08:16.478]  Revealed!
[00:08:16.478 --> 00:08:20.782]  UN planned to vax children without parental consent.
[00:08:20.782 --> 00:08:21.703]  Kellan McBrain article.
[00:08:21.703 --> 00:08:27.768]  But that's only a part of the story, the destruction of parental rights.
[00:08:28.988 --> 00:08:32.109]  The fact that the UN is the group running it, and we're under UN control.
[00:08:32.109 --> 00:08:40.370]  The fact that all these major sites admit, like Yahoo and AP, that, well, we get our fact-checking from the UN.
[00:08:40.370 --> 00:08:46.072]  And if the UN says, you're not allowed to talk about having a heart attack from the shots, you're not allowed to.
[00:08:46.072 --> 00:08:48.392]  It's true, they make you have heart attacks.
[00:08:48.392 --> 00:08:50.573]  But we're not going to let you talk about it, it can scare people.
[00:08:50.573 --> 00:08:55.974]  I mean, that's a real quote that I made a big deal about three weeks ago when the young sports
[00:08:58.649 --> 00:09:04.434]  College student, full scholarship, great shape, had a microcardiitis and almost died.
[00:09:04.434 --> 00:09:10.439]  The doctor said it was the Pfizer shot and the UN said, well, we're not going to allow him to be in the news.
[00:09:10.439 --> 00:09:13.482]  Because it's true what he said, the doctor's not lying, but it scares people.
[00:09:13.482 --> 00:09:14.683]  I mean, think about that.
[00:09:14.683 --> 00:09:17.626]  It's true it made you have a major heart problem.
[00:09:17.626 --> 00:09:18.527]  We know it's real.
[00:09:18.527 --> 00:09:23.291]  They even said he's a good person, but he's not allowed to scare people.
[00:09:23.291 --> 00:09:25.633]  The UN says, I mean, you just wake up to that.
[00:09:27.168 --> 00:09:35.412]  But none of that even compares in magnitude to what I'm about to cover.
[00:09:35.412 --> 00:09:41.836]  Because the fact that they're announcing they're going to come and inoculate your children forcibly is just the highway.
[00:09:41.836 --> 00:09:47.539]  What's coming down that highway is a bus on fire going 200 miles an hour and it's going to run us over.
[00:09:47.539 --> 00:09:49.060]  The question is what's in the shot.
[00:09:50.353 --> 00:09:51.454]  Yeah, the UN runs it.
[00:09:51.454 --> 00:09:52.734]  Yeah, it's out of control.
[00:09:52.734 --> 00:09:55.456]  It's a total parental power grab by the state and bureaucrats.
[00:09:55.456 --> 00:09:56.276]  It's over the top.
[00:09:56.276 --> 00:09:58.978]  On a scale of 10, it's an 11.
[00:09:58.978 --> 00:10:02.119]  But it gets a lot worse, folks.
[00:10:02.119 --> 00:10:17.808]  I now have video out of Germany, out of France, out of the UK, out of England and Scotland and Ireland, and out of Hawaii, and out of New York, and from Texas, and
[00:10:19.545 --> 00:10:21.367]  Arkansas and Florida.
[00:10:21.367 --> 00:10:23.289]  I mean, I've got it all right here.
[00:10:23.289 --> 00:10:28.675]  Got all the clips, all of it.
[00:10:28.675 --> 00:10:33.860]  With them saying, oh my God, the hospitals are 25% their biggest record now.
[00:10:33.860 --> 00:10:35.202]  Previous hospitalization was, I think, 2017.
[00:10:39.404 --> 00:10:42.446]  And a few weeks ago, it was 20% the record.
[00:10:42.446 --> 00:10:44.428]  Now it's 25% the record and growing.
[00:10:44.428 --> 00:10:51.273]  And they think by January, it's going to be 50% more than it ever been in the hospital before with mystery illnesses.
[00:10:51.273 --> 00:10:52.393]  And they list them.
[00:10:52.393 --> 00:11:02.981]  Well, they don't know why there's all these heart attacks and heart swelling and blood clots and people having horrible autoimmune diseases where their lungs fill with water and they die, but they don't have COVID.
[00:11:02.981 --> 00:11:04.202]  Gee, what could it be?
[00:11:06.107 --> 00:11:11.110]  Well, what did every scientist worth their salt come out and say?
[00:11:11.110 --> 00:11:21.096]  I mean, a who's who of Nobel Prize winners and chief scientists and university heads, and now the head of the British Medical Journal came out.
[00:11:21.096 --> 00:11:28.941]  I've got video of that in Senate hearings, but it's a total blackout on it, and said, we've got mass ADE taking place.
[00:11:28.941 --> 00:11:32.923]  So we're not warning of ADE like we did a year and a half ago.
[00:11:32.923 --> 00:11:33.544]  It's going on.
[00:11:34.898 --> 00:11:37.080]  And it's premeditated.
[00:11:37.080 --> 00:11:42.104]  And sure enough, people go, hey, ADE happens really bad with cold virus vaccines, but we never had one.
[00:11:42.104 --> 00:11:43.805]  This one's really souped up.
[00:11:43.805 --> 00:11:46.487]  We're probably going to have ADE and have people that take it.
[00:11:46.487 --> 00:11:47.608]  A lot of them are going to die.
[00:11:47.608 --> 00:11:50.311]  In fact, around half the people that develop ADE die.
[00:11:51.192 --> 00:11:57.675]  We're talking about 25% of people, if you look at just the first numbers coming out, that have had the shot are going to die.
[00:11:57.675 --> 00:12:00.537]  50% are going to get sick conservatively.
[00:12:00.537 --> 00:12:02.998]  And now that's what we see, it's ADE.
[00:12:02.998 --> 00:12:11.383]  ADE is way more prevalent, the evidence shows, than just the myocarditis, the heart swelling and the heart attacks and the strokes.
[00:12:12.984 --> 00:12:22.779]  The rest of it, I've got a stack of news from around the world where they've got Prime Ministers and Premiers and Senators and Governors and hospital heads going...
[00:12:24.138 --> 00:12:26.319]  We just don't know why the hospitals are so full.
[00:12:26.319 --> 00:12:27.680]  These people can't breathe.
[00:12:27.680 --> 00:12:28.800]  Their lungs are turning liquid.
[00:12:28.800 --> 00:12:30.801]  And by the way, they're all double jabbed.
[00:12:30.801 --> 00:12:31.742]  They should be healthy.
[00:12:31.742 --> 00:12:34.423]  It's not COVID, though.
[00:12:34.423 --> 00:12:35.383]  They're just dying.
[00:12:35.383 --> 00:12:44.147]  And the statistics are, in the UK alone, you're twice as likely to be dying of the super cold, as it's called in the UK.
[00:12:44.147 --> 00:12:47.429]  It's been going on for two months now.
[00:12:47.429 --> 00:12:49.470]  If you've had the double jab.
[00:12:52.056 --> 00:12:54.417]  And you're also increasing it if you've had one shot.
[00:12:54.417 --> 00:12:55.238]  And they've got all the numbers.
[00:12:55.238 --> 00:12:56.459]  I mean, this is all public.
[00:12:56.459 --> 00:13:08.766]  And now I've got stacks of news articles, stacks of them, two stacks of mainstream news going, we don't know why everybody's dying.
[00:13:08.766 --> 00:13:09.847]  No one will say it.
[00:13:09.847 --> 00:13:11.028]  Everyone knows.
[00:13:11.028 --> 00:13:13.870]  Gee, why is the champion basketball player having a heart attack?
[00:13:13.870 --> 00:13:14.170]  Why the top...
[00:13:17.622 --> 00:13:21.284]  Hockey players just have a heart attack on the ice and die at 32 years of age.
[00:13:21.284 --> 00:13:23.385]  Why are the football players all having heart attacks?
[00:13:23.385 --> 00:13:24.165]  What the hell's going on?
[00:13:24.165 --> 00:13:27.447]  What's going on with the soccer players?
[00:13:27.447 --> 00:13:29.008]  And of course, it's the injections.
[00:13:29.008 --> 00:13:33.530]  I mean, it's off the chart, ladies and gentlemen.
[00:13:33.530 --> 00:13:36.171]  So we're going to go on a break in a few minutes, and I'm going to come back.
[00:13:36.171 --> 00:13:40.133]  I'm going to play the premier of Southwest Australia.
[00:13:43.323 --> 00:13:46.684]  Of West Australia, as that province is known.
[00:13:46.684 --> 00:13:49.825]  And he just says, we don't know why everybody's so sick.
[00:13:49.825 --> 00:13:51.706]  We don't know why they're dead, why they're dying.
[00:13:51.706 --> 00:13:58.728]  He goes, but we think it's, we think it's a delayed onset of something to do with COVID.
[00:13:58.728 --> 00:14:00.489]  Oh, it's, it's, it's something to do with COVID.
[00:14:00.489 --> 00:14:00.809]  Alright.
[00:14:02.286 --> 00:14:04.647]  And they're going to try to gaslight everybody now.
[00:14:04.647 --> 00:14:09.389]  Now this guy looks so freaked out, he may just be stupid and not know what he's involved in.
[00:14:09.389 --> 00:14:17.332]  But brother, you're the front man in a major state of a major country, a major province, of extermination with soft kill weapons.
[00:14:17.332 --> 00:14:22.154]  You've helped carry out a biological chemical... People say, why are you calling it chemical?
[00:14:22.154 --> 00:14:26.196]  It's really synthetic nanotech chemical biology.
[00:14:26.196 --> 00:14:26.756]  It's a merger.
[00:14:28.274 --> 00:14:30.115]  That's really what all this is.
[00:14:30.115 --> 00:14:32.175]  It is synthetic viruses, they admit.
[00:14:32.175 --> 00:14:40.717]  They put simulants with the H1N1 10 years ago, the year before in the vaccine of H1N1, and then it mutated the next year and caused the illnesses.
[00:14:40.717 --> 00:14:42.078]  They'd already done that in the labs.
[00:14:42.078 --> 00:14:43.058]  That was their plan.
[00:14:43.058 --> 00:14:45.619]  They've been doing this for a long time.
[00:14:45.619 --> 00:14:49.380]  They didn't just start putting nanotech in there this week.
[00:14:49.380 --> 00:14:54.501]  And I've got a stack of articles that just came out where the news is all, oh, it's so wonderful.
[00:14:55.583 --> 00:14:59.806]  We've got a new vaccine that makes children behave.
[00:14:59.806 --> 00:15:04.689]  It's a behavioral vaccine, and now we need to give it to the boys with ADHD.
[00:15:04.689 --> 00:15:06.551]  Oh, this'll settle Junior down.
[00:15:06.551 --> 00:15:09.112]  It eats certain receptors in the brain.
[00:15:09.112 --> 00:15:11.034]  It's a viral lobotomy.
[00:15:13.188 --> 00:15:18.892]  This isn't Alex Jones saying, hey, they're putting stuff in the shots to lower your IQ or make you more controllable, like a science fiction movie.
[00:15:18.892 --> 00:15:24.377]  They're actually proposing it at the American Medical Association.
[00:15:24.377 --> 00:15:25.978]  I got an American Medical Association.
[00:15:25.978 --> 00:15:27.799]  You're like, oh, where are you getting this?
[00:15:27.799 --> 00:15:30.801]  We're not just getting this from the news.
[00:15:30.801 --> 00:15:37.306]  We're getting it from the American Medical Association and the American Hospital Association.
[00:15:37.306 --> 00:15:39.728]  Behavioral vaccine for teen depression.
[00:15:39.728 --> 00:15:41.550]  Oh, yes, it works so well on the troops.
[00:15:42.517 --> 00:15:45.160]  They've been giving our troops for 15 years this crap.
[00:15:45.160 --> 00:15:46.761]  You see what it's done to them.
[00:15:46.761 --> 00:15:51.106]  Man, they are just murdering us in live time.
[00:15:51.106 --> 00:15:54.489]  Gee, we don't know why everybody's dying, why everybody's getting heart attacks.
[00:15:54.489 --> 00:15:56.571]  Gee, what's going on, Jiminy Crickets?
[00:16:00.296 --> 00:16:10.583]  October 2021 is coming to a close, and that means it's our yearly Black Friday Comes Early Sale that runs for the first two weeks of November.
[00:16:10.583 --> 00:16:19.970]  And right now you can save up to 60% off on our top selling products, plus get free shipping and double Patriot points at Infowarstore.com.
[00:16:19.970 --> 00:16:22.872]  Brain Force Plus, the great nootropic, is back in stock, 50% off.
[00:16:24.233 --> 00:16:25.314]  Ultimate Bone Broth.
[00:16:25.314 --> 00:16:26.934]  We haven't had this for several years.
[00:16:26.934 --> 00:16:27.515]  It's back.
[00:16:27.515 --> 00:16:29.416]  New and improved.
[00:16:29.416 --> 00:16:29.656]  20% off.
[00:16:29.656 --> 00:16:31.877]  Plus free shipping and Double Patriot Points.
[00:16:31.877 --> 00:16:33.118]  All these are free shipping.
[00:16:33.118 --> 00:16:35.239]  Double Patriot Points.
[00:16:35.239 --> 00:16:36.399]  Ultra 12.
[00:16:36.399 --> 00:16:36.979]  60% off.
[00:16:36.979 --> 00:16:38.660]  Alpha Power.
[00:16:38.660 --> 00:16:39.000]  40% off.
[00:16:39.000 --> 00:16:39.741]  Knockout.
[00:16:39.741 --> 00:16:41.242]  Sleep Aid.
[00:16:41.242 --> 00:16:41.482]  50% off.
[00:16:41.482 --> 00:16:42.942]  Living Defense.
[00:16:42.942 --> 00:16:43.223]  50% off.
[00:16:43.223 --> 00:16:44.543]  Pure Turmeric Bodies.
[00:16:44.543 --> 00:16:45.984]  Extract.
[00:16:45.984 --> 00:16:46.484]  40% off.
[00:16:46.484 --> 00:16:48.725]  Activated Charcoal, Toothpaste, and Mouthwash.
[00:16:48.725 --> 00:16:50.246]  Both together or separate.
[00:16:50.246 --> 00:16:50.986]  50% off and more.
[00:16:52.387 --> 00:16:59.957]  Check it all out today at InfoWarsTore.com Get amazing products and funding InfoWars and the fight against the globalists.
[00:16:59.957 --> 00:17:06.927]  Ultimate Bone Broth is back and better than ever and 20% off plus free shipping and double Patreon points for our new sale.
[00:17:07.367 --> 00:17:11.691]  After years of being off the shelves, we're bringing back one of the biggest fan favorite formulas ever.
[00:17:11.691 --> 00:17:14.513]  And it's now been reformulated and is even stronger.
[00:17:14.513 --> 00:17:17.055]  It's Ultimate Bone Broth Plus.
[00:17:17.055 --> 00:17:26.083]  It's got concentrated high quality chicken broth protein, turmeric root that's so amazing, chaga mushroom, bee pollen, goji berry, alfalfa herb powder.
[00:17:26.083 --> 00:17:29.706]  Then it's got added magnesium and potassium for electrolytes.
[00:17:29.706 --> 00:17:30.827]  It's got real organic
[00:17:31.207 --> 00:17:36.230]  Cocoa bean powder with natural chocolate flavor and a touch of sea salt.
[00:17:36.230 --> 00:17:40.632]  It even tastes better than the last formula and what it does for your body is simply amazing.
[00:17:40.632 --> 00:17:48.076]  Again, it has that cutting-edge chicken broth protein isolate powder for better flavor and dissolvability.
[00:17:48.076 --> 00:17:55.020]  You're gonna love this and what it does for your joints, what it does for your body, what it does for your bones is simply amazing and it helps fund the InfoWar.
[00:17:55.020 --> 00:17:59.142]  This is really the best bone broth out there so get yours at InfoWarStore.com today.
[00:17:59.562 --> 00:18:04.625]  I am cutting this announcement on the afternoon of Thursday, November 4th, 2021.
[00:18:04.625 --> 00:18:09.449]  That means you've only got 10 days as of taping this to get storewide free shipping, double Patriot points.
[00:18:09.449 --> 00:18:11.790]  That was 60% off on our bestselling items.
[00:18:11.790 --> 00:18:13.491]  We have Winter Sun at 50% off.
[00:18:13.491 --> 00:18:14.332]  So good for your body.
[00:18:14.332 --> 00:18:15.933]  So good for your immune system.
[00:18:15.933 --> 00:18:16.113]  50% off.
[00:18:16.113 --> 00:18:18.655]  We have Ultra 12 at 60% off.
[00:18:18.655 --> 00:18:20.276]  That is the lowest we've ever gone.
[00:18:20.276 --> 00:18:25.019]  It is so good for your libido, your stamina, your immune system, your whole body taken out of the tongue.
[00:18:25.019 --> 00:18:25.559]  60% off.
[00:18:25.559 --> 00:18:29.342]  We've got a bunch of products sold out for a long time, like Brain Force Plus back in stock.
[00:18:30.102 --> 00:18:34.725]  50% off and we have Ultimate Bone Broth back in stock at InfoWarStore.com.
[00:18:34.725 --> 00:18:36.566]  It's now Bone Broth Plus.
[00:18:36.566 --> 00:18:42.429]  So it's Ultimate Bone Broth Plus, 20% off and it's even stronger than the last formula we had.
[00:18:42.429 --> 00:18:51.353]  It is amazing for your whole body, amazing for your joints, amazing for inflammation, and it funds the InfoWar, which is so important in the fight against the New World Order.
[00:18:51.353 --> 00:18:54.294]  So thank you all for your support with Supply Chain Breakdowns.
[00:18:54.294 --> 00:18:59.217]  I recommend you get your Christmas shopping done now and have it done and support the InfoWar at InfoWarStore.com.
[00:18:59.537 --> 00:19:08.902]  If a hurricane is smashing into the Gulf Coast and I make the prediction that it's going to cause flooding, that's not a prediction.
[00:19:08.902 --> 00:19:12.483]  You know it's a hurricane, you know it's got a lot of water it's going to dump, it's going to cause flooding.
[00:19:12.483 --> 00:19:23.849]  So it wasn't a prediction 20 months ago when I said the UN order to lock down the world economy is going to cause a chain reaction that's going to cause supply chain problems for years, that's going to starve tens of millions to death.
[00:19:24.289 --> 00:19:25.930]  And now it all happened.
[00:19:25.930 --> 00:19:32.033]  25 million extra dead, hundreds of millions on the verge of starvation, and the UN that ordered it is running around being the savior.
[00:19:32.033 --> 00:19:34.774]  Listen, when the first world collapses, the third world dies.
[00:19:34.774 --> 00:19:36.675]  And now the first world is becoming the third world.
[00:19:36.675 --> 00:19:38.356]  So, listen to me now.
[00:19:38.356 --> 00:19:44.840]  We've got the highest quality storable foods, the lowest price you're going to find, ready to ship to you right now at 10% off until November 15th.
[00:19:44.840 --> 00:19:47.101]  But after that, the prices are going up.
[00:19:47.101 --> 00:19:49.142]  We cannot suppress prices anymore.
[00:19:49.602 --> 00:19:57.032]  So protect yourself, get high-quality, storable food, so you're self-sufficient, and fund the InfoWar today at 360Win at InfoWarStore.com.
[00:19:57.032 --> 00:20:02.879]  It's time to get your food.
[00:20:02.879 --> 00:20:05.523]  You're listening to the Alex Jones Show.
[00:20:26.005 --> 00:20:34.993]  Okay, we've got some amazing guests today.
[00:20:34.993 --> 00:20:44.442]  Jim Hoffs of Gateway Pundit has really been warning that this could be a head fake in Virginia, and I tend to agree with him, but I'll explain when he joins this next segment.
[00:20:44.442 --> 00:20:45.303]  Dr. Peter McCullough.
[00:20:46.340 --> 00:20:53.422]  We'll be joining us in studio with the incredible new developments that are unfolding worldwide with these poison death shots.
[00:20:53.422 --> 00:20:57.943]  Old friend of mine and filmmaker Jason Burmess was talking about transhumanism and the new world order.
[00:20:57.943 --> 00:20:58.604]  He'll be joining us.
[00:20:58.604 --> 00:21:01.685]  That'd be very informative in the third hour.
[00:21:01.685 --> 00:21:08.907]  And then Jay Dyer is top of the line expert on the Great Reset and the globalist transhumanist operation Know Your Enemy.
[00:21:08.907 --> 00:21:13.048]  Jay Dyer will be reporting with Jay's analysis coming up in the fourth hour ahead of Owen Schroyer.
[00:21:15.216 --> 00:21:16.757]  Back live in studio.
[00:21:16.757 --> 00:21:18.798]  Didn't have to deal with court.
[00:21:18.798 --> 00:21:20.539]  I'm trying to put him in prison.
[00:21:20.539 --> 00:21:25.623]  January 6th, so he was out yesterday, but he's back today.
[00:21:25.623 --> 00:21:33.608]  And I can tell you, we have CNN parked out in the parking lot, staking out the office, and white supremacists circling the office, of course.
[00:21:33.608 --> 00:21:36.610]  They come together, same people.
[00:21:36.610 --> 00:21:43.755]  So that's the type of stuff we have going on here, which means the deep state's getting ready to move on America at a higher level, a bigger level.
[00:21:44.355 --> 00:21:46.117]  Which I expect to happen.
[00:21:46.117 --> 00:21:47.378]  We're really the tip of the spear here.
[00:21:47.378 --> 00:21:49.139]  So we're a canary in the coal mine.
[00:21:49.139 --> 00:21:52.282]  But we got a lot of buzzards circling around right now.
[00:21:52.282 --> 00:21:54.885]  A lot of wolves circling around right now.
[00:21:54.885 --> 00:21:57.287]  And that means they're circling a lot of other patriots.
[00:21:57.287 --> 00:22:00.290]  They probably got Rand Paul's house staked out.
[00:22:00.290 --> 00:22:01.571]  You know, they're trying to destroy Trump.
[00:22:01.571 --> 00:22:03.733]  I mean, you know, they're after Roger.
[00:22:03.733 --> 00:22:06.755]  Anybody that stands up for the country, they're going to come after you.
[00:22:06.755 --> 00:22:07.736]  So just pray for us here.
[00:22:07.736 --> 00:22:10.419]  A lot of serious stuff going on.
[00:22:10.419 --> 00:22:10.539]  Now,
[00:22:17.245 --> 00:22:36.896]  I will get to this with Dr. McCullough in the next hour, but I just wanted to really sink in, and I don't want to get lost in all the other clutter, that all over the world, mainstream news is saying, and this isn't a lie like last year where they said the hospitals were full and they weren't, that was just statistically not true and you could go there and see it.
