[00:00:17.705 --> 00:00:23.167]  InfoWars, tomorrow's news today.
[00:00:23.167 --> 00:00:29.369]  Ladies and gentlemen, thank you for joining us on this very special emergency Saturday evening transmission.
[00:00:29.369 --> 00:00:30.369]  It is October 30th, 2021.
[00:00:30.369 --> 00:00:31.730]  And we have massive news.
[00:00:38.669 --> 00:00:46.274]  To announce here on air that I was aware of years ago, but I did not know they were actually going operational.
[00:00:46.274 --> 00:00:48.615]  And indeed, they have gone operational.
[00:00:48.615 --> 00:00:50.036]  I learned about this yesterday morning.
[00:00:50.036 --> 00:00:56.980]  Did some research yesterday and today, and I'm ready to lay it out for you right now.
[00:00:56.980 --> 00:01:02.563]  This will just be the first of many reports on this because this isn't something that's around the corner.
[00:01:02.563 --> 00:01:05.245]  This is something that is now beginning to happen.
[00:01:06.522 --> 00:01:07.163]  Right now.
[00:01:07.163 --> 00:01:13.770]  So if we can, let me go ahead and just lay this out and then we'll hit the other big news as well.
[00:01:13.770 --> 00:01:27.584]  The Democrats have been caught engaging in a major false flag in Virginia, a racial false flag, in an attempt to start a new Charlottesville like the first one they pulled off four years ago and they got caught red-handed and it has
[00:01:28.697 --> 00:01:31.439]  Blown up in their face.
[00:01:31.439 --> 00:01:33.781]  The full report is at InfoWars.com.
[00:01:33.781 --> 00:01:35.983]  False flag confirmed in Virginia.
[00:01:35.983 --> 00:01:37.524]  Governor race.
[00:01:37.524 --> 00:01:47.753]  And we have a special video report I just shot before I walked in here to go on air that will be ready to air coming up, I'm told, in about 25-30 minutes.
[00:01:47.753 --> 00:01:51.095]  We'll go to that exclusive breakdown.
[00:01:51.095 --> 00:01:53.758]  Alex Jones and Tucker Carlson vindicated.
[00:01:55.345 --> 00:01:58.527]  Democrats caught in Virginia gubernatorial false flag.
[00:01:58.527 --> 00:02:00.188]  That is going to be coming up.
[00:02:00.188 --> 00:02:19.141]  Now, this story isn't just important because it vindicates the information that we reported on four years ago concerning Charlottesville and the fact that there were deep state Democrat political operatives basically leading the right-wing white nationalist event.
[00:02:19.141 --> 00:02:20.682]  And that later came out and was confirmed.
[00:02:23.168 --> 00:02:36.393]  That's important, but not as important as the fact that right now there's mass branding all over the corporate news, all over the media, that anyone questioning elections, anyone questioning lockdowns, anyone questioning forced inoculations is a terrorist.
[00:02:36.393 --> 00:02:41.535]  Anybody protesting critical race theory at their school board is a terrorist.
[00:02:41.535 --> 00:02:43.356]  And they're actually trying to roll this out with
[00:02:44.707 --> 00:02:57.323]  Capital police departments, federal police departments all over the nation being set up and Homeland Security branding a new war with the American people and Biden coming out.
[00:02:58.439 --> 00:03:05.620]  In June, and saying the main threat's not radical Islam, it's not Russia, it's not China, it's now the American people.
[00:03:05.620 --> 00:03:09.441]  That's the number one terror threat in America.
[00:03:09.441 --> 00:03:23.764]  And you can see on screen right there from even back in June, some of the reports and some of the Homeland Security graphics they were putting out about opposition to COVID measures, claims of election fraud, believe Trump can be reinstated, 9-11 anniversary and religious holidays.
[00:03:23.764 --> 00:03:25.584]  So just incredible.
[00:03:27.637 --> 00:03:35.268]  Roll out of the Patriot Act and the CIA and the whole police state that's not supposed to be used on citizens under law against us.
[00:03:35.268 --> 00:03:41.236]  Exactly what I and many other constitutional experts like Jonathan Turley warned of 20 years ago with the Patriot Act.
[00:03:41.236 --> 00:03:42.598]  Now the chicken's coming home to roost.
[00:03:45.080 --> 00:03:47.362]  They're getting ready to stage a bunch of false flags.
[00:03:47.362 --> 00:03:48.663]  Violent false flags.
[00:03:48.663 --> 00:03:50.985]  Oklahoma City style false flags.
[00:03:50.985 --> 00:03:56.309]  Not just the provocateur January 6th event that didn't go off as bad as they wanted it to.
[00:03:56.309 --> 00:03:57.890]  They wanted it to be really bad.
[00:03:57.890 --> 00:04:02.333]  But thank God it fizzled out and wasn't as bad as they were planning it to be.
[00:04:03.374 --> 00:04:15.901]  And so now they are in a total hysteria over Tucker Carlson coming out with his new three-part documentary series that he's gonna be covering all week next week titled The Plot Against the People because this is a plot against the people.
[00:04:15.901 --> 00:04:25.706]  And if the American people understand how this is a divide-and-conquer operation and an attempt at race war the globalists are launching, we can save our country and also bring the globalists to justice.
[00:04:25.706 --> 00:04:29.788]  But that's where we are, that's what's unfolding, and that's what we're facing right now.
[00:04:31.482 --> 00:04:36.706]  Now let's get to our top story here on this Saturday evening.
[00:04:36.706 --> 00:04:41.610]  And again, the only way this information is going to get out is if you share it.
[00:04:41.610 --> 00:04:52.339]  And if you do decide to share it, it's going to have a huge effect and we can stop this nightmare next phase of the Great Reset and of the transhumanist nanotech takeover of our bodies.
[00:04:52.339 --> 00:04:54.440]  And what do I speak of?
[00:04:54.440 --> 00:05:00.005]  I remember 20 plus years ago reading about Bill Gates and press releases he put out wanting to control the weather.
[00:05:01.397 --> 00:05:09.164]  Wanting to have particulate added to jet fuel to create nuclei in the atmosphere to create artificial clouds to bounce solar radiation back out into space.
[00:05:09.164 --> 00:05:22.455]  I remember seeing Bill Gates proposing putting sterilants in vaccines and putting sterilants in mosquitoes so they could deliver sterilant vaccines into third world populations.
[00:05:23.504 --> 00:05:47.793]  I remember seeing Bill Gates talking about engineering strawberries and potatoes and tomatoes and bananas and papayas that would have, quote, different vaccines engineered biomechanically, bioelectrically into the very tissue of the plant where the plant would produce live viruses.
[00:05:47.793 --> 00:05:52.595]  And they had actually developed that and actually had it completed again several decades ago.
[00:05:54.895 --> 00:05:57.977]  But now they've gone operational with the weather control.
[00:05:57.977 --> 00:06:00.098]  Now they've gone operational with the virus release.
[00:06:00.098 --> 00:06:05.222]  Now they've gone operational with the mRNA genetic engineering revolution rollout.
[00:06:05.222 --> 00:06:12.586]  Now they've gone operational with the nanotech in the Pfizer and Moderna shots, both controlled by Gates and his combine.
[00:06:12.586 --> 00:06:16.509]  And so now we're sitting here on the precipice of this
[00:06:17.819 --> 00:06:30.050]  In every major Western country saying, you'll be fired, you won't be able to get on an airplane, you won't be able to travel around the world unless you accept a world medical ID controlled by the UN and the Davos Group.
[00:06:30.050 --> 00:06:33.613]  It's not coming, it's here.
[00:06:33.613 --> 00:06:36.876]  Now you think that's bad enough, right?
[00:06:36.876 --> 00:06:39.638]  Well, the Davos Group has officially come out
[00:06:40.652 --> 00:07:02.139]  In just the last month, this has gotten almost no coverage, but it's been at the UN level, at the corporate university level, I've got a stack of news right here I'm about to show you, and stated that they've engineered all of these nanoparticles that are microchips, microscopic microchips, some of which you can see with the naked eye, some of which you can't, that they spray
[00:07:03.516 --> 00:07:08.317]  On to all of the food to, quote, track it and make sure it's safe.
[00:07:08.317 --> 00:07:11.797]  So to make sure it's safe and not contaminated, they contaminate it.
[00:07:11.797 --> 00:07:15.758]  Remember the documents came out a month ago or more?
[00:07:15.758 --> 00:07:26.100]  The plan by Peter Daszak and Fauci and Gates to spray live nanotech open-air China on the population to, quote, give them COVID-19.
[00:07:26.100 --> 00:07:27.960]  Remember that?
[00:07:27.960 --> 00:07:29.180]  That's beyond gain-of-function.
[00:07:29.180 --> 00:07:30.901]  That's synthetic viruses.
[00:07:30.901 --> 00:07:32.061]  This is what's really
[00:07:33.055 --> 00:07:39.645]  Going on and the whole revolution is what they've been calling for over 20 years, smart dirt.
[00:07:39.645 --> 00:07:42.689]  You probably saw that transhumanist propaganda with Johnny Depp.
[00:07:42.689 --> 00:07:45.213]  Transcendence.
[00:07:45.213 --> 00:07:46.876]  Where he becomes the supercomputer.
[00:07:48.416 --> 00:08:02.261]  And dissolves into dust that then goes into the atmosphere and impregnates all human bodies, all plants, all animals, and that the entire planet is now in AI dust, and he is a guardian that will save the earth.
[00:08:02.261 --> 00:08:07.603]  That is Silicon Valley's Antichrist statement to you.
[00:08:07.603 --> 00:08:12.045]  So, here it is, ladies and gentlemen, the rollout.
[00:08:12.045 --> 00:08:13.806]  If you think they're violating your bodily
[00:08:15.563 --> 00:08:43.335]  Right, if you think they're raping you with attempting to force deadly shots that are mRNA that change your whole makeup, that change the inside of your cells, that program your cells to create poisonous spike proteins for the rest of your life, that erase your immune system, if you think that's bad, imagine it being put in all the major food chain supply, and then the companies just say, hey, the UN legalized it, it wasn't even approved by the FDA, but we don't care, just like these shots.
[00:08:46.069 --> 00:08:51.131]  We're now going to put all this nanotech on your food whether you like it or not.
[00:08:51.131 --> 00:08:56.873]  So you thought it was bad to have GMO crops that in many of the studies are linked to infertility.
[00:08:56.873 --> 00:09:04.417]  You thought it was bad to be seeing all these illnesses and cancer cropping up in all the studies of lab rats that are fed the same stuff we're being fed.
[00:09:04.417 --> 00:09:07.658]  You thought it was bad they might engineer into the very
[00:09:09.295 --> 00:09:14.662]  Vegetables and fruits you eat, quote, live vaccine, which is really just a viral attack.
[00:09:14.662 --> 00:09:17.306]  We're reprogramming your body.
[00:09:17.306 --> 00:09:25.297]  Now they're announcing that they're rolling out with the UN and demanding, starting with third world populations, that they take smart dust
