[00:00:00.190 --> 00:00:00.613]  World War 3!
[00:00:00.653 --> 00:00:00.794]  Putin?
[00:00:06.242 --> 00:00:08.582]  I wouldn't mean a wise guy.
[00:00:08.602 --> 00:00:10.223]  I was alone with him in his office.
[00:00:10.463 --> 00:00:11.443]  That's how it came about.
[00:00:11.483 --> 00:00:15.484]  It was when President Bush had said, I've looked in his eyes and saw a soul.
[00:00:16.724 --> 00:00:19.385]  I said, look in your eyes, and I don't think you have a soul.
[00:00:19.425 --> 00:00:21.186]  And he looked back and he said, we understand each other.
[00:00:21.946 --> 00:00:30.428]  Look, most important thing dealing with foreign leaders, in my experience, and I've dealt with an awful lot of them over my career, is just know the other guy.
[00:00:30.848 --> 00:00:31.969]  So you know Vladimir Putin.
[00:00:31.989 --> 00:00:32.789]  You think he's a killer?
[00:00:32.809 --> 00:00:33.790]  Mm-hmm.
[00:00:34.451 --> 00:00:34.751]  I do.
[00:00:34.951 --> 00:00:36.212]  So what price must he pay?
[00:00:36.232 --> 00:00:38.934]  The price he's gonna pay, well, you'll see shortly.
[00:00:39.294 --> 00:00:41.736]  This is after Putin said he wants to work with Biden.
[00:00:42.196 --> 00:00:45.138]  This is after he said that he doesn't want a civil war in America.
[00:00:45.538 --> 00:00:48.280]  This is after he said there's no evidence we got involved in your election.
[00:00:48.360 --> 00:00:49.501]  Communist China did.
[00:00:49.861 --> 00:00:54.545]  And the response, of course, from Joe Biden was
[00:00:55.697 --> 00:00:57.998]  The price he's going to pay, you'll see shortly.
[00:00:58.018 --> 00:00:59.239]  He's a killer.
[00:00:59.499 --> 00:01:03.420]  I mean, this is just unbelievable rhetoric.
[00:01:03.880 --> 00:01:09.023]  From the front lines of the information war, it's Alex Jones.
[00:01:13.382 --> 00:01:16.624]  Thanks to you kids, we now know the virus is a hoax.
[00:01:16.764 --> 00:01:21.166]  They included flu, pneumonia, and other infections to boost the numbers.
[00:01:21.186 --> 00:01:22.826]  Let's find out who is really behind it all.
[00:01:22.866 --> 00:01:26.388]  Like, President Trump is definitely behind one of these phantoms.
[00:01:29.610 --> 00:01:30.610]  Gigi Pink?
[00:01:32.191 --> 00:01:33.251]  Dr. Fauci?
[00:01:33.331 --> 00:01:36.693]  Like, I thought doctors were supposed to help people, not scare them.
[00:01:38.194 --> 00:01:39.895]  Microsoft's Bill Gates?
[00:01:40.075 --> 00:01:46.160]  Not only a computer guy, he's a notorious vaccine pusher who wants to reduce the world's population.
[00:01:46.540 --> 00:01:47.061]  I get it.
[00:01:47.181 --> 00:01:52.525]  So Bill Gates wanted to vaccinate everyone after Fauci convinced them there was a deadly disease outbreak.
[00:01:52.585 --> 00:01:53.666]  That's diabolical.
[00:01:53.726 --> 00:01:55.487]  Yeah, that sounds pretty bad.
[00:01:55.587 --> 00:01:56.568]  Don't worry, kids.
[00:01:56.908 --> 00:02:00.210]  These globalists won't get away with their pandemic hoax this time.
[00:02:00.371 --> 00:02:04.594]  Where they're going, they'll be locked up for a long good while in the big house.
[00:02:05.094 --> 00:02:05.514]  Yeah!
[00:02:05.754 --> 00:02:08.736]  Better than a rock round at home!
[00:02:12.678 --> 00:02:14.198]  Hello, useless eaters.
[00:02:14.739 --> 00:02:26.684]  As your unqualified, non-elected global human health overlord, I'd like to take this opportunity to flaunt my position of power and influence over society and share some of my plans for you and your future.
[00:02:27.285 --> 00:02:29.926]  When I amassed my fortune in computer software,
[00:02:30.046 --> 00:02:38.010]  I demonstrated that I was willing to lie, steal code, cheat my partners, and exercise monopolistic control to destroy my competitors.
[00:02:38.671 --> 00:02:42.413]  Now that I've retired, I can rebrand myself as a humanitarian.
[00:02:42.813 --> 00:02:54.500]  With my for-profit foundation MassGrading as a charity, I can advocate for population reduction and sponsor mass human experiments with unproven vaccines in vulnerable populations.
[00:02:55.060 --> 00:03:05.550]  Like my father, a powerful banker, eugenicist, and Rockefeller crony himself, it's always been my ambition to decide who lives and, more importantly, how many have to die.
[00:03:05.870 --> 00:03:14.518]  Whether it's under the guise of climate change or world health, it's really all about controlling and culling the human herd for fun and profit.
[00:03:15.583 --> 00:03:22.307]  In November of last year, I hosted Event 201, a war game simulation of a global pandemic.
[00:03:22.908 --> 00:03:34.435]  Leaders from private corporations, global banks, governments, and the media got together to strategize ways they could align and lockstep when responding to a worldwide health crisis.
[00:03:35.135 --> 00:03:48.443]  Using a coordinated campaign of fear-mongering, intimidation, social shaming, and economic blackmail, we realized that we could get around dangerous philosophies like individual liberty and national sovereignty.
[00:03:48.864 --> 00:04:03.493]  With an obedient population, we would be free to implement our own top-down solutions, like forced quarantines, social distancing, contact tracing, and mandatory testing, as a means to seize technocratic control of society.
