[00:00:10.320 --> 00:00:11.840]  Attention!
[00:00:11.840 --> 00:00:16.821]  A curfew is in effect at 1800 hours until 600 hours tomorrow.
[00:00:16.821 --> 00:00:20.342]  All individuals must leave the U.S.
[00:00:20.342 --> 00:00:23.902]  Capitol grounds or be subject to arrest.
[00:00:23.902 --> 00:00:32.824]  I repeat, a curfew is in effect at 1800 hours until 600 hours tomorrow.
[00:00:32.824 --> 00:00:35.564]  All individuals must leave the U.S.
[00:00:35.564 --> 00:00:39.305]  Capitol grounds or be subject to arrest.
[00:00:48.522 --> 00:00:54.107]  See, I didn't just play Air Raid Sirens, the song that we'd shown last year for Affects Scare You.
[00:00:54.107 --> 00:00:55.569]  I did it because I knew this was going to happen.
[00:00:55.569 --> 00:00:57.530]  I'm studying the law, what's it done in other countries.
[00:00:57.530 --> 00:01:00.493]  See, that's what I do.
[00:01:00.493 --> 00:01:03.596]  Everybody just wonders, how does Jones know everything?
[00:01:03.596 --> 00:01:06.598]  Why is Jones almost always right?
[00:01:06.598 --> 00:01:11.823]  Well, because the criminals tell us what they're going to do, and then no one seems to want to care.
[00:01:11.823 --> 00:01:14.405]  I read in medical papers and medical journals
[00:01:15.339 --> 00:01:26.067]  That listeners actually sent me in like 1996, because nobody else would cover this stuff, that they were doing animal-human clones with pigs and humans in the 1980s.
[00:01:26.067 --> 00:01:27.208]  Well, that's in the news today.
[00:01:27.208 --> 00:01:30.571]  Everyone's like, Jones, how did he predict it?
[00:01:30.571 --> 00:01:31.411]  I didn't predict it.
[00:01:31.411 --> 00:01:35.835]  It's like, Jones predicted there's a place called Hoover Dam in Nevada.
[00:01:37.116 --> 00:01:40.937]  And I was driving through Nevada and I pulled up and it was there.
[00:01:40.937 --> 00:01:43.298]  He predicted it and then it appeared.
[00:01:43.298 --> 00:01:47.879]  No, it was built back in the 30s or whatever.
[00:01:47.879 --> 00:01:49.279]  You understand how frustrating this is?
[00:01:49.279 --> 00:01:53.200]  I'm going to explain this to everybody one more time.
[00:01:53.200 --> 00:02:00.402]  I liked cartoons and I like pulp fiction and I like books about Conan the Barbarian, you know, written back in the 30s.
[00:02:00.402 --> 00:02:04.023]  And then I started reading my parents' history books and got hooked on that.
[00:02:05.819 --> 00:02:08.967]  And then there was a book written by Hitler, Mein Kampf, so I thought I'd read that.
[00:02:08.967 --> 00:02:11.574]  And then there was a book by Winston Churchill, I thought I'd read that.
[00:02:11.574 --> 00:02:13.740]  By the time I was like 12 years old, I was reading Friedrich Nietzsche.
[00:02:15.458 --> 00:02:18.340]  Now, then I started reading Zbigniew Brzezinski by the time I was about 12.
[00:02:18.340 --> 00:02:25.383]  My mother would be like, what the hell are you doing reading the secret British wartime report, The Mind of Adolf Hitler, when you're 12 years old?
[00:02:25.383 --> 00:02:27.545]  It was way better than the comic books.
[00:02:27.545 --> 00:02:28.285]  I was a great reader.
[00:02:28.285 --> 00:02:31.947]  You know, I read at a 12th grade level when I was 8 years old.
[00:02:31.947 --> 00:02:34.008]  Wasn't good at math, though.
[00:02:34.008 --> 00:02:36.730]  And so I'm here, like, I know a language.
[00:02:36.730 --> 00:02:38.391]  Other people don't know the language.
[00:02:38.391 --> 00:02:41.272]  And they think, like, I'm showing off when I say stuff like this.
