[00:00:00.289 --> 00:00:01.812]  I don't think so.
[00:00:27.591 --> 00:00:33.293]  We can't just let this information get lost in the mix.
[00:00:33.293 --> 00:00:39.496]  We can't just come on air and expose this incredible horror.
[00:00:39.496 --> 00:00:43.417]  And then just have it become part of the background ambient noise.
[00:00:43.417 --> 00:00:46.479]  We have to let it hit us in our soul.
[00:00:46.479 --> 00:00:49.500]  We have to decide to do something about it.
[00:00:49.500 --> 00:00:52.541]  Or we'll lose our souls.
[00:00:52.541 --> 00:00:55.902]  It's Thursday, October 7th.
[00:00:55.902 --> 00:00:56.423]  The year is 2021.
[00:00:59.557 --> 00:01:08.981]  And I'm about to play for you something of pure nightmare.
[00:01:08.981 --> 00:01:13.924]  Viewer discretion is advised.
[00:01:13.924 --> 00:01:20.587]  Now, you can debate whether this is real or not, but it is real.
[00:01:20.587 --> 00:01:22.708]  It's going on.
[00:01:22.708 --> 00:01:24.008]  It's happening.
[00:01:24.008 --> 00:01:25.169]  And to any trained eye,
[00:01:26.417 --> 00:01:28.158]  You know it is 100% real.
[00:01:28.158 --> 00:01:52.508]  Ladies and gentlemen, it hasn't just come out what I told you years ago to the medical literature that Pfizer lies to the world, so does Moderna, that the vaccines are grown in the cloned tissue of dead babies, what they call immortal cell lines.
[00:01:53.348 --> 00:01:54.749]  No, that's all broken.
[00:01:54.749 --> 00:02:00.233]  That's all come out via the great folks at Project Veritas.
[00:02:00.233 --> 00:02:03.915]  No, it's a lot further down the rabbit hole.
[00:02:03.915 --> 00:02:05.957]  Here's a commenter, Paul Revere, on Twitter.
[00:02:05.957 --> 00:02:09.319]  That's a human-pig hybrid.
[00:02:09.319 --> 00:02:12.581]  And that's exactly what it is.
[00:02:12.581 --> 00:02:18.465]  That's a baby pig, humanoid, just born, brought forward to the camera,
[00:02:19.380 --> 00:02:24.604]  This isn't Sweet Tooth on Netflix or the new show Lamb, the new movie coming out, the horror movie.
[00:02:24.604 --> 00:02:25.844]  That's all to condition you.
[00:02:25.844 --> 00:02:33.610]  The order went out years ago to put out the human-animal hybrid films so that when this actually rolls out, you'll be conditioned and ready to accept the horror.
[00:02:33.610 --> 00:02:37.072]  I told you many years ago about scientists I talked to.
[00:02:37.072 --> 00:02:39.814]  One of them died shortly after he was on the show.
