[00:00:00.369 --> 00:00:00.809]  Shootings?
[00:00:02.070 --> 00:00:02.550]  Gun laws?
[00:00:02.630 --> 00:00:03.371]  Access to weapons?
[00:00:03.551 --> 00:00:04.771]  Oh yeah, I know when they'll change.
[00:00:06.032 --> 00:00:07.212]  Your kids start getting killed?
[00:00:08.393 --> 00:00:10.114]  White people's kids start getting killed?
[00:00:12.215 --> 00:00:18.778]  Smoking that doobie that's actually legal, probably, in your state now, but they don't know what it was, and then the kid runs, and then pop, pop, pop, pop!
[00:00:20.479 --> 00:00:21.379]  Cop was justified.
[00:00:21.399 --> 00:00:21.939]  Why'd you run?
[00:00:23.240 --> 00:00:24.480]  Oh, we had a baseball game tonight.
[00:00:24.821 --> 00:00:25.041]  Huh.
[00:00:25.701 --> 00:00:26.061]  White kid.
[00:00:26.121 --> 00:00:26.742]  Oh, big family.
[00:00:26.782 --> 00:00:27.502]  That house over there?
[00:00:29.653 --> 00:00:30.634]  Those start piling up?
[00:00:32.635 --> 00:00:34.117]  What is going on with these police?
[00:00:37.039 --> 00:00:38.200]  Maybe we shouldn't even have police!
[00:00:38.540 --> 00:00:39.741]  That kind of mania?
[00:00:40.302 --> 00:00:41.422]  That kind of madness?
[00:00:42.203 --> 00:00:42.763]  That'll be you!
[00:00:43.364 --> 00:00:44.885]  We've got to stay in the street.
[00:00:45.346 --> 00:00:48.108]  And we've got to demand justice.
[00:00:48.228 --> 00:00:53.112]  We've got to not only stay in the street, but we've got to fight for justice.
[00:00:53.472 --> 00:00:58.156]  But I am very hopeful, and I hope that we're going to get
[00:00:58.716 --> 00:01:00.677]  We're ready to face the number.
[00:01:00.697 --> 00:01:01.417]  We've had this.
[00:01:20.657 --> 00:01:30.945]  The problem was that the refugee model was working on a crisis that ended up on the border with Yonkees.
[00:01:32.793 --> 00:01:37.014]  What I would do as president is several more things because things have changed.
[00:01:37.435 --> 00:01:42.096]  I would in fact make sure that there is, we immediately surge to the border.
[00:01:42.476 --> 00:01:44.097]  All those people are seeking asylum.
[00:01:44.377 --> 00:01:45.337]  They deserve to be heard.
[00:01:45.357 --> 00:01:46.217]  That's who we are.
[00:01:46.558 --> 00:01:50.439]  We're a nation that says if you want to flee and you're fleeing oppression, you should come.
[00:01:54.020 --> 00:01:56.901]  Alex Jones here with some good news and then some bad news.
[00:01:58.206 --> 00:02:05.530]  We have brought to bear a lot of pressure, a lot of coverage down at the Texas-Mexico border here in McAllen and other areas in the last few weeks.
[00:02:06.111 --> 00:02:07.451]  So has Senator Cruz and others.
[00:02:07.491 --> 00:02:12.955]  But it's been InfoWars reporting that has really pushed over the edge into public consciousness.
[00:02:13.615 --> 00:02:18.057]  It's been you, the listeners and viewers, that have really been sharing the articles, sharing the videos.
[00:02:18.077 --> 00:02:19.218]  They're going viral everywhere.
[00:02:19.638 --> 00:02:20.679]  So I really commend you.
[00:02:20.739 --> 00:02:23.521]  Also, a lot of folks are following our suggestion
[00:02:24.676 --> 00:02:31.938]  To take the footage off Banned.Video out of the border crisis section and to just blow it up, cut our bugs off, use it however you want, we don't need the attention.
[00:02:32.578 --> 00:02:38.080]  They ban a lot of people or restrict stuff if you give InfoWars.com attention or Banned.Video.
[00:02:38.480 --> 00:02:40.901]  So we don't care about the credit, just get the videos.
[00:02:41.926 --> 00:02:46.389]  If I'm in any of them, cut me out or anything that's identifiable and just get the information out.
[00:02:46.749 --> 00:02:52.152]  This is about saving the country, saving the world and not letting the UN destroy the country via replacement migration.
[00:02:52.192 --> 00:02:55.854]  But you have been kicking butt and it is incredible.
[00:02:56.034 --> 00:02:56.755]  So keep it up.
