[00:00:00.000 --> 00:00:16.719]  [Thunder]
[00:00:16.719 --> 00:00:20.820]  Well, this is a day that will be long remembered.
[00:00:21.822 --> 00:00:39.829]  The official launch of Reset Wars, which is going to be an entire group of incredible pieces that really will transfer all the knowledge that I've been able to gain with all these other expert guests and researchers and callers in our fight against the globalists to the people.
[00:00:40.646 --> 00:00:53.895]  I mean, really, this is not my memoir, because I'm far from being done in this fight, but really the brain trust of understanding what we're up against and how God gave us the power through God to override it.
[00:00:53.935 --> 00:00:59.099]  This is how the globalists see the science of controlling us, and they realize it's spiritual.
[00:00:59.974 --> 00:01:07.422]  So we're gonna be looking at it from the scientific perspective in Mind Wars and then in part two, the Spirit Wars.
[00:01:07.602 --> 00:01:13.889]  And my good friend Jake Ducey is here with us, best-selling author and also a very, very popular YouTuber and beyond.
[00:01:14.870 --> 00:01:27.880]   You see these folders I have here that are all I mean, just one of these folders is just if you understood this, you would be so much more free, such a more powerful person to be able to stand up against evil, because we want you to be powerful.
[00:01:28.220 --> 00:01:29.261]  The globalists want you to be weak.
[00:01:29.641 --> 00:01:33.004]  The observer effect, just this is the keys to destiny right here.
[00:01:33.925 --> 00:01:49.604]   And then this whole stack tying into declassified documents on mind control, where we're going to show you The CIA, this is just one sliver of how they see mind control and how it dovetails with what we're telling you, but how to not be controlled by it.
[00:01:50.124 --> 00:01:50.584]  You understand?
[00:01:51.125 --> 00:01:53.225]  So, this is the real deal.
[00:01:53.665 --> 00:01:58.646]  When you've got psychologists and you've got these mainline preachers and others, they're priest class that Jesus talked about.
[00:01:59.106 --> 00:02:00.966]  They don't want you to figure out how the whole game works.
[00:02:01.006 --> 00:02:07.307]  They want to control you and make you think they're the light, like an anglerfish has that light out front and said, it really is going to kill you.
[00:02:07.847 --> 00:02:09.568]  And so, Jake didn't even want to come on air.
[00:02:09.608 --> 00:02:10.748]  He's really helping me behind the scenes.
[00:02:11.468 --> 00:02:14.548]   And I said, please, because you really helped me with this course a lot.
[00:02:14.548 --> 00:02:17.387]   I couldn't have done it without you because he was able to take a lot of stuff
[00:02:17.387 --> 00:02:19.588]  from my show and then help me get it and put it together.
[00:02:19.588 --> 00:02:23.987]   Cause again, we were going to do reset wars on just the great reset and finances
[00:02:23.987 --> 00:02:26.387]   and how to fight it or how to get around censorship or other things.
[00:02:26.387 --> 00:02:29.108]  And I said, no, I want to do spirit wars, mind wars.
[00:02:29.108 --> 00:02:35.307]   And what's crazy is he then really so much of this course, uh, help me put together.
[00:02:35.301 --> 00:02:37.723]  So God was working through us both on this.
[00:02:37.743 --> 00:02:40.385]  So that's why this is such an important emergency broadcast.
[00:02:41.026 --> 00:02:43.007]  Jake, in the hour we have, I don't know where to start.
[00:02:43.027 --> 00:02:49.012]  We've got some other special guests coming up after you leave us that I've asked to come on the show that are really aware of how these systems work.
[00:02:49.432 --> 00:02:53.916]  But please take the floor for a while and break this down because you've done a lot of work.
[00:02:54.116 --> 00:03:00.001]  We just wanted to let you know exactly what's going on, why this is so powerful.
[00:03:00.161 --> 00:03:13.572]  You probably saw an incredible piece of content about it or whatnot, but today is the day where you can actually purchase Alex Jones' first ever digital course.
[00:03:14.332 --> 00:03:25.800]  As you know, it's called Reset Wars, so if you enjoyed today's presentation, we highly encourage you to sign up, support InfoWars, support and fund this operation.
[00:03:26.261 --> 00:03:29.023]  And again, folks, we're always tomorrow's news today.
[00:03:29.463 --> 00:03:31.745]  I don't tell you something's powerful unless it is, okay?
[00:03:32.045 --> 00:03:33.726]  I'm neurotic about only telling the truth.
[00:03:34.106 --> 00:03:38.209]  When I say this is the most powerful information we've ever released, it's not hype.
[00:03:39.190 --> 00:03:45.412]  It's incredible info that will change your life, especially if you actually research it, take notes, and use this technology that God gave us.
[00:03:45.432 --> 00:03:53.675]  A. And then B, you're funding the info war at a time they're trying to shut us down, and that capital keeps us on air and lets us expand, not just this project, but others.
[00:03:53.695 --> 00:03:56.276]  But this is our most important project right now.
[00:03:56.296 --> 00:03:57.516]  So Jake Ducey, please continue.
[00:03:57.756 --> 00:03:58.877]  ResetWars.com.
[00:03:59.177 --> 00:03:59.597]  Go there.
[00:04:00.157 --> 00:04:00.717]  Sign up now.
[00:04:00.777 --> 00:04:01.978]  The course is now live.
[00:04:02.018 --> 00:04:02.598]  It's now available.
[00:04:05.292 --> 00:04:08.935]  First of all, I'm really honored to have worked with you on this.
[00:04:09.896 --> 00:04:17.523]  I've been a fan for 15 years and I believe, I know you've said it too, this is the most important work that you've done.
[00:04:20.385 --> 00:04:25.329]  You know, you might be listening to this and you're wondering, what on earth even is Reset Wars?
[00:04:25.989 --> 00:04:37.718]  And what it is, is it's Alex Jones' first ever online course, online training, breaking down exactly how they built this control system, how to rewire your mind.
[00:04:38.739 --> 00:04:40.781]  And transform your life.
[00:04:40.941 --> 00:04:53.692]  How Alex was able to basically unconsciously use a lot of these secrets of the universe, the observer effect, to go from, I didn't know, a 17 year old kid recording in his closet, to creating this epic thing.
[00:04:53.732 --> 00:04:57.896]  And this isn't an online course for some random guy on the internet standing in front of a car.
[00:04:57.956 --> 00:05:04.159]   I mean, we're talking about literally one of the 10 most influential and powerful people in America.
[00:05:04.159 --> 00:05:09.359]   Joe Rogan says that Alex is his biggest show he's ever done.
[00:05:09.359 --> 00:05:13.958]   So this is Alex breaking it down and it's been an honor to be involved in this.
[00:05:13.958 --> 00:05:17.359]   The other thing we were talking about that's pretty cool is,
[00:05:17.359 --> 00:05:20.759]  this is also, the supply chains are a real thing.
[00:05:20.900 --> 00:05:26.284]  And that's the controlled demolition of American society is shut these supply chains down.
[00:05:26.804 --> 00:05:29.646]  And InfoWars is obviously a very important movement.
[00:05:30.186 --> 00:05:35.530]  And you guys buying the supplements is the way that funds this incredible operation.
[00:05:36.030 --> 00:05:40.613]  And I know Alex and everyone is sincerely grateful that you guys do that.
[00:05:40.653 --> 00:05:42.474]   But one of the hardships No more hype.
[00:05:42.294 --> 00:05:46.894]   has from time to time is sometimes there's supply chain disruptions, who knows what the
[00:05:46.894 --> 00:05:48.194]  future is.
[00:05:48.194 --> 00:05:54.114]   And so we also set this up just in case we have a digital course available that if, God
[00:05:54.114 --> 00:06:00.333]   forbid, the supply chains get worse, God forbid one day products aren't available, that InfoWars
[00:06:00.333 --> 00:06:01.333]  has this.
[00:06:01.333 --> 00:06:08.774]   So this is another tool in the tool belt to support the cause, but no more hype.
[00:06:08.774 --> 00:06:14.094]  Let's start with Alex.
[00:06:14.094 --> 00:06:18.614]   The course, and I've watched this course over six times now, and I've got all the table
[00:06:18.614 --> 00:06:21.574]  of contents, everything in front of me here.
[00:06:21.638 --> 00:06:30.042]  Let's start with, you wanted to call this Reset Wars, but you said it was Spirit Wars and Mind Wars.
[00:06:30.562 --> 00:06:33.303]  So let's start with, what is the Spirit War?
[00:06:33.383 --> 00:06:34.443]  What does that mean to you?
[00:06:35.644 --> 00:06:38.365]  Well, the ancients didn't have what we call modern science.
[00:06:39.662 --> 00:06:44.368]  And the whole scientific method, but they learned laws of the universe and things that were going on.
[00:06:45.489 --> 00:06:52.578]  And so they called all that the spirit or the invisible, but they said there are things out there that we can't see.
[00:06:53.319 --> 00:06:56.643]  Well, obviously we now know that limited light spectrum we see.
[00:06:57.411 --> 00:07:01.411]   is not even one millionth of what's really going on in the universe.
[00:07:01.411 --> 00:07:09.411]   And so what we call spirit wars is the older systems that the cults and different religions used to control people
[00:07:09.411 --> 00:07:11.411]  because they were aware of these laws.
[00:07:11.411 --> 00:07:14.411]   They weren't actually sure where they came from or how they operated,
[00:07:14.411 --> 00:07:21.411]   but they knew that they were there and that they could basically get people to conform to their wishes
[00:07:21.411 --> 00:07:24.411]  because they didn't have as much knowledge as they had.
[00:07:24.400 --> 00:07:27.844]  And so we now have more knowledge about science than people had 5,000 years ago.
[00:07:27.884 --> 00:07:31.989]  We have billions of times more knowledge about actual scientific data.
[00:07:33.131 --> 00:07:37.456]  But we almost have less of a connection to the quote spiritual than we did 5,000 years ago.
[00:07:39.336 --> 00:07:45.036]   We're talking about spirit wars, that's the old models and how humans saw it, and then now as we learn more
[00:07:45.036 --> 00:07:51.396]   with science, we learn that that's actually very accurate and actually real, so spirit wars and mind wars
[00:07:51.396 --> 00:07:53.916]  are two different things that are basically the same thing.
[00:07:53.916 --> 00:07:59.976]   What we're doing is creating, just like in quantum physics, a unified field theory and just trying to explain
[00:07:59.976 --> 00:08:07.276]   that the CIA can have its names for how it controls you, and think, but that's just their projection
[00:08:07.276 --> 00:08:09.317]  as a grid, as a language.
[00:08:09.308 --> 00:08:17.517]  We're giving you the basic language of how this actually operates, what they're manipulating, because the basic is the most complex.
[00:08:17.537 --> 00:08:22.381]   It doesn't have names, and once you hear all this, You will inherently already know this is all true.
[00:08:22.401 --> 00:08:25.322]  You'll say, that's who I am, because this is what God made.
[00:08:25.963 --> 00:08:32.986]  And man can try to define all this all day, but only the Holy Spirit and the divine connection can actually come in and lead God and direct you.
[00:08:33.246 --> 00:08:39.890]  And that's what this free will journey is, is you're not jacking into the matrix of the metaverse, you're jacking into the Holy Spirit, the creator of the universe.
[00:08:41.087 --> 00:08:53.190]  Yeah, and one of the things that I really, one of my favorite parts of the course, so Alex breaks down the entire spiritual war, the history of it, why it's important, how it fits into the Great Reset.
[00:08:53.530 --> 00:09:12.576]   Later in the course, there's an entire chapter on, you know, sometimes, one of, some of Alex's favorite, most famous bits are some 30-second piece where you're on Rogan, you know, and it's, you get late at night, it's the third hour of the show, and you say some random thing for just a minute about the universe, and everyone's like, Whoa, Alex is incredible!
[00:09:12.596 --> 00:09:23.205]  Well, imagine getting six hours of Alex, divinely inspired, organized, codified with all this research, actually breaking down the secrets of the universe.
[00:09:23.666 --> 00:09:26.848]  That's what this is about and why I think it's so important.
[00:09:26.888 --> 00:09:33.254]  And one of the parts that I love about the course is the second chapter is beyond the Great Reset.
[00:09:34.014 --> 00:09:52.204]  And, you know, we all know, obviously, this great reset agenda, these compulsory jabs, this lockdown, move to climate change lockdowns, put us on the carbon emissions system, attach the social credit score, do all of that stuff.
[00:09:53.280 --> 00:10:02.209]  But in the course, one of the things that I thought was really cool, because at this point, a lot of people know what the Great Reset is, and they kind of know roughly what it's about.
[00:10:02.469 --> 00:10:03.109]  You'll own nothing.
[00:10:03.129 --> 00:10:03.830]  You'll be happy.
[00:10:04.210 --> 00:10:22.222]   But you talk about going beyond the Great Reset, and you talk about how really the whole goal of the Great Reset, of these compulsory mRNA shots and all of this bunk, is basically about modifying your spiritual DNA because all
[00:10:22.222 --> 00:10:26.751]   throughout history, you know, obviously Alex, more than like almost anyone in the world,
[00:10:26.751 --> 00:10:35.511]   is an astute researcher into the history of control systems and tyrants. And you talk about how tyrants
[00:10:35.511 --> 00:10:36.441]  have always...
[00:10:36.441 --> 00:10:44.522]   First, you say in the Course, "First, they come for your mind. Then, they come for your soul."
[00:10:45.327 --> 00:10:58.399]  And you talk about how the Great Reset is coming for the soul through these compulsory shots to modify you so you're no longer connected to your spiritual DNA and disconnecting you that because that's what they fear most.
[00:10:58.699 --> 00:11:03.043]  They have to do that to successfully build their slave state.
[00:11:03.423 --> 00:11:11.004]   And I thought maybe you could go into a little bit of of what's behind the beyond the great reset and their goal
[00:11:11.004 --> 00:11:13.884]  to suppress our higher connection.
[00:11:13.884 --> 00:11:18.205]   Well, if you look at Bill Gates, you look at Elon Musk, or you look at Jeff Bezos,
[00:11:18.205 --> 00:11:23.485]   they're always trying to innovate and make the new civilization the new thing.
[00:11:23.681 --> 00:11:34.834]  But because humans are here and humans are already dominant, they're trying to build something anti-human, because that's the only way they can innovate, even though it's something not even one one-billionth as good as what God already gave us.
[00:11:34.914 --> 00:11:39.519]  I mean, that's what top scientists will tell you, like Wozniak, the founder of Apple, with Steve Jobs co-founder.
[00:11:40.120 --> 00:11:44.103]  You know, an ant's brain is a trillion times more complex than the best AI.
[00:11:44.283 --> 00:11:53.889]  I mean, the best AI looks at, like, pictures and it says, you know, show us the three boats, or show us the motorcycles, and it can't even tell you out of six squares, motorcycles.
[00:11:53.909 --> 00:11:55.891]  But a three-year-old can look and say, there's the motorcycles.
[00:11:56.591 --> 00:11:58.132]  And so, it's a fraud.
[00:11:58.352 --> 00:12:08.980]   It's only power of the AI takeover grid is the metaverse system they're setting up, you know, the phones, the screens, All of it to get us to follow the orders of it.
[00:12:09.441 --> 00:12:13.425]  Or think of it like a red light system.
[00:12:13.445 --> 00:12:16.628]  We agree to go with the light system because it makes it easier to flow around.
[00:12:16.668 --> 00:12:17.729]  It's part of a social contract.
[00:12:17.749 --> 00:12:22.214]  We agree to it because it works good and because it's part of that contract.
[00:12:23.495 --> 00:12:24.696]  But it's super simple.
[00:12:24.856 --> 00:12:27.119]  Its power is that we give it power.
[00:12:27.819 --> 00:12:34.242]  And so, what the globalists are building is not like a red light system, the traffic signal system.
[00:12:34.903 --> 00:12:43.887]  It is designed to make us weak and integrate it into their AI system to actually have us give their AI robot system human empowerment.
[00:12:43.907 --> 00:12:47.169]  So it's a human-machine interface driven by machines.
[00:12:47.189 --> 00:12:49.950]  They're trying to make us the hardware and the software.
[00:12:50.190 --> 00:12:56.850]   They're trying to suck us out of the third dimension into a lower false silicon dimension.
[00:12:56.850 --> 00:13:00.930]   And so we have to innovate by realizing we are the innovation.
[00:13:00.930 --> 00:13:05.570]   And the fact we can recognize beauty is infinity more powerful than any quote,
[00:13:05.570 --> 00:13:08.170]  machine that can just calculate numbers.
[00:13:08.170 --> 00:13:13.170]   And that this is an attempted corporate takeover of our very species.
[00:13:13.170 --> 00:13:17.130]   And so we go through all that in the course and how if you just start understanding this
[00:13:17.130 --> 00:13:20.750]   and start using this information and helping others, They'll see the difference.
[00:13:20.455 --> 00:13:21.695]  They'll see it's the way.
[00:13:22.136 --> 00:13:23.336]  They'll see the leadership.
[00:13:23.696 --> 00:13:27.318]  And then that will be an exodus out of this system and beyond the Great Reset.
[00:13:27.578 --> 00:13:34.622]  Because the Great Reset is really here to suppress us and try to keep us from the new Renaissance, from the new Enlightenment, from the next level.
[00:13:34.662 --> 00:13:36.343]  It's not really the future.
[00:13:36.683 --> 00:13:42.606]  It's the old world order trying to trap us and take control of us before we accelerate this transcendence.
[00:13:43.581 --> 00:13:44.401]  Yeah, powerful.
[00:13:44.981 --> 00:13:48.002]  And we're going to be playing a couple clips.
[00:13:48.923 --> 00:13:59.046]  In a moment, I want to talk about what's one of my favorite portions of the entire course and a term you've never, I mean, there's a lot of terms in this course you will have never heard of.
[00:13:59.586 --> 00:14:03.708]  And one of the ones that Alex coined is the emotional control grid.
[00:14:04.288 --> 00:14:07.469]  And it's a very important term that we're going to be talking about.
