[00:00:09.943 --> 00:00:10.364]  We're here!
[00:00:10.444 --> 00:00:13.347]  You're listening to The Alex Jones Show!
[00:00:13.367 --> 00:00:19.614]  We're here.
[00:00:24.264 --> 00:00:25.425]  You have lived to see it.
[00:00:26.126 --> 00:00:46.241]  Operational world government, corporate UN governance, the beginning of the depopulation operation while they try to convince us that they're trying to save us, though all the statistics, all the numbers, all the facts show it is the injected with the GMO therapy that is creating the super variants like Delta that's 99% of the infections and deaths in September of 2021.
[00:00:49.056 --> 00:00:50.636]  What an incredible time to be alive.
[00:00:50.817 --> 00:00:54.398]  Millions of heart attacks around the world, particularly of young men and boys.
[00:00:55.998 --> 00:00:57.759]  Toddlers being injected in Cuba.
[00:00:59.039 --> 00:01:01.720]  The left taking their children in for medical experimentation.
[00:01:02.280 --> 00:01:07.782]  The FDA lying and saying it's been officially approved when they did not approve it.
[00:01:07.822 --> 00:01:11.583]  They reissued it as an emergency authorization and said they may give it full authorization in 2025.
[00:01:11.663 --> 00:01:14.224]  We have lived to see it.
[00:01:16.218 --> 00:01:18.378]  A puppet president, a stolen election.
[00:01:18.919 --> 00:01:21.139]  You can try to deny that, but the evidence is overwhelming.
[00:01:21.199 --> 00:01:33.582]  And now can you deny, no you can't, that he's declared a federal government dictatorship over the states, over almost all the businesses, and says he'll just remove governors if he wants to, and he blames you and his patience has run out.
[00:01:34.522 --> 00:01:36.362]  Well my patience has run out with the globalists.
[00:01:37.122 --> 00:01:39.383]  That's why I'm working seven days a week with
[00:01:40.148 --> 00:01:48.054]  Real spring in my step and a smile on my face because as negative as all this is, at least the globalists are now out in the open.
[00:01:49.555 --> 00:01:52.617]  And God doesn't give us power so we can be on a power trip.
[00:01:53.258 --> 00:01:55.179]  God gives us power so we can face evil.
[00:01:55.279 --> 00:02:04.767]  And as soon as this evil accelerated, I have felt my discernment, my will, my stamina, my strength absolutely intensify.
[00:02:05.523 --> 00:02:07.224]  To an incredible new level.
[00:02:07.725 --> 00:02:12.929]  And all the other leaders I know are now sphinct basically and are like one mind.
[00:02:14.009 --> 00:02:15.591]  And it's incredible.
