[00:00:01.612 --> 00:00:03.616]  I'm good.
[00:00:10.797 --> 00:00:15.641]  Big Brother, mainstream media, government cover-ups.
[00:00:15.641 --> 00:00:17.323]  You want to stop tyranny?
[00:00:17.323 --> 00:00:18.985]  Well, so does he.
[00:00:18.985 --> 00:00:24.089]  Live from the InfoWars.com studios, it's Alex Jones.
[00:00:24.089 --> 00:00:27.412]  And now, your host, Owen Troyer.
[00:00:27.412 --> 00:00:30.115]  That's right, sitting in for Alex today.
[00:00:30.115 --> 00:00:36.921]  And I want to tell you, there really is so much news to cover.
[00:00:38.464 --> 00:00:51.852]  But I'm gonna have to put that on hold for tomorrow, where I'll be doing double duty with Alex on the road, and I'm hoping that Alex will actually take this vacation and stay away.
[00:00:51.852 --> 00:00:52.812]  We haven't heard from him yet.
[00:00:52.812 --> 00:00:54.353]  That's a good sign.
[00:00:54.353 --> 00:00:57.675]  Alex, if you're listening, please just enjoy your vacation.
[00:00:57.675 --> 00:00:59.196]  Don't think about the New World Order.
[00:00:59.196 --> 00:01:00.737]  Think about a nice juicy steak.
[00:01:00.737 --> 00:01:02.758]  Think about the time with your family.
[00:01:02.758 --> 00:01:06.160]  And we'll take care of things here in studio.
[00:01:06.160 --> 00:01:06.660]  And, uh...
[00:01:08.604 --> 00:01:13.805]  I've got a lot on my mind, I've got a lot of news, but here's the thing.
[00:01:13.805 --> 00:01:24.407]  I'm going to put that on hold for tomorrow, until tomorrow, because we have to get ahead of this next big narrative that the mainstream media is about to push and that we're starting to see already.
[00:01:24.407 --> 00:01:28.628]  In fact, guys, do you have the tweets for me?
[00:01:28.628 --> 00:01:33.789]  I need that Mayor Adler tweet, because according to Steve Adler, the mayor of Austin, Texas,
[00:01:35.458 --> 00:01:42.799]  The entire city of Austin is going to be in the ICU by the end of the month.
[00:01:42.799 --> 00:01:44.160]  Yeah.
[00:01:44.160 --> 00:01:45.760]  Don't take my word for it.
[00:01:45.760 --> 00:01:50.261]  I've got Mayor Adler's tweet right here.
[00:01:50.261 --> 00:01:54.661]  And he shares the graph.
[00:01:54.661 --> 00:02:03.063]  And I covered it last week, but now I'm seeing the push in the mainstream media, which means this is going to be their next big narrative.
[00:02:04.028 --> 00:02:09.530]  This is going to be their next big push for masks and vaccines and fear-mongering and everything.
[00:02:09.530 --> 00:02:12.931]  Is that the hospitals are overwhelmed.
[00:02:12.931 --> 00:02:14.671]  And it's your fault!
[00:02:14.671 --> 00:02:17.652]  Because you didn't want to take a vaccine.
[00:02:17.652 --> 00:02:22.293]  Even though most of the people that are being admitted to the hospital for COVID have been vaccinated.
[00:02:22.293 --> 00:02:24.134]  They lie about that too.
[00:02:24.134 --> 00:02:27.695]  But so again, here was the tweet put out by Mayor Adler last week.
[00:02:30.540 --> 00:02:34.702]  We can't be finished with a virus that's not finished with us.
[00:02:34.702 --> 00:02:41.304]  The green line is where we're headed if we don't all comply with my tyranny.
[00:02:41.304 --> 00:02:46.646]  And it shows hospitalizations, ICU, not just hospitalizations, the ICU.
[00:02:46.646 --> 00:02:47.706]  Look at that green line.
[00:02:47.706 --> 00:02:57.350]  That's what Mayor Adler says will happen if we don't all immediately wear masks 24-7, in the shower, in the bedroom, in the pool, anywhere, everywhere.
[00:02:58.010 --> 00:02:59.591]  And all get vaccinated.
[00:02:59.591 --> 00:03:05.296]  Because the masks don't work and the vaccines don't work, so you just gotta double down, wear 10 masks, take 10 vaccines.
[00:03:05.296 --> 00:03:07.417]  Hell, just kill yourself, really.
[00:03:07.417 --> 00:03:15.764]  And I guess that's the ultimate irony is, I can't catch a COVID virus if I'm dead.
[00:03:15.764 --> 00:03:19.747]  But so, again, this is the graph shared by Mayor Adler.
[00:03:19.747 --> 00:03:23.670]  He says everybody in the city of Austin is gonna be in the ICU by the end of the month.
[00:03:23.670 --> 00:03:25.632]  If we don't all wear masks and take vaccines.
[00:03:27.509 --> 00:03:49.119]  And I started to see a little bit in the media pushing this, but that just means, I think next week or the week after, they'll probably plan it out maybe with two weeks or a month before they think they're going to have FDA authorization, if they have confidence in that happening, of the vaccine, so that they can mandate it, because that's their ultimate plan.
[00:03:49.119 --> 00:03:51.941]  So, the current game plan for this tyranny is,
[00:03:54.540 --> 00:03:58.763]  Bring back the fear-mongering, bring back the lockdowns, bring back the masks.
[00:03:58.763 --> 00:04:04.428]  Tell everybody they're going to die if they don't take a vaccine or wear a mask.
[00:04:04.428 --> 00:04:09.912]  And then once they get the FDA approval for the vaccine, that's when they're going to mandate it.
[00:04:09.912 --> 00:04:13.375]  And this is all going to happen most likely within the next two months.
