[00:00:00.765 --> 00:00:02.506]  To inject everyone's children.
[00:00:02.506 --> 00:00:11.150]  Pfizer has secretly added the drug tromethamine to the already dangerous gene editing concoction.
[00:00:11.150 --> 00:00:20.854]  So-called vaccines that appear to be causing heart attacks in otherwise young healthy recipients, including pro-athletes.
[00:00:20.854 --> 00:00:25.156]  Tromethamine is used to stabilize the blood in heart attack victims.
[00:00:26.156 --> 00:00:36.328]  Pfizer claims that tromethamine is being added as a buffer to replace phosphate-buffered saline, which is a water-based salt solution.
[00:00:36.328 --> 00:00:40.452]  But tromethamine is not anything like a water-based salt solution.
[00:00:41.133 --> 00:00:46.657]  It is another dangerous petrochemical with a long list of side effects.
[00:00:46.657 --> 00:00:53.522]  It has never been tested with the so-called vaccines and it is only safe within the circulatory system.
[00:00:53.522 --> 00:00:59.026]  A known side effect is tissue damage if any tromethamine leaks from the vein.
[00:01:00.027 --> 00:01:06.171]  And every single child they inject will be injected into their muscle, not the vein.
[00:01:06.171 --> 00:01:16.117]  Which means every single child will be at risk of tissue damage, along with ADE, autoimmune disease, and death.
[00:01:16.117 --> 00:01:21.201]  We're at war, and the attack is brought to you by Pfizer and company.
[00:01:21.201 --> 00:01:24.222]  Brought to you by Pfizer.
[00:01:24.222 --> 00:01:27.865]  From the very beginning of the manufactured COVID plandemic,
[00:01:28.687 --> 00:01:31.088]  It was never about the children.
[00:01:31.088 --> 00:01:34.289]  We were always told the children will be fine.
[00:01:34.289 --> 00:01:37.171]  It was about the elderly and the sick.
[00:01:37.171 --> 00:01:40.452]  And then they realized we will submit to anything.
[00:01:40.452 --> 00:01:42.473]  So why not go for our children?
[00:01:42.473 --> 00:01:44.754]  If we allow it, they've already conquered us.
[00:01:45.974 --> 00:01:49.557]  And many of our children can see exactly what's going on.
[00:01:49.557 --> 00:01:51.638]  Even if their parents can't.
[00:01:51.638 --> 00:01:56.001]  They are all experiencing evil at the highest level right now.
[00:01:56.001 --> 00:01:59.183]  Many will be deeply inspired to fight back.
[00:01:59.183 --> 00:02:01.905]  So why would these barbarians let them live?
[00:02:01.905 --> 00:02:10.691]  Knowing that we will let them inject our children with an experimental drug that has demonstrably been shown to do great damage.
[00:02:10.691 --> 00:02:13.834]  All under the guise of protecting us from the common cold.
[00:02:14.682 --> 00:02:20.925]  The hospitals were empty during COVID, and they are now overwhelmed by the vaccinated.
[00:02:20.925 --> 00:02:41.157]  The same company profiting off this deadly scam openly has its hand in the FDA, is immune from liability, calls anyone who questions them criminals, and is secretly adding new drugs to an already deadly cocktail upon FDA approval to inject our kids.
[00:02:41.997 --> 00:02:52.130]  Tucker Carlson Originals presents the most dangerous, crazy, sinister, disturbing, terrorist recruitment video.
[00:02:52.130 --> 00:02:53.832]  The most criminal movie of the year.
[00:02:53.832 --> 00:02:57.496]  Well, I want to say criminal, but technically that's not true.
[00:02:57.496 --> 00:02:58.898]  Although maybe it should be.
[00:02:58.898 --> 00:03:00.340]  The reviews are in.
[00:03:00.860 --> 00:03:04.604]  Tucker Carlson makes a tribute video for the terrorists.
[00:03:04.604 --> 00:03:07.608]  For the story of a mostly peaceful protest.
[00:03:07.608 --> 00:03:10.411]  Not generally speaking, unruly.
[00:03:10.411 --> 00:03:16.397]  The movie that will have you jumping out of your seat screaming.
[00:03:16.397 --> 00:03:18.299]  The critics are raving.
[00:03:18.299 --> 00:03:20.041]  Raving mad.
[00:03:20.041 --> 00:03:21.483]  As in crazy as a loon.
[00:03:26.198 --> 00:03:34.200]  Tucker Carlson producing a pretty extraordinary, very cinematic, persuasive documentary, big blockbuster movie.
[00:03:34.200 --> 00:03:35.081]  A week on Hollywood.
[00:03:35.081 --> 00:03:37.481]  By the way, it worked.
[00:03:37.481 --> 00:03:41.823]  Tucker and his crack investigative team get to the bottom of what happened on January 6th.
[00:03:41.823 --> 00:03:45.924]  But it's beginning to expose exactly what the establishment is doing.
[00:03:49.466 --> 00:03:52.367]  What Tucker Carlson is doing is going against the American people.
[00:03:52.367 --> 00:03:57.628]  Trump tweeted once, they don't hate me, they hate you, I'm just in the way.
[00:03:57.628 --> 00:04:04.470]  Now, the real agenda of coming after the people is becoming more apparent.
[00:04:04.470 --> 00:04:12.933]  From this Patriot Purge documentary.
[00:04:12.933 --> 00:04:16.274]  Tucker Carlson and his team of editors led by Scooter
[00:04:17.079 --> 00:04:17.299]  Have you
[00:04:33.152 --> 00:04:35.133]  Well, he exposes the globalist left.
[00:04:35.133 --> 00:04:39.115]  So Tucker is a true populist icon of icons.
[00:04:39.115 --> 00:04:42.877]  And we're just blessed to live in the Tucker Carlson timeline.
[00:04:42.877 --> 00:04:43.257]  Wow.
[00:04:43.257 --> 00:04:48.800]  Great job, Tucker, exposing the deep state and their plan to label all Americans as terrorists.
[00:04:48.800 --> 00:04:54.483]  Good job being a American that hasn't betrayed his country and his family.
[00:04:54.483 --> 00:04:56.584]  We're very proud of you, Tucker, and your team.
[00:04:56.584 --> 00:04:57.365]  And we salute you.
[00:04:59.397 --> 00:05:00.697]  I am cutting this announcement.
[00:05:00.697 --> 00:05:04.398]  It's Thursday, November 11th, 2021.
[00:05:04.398 --> 00:05:12.520]  And that means there's only a few days left until November 15th for you to take advantage of the biggest sale of the year at MFORSTORE.com.
[00:05:12.520 --> 00:05:16.781]  Black Friday comes early, ends on this coming Tuesday.
[00:05:16.781 --> 00:05:18.381]  You get store-wide free shipping.
[00:05:18.381 --> 00:05:22.122]  Double Patriot points up to 60% off on best-selling items.
[00:05:22.122 --> 00:05:24.983]  Now, I'm not going to list them all here, but 60% off on Ultra 12,
[00:05:25.823 --> 00:05:29.366]  That's the best deal we've offered in years.
[00:05:29.366 --> 00:05:33.989]  Back in stock, Brain Force Plus, 50% off the amazing Nootropic.
[00:05:33.989 --> 00:05:38.052]  Sold out for more than two years, now back in stock and improved and even stronger.
[00:05:38.052 --> 00:05:44.056]  Ultimate Bone Broth Paleo Formula with Chaga Mushroom, with Turmeric, with Bee Pollen and so much more.
