[00:00:12.645 --> 00:00:15.666]  Jesse Peters is right.
[00:00:15.666 --> 00:00:18.967]  Fauci wants to give our children a kill shot.
[00:00:18.967 --> 00:00:19.967]  A physical attack.
[00:00:19.967 --> 00:00:22.048]  We want to give him a kill shot of truth.
[00:00:22.048 --> 00:00:23.968]  Supposing that he ran the Wuhan lab with Bill Gates.
[00:00:23.968 --> 00:00:25.368]  He launched the attack.
[00:00:25.368 --> 00:00:27.329]  He's the one behind it all.
[00:00:27.329 --> 00:00:29.390]  He's the one.
[00:00:29.390 --> 00:00:31.570]  Now you're going for the kill shot.
[00:00:31.570 --> 00:00:36.571]  The kill shot, with an ambush, deadly.
[00:00:36.571 --> 00:00:38.352]  Because he doesn't see it coming.
[00:00:38.352 --> 00:00:41.273]  This is when you say, Dr. Fauci,
[00:00:43.106 --> 00:00:48.891]  You funded risky research at a sloppy Chinese lab.
[00:00:48.891 --> 00:00:53.975]  The same lab that sprung this pandemic on the world.
[00:00:53.975 --> 00:00:57.458]  You know why people don't trust you, don't you?
[00:00:57.458 --> 00:00:59.800]  Boom!
[00:00:59.800 --> 00:01:01.802]  He is dead!
[00:01:01.802 --> 00:01:04.244]  He is dead!
[00:01:04.244 --> 00:01:04.805]  He's done!
[00:01:05.765 --> 00:01:06.885]  Do what must be done.
[00:01:06.885 --> 00:01:08.926]  You do that in 30 seconds.
[00:01:08.926 --> 00:01:10.526]  That's all you need.
[00:01:10.526 --> 00:01:11.706]  30 seconds.
[00:01:11.706 --> 00:01:20.248]  Now you get that footage to us, you get it to Fox, you get it to Human Events, you get it to Breitbart, you get it to Daily Caller, you get it through the Turning Point Pipeline.
[00:01:20.248 --> 00:01:22.089]  You don't get it to InfoWars.
[00:01:22.089 --> 00:01:27.770]  Imagine Tucker Carlson teases out of the A Block, coming up.
[00:01:27.770 --> 00:01:31.611]  Brave college student confronts Lord Fauci at dinner.
[00:01:33.050 --> 00:01:34.291]  Lord Fauci, I love it.
[00:01:34.291 --> 00:01:36.534]  Exclusive footage, right back.
