[00:00:10.478 --> 00:00:12.300]  They're all alike.
[00:00:12.300 --> 00:00:14.723]  They say they're working for us.
[00:00:14.723 --> 00:00:18.006]  What they really want is to rule the world!
[00:00:18.544 --> 00:00:21.786]  In the words of England's Prince of Paradox, G.K.
[00:00:21.786 --> 00:00:35.632]  Chesterton, the whole point of eugenics pseudoscientific theories is that they are to be applied wholesale by some more sweeping and generalizing money power than the individual husband or wife or household.
[00:00:35.632 --> 00:00:45.056]  Eugenics asserts that all men must be so stupid that they cannot manage their own affairs and also so clever that they can manage each other's.
[00:00:45.396 --> 00:00:53.819]  Tyranny was merely unleashed by the jab of a syringe, extinguishing the natural rights of a now crippled and disenfranchised populace.
[00:00:53.819 --> 00:00:56.020]  We certainly are aware of the Mu variant.
[00:00:56.020 --> 00:00:58.000]  We're keeping a very close eye on it.
[00:00:58.000 --> 00:01:06.223]  Dr. Fauci should be seen for who he truly is, a tyrannical eugenicist twisting your own free will against you.
[00:01:06.223 --> 00:01:09.264]  You don't think Americans' liberties have been threatened the last year, Dr. Fauci?
[00:01:09.264 --> 00:01:10.385]  They've been assaulted.
[00:01:10.385 --> 00:01:11.145]  Their liberties have.
[00:01:12.492 --> 00:01:15.473]  I don't look at this as a liberty thing, Congressman Jordan.
[00:01:15.473 --> 00:01:16.613]  Well, that's obvious!
[00:01:16.613 --> 00:01:38.458]  But it is only those liberties that will deliver us from the clutches of the Fourth Industrial Revolution, as CRISPR gene modification technology, AI, and technocracy intend on slowly rendering all of humanity a slave population, utilizing silent weapons for quiet wars circumventing the laws of governments worldwide.
[00:01:38.458 --> 00:01:38.998]  If you take
[00:01:39.658 --> 00:01:41.580]  Genetic editing.
[00:01:41.580 --> 00:01:43.541]  Just as an example.
[00:01:43.541 --> 00:01:45.343]  It's you who are changed.
[00:01:45.343 --> 00:01:48.265]  And of course this has a big impact on your identity.
[00:01:48.265 --> 00:01:56.692]  There is a fear that technology, robots, just to take one... You gain productivity from machines.
[00:01:56.692 --> 00:01:57.593]  Exactly.
[00:01:57.593 --> 00:02:02.297]  And the three places, maybe the workforce or jobs,
[00:02:02.937 --> 00:02:05.760]  The populace feels the weight of suicide rates rising among teenagers.
[00:02:05.760 --> 00:02:07.081]  A rate that has increased by 51%.
[00:02:19.654 --> 00:02:26.598]  No matter how many children the police tear gas for merely holding a sign up complaining that they want to play outside.
[00:02:26.598 --> 00:02:35.623]  No matter how hard the medical overlords demonize how the unvaccinated choose to treat themselves with small doses of ivermectin for instance.
[00:02:35.623 --> 00:02:38.225]  Can the antibodies from llamas help the fight against COVID?
[00:03:05.502 --> 00:03:06.903]  Maybe yes.
[00:03:06.903 --> 00:03:12.648]  Llamas have a particular kind of second kind of antibody as compared to humans for example.
[00:03:12.648 --> 00:03:16.011]  They're called heavy chain only antibodies so they're much more simple.
[00:03:16.011 --> 00:03:24.979]  The researchers also say that their early studies have shown effectiveness against several variants of the disease including the highly infectious Delta variant.
[00:03:24.979 --> 00:03:30.784]  A spin-off of the Biotech Center called ExaVir says it could be a game-changer if successful.
[00:03:31.497 --> 00:03:41.737]  A study from June 2020 showed effectiveness in the lab in the reduction of SARS-CoV-2 virus in ivermectin-treated cells compared to control samples.
[00:03:42.606 --> 00:03:50.529]  Indicating that ivermectin treatment resulted in the elimination of all evidence of SARS-CoV-2 virus by 48 hours.
[00:03:50.529 --> 00:04:01.172]  And as the Associated Press reports, top US professional groups for doctors and pharmacists appealed for an immediate end to the drug's use outside of research.
[00:04:01.172 --> 00:04:06.594]  The real resistance will surge as early treatment options are eliminated.
[00:04:06.594 --> 00:04:07.894]  I demand an apology.
[00:04:08.792 --> 00:04:14.735]  From the media, I'm talking about CNN, CNBC and all the like, New York Times and all those people that called me crazy.
[00:04:14.735 --> 00:04:22.899]  From Hollywood, I mean, from people that sat there and made videos calling me crazy when I said hydroxychloroquine worked and we should not allow people to die.
[00:04:22.899 --> 00:04:25.640]  Now you have all these studies that are saying it works.
[00:04:25.640 --> 00:04:28.361]  What about the 500,000 plus people that have died?
[00:04:28.361 --> 00:04:30.082]  Who is going to be responsible for them?
[00:04:30.342 --> 00:04:31.803]  All has been revealed.
[00:04:31.803 --> 00:04:39.027]  The sun is already setting on the socialist insurgence of medical tyranny of all the free people of planet Earth.
[00:04:39.027 --> 00:04:41.948]  All you need to do is to stop complying.
[00:04:41.948 --> 00:04:53.234]  Now the only thing that has ever introduced tyranny in any country, any time through history, is the failure of order followers to disobey illegal and corrupt commands.
[00:04:53.234 --> 00:04:56.416]  That's the only thing that has ever brought it back.
[00:05:00.103 --> 00:05:04.745]  Just a week ago, we got a new shipment of Vitamin & Mineral Fusion back in stock.
[00:05:04.745 --> 00:05:07.747]  And it was only half of the order we wanted to get.
[00:05:07.747 --> 00:05:13.149]  But because we won't cut corners on the quality of what goes into it, the factory can only get limited supplies.
[00:05:13.149 --> 00:05:15.090]  So again, it was half the order we wanted.
[00:05:15.310 --> 00:05:15.891]  We're good to go.
[00:05:35.526 --> 00:05:38.589]  So, get yours today at InfoWarsTore.com.
[00:05:38.589 --> 00:05:42.272]  Because it's not just a great product, we need those funds to keep operating as well.
[00:05:42.272 --> 00:05:43.694]  We're all in a catch-22.
[00:05:43.694 --> 00:05:52.202]  But we have another great product, Hair and Beard Formula, that's really a great multivitamin mineral system, that's one of the best multivitamin mineral systems out there.
[00:05:52.202 --> 00:05:54.184]  It's just called Hair and Beard.
[00:05:54.184 --> 00:05:55.965]  So get that as well for your immune system.
[00:05:55.965 --> 00:05:58.808]  It's great for women, great for children, but it's designed for men.
[00:05:58.808 --> 00:05:59.689]  InfoWarsTore.com.
[00:06:05.032 --> 00:06:11.574]  You are listening to an InfoWars.com Frontline Report.
[00:06:11.574 --> 00:06:23.079]  If you are receiving this transmission, you are the resistance.
[00:06:23.079 --> 00:06:31.702]  From deep in the heart of FEMA Region 6, Austin, Texas, transmitting worldwide, it's Alex Jones.
[00:06:38.078 --> 00:06:46.083]  Ladies and gentlemen, thank you so much for joining us on this live September 6, 2021 worldwide transmission.
[00:06:46.083 --> 00:06:49.344]  We're only here because of your support and your prayers.
[00:06:49.344 --> 00:06:51.025]  Thank you so much.
[00:06:51.025 --> 00:06:51.325]  All right.
[00:06:51.325 --> 00:07:02.011]  To say that today's broadcast is going to be an absolute overload is, again, not being strong enough.
[00:07:02.011 --> 00:07:04.413]  I mean, this is just going to be one hell
[00:07:05.780 --> 00:07:09.843]  The news and information we've got is just over the top.
[00:07:09.843 --> 00:07:15.607]  And Dr. Peter McCullough will also be joining us in studio.
[00:07:15.607 --> 00:07:24.173]  A well-known doctor and academic from Dallas who's been very critical of the whole COVID tyranny rollout, the McCullough Report.
[00:07:24.173 --> 00:07:31.819]  He will be in studio with us for an hour and a half today, in the third hour and halfway into the fourth hour.
[00:07:31.819 --> 00:07:32.900]  Now, I could sit here
[00:07:34.807 --> 00:07:35.908]  And talk about all the U.S.
[00:07:35.908 --> 00:07:38.910]  citizens still stranded in Afghanistan.
[00:07:38.910 --> 00:07:42.953]  And how Trump was right last week when he said that Biden wasn't letting him leave.
[00:07:42.953 --> 00:07:45.936]  That has now been confirmed.
[00:07:45.936 --> 00:07:57.505]  And I can talk about the largest satanic organization in the U.S., the Satanic Temple, that lobbies in all 50 states, puts out major movies.
[00:07:58.661 --> 00:08:03.444]  Saying yes, when we abort babies it's a human sacrifice and it's our religious right.
[00:08:03.444 --> 00:08:06.006]  This violates the First Amendment.
[00:08:06.006 --> 00:08:08.268]  I told you I've been around these people in person.
[00:08:08.268 --> 00:08:11.850]  I've protested at abortuaries and the Satanists come out.
[00:08:11.850 --> 00:08:14.512]  The doctors come out and they tell you they're Satanists.
[00:08:14.512 --> 00:08:17.614]  And their private lives, a lot of them are Satanists.
[00:08:17.614 --> 00:08:18.855]  So that's coming out.
[00:08:18.855 --> 00:08:23.278]  And I will cover all of that today.
[00:08:23.278 --> 00:08:27.161]  We also have Arizona State Senator Wendy Rogers says the audit is
[00:08:28.149 --> 00:08:31.110]  Coming, guys, I promise you, this is real.
[00:08:31.110 --> 00:08:33.411]  Keep the faith.
[00:08:33.411 --> 00:08:42.595]  Or Jim Acosta saying that conservatives and nationalists are Taliban and are terrorists.
[00:08:42.595 --> 00:08:53.759]  And that talking point's being put out by Biden, it's being put out by his other surrogates, Michael Moore, and where that's going into the future as they shift away from trying to counter radical Islamic terror to the American people.
[00:08:55.385 --> 00:08:56.866]  I can talk about all of that.
[00:08:56.866 --> 00:09:00.129]  I can talk about a really huge story I will be getting to today.
[00:09:00.129 --> 00:09:04.614]  China goes to war with the liberal world order.
[00:09:04.614 --> 00:09:08.998]  And this is a huge story and it's seismic to the very core of humanity.
[00:09:08.998 --> 00:09:10.839]  So we're going to be hitting that as well.
[00:09:10.839 --> 00:09:14.903]  That's an incredibly important area.
[00:09:14.903 --> 00:09:15.764]  And I can talk about
[00:09:16.815 --> 00:09:29.823]  The Rolling Stone picking up the story out of Oklahoma that was planted in the national news and put in every major newspaper in the world that we've looked at, from Japan to England, the London Guardian, New York Times.
[00:09:29.823 --> 00:09:36.407]  Hospitals filled with thousands of people poisoned with liver failure from ivermectin from horse dewormer.
[00:09:38.357 --> 00:09:39.598]  And it was a totally fake story.
[00:09:39.598 --> 00:09:40.999]  The doctor didn't work there.
[00:09:40.999 --> 00:09:44.142]  Not one person had come into that hospital chain that he mentioned.
[00:09:44.142 --> 00:09:48.846]  Sick with ivermectin, the hospital put a press release out.
[00:09:48.846 --> 00:10:02.498]  And the biggest news to deal with this is that I said last night on air, I said, let's see if USA Today, let's see if the London Guardian, let's see if Rachel Maddow, let's see if Business Insider, let's see if The Hill,
