[00:00:00.649 --> 00:00:01.814]  Tromethamine.
[00:00:03.561 --> 00:00:06.332]  It's being secretly added to the Pfizer shots.
[00:00:07.722 --> 00:00:19.611]  And it turns out this information has been on the FDA website for over a week, and there has been zero coverage of the information until just the last few days.
[00:00:20.211 --> 00:00:27.617]  And even though InfoWars has its ear to the ground and our eyes to the horizon, I didn't learn about it until this afternoon.
[00:00:27.737 --> 00:00:36.003]  I've just done four hours of research, and this has blown me away at a level I could not even have blown away at before.
[00:00:36.844 --> 00:00:39.465]  Ladies and gentlemen, look at this headline.
[00:00:41.425 --> 00:00:46.806]  Pfizer secretly added heart attack drug to children's COVID vaccines.
[00:00:47.746 --> 00:00:48.366]  But why?
[00:00:49.486 --> 00:00:57.748]  They say instead of using saline solution as a buffer, which is what you put in basically almost every vaccine, they use it as a buffer.
[00:00:57.788 --> 00:00:59.388]  But it's not listed as a buffer.
[00:00:59.808 --> 00:01:04.009]  It's a very dangerous, very strong blood thinner.
[00:01:05.930 --> 00:01:10.253]  When I discovered this this afternoon, I went around to the crew and I said, have you heard of this?
[00:01:10.273 --> 00:01:11.713]  They said, oh yeah, it came out a few days ago.
[00:01:12.374 --> 00:01:20.038]  And they had a whole file that Rob Dew, who's really our vaccine expert, other than all the medical doctors we have on, brought to me.
[00:01:20.499 --> 00:01:22.720]  And so I thought, Rob, you know, we're up here on Wednesday night.
[00:01:23.140 --> 00:01:23.821]  We love our children.
[00:01:23.841 --> 00:01:24.381]  We love America.
[00:01:24.401 --> 00:01:24.941]  We love freedom.
[00:01:24.961 --> 00:01:25.722]  We've got to expose this.
[00:01:26.082 --> 00:01:27.683]  But you're so articulate on this.
[00:01:28.103 --> 00:01:30.525]  Will you please get in front of the camera, something he doesn't like to do.
[00:01:30.585 --> 00:01:33.446]  But he's going to go over this for you right now.
[00:01:33.466 --> 00:01:34.347]  But I'm going to say this again.
[00:01:35.865 --> 00:01:37.226]  This is an experimental injection.
[00:01:38.087 --> 00:01:42.352]  When you get regular FDA approval, you've got to go through years of testing.
[00:01:42.572 --> 00:01:52.883]  But now they're not just waiving the so-called original vaccine, the mRNA technology, now they're adding a very dangerous blood thinner to it.
[00:01:53.942 --> 00:02:15.990]   That begs the question, they're obviously worried about too many heart attacks or too much blood clotting, because they knew in previous research they'd done that these type of mRNA technologies are linked to heart attacks, myocarditis, even back in October of 2020, the CDC had that document in the FDA saying we're worried about myocarditis, heart attacks, blood clots, things like that.
[00:02:16.210 --> 00:02:17.111]  I mean, they knew.
[00:02:18.072 --> 00:02:24.278]  And experts like Dr. Yidan and Wolfgang Wudarg and others warned about it previously.
[00:02:26.280 --> 00:02:30.003]  They predicted all of this would happen before they even started giving the shots.
[00:02:31.582 --> 00:02:49.551]  Outside experts knew, inside experts knew, and then now we learned from an FDA document when they gave emergency approval for this for five-year-olds and up, that they hid this in plain view in the document.
[00:02:49.591 --> 00:02:53.754]  So this is from the FDA's own website, ladies and gentlemen.
[00:02:54.665 --> 00:02:56.206]  So, we're going to cut right here.
[00:02:56.406 --> 00:02:58.948]  I'm going to take control of the camera, and Rob Dew is going to lay this out for you.
[00:02:59.428 --> 00:03:03.190]  We're never going to learn about how safe the vaccine is unless we start getting it.
[00:03:03.210 --> 00:03:05.151]  That's just the way it goes.
[00:03:05.171 --> 00:03:06.372]  That's just the way it goes.
[00:03:06.472 --> 00:03:09.554]  Hey guys, Rob Dew here, and so I just want to go over this back again.
[00:03:09.594 --> 00:03:14.817]  This is the InfoWars article, Pfizer secretly added heart attack drug to children's COVID vaccines, but why?
[00:03:14.837 --> 00:03:16.998]  This is by Ethan Huff out of Natural News.
[00:03:17.438 --> 00:03:20.779]  Now it links back to an article from the Exposé UK.
