[00:00:09.856 --> 00:00:12.277]  Oh, got my bag.
[00:00:12.277 --> 00:00:14.498]  And we're gonna go outside.
[00:00:14.498 --> 00:00:17.040]  We're gonna refuse their stupid test.
[00:00:17.040 --> 00:00:18.961]  And tell everybody to refuse their stupid test.
[00:00:18.961 --> 00:00:19.621]  So, yeah.
[00:00:19.621 --> 00:00:19.661]  Hi!
[00:00:31.067 --> 00:00:33.328]  Yes, because I have a medical condition, so I don't need to wear one.
[00:00:33.328 --> 00:00:39.991]  And I'm also a Canadian citizen, and this is a violation of our Charter Rights, Section 6, and a violation of the Emergency Act, 14.1.
[00:00:39.991 --> 00:00:43.012]  So I'm going to be declining your test today.
[00:00:43.012 --> 00:00:44.953]  Thank you very much.
[00:00:44.953 --> 00:00:45.493]  No problem.
[00:00:45.493 --> 00:00:46.354]  I'll happily do that.
[00:00:46.354 --> 00:00:51.156]  Everybody in here, if you are a Canadian citizen, simply deny the test.
[00:00:51.676 --> 00:00:55.037]  Deny their quarantine and there's nothing you can do.
[00:00:55.037 --> 00:00:56.577]  They cannot stop you.
[00:00:56.577 --> 00:00:58.057]  They cannot force you.
[00:00:58.057 --> 00:00:59.358]  You are a citizen.
[00:00:59.358 --> 00:01:00.478]  You have rights.
[00:01:00.478 --> 00:01:04.399]  If you want to wait in the line for two hours, let them put up your nose.
[00:01:04.399 --> 00:01:05.519]  Go right ahead.
[00:01:05.519 --> 00:01:09.700]  But if you have a brain and you have balls, just say no.
[00:01:09.700 --> 00:01:10.040]  That's fine.
[00:01:10.040 --> 00:01:10.760]  I have a body.
[00:01:10.760 --> 00:01:12.001]  I have a camera on as well.
[00:01:14.088 --> 00:01:15.069]  So, yes.
[00:01:15.069 --> 00:01:16.590]  Everybody, this is what you do.
[00:01:16.590 --> 00:01:26.258]  You say no to their cash, no to their quarantine, and if you're a citizen or a permanent resident, there's absolutely nothing they can do but acknowledge that you have rights, and they have to respect that.
[00:01:26.258 --> 00:01:27.299]  Is that not true?
[00:01:27.299 --> 00:01:29.240]  Say it's true for the camera, everybody.
[00:01:29.240 --> 00:01:29.741]  Say it's true.
[00:01:29.741 --> 00:01:31.382]  Do you have some identification?
[00:01:31.382 --> 00:01:32.003]  I do, of course.
[00:01:34.119 --> 00:01:36.860]  That's not a problem.
[00:01:36.860 --> 00:01:39.782]  I refuse to take your test a million percent.
[00:01:39.782 --> 00:01:44.885]  And everybody in here, Canadian citizens, you can refuse the test.
[00:01:44.885 --> 00:01:48.746]  Just say no, don't wait in line, and there's nothing they can do.
[00:01:48.746 --> 00:01:52.668]  Okay, I will not yell, that's true.
[00:01:52.668 --> 00:01:58.491]  But I just want you guys to acknowledge for 91,000 people watching that anybody can refuse the test.
[00:01:58.491 --> 00:01:58.812]  Perfect.
[00:01:58.812 --> 00:01:59.112]  Thank you.
[00:02:02.342 --> 00:02:03.463]  You guys hear that?
[00:02:03.463 --> 00:02:05.884]  Straight from the horse's mouth, straight from the police.
[00:02:05.884 --> 00:02:06.824]  Refuse the test.
[00:02:06.824 --> 00:02:09.005]  Ooh, I'm getting a ticket!
[00:02:09.005 --> 00:02:09.286]  Oh!
[00:02:09.286 --> 00:02:11.507]  Not another one of those tickets!
[00:02:11.507 --> 00:02:16.289]  You know, tell everybody how many people have been convicted of those tickets in Canada.
[00:02:16.289 --> 00:02:17.150]  Answer?
[00:02:17.150 --> 00:02:18.030]  Zero.
[00:02:18.030 --> 00:02:19.311]  How many people have been charged?
[00:02:19.311 --> 00:02:20.031]  Thousands.
[00:02:20.031 --> 00:02:21.532]  How many people convicted?
[00:02:21.532 --> 00:02:22.192]  Zero.
[00:02:22.192 --> 00:02:22.752]  Why?
[00:02:22.752 --> 00:02:25.174]  It's a violation of our charter rights.
[00:02:25.174 --> 00:02:29.316]  So when that ticket goes to court, they throw it the f*** out.
[00:02:29.316 --> 00:02:30.276]  It's that simple.
[00:02:30.276 --> 00:02:31.637]  So I'm waiting for my little fine.
[00:02:32.355 --> 00:02:33.675]  Thanks, guys.
[00:02:33.675 --> 00:02:38.757]  I just want everybody to acknowledge that this is perfectly legal, perfectly acceptable.
[00:02:38.757 --> 00:02:41.657]  Thank you.
[00:02:41.657 --> 00:02:44.218]  Well, ladies and gentlemen, we are back live.
[00:02:44.218 --> 00:02:46.719]  Another transmission.
[00:02:46.719 --> 00:02:50.580]  Another edition of the Alex Jones Show.
[00:02:50.580 --> 00:02:56.181]  Thank you so much for joining us here on this February 23rd, 2021 broadcast.
[00:03:01.303 --> 00:03:02.903]  That man's name is Chris Skye.
[00:03:02.903 --> 00:03:04.224]  I want to get him on the show.
[00:03:04.224 --> 00:03:06.364]  And it's the same thing in the UK.
[00:03:06.364 --> 00:03:09.605]  Multi-thousand pound fines if you refuse the test.
[00:03:09.605 --> 00:03:16.966]  Since when can the government, outside of even a law, they didn't pass a law, tell you under a regulation they're going to do this?
[00:03:16.966 --> 00:03:21.347]  But that's what Boris Johnson has done.
[00:03:21.347 --> 00:03:23.507]  That is what Trudeau has done.
[00:03:23.507 --> 00:03:27.608]  And let's not forget, we'll play it for you next segment.
[00:03:27.608 --> 00:03:28.828]  We'll play it for you next segment.
[00:03:29.853 --> 00:03:41.141]  And that is the information where Mr. Trudeau said he wants to model Canada off of Communist China's basic dictatorship.
[00:03:41.141 --> 00:03:43.042]  Just, you know, basic dictatorship.
[00:03:43.042 --> 00:03:45.323]  Your basic Mao Zedong.
[00:03:45.323 --> 00:03:47.405]  Your basic Adolf Hitler.
[00:03:47.405 --> 00:03:49.286]  Your basic Joseph Stalin.
[00:03:49.286 --> 00:03:52.108]  Your basic Fidel Castro.
[00:03:52.108 --> 00:03:58.432]  With a bunch of cooing, slithering women that are, again, acting like they're at a male
[00:04:00.029 --> 00:04:01.209]  Strip club or something.
[00:04:01.209 --> 00:04:07.330]  It's just disgusting how cool it is with women to live in tyranny.
[00:04:07.330 --> 00:04:15.092]  But actually, history shows, Hitler said, first you get the women, then you've got the children, so follow the men.
[00:04:15.092 --> 00:04:20.973]  That's why 80% of advertising, globally on average, is targeted at women.
[00:04:20.973 --> 00:04:22.573]  Because women lead the culture.
[00:04:22.573 --> 00:04:27.354]  And if men won't be leaders and stand up against other corrupt men that are manipulating women,
[00:04:28.610 --> 00:04:36.195]  Society absolutely falls apart on us in a big, big, big way.
[00:04:36.195 --> 00:04:38.156]  All right, start your engines.
