[00:00:00.000 --> 00:00:16.320]  [Outro]
[00:00:16.358 --> 00:00:17.238]  Tomorrow's news.
[00:00:17.539 --> 00:00:17.959]  Today.
[00:00:17.778 --> 00:00:41.418]   Well, I gotta say, even though I've been here for almost six years now, I've hosted the
[00:00:41.418 --> 00:00:48.457]   Alex Jones Show plenty of times, but a pretty epic thing to think about as we go live here
[00:00:48.457 --> 00:00:53.299]   on this Sunday evening, October 10th, 2021 from the InfoWars World Headquarters in Austin,
[00:00:53.973 --> 00:00:55.933]  We will be hearing from Alex coming up here shortly.
[00:00:56.353 --> 00:00:57.714]  Owen Schroer is going to be sitting in.
[00:00:57.754 --> 00:01:02.915]  That's me for the two-hour Alex Jones Show Sunday evening edition live.
[00:01:03.375 --> 00:01:08.717]  And then Harrison Smith will be in studio hosting Sunday Night Live immediately following this transmission.
[00:01:10.137 --> 00:01:24.353]   So what I'm going to try to do is lay out With as much current day detail as possible, exactly where it is humanity is heading.
[00:01:26.494 --> 00:01:33.796]  And when you look at the signs and the symptoms and some of the clues around us right now, the picture's never been clear.
[00:01:36.394 --> 00:01:46.461]  So if you've been listening to InfoWars for 5 years, 10 years, 20 years, you know that this has been InfoWars news coverage for that period of time, warning you.
[00:01:48.662 --> 00:01:53.986]  But now that it's here, I can lay it out in real time, there is no debate anymore.
[00:01:55.609 --> 00:01:58.031]  We know exactly the blueprint for the New World Order.
[00:01:58.171 --> 00:02:00.452]  We know exactly the blueprint for global government.
[00:02:01.233 --> 00:02:04.775]  And we now know exactly what that experience is going to be like.
[00:02:04.955 --> 00:02:06.937]  And it is, it is hellacious.
[00:02:07.157 --> 00:02:08.858]  It is a prison planet.
[00:02:10.279 --> 00:02:11.840]  It is global enslavement.
[00:02:11.940 --> 00:02:14.122]  It is the end of free will as we know it.
[00:02:14.582 --> 00:02:16.444]  The end of free markets as we know it.
[00:02:16.484 --> 00:02:18.405]  The end of free mobility as we know it.
[00:02:18.786 --> 00:02:24.930]  The end of cheap and easily accessible energy and communication and transportation as we know it.
[00:02:25.191 --> 00:02:25.831]  It's all done.
[00:02:26.131 --> 00:02:26.652]  It's all done.
[00:02:27.192 --> 00:02:33.657]  That reign of humans being free and humans prospering and independence and private property and all that good stuff?
[00:02:33.757 --> 00:02:34.078]  Done.
[00:02:34.398 --> 00:02:34.798]  Over with.
[00:02:34.858 --> 00:02:35.279]  Kaput.
[00:02:36.078 --> 00:02:38.100]  And this is just the beginning.
[00:02:38.540 --> 00:02:40.682]  We really haven't even sat down at the table yet.
[00:02:40.742 --> 00:02:46.246]  We're just kind of being ushered to the table of the new world order global government right now.
[00:02:47.307 --> 00:02:51.570]  So what does it look like, briefly, and then Alex Jones coming up on the other side?
[00:02:51.670 --> 00:03:01.918]  Well, how about this stack of news, where all of these flights are being cancelled because of the vaccine mandates, people not wanting to get the deadly vaccine.
[00:03:02.158 --> 00:03:04.760]  So just thousands of flights being cancelled almost every day now.
[00:03:05.916 --> 00:03:09.900]  Then you've got the hospitals having nursing and doctor shortages now.
[00:03:10.160 --> 00:03:10.480]  Why?
[00:03:10.620 --> 00:03:11.922]  Again, the vaccine mandate.
[00:03:13.443 --> 00:03:15.044]  You might say, well, why are they doing this?
[00:03:15.105 --> 00:03:16.826]  Why would they cripple themselves this way?
[00:03:17.146 --> 00:03:17.927]  That's the point.
[00:03:18.267 --> 00:03:26.355]  Destroy civilization, destroy America, destroy the free market, and then bring in, build back better.
[00:03:27.016 --> 00:03:28.737]  Oh, just like they've been telling you.
[00:03:29.915 --> 00:03:30.656]  So the hospitals.
[00:03:31.356 --> 00:03:41.966]  Then you've got the cargo ships waiting days, weeks, months at the ports off the coast and what they're trying to do now just to get these supplies inbound.
[00:03:43.567 --> 00:03:44.568]  Wild stuff there.
[00:03:44.628 --> 00:03:47.971]  So see, that's just the destruction of the economy.
[00:03:48.011 --> 00:03:49.672]  That's just the economic warfare.
[00:03:50.053 --> 00:03:56.759]  That's just the attack on our infrastructure to shut everything down, destroy it so they can build back better.
[00:03:57.793 --> 00:04:04.260]  But then over here you have all the vaccine mandates, all the sickness, all the death from the virus made in the lab.
[00:04:04.541 --> 00:04:06.403]  And that was what was used to corral us.
[00:04:08.700 --> 00:04:17.067]  And you have the stories out of Lithuania and Australia and other places where they're living with this tyranny worse than anywhere else and they're trying to warn the world how bad it is.
