[00:00:15.418 --> 00:00:16.179]  Info Wars.
[00:00:16.519 --> 00:00:17.420]  Tomorrow's News.
[00:00:17.700 --> 00:00:18.140]  Today.
[00:00:18.160 --> 00:00:18.700]  The
[00:00:33.507 --> 00:00:41.893]  The Chief Medical Officer would be identifying the persons who are already vaccinated, so that we can get them on the ship.
[00:00:41.933 --> 00:00:43.254]  You see there's a ship in the harbour?
[00:00:45.636 --> 00:00:46.496]  Two of them there now.
[00:00:46.837 --> 00:00:47.037]  Good.
[00:00:48.298 --> 00:01:00.627]  And ... We ... The ships don't have enough personnel.
[00:01:03.504 --> 00:01:06.265]  At the moment, to keep people on the ships.
[00:01:08.306 --> 00:01:13.627]  But they have enough personnel to transport persons to these destinations.
[00:01:14.848 --> 00:01:32.354]  But Simone Kieser-Beetz tells me that what she wants to do is to ... The Chief Medical Officer is that those who are vaccinated, she can get them going there on the vessel.
[00:01:33.851 --> 00:01:41.915]  Those on the ships, those who go to particular destinations, if they choose to, this is a voluntary business.
[00:01:43.716 --> 00:01:59.363]  And those who are not yet vaccinated, but who would be vaccinated, you wouldn't want to send them
[00:02:00.276 --> 00:02:11.958]  Immediately after vaccination, you don't want to hold them, keep them for a day or two, because some persons upon vaccination develop an itch, a little woosiness in the head.
[00:02:11.978 --> 00:02:13.379]  You know how that is?
[00:02:14.559 --> 00:02:15.059]  Some people.
[00:02:15.139 --> 00:02:18.280]  So you would like to keep them there for two days, and so on.
[00:02:18.300 --> 00:02:20.760]  So there are some matters which have to be dealt with.
[00:02:27.162 --> 00:02:32.446]  The ships are doing... There are certain things we have to do with them.
[00:02:34.247 --> 00:02:42.753]  But they... All over the world, the IMF and World Bank are in control.
[00:02:42.793 --> 00:02:44.654]  The Rothschilds are in command.
[00:02:46.315 --> 00:02:53.280]  And they were saying that we're going to put an experimental vaccine that changes your very DNA in your body that's linked to mass death, sterilization.
[00:02:54.298 --> 00:02:56.799]  Neurological disorders, and of course, death.
[00:02:58.300 --> 00:03:04.702]  Or you won't be able to have a job, leave your house, get on a train, get on a bus, get on an airplane, go to a bar, go to a restaurant.
[00:03:05.682 --> 00:03:08.964]  And now, if you're on an island nation, like St.
[00:03:08.984 --> 00:03:16.967]  Vincent, that's had four eruptions, a volcano burning down part of the island, well, you're not allowed to leave until you've had that shot.
[00:03:18.598 --> 00:03:21.239]  You know, most of the Caribbean's still shut down with the whole COVID hoax.
[00:03:21.359 --> 00:03:22.239]  It's simply incredible.
[00:03:22.519 --> 00:03:26.900]  But everything's OK, folks, because look at this chilling photo of your TV viewer.
[00:03:27.401 --> 00:03:29.781]  It's on the puppet vice president's Twitter.
[00:03:31.222 --> 00:03:32.902]  Brighter days are ahead.
[00:03:34.463 --> 00:03:38.904]  The real president's not allowed on Twitter, but, you know, he didn't realize the threat of the full takeover.
[00:03:38.924 --> 00:03:40.084]  He still thought he lived in America.
[00:03:40.124 --> 00:03:44.206]  But, oh, brighter days are ahead, meaning Joe Biden, the puppet, will soon be gone.
[00:03:44.246 --> 00:03:44.706]  That's what I
[00:03:45.805 --> 00:03:46.805]  Certainly get out of that.
[00:03:46.945 --> 00:03:49.286]  Okay, um, I've got to be calm.
[00:03:49.326 --> 00:03:50.187]  I've got to be a good boy.
[00:03:50.227 --> 00:03:52.087]  I've done massive research for this show.
[00:03:53.628 --> 00:03:58.029]  I tend to just then blow up once I do probably six hours of research today.
[00:03:58.049 --> 00:04:02.311]  And then I get super prepared and then I just blow up.
[00:04:02.651 --> 00:04:05.232]  It's usually an entertaining show, but not as informative as it should be.
[00:04:05.652 --> 00:04:06.232]  Well, guess what?
[00:04:06.272 --> 00:04:08.033]  I feel like I'm going to be a good boy.
[00:04:09.755 --> 00:04:13.457]  And I'm going to cover all the latest developments on the collapsing border.
[00:04:13.597 --> 00:04:18.539]  Biden officially certifying human smuggling and just total criminal activity.
