[00:00:00.149 --> 00:00:05.091]  Today, President Biden declared the powers that only a dictator would have.
[00:00:05.711 --> 00:00:14.815]  Remember, even if you think he was really elected in 2020, Hitler was also elected in 1933 and then instituted dictatorial powers.
[00:00:15.515 --> 00:00:17.196]  And the rest was history.
[00:00:25.920 --> 00:00:28.881]  This is not about freedom or personal choice.
[00:00:30.054 --> 00:00:32.916]  It's about protecting yourself and those around you.
[00:00:33.696 --> 00:00:34.797]  The people you work with.
[00:00:34.817 --> 00:00:36.878]  The people you care about.
[00:00:36.898 --> 00:00:38.199]  The people you love.
[00:00:39.840 --> 00:00:43.362]  My job as president is to protect all Americans.
[00:00:44.263 --> 00:00:46.544]  Thursday, September 9th, 2021.
[00:00:47.925 --> 00:00:53.409]  A day that America reached a critical crossroads.
[00:00:54.629 --> 00:00:57.992]  The day America has to ask itself, are we a free country?
[00:00:58.996 --> 00:01:02.439]  Or are we under United Nations corporate fascist control?
[00:01:02.459 --> 00:01:11.247]  We're going to debunk puppet President Joe Biden's 20-minute speech and play some of these incredibly authoritarian clips in a moment.
[00:01:12.228 --> 00:01:16.832]  But the most important thing in my view to do is to pull back to the 35,000-foot view
[00:01:18.669 --> 00:01:25.539]  And realize that this is a planetary, globalist, New World Order takeover in their own words.
[00:01:25.979 --> 00:01:33.230]  This is a corporate, UN, communist China-backed system on record.
[00:01:34.710 --> 00:01:35.931]  That is setting the U.S.
[00:01:35.971 --> 00:01:45.256]  government up to carry out actions that are totally unconstitutional that will cause incredible division and destroy our economy.
[00:01:45.556 --> 00:01:51.579]  Just a few months ago, the CDC announced that it controlled all rents in America and was going to forgive rents forever.
[00:01:52.059 --> 00:01:56.281]  That was to bankrupt the small renter market and have big banks come in and buy it all up.
[00:01:56.642 --> 00:01:58.843]  Another predatory move to undermine and collapse the country.
[00:01:59.423 --> 00:02:03.448]  And the Supreme Court finally came out and said, no, you've been doing it for over a year.
[00:02:03.568 --> 00:02:04.449]  You've got to stop.
[00:02:04.909 --> 00:02:06.852]  We're not communist China or Cuba.
[00:02:07.753 --> 00:02:14.941]  So now these new things he's announced, total control over businesses coming into the states and blocking governors.
[00:02:15.902 --> 00:02:20.087]  Telling schools they can't close or telling cities they can't have new lockdowns?
[00:02:20.768 --> 00:02:22.169]  This is unconstitutional.
[00:02:22.550 --> 00:02:27.415]  What do we even have states for as a check and balance against an out-of-control federal government?
[00:02:27.956 --> 00:02:29.778]  The Washington Post is running headlines about
[00:02:30.759 --> 00:02:31.819]  We're good to go.
[00:02:54.085 --> 00:03:02.050]  Hundreds of thousands of businesses is absolutely illegal and we must legally and lawfully resist it.
[00:03:02.491 --> 00:03:06.714]  This is, again, a corporate power grab through the federal government.
[00:03:06.994 --> 00:03:08.135]  This is the New World Order.
[00:03:08.895 --> 00:03:12.898]  That's what Klaus Schwab and the Davos Group's Great Reset is all about.
[00:03:13.458 --> 00:03:17.241]  Corporate warfare against the nation state and against the individual.
[00:03:17.861 --> 00:03:20.743]  ...to vertically integrate and consolidate control.
[00:03:21.384 --> 00:03:32.774]  Even on Klaus Schwab's own Wikipedia, they quote him bragging about capturing countries and removing the power of the people, even engaged in the democratic process.
[00:03:33.595 --> 00:03:37.819]  We are going where Australia, the European Union, Canada are today.
[00:03:38.480 --> 00:03:41.063]  An absolute, total medical tyranny.
[00:03:41.423 --> 00:03:53.355]  With a UN-approved world ID on your phone that has your entire medical history, and in the near future will have your carbon output history, not just tracking everywhere you go.
[00:03:54.096 --> 00:04:01.020]  But telling you where you're allowed to go and what you're allowed to do, this has all been announced at the United Nations level.
[00:04:01.400 --> 00:04:06.223]  This is all of our nightmare collective future if we don't stand up and say no.
[00:04:06.983 --> 00:04:08.204]  They're using racial division.
[00:04:08.224 --> 00:04:10.125]  They're using economic division.
[00:04:10.625 --> 00:04:12.466]  They are using class warfare.
[00:04:12.547 --> 00:04:14.548]  And now they're using the announcement.
[00:04:15.288 --> 00:04:25.672]  Of forced inoculations to have a job in this country to create a pressure cooker effect that leads to violence, destabilization and collapse.
[00:04:26.272 --> 00:04:42.339]  I'm announcing that the Department of Labor is developing an emergency rule to require all employers with 100 or more employees that together employ over 80 million workers to ensure their workforces
[00:04:43.343 --> 00:04:48.686]  ...are fully vaccinated or show a negative test at least once a week.
[00:04:49.987 --> 00:05:06.036]  It came out in IMF and World Bank documents in 2002 that were leaked to Greg Powell from the BBC that they would carry out similar operations to this in other countries to make both political sides clash with each other and destabilize the nation.
[00:05:06.636 --> 00:05:12.880]  Once it collapsed, the big central banks owned by private individuals would move in and take over the nation.
[00:05:13.484 --> 00:05:16.645]  This is a pandemic of the unvaccinated.
[00:05:16.665 --> 00:05:37.672]  And it's caused by the fact that despite America having unprecedented and successful vaccination program, despite the fact that for almost five months, free vaccines have been available in 80,000 different locations, we still have nearly 80 million Americans who have failed to get the shot.
[00:05:38.092 --> 00:05:40.293]  That's Biden's first big line of speech.
[00:05:41.397 --> 00:05:44.459]  That this is a pandemic of the unvaccinated.
[00:05:45.100 --> 00:05:48.422]  But I have the statistics right here from the U.S., from the CDC.
[00:05:48.722 --> 00:06:07.995]  I have statistics from the United Nations, from Israel, and from countless other countries, where the nations with the highest inoculation rate have the highest death rate and the highest hospitalization rate, up to 10 times higher in Israel than, say, in Palestine, which is unvaccinated, with this Franken shot, or in Sweden.
[00:06:08.275 --> 00:06:08.916]  And why is that?
[00:06:09.824 --> 00:06:16.066]  Because they didn't put a wide spectrum of cold viruses into this so-called vaccine.
[00:06:16.446 --> 00:06:17.887]  They put one spike protein in.
[00:06:18.407 --> 00:06:28.711]  So it took out a wide swath of viruses, but then gave rise to the Delta variant that is 1,000 times more infectious and is now killing people.
[00:06:29.551 --> 00:06:36.115]  So they knew when they did this from previous studies that had been done with similar injections that would actually cause this.
[00:06:36.596 --> 00:06:45.061]  So now they can sit back and watch the death and the carnage way, way worse than it was last year and say that it's the uninjected, the unvaccinated that have done it.
[00:06:45.622 --> 00:06:59.251]  When in truth, all the graphs, all the statistics and the majority of mainline scientists say it is absolutely clear that the Delta variant was created by the inoculation or COVID-19 around the world.
