[00:00:01.007 --> 00:00:04.830]  Ladies and gentlemen, we have now cracked the code.
[00:00:06.291 --> 00:00:15.198]  We know who produced COVID-19 and we know their master plan, the keys to their blueprint for global domination.
[00:00:16.379 --> 00:00:20.042]  And not just global domination, global depopulation.
[00:00:20.562 --> 00:00:27.027]  The information we're about to cover will save humanity if it gets out to a wide audience.
[00:00:27.387 --> 00:00:30.826]  This is literally a life and death situation.
[00:00:30.826 --> 00:00:46.667]  Listen to me very, very carefully.
[00:00:46.836 --> 00:00:59.625]  A international corporate combine of ruthless corporations that see their fellow humans as animals, through the UN, are taking control of the planet using the fear of COVID-19.
[00:01:01.147 --> 00:01:12.895]  We told you more than 20 months ago they bring in a world ID and a world vaccine passport tied to a carbon passport and tied to a social credit score and now it's all officially been announced.
[00:01:13.816 --> 00:01:16.838]  And we told you the reason they created a new life form.
[00:01:17.694 --> 00:01:33.347]  That's not the flu and it's not the cold was so that the consortium of corporations, not just Pfizer, not just Moderna, not just the Chinese government, but Apple and Google and Facebook, all heavily invested in the last 10 years.
[00:01:34.128 --> 00:01:42.635]  This was an Obama project to produce this new virus, not because the first virus they rolled out would even be that deadly.
[00:01:44.011 --> 00:01:56.043]  But because it's a new life form that they would own the response to through GMO vaccines and gene therapies, like the so-called Moderna and Pfizer injections.
[00:01:56.804 --> 00:02:06.054]  So that then new variants, new versions of it could be constantly rolled out, first on a yearly, then on a monthly basis.
[00:02:07.461 --> 00:02:17.568]  Until humans become absolutely dependent on the gene therapies and the shots we're forced to take every single day when they're done with us.
[00:02:18.108 --> 00:02:22.331]  This was in all the corporate reports put out by Pfizer a decade ago.
[00:02:22.831 --> 00:02:24.753]  This was the holy grail of their plan.
[00:02:25.606 --> 00:02:38.293]  And that's why all the top corporations got together, multinationally, with the United States, the European Union, the remnants of the British Empire, Australia, and the Communist Chinese, and developed and came out with COVID-19.
[00:02:38.373 --> 00:02:49.840]  And I told you 20 months ago, it was the beta test, and that new, more deadly variants wouldn't be naturally occurring, but would be rolled out, already produced in laboratories.
[00:02:51.172 --> 00:03:05.462]  Because I was covering this decades ago, and when George Herbert Walker Bush funded bioweapons development, and when his son got BioShield in place, tens of millions of dollars to build these facilities across the United States, and then Obama expanded it.
[00:03:05.742 --> 00:03:36.166]   So we knew, and in their own reports and their own Rockefeller documents, like lockstep, that they were planning To use the threat of these new emerging life forms, these new viruses, these cross-species chimeric viruses to take over society, and that they were patenting and preparing thousands of new viruses that they would then unleash on the public to then pose as the savior and give you the, quote, gene therapies and vaccines to protect you.
[00:03:36.606 --> 00:03:47.825]   But in turn, you've got to turn over your immune system, turn over your body, turn over your free speech, turn over full control of your lives to them through the vaccine passport,
[00:03:47.825 --> 00:03:53.685]   which is the foundation for the carbon tax and the social credit score. And so that's what's
[00:03:53.685 --> 00:03:59.624]   happened. And that's how myself and many others have been able to accurately predict all this. And
[00:03:59.624 --> 00:04:05.725]   then as soon as the West picked up the panic, China said, we're done, no more virus, 100% back to
[00:04:05.725 --> 00:04:06.344]  work.
[00:04:06.582 --> 00:04:15.386]  We were only shut down about a month or so, but in America, it's going to be 18 months, we're told, which will mean we will no longer exist.
[00:04:18.227 --> 00:04:29.853]  Except the big box stores and those that are part of critical infrastructure, they're allowed to keep operating and you're going to learn to be very dependent on them and then checks will be given to you, even if you didn't want to be on welfare.
[00:04:32.697 --> 00:04:52.852]  So that you can go by at the big box stores and you've got to go out with your permission slip that you're going that you'll get from Walmart or Target and then you'll drive in and the police will check you at a checkpoint and then you'll go in wearing your mask and you'll get your food once a week when you're allowed out of your house and you will go home or you will face six months in jail.
[00:04:53.392 --> 00:04:57.155]  So we're about to lay out the new variant out of South Africa.
[00:04:58.012 --> 00:05:00.293]  And all the incredible hype surrounding it.
[00:05:01.013 --> 00:05:12.479]  But the first thing I want to do is to give you some of the latest developments and confirmed science of what these gene therapies masquerading as vaccines actually do to your body.
[00:05:13.179 --> 00:05:14.800]  Omicron is here.
[00:05:15.800 --> 00:05:32.491]  As predicted, a new COVID variant is being used as the pretext by authoritarian governments worldwide working through the United Nations and the Davos Group to declare new lockdowns and essentially medical martial law.
[00:05:33.471 --> 00:05:39.695]  Today, we're going to break down the latest developments and tell you what's coming next in this takeover.
[00:05:40.416 --> 00:05:48.920]   But first, I want to read to you Two texts sent to me by prominent members of the resistance whose identities will not be named here.
[00:05:49.920 --> 00:06:00.384]  So the Omicron hysteria is the perfect cover story for the ADE death wave from vaccines that's unfolding.
[00:06:01.277 --> 00:06:08.344]  The AIDS patient origin of the Omicron also allows media to claim this is why people's immune systems are failing.
[00:06:08.924 --> 00:06:23.938]  It shifts all the blame from the gene therapy experimental vaccine to the variant, right as the numbers explode worldwide of the general population of vaccinated people becoming seriously ill and dying.
[00:06:25.330 --> 00:06:38.501]  Which, again, is admitted out of the German numbers, the UK numbers, that you're twice as likely to die, just statistically, if you've been vaccinated with a COVID-19 Pfizer or Moderna shot than if you weren't.
[00:06:38.761 --> 00:06:43.906]  I mean, these are mainline medical journals and reports coming out and government numbers.
[00:06:45.031 --> 00:06:46.072]  Here's one that's public.
[00:06:46.412 --> 00:06:47.793]  It's Candace Owens on Twitter.
[00:06:48.113 --> 00:06:56.059]  She says, Experts told you if you complied with lockdowns, censorship, masks and vaccinations, life would return to normal.
[00:06:56.800 --> 00:07:02.104]  The worst part about the first 15 days to flatten the curve is the first two years.
[00:07:02.825 --> 00:07:10.771]  Conspiracy theorists told you COVID was never going to end and governments would use it to usher in a totalitarian new world order.
[00:07:11.251 --> 00:07:13.753]  Who do you believe now?
[00:07:14.614 --> 00:07:18.356]  And of course we know who Candace Owens is talking about right there in that tweet.
[00:07:19.216 --> 00:07:25.700]  It's about all of us that did our research, understood what the Globalist plan was, and read Operation Lockstep.
[00:07:26.520 --> 00:07:31.663]  So now let's get into it together here this evening in this Emergency Saturday Transmission.
[00:07:32.583 --> 00:07:32.883]  U.S.
[00:07:32.923 --> 00:07:37.566]  announces travel restrictions over new COVID-19 variant.
[00:07:38.006 --> 00:07:38.666]  It begins.
[00:07:39.206 --> 00:07:45.929]   New York Governor That said that she was Jesus and everybody going out to make you take the shots were disciples.
[00:07:46.469 --> 00:07:51.414]  Declare state of emergency over Omicron variant.
[00:07:52.054 --> 00:07:52.915]  Smoking gun.
[00:07:53.535 --> 00:08:01.962]  Gateway Pundit reports new variant appears two weeks after Big Pharma readies the new variant vaccine.
[00:08:03.264 --> 00:08:05.806]  So in Israel, they're up to their fourth and fifth shots.
[00:08:06.775 --> 00:08:08.857]  In the UK, they're up to their third and fourth shots.
[00:08:09.457 --> 00:08:11.259]  In Canada, they're up to their third and fourth shots.
[00:08:11.299 --> 00:08:17.504]  Here in the US, Fauci, our king, our lord, our master, says, yes, get ready for your third shots.
[00:08:18.605 --> 00:08:20.467]  And get ready to inject newborn babies.
[00:08:21.247 --> 00:08:28.473]  And right as people point out, wait a minute, this erases my immune system, it doesn't protect me, I'm twice as likely to die if I've had the shot.
[00:08:28.674 --> 00:08:37.342]   Right as all this is happening, here comes the new variant out of South Africa, and everything gets shut down
[00:08:37.342 --> 00:08:42.022]   and governments start declaring emergencies and they need new lockdowns
[00:08:42.022 --> 00:08:46.142]   and unlimited quantitative easing out of the private central banks
[00:08:46.142 --> 00:08:51.142]  given to themselves to save us or we are all dead.
[00:08:51.142 --> 00:08:57.982]   And then a whole laundry list of corporate boards run by big pharma controlled doctors come out and say
[00:08:57.982 --> 00:09:02.021]   that it's gonna take years and years and years to beat COVID
[00:09:02.021 --> 00:09:08.862]   and that you're gonna have to take multiple vaccines every few months and then an Ebola strain is coming
[00:09:08.862 --> 00:09:12.802]  of airborne super COVID that's gonna kill everybody.
[00:09:12.802 --> 00:09:13.802]  [MUSIC]
[00:09:14.011 --> 00:09:22.558]  In a moment, I'm going to get to the most important point concerning all of this, because now these enemies of humanity are really starting to tip their hands.
[00:09:22.738 --> 00:09:24.199]  We're talking about heart attacks.
[00:09:24.239 --> 00:09:26.982]  We're talking about cardiovascular collapse.
[00:09:27.002 --> 00:09:29.844]  We're talking about blood clots in the lungs and in the brain.
[00:09:30.625 --> 00:09:33.147]  We're talking about a bioweapon.
[00:09:33.967 --> 00:09:43.406]   Now, we know from October of 2020 that the CDC, before the vaccine was even given, knew that it would cause serious cardiovascular problems.
[00:09:43.446 --> 00:09:56.016]  But now, hundreds and hundreds of prestigious studies have come out, and even the vaccine makers admit that their injections increase heart swelling and heart attacks.
[00:09:56.696 --> 00:10:09.787]  But now, I wanna play you a couple of clips of Dr. John Campbell, extremely well-known, very reputable, and very popular YouTube host, exposes in a video titled, Heart Risk After Vaccines.
[00:10:10.589 --> 00:10:22.756]  And he lays out some of the new studies that are showing more than doubling of a chance of having a heart attack if you take these experimental shots.
[00:10:23.797 --> 00:10:28.299]  And the numbers are showing us, as more time goes, worse and worse things are happening.
[00:10:28.339 --> 00:10:49.544]   Not just cardiovascular, but bizarre cancers, bizarre autoimmune crises, which again is why they're coming out with the new variant, Omicron, And telling us that we're basically all gonna die because of it, but really it's a pandemic of the vaccinated who in the German and UK studies are twice as likely to die.
[00:10:50.005 --> 00:10:58.549]  But here is Dr. John Campbell talking about in the next five years, your chance of heart attacks increases from 11% to 25%.
[00:10:58.589 --> 00:11:00.070]  That's more than a doubling.
[00:11:03.250 --> 00:11:12.476]  Recently with the advent of the mRNA COVID vaccines by Moderna and Pfizer, dramatic changes in the plus score became apparent in most patients.
[00:11:13.077 --> 00:11:23.724]  So basically we see that that inflammatory marker increased, that inflammatory marker increased, and that inflammatory marker increased after vaccination.
[00:11:24.564 --> 00:11:26.546]  So that's what that is saying.
[00:11:28.669 --> 00:11:34.708]  So instead of having 11% risk of having an acute Crohn's Syndrome in the next five years, that went up to 25% risk.
[00:11:37.366 --> 00:11:47.134]  Now again, we don't know much about the group, but that increase from 11% to 25% is of course totally massive.
[00:11:47.995 --> 00:11:49.256]  Absolutely massive.
[00:11:49.937 --> 00:12:00.126]  If this were to be applicable to the entire population, this would basically mean we're going to get an unimaginable amount of extra heart attacks.
[00:12:00.906 --> 00:12:09.208]   So to paraphrase what Candace Owens said in her tweet I read to you, We were told, trust the experts, 15 days to flatten the curve.
[00:12:09.889 --> 00:12:12.632]  We were told, hey, these vaccines are 96% effective.
[00:12:12.952 --> 00:12:13.393]  Just take it.
[00:12:13.413 --> 00:12:14.014]  You'll be safe.
[00:12:14.955 --> 00:12:17.337]  They said, actually, just take a second one or a third one or a fourth one.
[00:12:17.357 --> 00:12:17.818]  You'll be safe.
[00:12:18.138 --> 00:12:19.059]  Actually, those don't work.
[00:12:19.079 --> 00:12:19.760]  There's a new variant.
[00:12:19.780 --> 00:12:20.441]  You've got to take this.
[00:12:21.202 --> 00:12:24.846]  Well, the science always showed you couldn't create a vaccine for the common cold.
[00:12:25.404 --> 00:12:32.267]  Because there's too many variants of it, much less something combined with the flu and HIV and a bunch of other viruses.
[00:12:32.867 --> 00:12:42.050]  When scientists 21 months ago, in India, they were the first country, who had a CRISPR gene editor scan this new virus, they said, this is a Frankenstein.
[00:12:43.311 --> 00:12:49.813]  This is literally five different viruses combined into one, including the HIV spike protein.
[00:12:50.874 --> 00:12:55.377]   And so now, They roll out the new variants, just like clockwork.
[00:12:56.339 --> 00:12:58.162]  Just like, oh, a new car used to come out every year.
[00:12:59.423 --> 00:13:08.203]   Well, now a new virus comes out every year that's bought and paid for, that was engineered in a lab we know from The congressional hearings.
[00:13:08.263 --> 00:13:27.196]  We know from the declassifications that Bill Gates and Google and Facebook and Twitter and all the big pharma companies in a consortium, so they can all not blackmail each other, pick the Wuhan lab because it got banned from this type of research in 2015 in the United States, in Chapel Hill, North Carolina.
[00:13:27.417 --> 00:13:30.659]  They all agreed to do it there as their big Manhattan project.
[00:13:32.219 --> 00:13:43.687]  Not to create vaccines to counter already existing viruses, but to create a totally new chimeric virus that spreads incredibly easily and kills old people.
[00:13:44.508 --> 00:13:45.969]  But what did I say 20 months ago?
[00:13:46.209 --> 00:13:58.798]  Over and over again, hundreds of times, I said clearly the virus is not that deadly, but they own the virus because they have developed from the documents we had thousands of other variants of that that were more deadly.
[00:13:59.198 --> 00:14:00.599]  So they released the wimpy one.
[00:14:01.471 --> 00:14:20.403]  They then create a vaccine into the public that actually creates the same spike protein that creates a bunch of death and illnesses, and then they release other deadly variants that actually kill people, make them sick, which makes people then go take the so-called vaccine gene therapy that is even worse than that, and then the two cover each other.
[00:14:21.024 --> 00:14:21.444]  You understand?
[00:14:22.327 --> 00:14:24.548]  Was it the vaccine killed you or was it the new variant?
[00:14:25.048 --> 00:14:36.413]  And then they can sit there and dial up or dial down each one through the UN that controls all the major medical associations now because it was financed and put in place by the Rockefeller Foundation and now Bill Gates.
[00:14:36.733 --> 00:14:41.535]  And then you see the whole medical tyranny and you see them bragging, oh, we're cutting the carbon.
[00:14:41.976 --> 00:14:43.356]  Oh, humans aren't going to come out anymore.
[00:14:43.816 --> 00:14:45.357]  Oh, we're stopping overdevelopment.
[00:14:45.677 --> 00:14:49.399]  Oh, we're culling the bad people with climate lockdowns.
