[00:00:04.091 --> 00:00:15.416]  I'm watching the midterms.
[00:00:15.416 --> 00:00:19.678]  Man, you would think our country is Mad Max Thunderdome.
[00:00:19.678 --> 00:00:27.341]  This guy is like, they're coming from Guatemala, they're coming from Mexico.
[00:00:27.341 --> 00:00:29.182]  There's a liberal mob that's coming.
[00:00:30.530 --> 00:00:31.670]  You bought a truck!
[00:00:31.670 --> 00:00:34.051]  You bought a truck!
[00:00:34.051 --> 00:00:34.171]  Yeah!
[00:00:34.171 --> 00:00:35.231]  What the f**k is that?
[00:00:35.231 --> 00:00:36.992]  What the f**k is that?
[00:00:36.992 --> 00:00:37.552]  What the f**k is that?
[00:00:37.552 --> 00:00:38.352]  What the f**k is that?
[00:00:38.352 --> 00:00:39.232]  What the f**k is that?
[00:00:39.232 --> 00:00:39.812]  What the f**k is that?
[00:00:39.812 --> 00:00:41.153]  What the f**k is that?
[00:00:41.153 --> 00:00:42.153]  What the f**k is that?
[00:00:42.153 --> 00:00:42.973]  What the f**k is that?
[00:00:42.973 --> 00:00:44.733]  What the f**k is that?
[00:00:44.733 --> 00:00:46.854]  What the f**k is that?
[00:00:46.854 --> 00:00:47.954]  What the f**k is that?
[00:00:47.954 --> 00:00:48.614]  What the f**k is that?
[00:00:48.614 --> 00:00:49.155]  What the f**k is that?
[00:00:49.155 --> 00:00:49.715]  What the f**k is that?
[00:00:49.715 --> 00:00:50.495]  What the f**k is that?
[00:00:50.495 --> 00:00:51.215]  What the f**k is that?
[00:00:51.215 --> 00:00:52.095]  What the f**k is that?
[00:00:52.095 --> 00:00:52.635]  What the f**k is that?
[00:00:52.635 --> 00:00:53.396]  What the f**k is that?
[00:00:53.396 --> 00:00:53.976]  What the f**k is that?
[00:00:53.976 --> 00:00:55.336]  What the f**k is that?
[00:00:55.336 --> 00:00:56.096]  What the f**k is that?
[00:00:56.096 --> 00:00:57.016]  What the f**k is that?
[00:00:57.016 --> 00:00:57.957]  What the f**k is that?
[00:00:57.957 --> 00:00:58.977]  What the f**k is that?
[00:00:58.977 --> 00:00:59.237]  What the f**
[00:01:06.144 --> 00:01:22.892]  And you would think everybody in the countries is like to the bunker.
[00:01:22.892 --> 00:01:24.353]  Have you heard of this?
[00:01:24.353 --> 00:01:31.597]  Blasts in China all within a week, 10 explosions, 10 bomb blasts in one country in less than a week.
[00:01:32.972 --> 00:01:45.982]  Between October 21st and October 27th, there were at least 10 mysterious explosions throughout China, killing at least 13 people and injuring many more.
[00:01:47.026 --> 00:02:03.929]  These mysterious explosions came just weeks before Xi Jinping was anointed as a revered leader of the CCP, preparing him for next year's CCP Congress, which is scheduled for next October.
[00:02:03.929 --> 00:02:13.371]  This gives Xi less than a year to make good on his commitment to absorb Taiwan into the CCP and unite all of China under communism.
[00:02:14.585 --> 00:02:22.288]  And allowing this to happen would be handing the world economy over to the Communist Chinese.
[00:02:22.288 --> 00:02:34.091]  The CCP deploys massive fishing fleets to illegally plunder protected areas, such as the Galapagos Islands, because they are hungry.
[00:02:34.091 --> 00:02:41.234]  The CCP is undergoing a food shortage crisis, warning people to stock up on essential items.
[00:02:42.114 --> 00:02:46.835]  ...and adopting laws against food waste and binge eating.
[00:02:46.835 --> 00:02:53.837]  The CCP has been buying massive amounts of farmland in Australia and the United States.
[00:02:53.837 --> 00:03:06.000]  Handing over the world economy to the Communist Chinese would be national suicide for both nations, who have already been infiltrated at the highest levels of government by the CCP.
[00:03:07.380 --> 00:03:11.944]  A handful of Republican Senators visited Taiwan to vow U.S.
[00:03:11.944 --> 00:03:13.326]  support.
[00:03:13.326 --> 00:03:13.786]  The U.S.
[00:03:13.786 --> 00:03:16.709]  Secretary of State has said that the U.S.
[00:03:16.709 --> 00:03:19.251]  will defend Taiwan.
[00:03:19.251 --> 00:03:23.835]  And Australia's Minister for Defense has vowed to back the U.S.
[00:03:23.835 --> 00:03:26.617]  and Taiwan against China.
[00:03:26.617 --> 00:03:30.220]  But who currently has control over the Australian military?
[00:03:31.401 --> 00:03:32.082]  Or the U.S.
[00:03:32.082 --> 00:03:33.623]  military.
[00:03:33.623 --> 00:03:39.988]  The CCP's own woke American puppet, General Mark Milley, says that the U.S.
[00:03:39.988 --> 00:03:45.652]  is incapable of defending itself against China's hypersonic missile tech.
[00:03:47.219 --> 00:03:49.001]  Psyops.
[00:03:49.001 --> 00:03:53.225]  Something we have all been learning about firsthand.
[00:03:53.225 --> 00:03:56.508]  Many of us have read how they've done it in history.
[00:03:56.508 --> 00:04:04.456]  But today, we are all witnessing in real time how the banking cartel is capable of orchestrating a world war.
[00:04:06.077 --> 00:04:16.540]  As China's housing giant Evergrande defaults on billions of dollars of debt, Goldman Sachs is busy buying up these garbage assets with U.S.
[00:04:16.540 --> 00:04:18.601]  taxpayer dollars.
[00:04:18.601 --> 00:04:22.762]  Goldman Sachs is bailing out the CCP with U.S.
