[00:00:00.715 --> 00:00:01.038]  I'm good.
[00:00:08.655 --> 00:00:25.444]  When the CCP, who openly runs death camps, slave labor factories, and earns billions of dollars each year harvesting their organs, attempts to overthrow your country, what exactly are you supposed to do?
[00:00:27.005 --> 00:00:36.190]  The grotesque vassals of the CCP, occupying the highest levels of our government, would have you believe that you should bleed out and die.
[00:00:38.360 --> 00:00:44.902]  On January 6, 2021, millions of great Americans were betrayed by their government.
[00:00:45.902 --> 00:00:53.824]  They came from all over the country to defend fair elections in America and rightfully demand justice under the laws of the Constitution.
[00:00:54.904 --> 00:00:58.405]  It would be the most historical protest in American history.
[00:00:59.474 --> 00:01:08.778]  Well over a million Americans gathered at the Capitol to demand that Congress not certify the election in light of overwhelming evidence of election fraud.
[00:01:10.258 --> 00:01:15.140]  After all their betrayals, the average American still believed in the democratic process.
[00:01:16.180 --> 00:01:17.801]  They believed in the First Amendment.
[00:01:18.701 --> 00:01:20.522]  And they came to exercise that right.
[00:01:22.549 --> 00:01:32.875]  At the end of President Trump's speech, he announced that we are going to the Capitol to give our elected officials the pride and boldness they need to do the right thing.
[00:01:32.895 --> 00:01:41.561]  So, we're going to... We're going to walk down Pennsylvania Avenue.
[00:01:41.641 --> 00:01:42.802]  I love Pennsylvania Avenue.
[00:01:43.582 --> 00:01:50.066]  And we're going to the Capitol, and we're going to try and give... The Democrats are hopeless.
[00:01:50.086 --> 00:01:51.387]  They're never voting for anything.
[00:01:52.651 --> 00:01:53.652]  Not even one vote.
[00:01:54.112 --> 00:02:01.358]  But we're going to try and give our Republicans the weak ones because the strong ones don't need any of our help.
[00:02:02.038 --> 00:02:09.384]  We're going to try and give them the kind of pride and boldness that they need to take back our country.
[00:02:10.025 --> 00:02:13.307]  So let's walk down Pennsylvania Avenue.
[00:02:13.708 --> 00:02:14.909]  I want to thank you all.
[00:02:15.309 --> 00:02:19.072]  God bless you and God bless America.
[00:02:19.152 --> 00:02:20.173]  Thank you all for being here.
[00:02:20.213 --> 00:02:21.214]  This is incredible.
[00:02:21.234 --> 00:02:21.774]  Thank you very much.
[00:02:22.042 --> 00:02:25.704]  But it was this righteousness that blinded us from the enemy's deceit.
[00:02:26.404 --> 00:02:30.086]  Capitol Police opened the gates and ushered in the crowd.
[00:02:32.327 --> 00:02:34.388]  Photo ops were directed inside.
[00:02:35.348 --> 00:02:43.092]  BLM activist John Sullivan, who was arrested for organizing a violent riot in Utah, was inside the state capitol.
[00:02:43.932 --> 00:02:49.335]  Agent provocateurs were seen instigating violence, and the crowd tried stopping them.
[00:02:50.481 --> 00:02:53.102]  Many of us already knew that we'd been set up.
[00:03:12.609 --> 00:03:16.051]  But others gave in to mob mentality, and people died.
[00:03:16.071 --> 00:03:19.312]  A window leading into the House chamber was broken.
[00:03:20.133 --> 00:03:24.075]  And as Ashley Babbitt climbed through, she was shot without warning.
[00:03:27.257 --> 00:03:34.860]  After 14 years of serving her country, 35-year-old war veteran Ashley Babbitt was disgracefully killed.
[00:03:36.741 --> 00:03:39.403]  Vice President Pence praises Capitol Police.
[00:03:40.546 --> 00:03:47.892]  And after certifying the election, with Ashley Babbitt's blood still fresh on the floors, Pence receives a gold coin.
[00:03:48.632 --> 00:03:51.735]  Like Judas Iscariot, the betrayal is complete.
[00:03:52.836 --> 00:03:58.780]  The CCP and their global propaganda apparatus are trying to paint Ashley Babbitt as a terrorist.
[00:03:59.061 --> 00:04:00.262]  Domestic terrorists.
[00:04:00.422 --> 00:04:03.704]  They are trying to paint all patriots as terrorists.
[00:04:05.346 --> 00:04:06.847]  They are now coming for all of us.
[00:04:08.188 --> 00:04:13.270]  Those who make peaceful revolution impossible will make violent revolution inevitable.
[00:04:14.851 --> 00:04:22.054]  Our only options at this point is for Trump to act swiftly with the military or a revolution by the people.
