[00:00:13.951 --> 00:00:15.532]  I'm watching the midterms.
[00:00:15.532 --> 00:00:19.752]  Man, you would think our country is Mad Max Thunderdome.
[00:00:19.752 --> 00:00:27.394]  This guy is like, they're coming from Guatemala, they're coming from Mexico.
[00:00:27.394 --> 00:00:29.234]  There's a liberal mob that's coming.
[00:00:30.148 --> 00:00:35.130]  You're the president.
[00:00:35.130 --> 00:00:37.091]  You don't need support.
[00:01:06.231 --> 00:01:09.277]  And you would think everybody in the country is just like, to the bunker.
[00:01:21.829 --> 00:01:28.638]  And it's time for humanity to stand up in the Info War and say, I don't know what's going to happen at the end of this, but you want to fight?
[00:01:28.638 --> 00:01:31.422]  You better believe you got one!
[00:01:31.422 --> 00:01:37.911]  From the front lines of the Information War, it's Alex Jones.
[00:02:14.757 --> 00:02:17.679]  It's Friday, December 10th.
[00:02:17.679 --> 00:02:20.280]  The year is 2021.
[00:02:20.280 --> 00:02:24.963]  And we are 333 days out from the midterm elections.
[00:02:24.963 --> 00:02:27.644]  The globalists are going to stage terror attacks.
[00:02:27.644 --> 00:02:28.885]  They're going to crash the economy.
[00:02:28.885 --> 00:02:30.666]  They're going to release new viruses.
[00:02:30.666 --> 00:02:32.847]  They're going to announce new lockdowns.
[00:02:32.847 --> 00:02:40.872]  Because they know humanity is struggling out of their filthy, murderous, mad scientist, pedophile grip.
[00:02:40.872 --> 00:02:42.853]  I tell you, I've seen our enemies at the highest levels.
[00:02:43.772 --> 00:02:48.156]  And I've seen our enemies down at the low level, and they're all imbued with a love of death.
[00:02:48.156 --> 00:02:50.418]  They're all physically ugly.
[00:02:50.418 --> 00:02:52.840]  They're all spiritually ugly.
[00:02:52.840 --> 00:03:00.167]  They know they're scum, and they want to take us with them.
[00:03:00.167 --> 00:03:03.150]  They're Antifa without their mask on.
[00:03:03.150 --> 00:03:10.036]  There's footage coming in from Germany, from the UK, from the US, from Australia, of Antifa
[00:03:11.092 --> 00:03:16.593]  Beating people up that try to come outside and don't want to stay locked down in their homes as society collapses.
