[00:00:00.000 --> 00:00:20.000]  [Outro]
[00:00:20.342 --> 00:00:22.903]  It's Saturday, November 6.
[00:00:23.523 --> 00:00:33.008]  The year is 2021, and we've got the biggest Russiagate news in this five-year saga ever.
[00:00:34.329 --> 00:00:43.856]   With the indictment and other indictments that are now about to be handed down against Hillary Clinton's operatives, we are living in an incredible Moment.
[00:00:43.956 --> 00:00:48.957]  And we now know in hindsight why they came after Roger Stone with such a vengeance.
[00:00:49.557 --> 00:00:51.898]  Why they came after Infowars with such a vengeance.
[00:00:52.498 --> 00:00:54.298]  Why they persecuted so many people.
[00:00:54.818 --> 00:01:07.701]  We came within inches, thanks to Roger Stone's courage, of actually stopping the entire Russiagate scam that held back most of Trump's agenda to restore the Republic in the last four years.
[00:01:08.221 --> 00:01:15.052]   In early 2017, as you know, Roger had sources and had said it back when it was candidate Trump.
[00:01:15.432 --> 00:01:18.253]  They were illegally surveilling him and wiretapping and targeting him.
[00:01:18.533 --> 00:01:19.954]  That later came out and was confirmed.
[00:01:20.454 --> 00:01:28.479]  And then Roger had White House sources, very high level, that would have been kicked out or removed if they exposed Hill, who came to Roger.
[00:01:28.858 --> 00:01:33.418]   I know he told me at the time, this is all, sources are off record, and said,
[00:01:33.418 --> 00:01:39.117]   Fiona Hill wrote for the Globalist, she was on the board of Soros' Open Society Foundation,
[00:01:39.117 --> 00:01:46.258]   she's connected to MI6, CIA, she's very high level, Brookings Institute, Strube Talbot, top Globalist,
[00:01:46.258 --> 00:01:51.537]   Strube Talbot's big top, top guy calling for world government with the Clintons,
[00:01:51.537 --> 00:01:59.838]   and that she's bringing in a whole invasion group of other operatives under Trump's nose.
[00:01:59.950 --> 00:02:02.194]  This was all done, Roger, exposed on my show.
[00:02:02.214 --> 00:02:03.256]  We'll play the clip in a few minutes.
[00:02:04.827 --> 00:02:08.330]  By having Fiona Hill come out and say, I'm one of the top Russia experts, supposedly.
[00:02:08.590 --> 00:02:10.211]  That means Soros anti-Russian groups.
[00:02:10.871 --> 00:02:16.175]  And I'm not sure that the dossier was real.
[00:02:16.396 --> 00:02:21.599]  And I'm not sure that Trump was involved with the Russians.
[00:02:22.020 --> 00:02:25.322]  And so just by that, Trump got tricked to like, oh, here's a liberal.
[00:02:25.702 --> 00:02:29.005]  Here's a Brookings Institute lady that says I'm not connected to the Russians.
[00:02:29.065 --> 00:02:29.866]  Bring her on in.
[00:02:30.586 --> 00:02:36.847]  And now it's coming out in federal documents that she actually got all the first people together for the dossier.
[00:02:37.248 --> 00:02:39.248]  So absolutely incredible.
[00:02:39.488 --> 00:02:50.731]  And now we know why she was on congressional hearings, 60 Minutes, CNN, ABC News, NBC News, saying, help me, Roger Stone's trying to kill me, Alex Jones, death threats, help me.
[00:02:50.751 --> 00:02:56.952]  We're going to show you all that because she was the spy master of the corporate takeover.
[00:02:58.131 --> 00:03:04.655]  We're always thinking about Russians or Chinese, but it's globalist corporate interests, that's what the New World Order is, that have gotten control of our country.
[00:03:04.695 --> 00:03:08.477]  So, that's why suddenly I had the FBI trying to indict me.
[00:03:08.797 --> 00:03:10.258]  That's why I had SUVs following me.
[00:03:10.538 --> 00:03:11.659]  That's why I had death threats.
[00:03:11.959 --> 00:03:14.581]  That's why I got debanked and deplatformed and all of it.
[00:03:14.821 --> 00:03:20.544]  That's why they had congressional hearings saying with the CIA and Defense Department, Alex Jones is a Russian asset.
[00:03:20.964 --> 00:03:23.486]  He must be removed if America is to be saved.
[00:03:23.926 --> 00:03:25.307]  That's Senator Blumenthal.
[00:03:25.548 --> 00:03:26.669]  That's Senator Murphy.
[00:03:26.929 --> 00:03:28.691]  That's Senator... Three of them said it.
[00:03:29.111 --> 00:03:30.192]  I mean, you've seen all the clips.
[00:03:30.272 --> 00:03:31.473]  I'm not going to go back and play them again.
[00:03:31.814 --> 00:03:35.737]  We're going to play the Fiona Hill saying we got our death threats with no evidence.
[00:03:35.757 --> 00:03:38.220]  We're going to show you Roger in 2017 breaking in on air, but...
[00:03:41.082 --> 00:03:43.224]  Roger didn't think, hey, they'll come after me.
[00:03:43.544 --> 00:03:47.327]  Roger didn't think, hey, they may indict me because he's not a coward.
[00:03:47.367 --> 00:03:53.192]  He didn't even think about the consequences because a patriot doesn't think about consequences.
[00:03:53.332 --> 00:03:53.992]  They just do what's right.
[00:03:54.413 --> 00:03:57.255]  And I had this epiphany last night because I've always liked Roger.
[00:03:57.295 --> 00:03:57.695]  He's funny.
[00:03:57.715 --> 00:03:58.476]  He's super smart.
[00:03:58.596 --> 00:03:59.597]  But now I love him even more.
[00:04:00.683 --> 00:04:03.105]  He, I remember how many times he had all the sources.
[00:04:03.506 --> 00:04:05.407]  He was the only, because no one else had the courage.
[00:04:05.708 --> 00:04:09.331]  And then he had the courage to have the sources and put out the truth.
[00:04:09.571 --> 00:04:11.293]  And then I was crazy enough to put it out on air.
[00:04:11.693 --> 00:04:14.475]  And if just other people would have had the damn courage.
[00:04:15.413 --> 00:04:19.336]  And would have stood up and told the truth, we would have sent all these criminals to prison.
[00:04:19.636 --> 00:04:24.100]  Instead, now they're branding the American people as terrorists, using the Russiagate in January 6th.
[00:04:24.120 --> 00:04:32.887]  So, this chink in their armor, you could drive a bus through, is big, it's huge, so now I wanna just shut up and try to give Roger the floor as much as possible.
[00:04:32.907 --> 00:04:33.948]  We're gonna play these clips.
[00:04:34.648 --> 00:04:45.252]  To do a post-mortem on this, the total vindication, and then where he thinks this is going with the Durham indictments, and that now it's starting to happen, and more, simply incredible.
[00:04:45.312 --> 00:04:57.017]  So, a vindicated former political prisoner, the man that got Trump to run, the man that almost single-handedly saved the country, and we still have a shot at it, the man that gave this country a fighting chance, a damn hero.
[00:04:57.457 --> 00:04:59.178]  You know a man by their enemies.
[00:04:59.798 --> 00:05:02.639]  And I just want to say it, InfoWars deserves a lot of support.
[00:05:02.659 --> 00:05:03.940]  And I don't say that to like, toot my horn.
[00:05:04.180 --> 00:05:06.221]  We're in a damn war with the New World Order!
[00:05:06.461 --> 00:05:07.882]  You want to take on the CIA?
[00:05:08.042 --> 00:05:08.642]  The Deep State?
[00:05:09.082 --> 00:05:09.603]  Soros?
[00:05:09.643 --> 00:05:10.363]  The Internationalists?
[00:05:10.443 --> 00:05:11.003]  We're doing it!
[00:05:11.283 --> 00:05:12.484]  And we almost beat them, folks.
[00:05:12.684 --> 00:05:13.524]  That's why they're scared.
[00:05:14.145 --> 00:05:15.025]  That's why they've done all this.
[00:05:15.065 --> 00:05:25.110]  And so I'm very honored to do this, but I underestimated how incredibly cutting edge and how bad we were hurting them because we had a huge audience and people that had contacts were willing to take action.
[00:05:25.290 --> 00:05:27.330]  And we still do, thanks to you, listeners.
[00:05:27.330 --> 00:05:31.270]   So when I say, hey, InfoWars deserves support, I mean, I'm thinking the listeners,
[00:05:31.270 --> 00:05:34.170]   I'm thinking the viewers, I'm saying we have changed history together
[00:05:34.170 --> 00:05:39.049]   and we ought to have a round of applause for Roger Stone and the InfoWars listeners and the crew
[00:05:39.049 --> 00:05:41.110]  and everybody else that made this broadcast possible.
[00:05:41.110 --> 00:05:46.849]   Because damn it, we have been in the fight, MVP's in this sucker, and now Tucker Carlson's awake
[00:05:46.849 --> 00:05:49.169]  and Joe Rogan's awake and the worm's turning.
[00:05:49.169 --> 00:05:51.649]   And if it wasn't for us hitting the barbed wire, it wouldn't have happened.
[00:05:51.649 --> 00:05:54.110]   And if it wasn't for the listeners supporting the hell out of us
[00:05:54.110 --> 00:05:57.210]   and they got ridiculed and attacked and buying our products and everything they did,
[00:05:57.210 --> 00:05:58.049]  we wouldn't be here.
[00:05:58.049 --> 00:06:02.570]   So this win is for all of you out there, listeners, and this crew out there as well.
[00:06:02.282 --> 00:06:04.023]  But the MVP is Roger Stone.
[00:06:04.283 --> 00:06:05.224]  It's just a damn fact.
[00:06:05.524 --> 00:06:07.706]  Roger, we almost beat him, but we're still in the fight.
[00:06:07.726 --> 00:06:10.188]  But my God, thank you so much for joining us.
[00:06:10.248 --> 00:06:13.950]  And I've said a lot here, but I'm going to just try to shut up and let you take over.
[00:06:15.332 --> 00:06:16.753]  Well, Alex, thank you very much.
[00:06:16.773 --> 00:06:17.853]  I appreciate being here.
[00:06:17.954 --> 00:06:26.254]   You know, the amazing thing when I look back at it, When I learned that Fiona Hill, a Soros mole, had penetrated the Trump White House.
[00:06:26.735 --> 00:06:28.997]  When I learned that she'd been brought in by H.R.
[00:06:29.037 --> 00:06:34.661]  McMaster, the globalist national security director who Trump ultimately wisely fired.
[00:06:35.733 --> 00:06:37.954]  There was no other news outlet that would touch this.
[00:06:38.494 --> 00:06:41.676]  It's not that I could take it to Newsmax or anyplace else.
[00:06:41.696 --> 00:06:42.736]  There was no one who would touch it.
[00:06:42.756 --> 00:06:45.597]  There was only one place to put out the clarion call.
[00:06:45.617 --> 00:06:51.520]  The one place where the guy who ran the show had the guts to let me go on the air and expose the whole damn thing.
[00:06:51.960 --> 00:06:53.061]  And that was InfoWars.
[00:06:53.161 --> 00:06:55.402]  So InfoWars does deserve your support, folks.
[00:06:55.982 --> 00:07:00.944]  Because Alex Jones had the cojones to put me on the air so I could tell you exactly what was going on.
[00:07:01.579 --> 00:07:04.080]  In retrospect, Alex, I think you're absolutely right.
[00:07:04.140 --> 00:07:05.301]  This is why I was targeted.
[00:07:05.721 --> 00:07:17.947]  This is why 29 heavily armed FBI agents in full SWAT gear, with night goggles, brandishing M4 fully automatic assault weapons, surrounded my home at 6 a.m.
[00:07:18.027 --> 00:07:19.448]  on the morning of January 25th.
[00:07:19.888 --> 00:07:27.631]  It was because I had pointed out the cabal that was right there, like an asp in the bosom, inside the Trump White House.
[00:07:27.672 --> 00:07:36.125]   Now, ironically, Go back several decades earlier, former President Richard Nixon has a meeting with Strobe Talbot.
[00:07:36.145 --> 00:07:41.910]  Strobe Talbot is whining and dining Nixon, trying to push himself off as some kind of foreign policy expert.
[00:07:42.331 --> 00:07:45.308]   And I told the former president, Tolbert is a traitor.
[00:07:45.328 --> 00:07:47.229]  He is a quisling.
[00:07:47.389 --> 00:07:49.150]  He is no damn good, Mr. President.
[00:07:49.230 --> 00:07:53.674]  Don't buy into his act of being interested in bipartisan foreign policy.
[00:07:54.094 --> 00:07:56.916]  He is a running dog lackey of the Clintons.
[00:07:57.876 --> 00:08:00.198]  And Monica Crowley can confirm this.
[00:08:00.578 --> 00:08:03.240]  I spotted that traitor long ago.
[00:08:03.620 --> 00:08:07.643]  Now, anybody who just tuned in needs to understand what has happened in the last 72 hours.
[00:08:09.644 --> 00:08:18.830]  The special counsel, John Durham, has indicted a Russian named Igor, who actually seems to be the source of the phony dossier.
[00:08:19.251 --> 00:08:33.961]  But if you read inside that indictment, even individuals as dumb as Andrew McCarthy of the National Review, who might know a lot about the law but doesn't know dick about politics, has reported that this is the roadmap to the entire Clinton conspiracy.
[00:08:34.001 --> 00:08:39.103]   In fact, I understand John Podesta, Robbie Mook, and others have lawyered up.
[00:08:39.763 --> 00:08:40.984]  Well, Robbie, get ready.
[00:08:41.044 --> 00:08:42.745]  Get the Vaseline and bend over, pal.
[00:08:42.785 --> 00:08:44.386]  It's your turn in the barrel.
[00:08:45.346 --> 00:08:50.068]  This guy is, these people who accused us of treason, they're actually the traitors.
[00:08:50.389 --> 00:08:51.889]  How ironic is that?
[00:08:52.470 --> 00:08:55.311]  So, no, I'm proud of what we did here on InfoWars.
[00:08:55.891 --> 00:08:57.312]  Nobody else was willing to do it.
[00:08:57.944 --> 00:08:58.664]  Reparations?
[00:08:58.684 --> 00:08:59.865]  It's a great idea.
[00:08:59.885 --> 00:09:02.666]  I'm sure Adam Schiff will sponsor that bill almost immediately.
[00:09:02.706 --> 00:09:05.187]  I'm sure he feels badly about smearing me.
[00:09:05.547 --> 00:09:06.127]  Oh, wait a minute.
[00:09:06.507 --> 00:09:07.668]  I just read his biography.
[00:09:07.688 --> 00:09:09.768]  He talked about warmed-over BS.
[00:09:09.869 --> 00:09:11.369]  He recycles the same thing again.
[00:09:11.929 --> 00:09:18.912]  No, Congressman Schiff, actually, Bill Barr did not intercede in my trial, did not lean on the prosecutors to give me leniency.
[00:09:19.352 --> 00:09:28.574]  That has been denied under oath by the three top career non-prosecutors, non-political prosecutors at the Justice Department, according to the Washington Post.
[00:09:28.594 --> 00:09:31.215]  So your own House organ has exposed you.
[00:09:31.655 --> 00:09:39.137]  It's a fraud, just like this entire Russian collusion escapade was a fraud.
[00:09:39.177 --> 00:09:43.438]  Roger, let me ask you this, and then you can continue with whatever you want to get, you go over here historically.
[00:09:44.098 --> 00:09:55.551]   Again, I'm not trying to Butter you up here saying you were the only person that was willing, that was aware of this, because most of them knew up there, to do what you did.
[00:09:55.571 --> 00:10:01.253]  And so I just want to point out that it's not even the evil people that are the problem.
[00:10:01.293 --> 00:10:06.135]  It's like Thomas Jefferson said, all that evil men and tyrants seem to flourish is that good men do nothing.
[00:10:06.575 --> 00:10:12.777]  It's shocking to me that everybody knew this, because I remember you were talking about me and telling me the information.
[00:10:12.797 --> 00:10:14.778]  I'm going to leave it at that, because I wanted sources.
[00:10:15.854 --> 00:10:19.136]  And so as a journalist, you know, we went over it, and it was all proven to be accurate.
[00:10:19.396 --> 00:10:23.878]  And then they tried to put you in prison saying you were a Russian when you were doing the opposite.
