[00:00:00.410 --> 00:00:02.353]  Q lies to you.
[00:00:02.373 --> 00:00:08.103]  Q is like muddy water that you truss and jump off a diving board into and break your back on rocks.
[00:00:09.806 --> 00:00:11.209]  I shot this video last night.
[00:00:11.229 --> 00:00:11.970]  It's satire.
[00:00:13.049 --> 00:00:16.491]  Within two minutes in, I tell you that it's a sick joke.
[00:00:16.592 --> 00:00:17.592]  That's how Q treats you.
[00:00:18.053 --> 00:00:19.594]  Feeds you garbage is always wrong.
[00:00:20.114 --> 00:00:20.755]  Lies to you.
[00:00:21.195 --> 00:00:23.196]  But as you invest in the frauds, you never admit it.
[00:00:23.937 --> 00:00:26.699]  And I see up to a third of the comments mad at me for dashing your hopes.
[00:00:27.299 --> 00:00:28.640]  Q dashed your hopes.
[00:00:29.221 --> 00:00:30.782]  Q told you that Trump was invincible.
[00:00:30.822 --> 00:00:31.282]  He wasn't.
[00:00:32.683 --> 00:00:36.086]  Q will now continue to try to program you to run out of the Democratic Party.
[00:00:37.967 --> 00:00:38.888]  So are the Buggaloos.
[00:00:39.548 --> 00:00:40.309]  So's Antifa.
[00:00:40.329 --> 00:00:41.389]  They're all on record.
[00:00:41.409 --> 00:00:41.970]  They're protected.
[00:00:43.499 --> 00:00:44.719]  So here's the original report.
[00:00:45.960 --> 00:00:49.961]  It's called satire, but it shows the mind control some of you are under.
[00:00:50.961 --> 00:00:53.442]  Trump will leave tomorrow and Cube will tell you that it's part of the plan.
[00:00:54.162 --> 00:00:57.983]  Yeah, it is a plan to make you stand down and to make America fail.
[00:00:59.024 --> 00:01:00.984]  Just because you were conned doesn't mean you're a bad person.
[00:01:01.765 --> 00:01:02.945]  Wake up and admit you were conned.
[00:01:03.065 --> 00:01:04.525]  I've made plenty of mistakes myself.
[00:01:06.166 --> 00:01:13.068]  Ladies and gentlemen, we are only 40 hours away from the inauguration and it's incredible.
[00:01:13.692 --> 00:01:19.493]  I was wrong and when I'm wrong, I'm happy to be wrong when it's in the best interest of this nation.
[00:01:20.513 --> 00:01:21.213]  Hugh was right.
[00:01:22.694 --> 00:01:33.275]  Joe Biden is going to step down at noon on January 20th and Donald John Trump is going to be inaugurated for a second term as a 45th president.
[00:01:35.036 --> 00:01:36.836]  Special forces, they got into the Capitol.
[00:01:36.856 --> 00:01:37.996]  They got into all the other areas.
[00:01:38.376 --> 00:01:42.397]  They got the secret laptops with all the proof and it's over for the deep state.
[00:01:42.853 --> 00:01:43.833]  It's all over.
[00:01:44.033 --> 00:01:44.993]  Q is right.
[00:01:45.854 --> 00:01:51.254]  Q was not a pacification operation to suppress Trump voters to think everything was okay the last four years.
[00:01:51.454 --> 00:01:51.675]  No.
[00:01:52.975 --> 00:01:54.715]  Q was high level military intelligence.
[00:01:55.055 --> 00:01:56.655]  That's why martial laws in DC.
[00:01:57.035 --> 00:02:00.536]  That's why there's 30,000 National Guard and a thousand regular troops.
[00:02:00.556 --> 00:02:02.956]  That's why there's hundreds of armored vehicles and F-16s.
[00:02:03.597 --> 00:02:06.517]  It's why big tech censoring us was to protect the plan.
[00:02:07.557 --> 00:02:08.557]  I didn't trust the plan.
[00:02:08.997 --> 00:02:09.578]  I was wrong.
[00:02:10.558 --> 00:02:12.098]  And now I have to admit I'm wrong.
[00:02:13.168 --> 00:02:13.608]  That's right.
[00:02:13.648 --> 00:02:16.710]  Joe Biden will be stepping down at 11 a.m.
[00:02:17.050 --> 00:02:23.814]  on the 20th of January, and Donald Trump will be sworn in for his second term as president.
[00:02:24.334 --> 00:02:25.034]  Q was correct.
[00:02:25.655 --> 00:02:27.916]  Infowars and Alex Jones were wrong.
[00:02:28.436 --> 00:02:30.978]  Thank you, President Trump!
[00:02:32.538 --> 00:02:33.499]  Thank you, Q!
[00:02:41.172 --> 00:02:47.899]  Now, in 40-something hours, you're going to learn that Q and the Globalist, the establishment, are wrong and lied to you the whole time.
[00:02:48.660 --> 00:02:54.546]  And I was just illustrating how anybody can put out these fake headlines and get millions of viewers telling you things that aren't true.
[00:02:55.709 --> 00:02:59.130]  I have talked to two people who've talked to President Trump in the last 24 hours.
[00:02:59.510 --> 00:03:00.631]  He's leaving to Mar-a-Lago.
[00:03:01.151 --> 00:03:02.131]  He's super pissed off.
[00:03:02.712 --> 00:03:07.073]  I even know the names of the new lawyers he's hiring to try to counter this once he's out of office.
[00:03:07.453 --> 00:03:08.854]  He does intend to fight on.
[00:03:09.174 --> 00:03:10.334]  He was a great president.
[00:03:11.055 --> 00:03:13.256]  The deep state did set him up.
[00:03:14.316 --> 00:03:19.258]  He has had the Director of National Intelligence declassify that Communist China was behind the Wuhan virus.
[00:03:20.396 --> 00:03:23.758]  And the fact that Crossfire Hurricane was spying on him illegally.
[00:03:24.139 --> 00:03:32.805]  Trump's done a lot of great things, like get our jobs back to the US, turn our oil and gas industry back on, but they stole the election from President Trump.
[00:03:33.465 --> 00:03:34.426]  They engaged in fraud.
[00:03:34.866 --> 00:03:38.369]  Then they hired anarchist groups to storm the Capitol to blame his march.
[00:03:38.969 --> 00:03:39.830]  That happened.
[00:03:41.071 --> 00:03:44.914]  And the Republican party abandoned the president and he's gone.
[00:03:45.854 --> 00:03:47.816]  And I know it's hard to believe for a lot of people.
[00:03:48.874 --> 00:03:58.416]  That a communist Chinese agent, Joe Biden, with all his corruption and Hunter's laptop and all the incredible things he's done with the Ukrainians and the Russians is about to be installed.
[00:03:58.456 --> 00:04:00.197]  But that's the reality.
[00:04:01.177 --> 00:04:03.798]  Everyone was told that we were invincible because of Trump.
[00:04:03.878 --> 00:04:06.618]  I told you he was just human because I was behind the scenes.
[00:04:07.179 --> 00:04:16.381]  But people put mythical powers into Trump and didn't get politically engaged, many of you, because you thought he was unstoppable.
[00:04:18.314 --> 00:04:19.716]  Now you're learning that that is not the case.
[00:04:19.776 --> 00:04:22.198]  So I'm very, very sad that Trump has had the election stolen.
[00:04:22.218 --> 00:04:31.308]  I'm very upset that I've been personally robbed of my vote and I'm going to continue to promote free speech and I'm going to continue to promote open, free elections.
[00:04:33.510 --> 00:04:37.671]  The fact is Joe Biden, the communist Chinese agent, is about to be installed.
[00:04:38.372 --> 00:04:46.314]  And with 40 something hours left, I'm now seeing the keyboard saying, Oh, to complete things, Biden has to get into office for the fraud to be clear.
[00:04:46.354 --> 00:04:47.955]  And then Trump is going to come back.
[00:04:48.275 --> 00:04:49.335]  Folks, none of that's happening.
[00:04:49.875 --> 00:04:51.216]  This was meant to pacify you.
[00:04:51.236 --> 00:04:53.037]  It was meant to keep you in your house.
[00:04:53.137 --> 00:04:54.957]  It was meant to make you think everything was okay.
[00:04:55.317 --> 00:04:57.038]  So you wouldn't get politically engaged.
[00:04:58.223 --> 00:04:59.444]  And now it's been incredibly successful.
[00:04:59.844 --> 00:05:02.746]  So let's admit that it was a giant scam.
[00:05:02.766 --> 00:05:03.947]  Let's admit it was a huge fraud.
[00:05:04.567 --> 00:05:08.069]  Just like the headline I put out here that, Oh, Q's right.
[00:05:08.910 --> 00:05:09.850]  Biden's stepping down.
[00:05:09.930 --> 00:05:10.731]  Trump be sworn in.
[00:05:10.851 --> 00:05:11.571]  It's not true.
[00:05:12.091 --> 00:05:14.733]  The martial law in DC is for the American people.
[00:05:15.353 --> 00:05:18.295]  The martial law, the FBI says, is for the military itself.
[00:05:19.856 --> 00:05:22.538]  Because a lot of people in the military believe the election was stolen, which it was.
[00:05:24.377 --> 00:05:26.118]  The point is we don't fight that with violence.
[00:05:26.138 --> 00:05:28.119]  That's what the globalists want.
[00:05:28.799 --> 00:05:44.746]  And as much as I love President Trump, as much as I've been persecuted for defending President Trump, it's now going to be a lot easier to expose the globalists and the shutdown of our energy and the shutdown of our oil and the shutdown of our jobs and the shutdown of our local businesses now that Trump's not there to blame for it all.
[00:05:45.506 --> 00:05:47.667]  Joe Biden and Kamala Harris, who are total
