[00:00:15.476 --> 00:00:19.638]  InfoWars, the most banned network in the world.
[00:00:20.098 --> 00:00:27.902]  I've been tracking different globalist plans for 30 years, intensely for more than 25, and they all go in the same direction.
[00:00:28.002 --> 00:00:35.345]  Global feudalism, dehumanization, depopulation, a long controlled planetary collapse into a post-industrial world.
[00:00:37.286 --> 00:00:39.487]  Now that's not to do against Save the Earth.
[00:00:39.507 --> 00:00:42.508]  The very people doing this say that they're going to overwrite the entire planet.
[00:00:43.246 --> 00:00:52.751]  With new life forms, that they're going to be God, and that this is basically just a giant laboratory, to use the British inflection, or laboratory, for their testing.
[00:00:54.632 --> 00:00:58.074]  And now, they've gone over the side of the cliff, they've gone to high gear.
[00:00:58.954 --> 00:01:10.861]  Some of their different timelines had them going into the beginning of the Great Reset, or the launch of Agenda 2030, after Agenda 21 had laid the groundwork since Reso de Janeiro.
[00:01:11.721 --> 00:01:11.921]  U.N.
[00:01:11.961 --> 00:01:16.665]  Summit in 1992 that George Orwell Walker Bush signed us on to, you know, New World Order Bush.
[00:01:18.266 --> 00:01:30.416]  And then they would test, engage it, and then move forward with the real reset in 2030, which is the accelerated depopulation via collapse and release bioweapon and war.
[00:01:30.436 --> 00:01:33.878]  Of course, starvation is the main tool to collapse.
[00:01:35.179 --> 00:01:40.924]  But because of nationalism, because of Bolsonaro, because of Trump, because of different movements that
[00:01:41.627 --> 00:01:42.988]  We're nationalist structures.
[00:01:43.028 --> 00:01:43.688]  They weren't perfect.
[00:01:43.748 --> 00:01:46.250]  They still fit inside the New World Order in many respects.
[00:01:47.450 --> 00:01:54.974]  But because they weren't completely controlled by the cartel, by the cult, they are accelerating their plan.
[00:01:55.855 --> 00:02:03.539]  So they're not going to go agenda 21, where in 2021 they were going to launch and then go to the Great Reset in 2030.
[00:02:04.520 --> 00:02:10.363]  In 2030, they're just accelerating the whole timetable now.
[00:02:12.342 --> 00:02:16.684]  Because they were behind schedule and they've just jumped off the edge of the cliff.
[00:02:17.744 --> 00:02:24.967]  They've got a really bad chance of succeeding if humanity wakes up and resists and speaks out against it and recognizes what it is.
[00:02:25.827 --> 00:02:31.209]  The biggest reason they went ahead with it was they were so used to getting away with things and they control Interpol.
[00:02:32.510 --> 00:02:38.412]  They control the federal police forces in France, Germany, the UK, Australia, New Zealand, the US, Canada.
[00:02:40.073 --> 00:02:44.834]  And they've got just political operatives in there that are just paid off for very low amounts of money.
[00:02:44.854 --> 00:02:49.755]  I mean, they're buying the average Justice Department official off for maybe half a million dollars a year.
[00:02:50.755 --> 00:02:53.736]  Higher up, FBI agents are being bought off for maybe an extra hundred grand a year.
[00:02:54.656 --> 00:03:03.358]  And for those little pieces of silver, they are literally selling out the economy, the future, the stability, and turning the world into a third world collapse system.
[00:03:04.398 --> 00:03:05.078]  And they know that.
[00:03:06.318 --> 00:03:08.759]  Most of them I've even had a chance to talk to go, well, yeah, Alex.
[00:03:09.520 --> 00:03:11.601]  We've got to get rid of the people and things are going to collapse anyways.
[00:03:12.281 --> 00:03:15.863]  So we might as well have a controlled demolition and then be in charge of it.
[00:03:15.903 --> 00:03:24.268]  And so they want access, people that have sold out, to the compact city-states that will be within what's left of the former mega-cities.
[00:03:25.508 --> 00:03:32.212]  And in every region, there's ten regions and three mega-regions, ten sub-regions, three mega-regions.
[00:03:33.172 --> 00:03:38.395]  Strangely enough, they've picked the exact number of kingdoms the Bible says will be set up in Revelation.
[00:03:39.218 --> 00:03:40.598]  So I guess they're following it as a blueprint.
[00:03:41.398 --> 00:03:42.679]  Or it's prophecy coming true.
[00:03:42.699 --> 00:03:43.959]  Either way you look at it, it's happening.
[00:03:43.979 --> 00:03:45.519]  So it doesn't really matter, does it?
[00:03:47.379 --> 00:03:49.680]  And they just talk about how they want to be on the inside club.
[00:03:51.020 --> 00:03:58.281]  And now, they think they and their families will be protected by going along with the take down of civilization.
[00:04:00.042 --> 00:04:00.922]  And the consolidation.
