[00:00:01.328 --> 00:00:02.649]  Well, they've introduced H.R.
[00:00:02.929 --> 00:00:06.430]  1, the Democrats have, to allow the federal government to run elections.
[00:00:06.530 --> 00:00:11.053]  Now, they said the federal government had no right to oversee last election.
[00:00:11.613 --> 00:00:14.894]  Now they're claiming the states have no right with any oversight.
[00:00:15.635 --> 00:00:21.698]  The truth is, the states have most of the oversight, but in emergencies, the federal government can then kick in, Congress can then kick in.
[00:00:22.498 --> 00:00:23.679]  But that's not where they're stopping.
[00:00:23.839 --> 00:00:24.859]  Oh, no, that's just the beginning.
[00:00:25.620 --> 00:00:28.921]  Biden has set up a commission to pack the Supreme Court, and it gets better.
[00:00:29.181 --> 00:00:30.562]  All other judgeships.
[00:00:31.721 --> 00:00:34.082]  That's right, ladies and gentlemen, all other judgeships.
[00:00:34.342 --> 00:00:38.063]  So you're telling us you're going to study this issue about whether to pack the court?
[00:00:38.483 --> 00:00:42.705]  No, there's a number of alternatives that go well beyond packing.
[00:00:42.945 --> 00:00:43.945]  This is a live ball.
[00:00:44.426 --> 00:00:45.206]  Oh, it is a live ball.
[00:00:45.785 --> 00:00:46.726]  No, it is a live ball.
[00:00:46.746 --> 00:00:47.766]  We're going to have to do that.
[00:00:48.207 --> 00:00:51.929]  And you're going to find there's a lot of conservative constitutional scholars are saying it as well.
[00:00:52.550 --> 00:00:56.672]  The last thing we need to do is turn the Supreme Court into just a political football.
[00:00:56.712 --> 00:00:59.034]  Whoever has the most votes gets whatever they want.
[00:00:59.774 --> 00:01:00.775]  Presidents come and go.
[00:01:01.375 --> 00:01:03.537]  Supreme Court justices stay for generations.
[00:01:04.215 --> 00:01:11.257]  And so they may open the court 25, 30 justices, 50 justices, just like Venezuela and put all their people in.
[00:01:11.937 --> 00:01:13.958]  Then for 30, 40 years, basically you can't ever change things.
[00:01:13.998 --> 00:01:18.099]  So this is a globalist dictatorship being set up right now.
[00:01:18.279 --> 00:01:19.479]  And it's all run out of the UN.
[00:01:19.579 --> 00:01:21.260]  It's all run by Bill Gates and Klaus Schwab.
[00:01:22.100 --> 00:01:23.702]  And this is how they've taken over other countries.
[00:01:23.762 --> 00:01:28.248]  So I just hope you'll visit InfoWars.com and see the article for yourself and realize how much trouble we're in.
[00:01:28.268 --> 00:01:29.549]  They did steal the election.
[00:01:30.110 --> 00:01:31.211]  Now they're trying to cement that.
[00:01:31.271 --> 00:01:33.875]  Remember, Trump had to have the federal government have oversight.
[00:01:33.895 --> 00:01:35.657]  They said, oh, the feds can't be involved in the election.
[00:01:35.677 --> 00:01:36.338]  It's all the states.
[00:01:37.486 --> 00:01:39.307]  But then they also went and tried to block the states looking at it.
[00:01:39.327 --> 00:01:42.809]  The truth is, in a federalist system, the powers split between the federal government and the state government.
[00:01:42.829 --> 00:01:46.330]  But when it comes to elections, it's very clear most of the power resides with the states.
[00:01:46.571 --> 00:01:59.357]  And now there's major reform going on at the state levels right now as they're going in and looking at the fraud and how they have these consent orders with governors, the Democratic Party to accept the mail-in ballots with no evidence, which was law outside of law.
[00:01:59.437 --> 00:02:00.918]  Law was made in the legislature.
[00:02:01.678 --> 00:02:07.825]  And then the courts look and see the laws constitutional, that's judiciary, the executive executes, whether it's a president or governor.
[00:02:08.305 --> 00:02:11.048]  So this is a real revolution against our system happening.
[00:02:11.088 --> 00:02:12.349]  And I hope the states will organize.
[00:02:13.070 --> 00:02:20.758]  I hope people across the world will organize and say no to it and say no to the mask and the lockdowns and all of it, like Senator Rand Paul is now saying we should do.
[00:02:21.098 --> 00:02:23.241]  It's time for civil disobedience.
[00:02:23.261 --> 00:02:24.382]  I don't want a violent revolution.
[00:02:24.821 --> 00:02:25.762]  I don't think that's the answer.
[00:02:27.084 --> 00:02:29.968]  I disagree with some of the accelerationists out there that want that.
[00:02:30.029 --> 00:02:38.020]  But I also understand their frustration because this is real tyranny and it's a medical tyranny with deadly mRNA gene therapy vaccines coming at us and our families.
[00:02:38.060 --> 00:02:41.145]  So, again, I just want to thank you all for watching and I want you to realize that
[00:02:41.866 --> 00:02:43.508]  There's not many outlets left that can even speak.
[00:02:43.548 --> 00:02:45.290]  We're under total censorship for this takeover.
[00:02:45.310 --> 00:02:52.981]  So please, while InfoWars is still on the air, share the videos from Bandai Video however you can and tell folks, hey, here's the forbidden information you're not supposed to see.
[00:02:53.041 --> 00:02:53.662]  So it's official.
[00:02:54.263 --> 00:02:57.307]  The Democratic Party to federalize elections under their control.
[00:02:58.336 --> 00:03:00.918]  Because we never want Republicans to have that, and I wouldn't want to have that either.
