[00:00:15.479 --> 00:00:20.986]  InfoWars, tomorrow's news, today.
[00:00:20.986 --> 00:00:25.131]  About one stillbirth every two months is the usual rate.
[00:00:25.131 --> 00:00:32.139]  So to suddenly get to 86 stillbirths in six months, that's highly unusual.
[00:00:32.139 --> 00:00:35.363]  But the confirmation, the most important confirmation that we have
[00:00:36.437 --> 00:00:44.662]  From the Waterloo, Ontario report, was that all of the 86 stillbirths were fully vaccinated.
[00:00:44.662 --> 00:00:50.566]  Health Minister questioned about reported explosion in fully vaccinated mothers experiencing stillbirths.
[00:00:50.566 --> 00:00:51.367]  But here's the kicker.
[00:00:52.213 --> 00:00:59.336]  Mothers of stillbirth babies were fully vaccinated and you've clearly said on numerous occasions that the vaccines are safe.
[00:00:59.336 --> 00:01:09.940]  So Minister, what do you say to the doctors who told expecting women it was okay to get fully vaccinated and what should they tell the mothers who deliver a stillborn baby?
[00:01:09.940 --> 00:01:17.323]  We are recommending that women who are pregnant do receive the vaccine for the protection of themselves, protection of their baby as well.
[00:01:17.323 --> 00:01:20.824]  It has been accepted by the Health Canada
[00:01:21.455 --> 00:01:26.630]  By the World Health Organization, by the FDA, women who are pregnant it is entirely safe
[00:01:27.091 --> 00:01:30.113]  And recommended for them to receive the vaccine.
[00:01:30.113 --> 00:01:34.895]  Until about 10 years ago, every major government in the world said a pregnant woman should never take a vaccine.
[00:01:34.895 --> 00:01:38.577]  Because it can cause an autoimmune response and make the woman reject the baby.
[00:01:38.577 --> 00:01:45.741]  A number of hospitals around the country are denying organ transplants to people who are not vaccinated against COVID-19 or bumping them down on waiting lists.
[00:01:45.741 --> 00:01:48.663]  This raises some ethical questions over the decisions.
[00:01:48.663 --> 00:01:53.485]  In one highly publicized case, a Colorado health system denied a woman a kidney transplant.
[00:01:53.485 --> 00:01:56.287]  The patient refuses to get a COVID shot.
[00:01:56.627 --> 00:02:09.910]  So there's this policy put in place for something that could happen versus not getting a transplant, which could 100% lead to the end of my life.
[00:02:09.910 --> 00:02:18.912]  Traveling nurses triple salaries as hospitals struggle with national staffing crisis.
[00:02:18.912 --> 00:02:21.312]  The hospitals are struggling.
[00:02:21.312 --> 00:02:25.153]  They're having to call the National Guard because they fired the uninjected.
[00:02:26.266 --> 00:02:30.831]  But it is true what CNN says, because I've looked at the actual numbers at gold hospitals.
[00:02:30.831 --> 00:02:33.854]  They are full of people dying who are the vaccinated.
[00:02:33.854 --> 00:02:38.980]  And that's confirmed from Israel, to the UK, to the United States, to Canada, to Australia.
[00:02:38.980 --> 00:02:42.484]  We've got one more state to get through that gate.
[00:02:42.484 --> 00:02:45.847]  It's a bit like, you know, getting the sheep through the gate.
[00:02:45.847 --> 00:02:46.228]  End of the run.
[00:02:46.408 --> 00:03:02.062]  I would recommend that instead of Christmas shopping, everyone shops for a COVID booster online or reaches out to their partner to make them an appointment to go online for a COVID shot.
[00:03:02.062 --> 00:03:07.586]  And that is the best exciting gift that can be given.
[00:03:07.586 --> 00:03:09.388]  It's mind-blowing.
[00:03:10.777 --> 00:03:14.018]  To see them on the news saying, if you've had the shot, you're protected.
[00:03:14.018 --> 00:03:17.098]  That's why people that don't have the shot are going to infect you.
[00:03:17.098 --> 00:03:19.019]  We're unvaccinated.
[00:03:19.019 --> 00:03:21.959]  We are looking at a winter of severe illness and death.
[00:03:21.959 --> 00:03:23.819]  They're unvaccinated.
[00:03:23.819 --> 00:03:28.460]  For themselves, their families, and the hospitals, they'll soon overwhelm.
[00:03:28.460 --> 00:03:30.501]  But, there's good news.
[00:03:30.501 --> 00:03:35.702]  If you're vaccinated, you have your booster shot, you're protected from severe illness and death.
[00:03:35.702 --> 00:03:36.682]  Omicron is here.
[00:03:37.711 --> 00:03:41.813]  It's going to start to spread much more rapidly at the beginning of the year.
[00:03:41.813 --> 00:03:46.034]  And the only real protection is to get your shots.
[00:03:46.034 --> 00:03:49.676]  If you get one shot, if you haven't gotten it yet, that'll help.
[00:03:49.676 --> 00:03:54.498]  If you're at the point where you have everything, including your booster, you're in really good shape.
[00:03:54.498 --> 00:03:59.620]  Why is President Biden telling people still that the vaccinated cannot spread COVID?
[00:04:01.404 --> 00:04:01.964]  Can you say more?
[00:04:01.964 --> 00:04:07.369]  Yeah, in a local interview on Tuesday, he said, how about making sure you're vaccinated so you do not spread the disease to anybody else?
[00:04:07.369 --> 00:04:13.355]  The CDC says people who get vaccine breakthrough infections can be contagious.
[00:04:13.355 --> 00:04:15.257]  Well, I'll say this.
[00:04:15.257 --> 00:04:18.419]  I didn't hear this interview, so I would have to see it in its full context.
[00:04:18.419 --> 00:04:22.323]  What I know and what the president believes is that we have to listen to the science.
[00:04:22.323 --> 00:04:24.225]  We have to listen to our public health officials.
[00:04:24.225 --> 00:04:25.486]  And that's what the president believes.
[00:04:25.706 --> 00:04:27.827]  Immunity means your body knows how to beat it.
[00:04:27.827 --> 00:04:29.807]  It doesn't matter if somebody's got it next to you.
[00:04:29.807 --> 00:04:30.027]  That's 100%.
[00:04:30.027 --> 00:04:31.728]  That's facts.
[00:04:31.728 --> 00:04:32.508]  That's science.
[00:04:32.508 --> 00:04:33.708]  That's reality.
[00:04:33.708 --> 00:04:42.431]  But at the end of the day, folks, the entire thrust of the takeover is this medical tyranny with a medical ID, for the medical social credit score, the carbon tax.
[00:04:42.431 --> 00:04:43.651]  And they get that in place.
[00:04:43.651 --> 00:04:47.112]  And it's going in place all over the world right now.
[00:04:47.112 --> 00:04:49.473]  We are now inside the mark of the beast.
[00:04:49.473 --> 00:04:54.074]  So have you ever wondered how is the devil, how is this world government he runs, going to get everybody to do this?
[00:04:55.390 --> 00:05:00.160]  And now you know.
