[00:00:14.597 --> 00:00:17.358]  InfoWars, tomorrow's news today.
[00:00:17.358 --> 00:00:24.302]  Ultimately, those who are not vaccinated will end up paying the price.
[00:00:25.356 --> 00:00:32.400]  Remember everything with Joe Biden, everything with the globalist, everything with corporate media is an inversion of truth.
[00:00:32.400 --> 00:00:37.324]  Those who haven't taken the vaccine are going to pay for it.
[00:00:37.324 --> 00:00:38.664]  Now that's more than just a threat.
[00:00:38.664 --> 00:00:40.225]  It's an inversion of reality.
[00:00:40.225 --> 00:00:41.546]  A, it's not a vaccine.
[00:00:41.546 --> 00:00:44.348]  It is a experimental gene therapy.
[00:00:45.171 --> 00:00:56.035]  That they studied previously in other trials on animals and humans in China and it caused blood clots, it caused heart attacks, it caused the lungs to basically become bloody pulps.
[00:00:56.035 --> 00:01:01.658]  We have all the studies from the University of Texas and now it turns out hundreds of others.
[00:01:01.658 --> 00:01:08.140]  Since the last few months we began to show you the American Heart Association documents and UT documents and EU documents.
[00:01:08.140 --> 00:01:10.141]  That was back in December six months ago.
[00:01:12.222 --> 00:01:20.331]  Hundreds of major studies have been pointed out that were there 20 years ago, 10 years ago, 8 years ago, that this stuff is deadly.
[00:01:20.331 --> 00:01:33.004]  You can never create a coronavirus, a SARS type vaccine because it again attacks the proteins in your body because the shell of the virus is made up of the same protein you have in a lot of your tissues.
[00:01:33.004 --> 00:01:34.766]  But that's settled science.
[00:01:35.692 --> 00:01:38.394]  He's saying you're going to pay if you don't take it.
[00:01:38.394 --> 00:01:41.376]  Oh, so I won't be able to get cheap Yankees tickets like they're saying?
[00:01:41.376 --> 00:01:44.538]  Or I'll be segregated to the nosebleeds at a basketball game?
[00:01:44.538 --> 00:01:48.200]  I don't want to go to your stupid corporate garbage.
[00:01:48.200 --> 00:01:54.984]  The people paying are the ones that are taking these experimental shots that again aren't even vaccines.
[00:01:54.984 --> 00:02:01.248]  And as they get sick and as they die, aren't going to be able to get any type of medical aid for the illnesses they have.
[00:02:02.415 --> 00:02:06.301]  This is the biggest scandal, not just in modern history, but in world history.
[00:02:06.301 --> 00:02:09.466]  Because we now know that they cooked it up in a lab.
[00:02:09.466 --> 00:02:12.170]  We now know that they purposely released it.
[00:02:12.170 --> 00:02:13.412]  All the evidence shows that.
[00:02:13.412 --> 00:02:17.379]  We now know that they knew they had to have this type of virus out there.
[00:02:18.132 --> 00:02:25.756]  So that they could tailor a vaccine during the hysteria to counter the spike protein, which again actually causes the massive illness.
[00:02:25.756 --> 00:02:30.899]  That's why it's now confirmed what scientists were saying three or four months ago in England and now in the U.S.
[00:02:30.899 --> 00:02:40.825]  when people were taking these so-called vaccines, that the majority of people they were seeing in the hospital had been vaccinated months before with the so-called vaccine.
[00:02:40.825 --> 00:02:44.627]  And they were having COVID-like symptoms of their lungs being eaten.
[00:02:45.553 --> 00:02:47.774]  Or massive blood clots.
