[00:00:00.149 --> 00:00:05.363]  We are investigating the center of the web, and we're going wherever the truth takes us.
[00:00:06.226 --> 00:00:08.412]  I'm Alex Jones, and this is the InfoWar.
[00:00:13.052 --> 00:00:16.994]  As our officials say, multi-millionaire Jeffrey Epstein has taken his own life.
[00:00:17.054 --> 00:00:21.616]  Jeffrey Epstein is dead after being found unresponsive at a New York City jail Saturday morning.
[00:00:21.716 --> 00:00:23.717]  After apparently taking his own life.
[00:00:23.837 --> 00:00:26.279]  Officials say that his death was an apparent suicide.
[00:00:26.459 --> 00:00:30.841]  Surveillance video recorded inside the Metropolitan Correctional Center is missing.
[00:00:30.981 --> 00:00:35.243]  A camera situated just outside of Epstein's jail cell is unusable.
[00:00:35.323 --> 00:00:41.146]  Footage from at least one camera in the hallway may be too damaged or unusable for investigators.
[00:00:41.286 --> 00:00:45.189]  An FBI crime lab is examining two prison cameras that malfunctioned.
[00:00:45.389 --> 00:00:47.251]  Surveillance video from outside his jail cell?
[00:00:47.491 --> 00:00:48.452]  It's gone missing!
[00:00:48.492 --> 00:00:59.701]  Now this will of course raise even more questions about whether the surveillance cameras were purposely tampered with and if Epstein's death was more than just suicide by hanging as it was ruled in an autopsy.
[00:00:59.861 --> 00:01:10.366]  Tonight, the two Bureau of Prison Guards assigned to monitor Jeffrey Epstein the night he killed himself, they've admitted they falsified records and they've now made a deal with federal prosecutors.
[00:01:10.426 --> 00:01:11.166]  Their sentence?
[00:01:11.806 --> 00:01:13.587]  100 hours of community service.
[00:01:13.607 --> 00:01:22.411]  9 East 71st Street is an extremely historic address right in the middle of New York City.
[00:01:23.231 --> 00:01:24.312]  It's the center of a web.
[00:01:25.618 --> 00:01:29.003]  of a international operation to blackmail not just U.S.
[00:01:29.023 --> 00:01:31.947]  government officials, but also top scientists.
[00:01:33.249 --> 00:01:39.398]  It's the home address of Jeffrey Epstein and his seven-story sex dungeon palace.
[00:01:41.232 --> 00:01:52.040]  InfoWars has been on Epstein's trail for more than 15 years, and the web that emanates out from this address doesn't just control the United States, but many nations across the world.
[00:01:52.781 --> 00:02:01.948]  In this investigation, we're going to be bringing you some of the latest information on what the death of Jeffrey Epstein really signifies, and the fact that the networks he controlled are still operating today.
[00:02:02.168 --> 00:02:04.590]  Jeffrey Epstein may be dead, but this story isn't.
[00:02:04.690 --> 00:02:12.174]  A shocking new report from the New York Times sheds light on the connection between Microsoft founder Bill Gates and the late Jeffrey Epstein.
[00:02:12.354 --> 00:02:16.877]  Tonight, there is a real possibility other Epstein associates could face criminal charges.
[00:02:17.057 --> 00:02:17.697]  That's right, Tom.
[00:02:17.717 --> 00:02:25.502]  There's an ongoing investigation into possible accomplices to Epstein's crimes, and there are still thousands of documents in the civil suit that remain under seal.
[00:02:25.522 --> 00:02:28.484]  There is an active effort to make those documents public.
[00:02:28.584 --> 00:02:31.887]  Epstein has had several high-profile friendships in the past.
[00:02:32.247 --> 00:02:37.471]  President Bill Clinton reportedly rode on Epstein's jet more than two dozen times in the early 2000s.
[00:02:37.491 --> 00:02:42.796]  It's no secret that former President Bill Clinton had a friendly relationship with Jeffrey Epstein.
[00:02:42.836 --> 00:02:48.721]  Wall Street tycoon Jeffrey Epstein used the Lolita Express to ferry a bevy of beautiful young women.
[00:02:49.061 --> 00:02:53.024]  Among the passengers, former President Bill Clinton and Britain's Prince Andrew.
[00:02:53.305 --> 00:02:55.767]  FAA records show that Bill Clinton
[00:02:56.387 --> 00:02:59.928]  is on the airplane of Jeffrey Epstein 26 times.
[00:02:59.948 --> 00:03:02.870]  Google, Facebook, Twitter, mainstream corporate media.
[00:03:15.612 --> 00:03:20.415]  Wikipedia are all covering up what's really happening.
[00:03:20.655 --> 00:03:27.279]  Every day I get more and more pissed because I'm just like, oh my god, what we had was unreal.
[00:03:27.659 --> 00:03:30.321]  Other women backing it up, hey, yep.
[00:03:31.741 --> 00:03:40.767]  Brad Edwards, the attorney, three years ago saying, there will come a day when we will realize Jeffrey Epstein was the most prolific pedophile this country has ever known.
[00:03:40.787 --> 00:03:42.888]  I had it all three years ago.
[00:03:44.110 --> 00:03:53.196]  How many men transporting underage girls came to this keypad and entered the code so that this dungeon door would open?
[00:03:53.436 --> 00:04:04.304]  Queen Elizabeth II's son, the Duke of York, or Prince Andrew, was famously caught repeatedly creeping in and out of those doors with young women going in and out.
[00:04:05.310 --> 00:04:08.152]  That's how powerful this web of control is.
[00:04:08.733 --> 00:04:25.285]  An investigation by this program into the notorious sex abuser Jeffrey Epstein and his alleged partner Ghislaine Maxwell has found multiple claims that the pair targeted, groomed, trafficked and sexually abused at least half a dozen young women in the UK over a 10-year period.
[00:04:26.286 --> 00:04:33.972]  For years, the daughter of disgraced media mogul Robert Maxwell lived a rarefied life in the highest echelons of British society.
