[00:00:00.050 --> 00:00:00.660]  Jones Show.
[00:00:19.549 --> 00:00:20.630]  Government cover-ups.
[00:00:21.311 --> 00:00:22.112]  You want answers?
[00:00:22.893 --> 00:00:23.794]  Well, so does he.
[00:00:24.434 --> 00:00:28.038]  He's Alex Jones on the GCN Radio Network.
[00:00:28.638 --> 00:00:32.682]  And now, live from Austin, Texas, Alex Jones.
[00:00:35.936 --> 00:00:41.443]  The Titanic, we all know, is the global economy, appears to be moving along at full speed.
[00:00:41.783 --> 00:00:44.367]  But signs of sea ice are dead ahead.
[00:00:44.627 --> 00:00:52.237]  The first alarm bells have been sounded from several economists that know to look for the most subtle signs of danger of a global economic collapse.
[00:00:52.577 --> 00:00:58.440]  We have a bubble around the world in demographic spending, which keeps declining in more countries.
[00:00:58.480 --> 00:01:00.401]  And we can predict this by country.
[00:01:00.681 --> 00:01:03.443]  Japan was the first to peak, and then the U.S.
[00:01:03.503 --> 00:01:04.223]  and now Europe.
[00:01:04.563 --> 00:01:13.308]  But we also have the greatest debt bubble in modern history, two to four times what we've seen back in the Roaring Twenties, last time we had a debt bubble.
[00:01:13.548 --> 00:01:17.630]  And all we need, like in 2008 with the subprime crisis,
[00:01:25.557 --> 00:01:37.749]  And when you go south of the border, even below Mexico Way, it's currency crisis after currency crisis, commodity crash after commodity crash.
[00:01:38.149 --> 00:01:40.070]  Current events form future trends.
[00:01:40.751 --> 00:01:43.052]  What happened yesterday over in Brazil?
[00:01:43.372 --> 00:01:44.513]  Well, they had a wonderful time.
[00:01:44.533 --> 00:01:48.336]  About a half a million people turned out to protest against the government.
[00:01:48.676 --> 00:01:49.196]  How come?
[00:01:49.476 --> 00:01:50.697]  Well, they're in a recession.
[00:01:51.218 --> 00:01:54.640]  Inflation is skyrocketing and the currency is plummeting.
[00:01:55.260 --> 00:01:56.481]  Is the economy moving?
[00:01:56.742 --> 00:01:59.204]  The Baltic Dry Index has hit a new low.
[00:01:59.524 --> 00:02:10.575]  The Baltic Dry Index is the assessment of the price of moving all of the globe's major raw materials by sea, including commodities like coal, grain, and iron ore.
[00:02:10.855 --> 00:02:19.644]  Tyler Durden of Zero Hedge reports, last week I received news from a contact who is friends with one of the biggest billionaire shipping families in the world.
[00:02:19.884 --> 00:02:25.645]  He told me they had no ships at sea right now because operating them meant running at a loss.
[00:02:25.965 --> 00:02:33.467]  Commerce between Europe and North America has literally come to a halt for the first time in known history.
[00:02:33.787 --> 00:02:39.389]  Not one cargo ship is in transit in the North Atlantic between Europe and North America.
[00:02:39.829 --> 00:02:40.289]  All of them.
[00:02:40.729 --> 00:02:44.130]  Hundreds are either anchored offshore or in port.
[00:02:44.430 --> 00:02:45.791]  Nothing is moving.
[00:02:46.171 --> 00:02:48.172]  It is a horrific economic sign.
[00:02:48.332 --> 00:02:51.032]  Proof that commerce has literally stopped.
[00:02:51.313 --> 00:02:58.395]  The very Chinese shipyards supplying the needed vessels to transport the world's raw materials are going bankrupt.
[00:02:58.855 --> 00:03:01.436]  Due to the struggling economies across the globe.
[00:03:01.776 --> 00:03:09.279]  According to Global Times, experts have said that half of China's shipbuilding enterprises will go bankrupt in the coming years.
[00:03:09.879 --> 00:03:11.500]  Other signs of a sinking ship?
[00:03:11.840 --> 00:03:16.742]  Graham Summers of Zero Hedge reports that the bursting of the bond bubble has begun.
[00:03:17.242 --> 00:03:21.186]  The bond bubble was close to $80 trillion in size going into 2008.
[00:03:22.107 --> 00:03:26.571]  Globally, the bond bubble has grown by more than $20 trillion since 2008.
[00:03:27.852 --> 00:03:33.037]  Today, it is north of $100 trillion, with an additional $555 plus trillion in derivatives.
[00:03:33.178 --> 00:03:36.000]  Globally, over 50% of all corporate bonds are now junk.
[00:03:41.025 --> 00:03:48.368]  In the UK, you have the ability to sell the same bond an infinite number of times.
[00:03:49.388 --> 00:03:50.969]  In the United States, you're limited.
[00:03:51.009 --> 00:03:54.590]  You can't sell the same bond an infinite number of times.
[00:03:54.610 --> 00:03:58.832]  You can sell it a few times and claim that it has a collateral value.
[00:03:59.272 --> 00:04:04.634]  But in the UK, and this is why all of the major banks and all the major countries, treasuries,
[00:04:05.334 --> 00:04:08.137]  ...outsource their fraud to the UK.
[00:04:08.197 --> 00:04:11.020]  This is why the UK is responsible for the Lehman collapse.
[00:04:11.667 --> 00:04:15.591]  The Dow Jones has lost 1500 points in 10 days and still has a lot further to fall.
[00:04:15.611 --> 00:04:17.053]  The fragility of the markets are worse than pre-2008.
[00:04:35.231 --> 00:04:41.556]  One minor trigger could send the globe into at the very least yet another major recession.
[00:04:41.816 --> 00:04:44.718]  Regardless, Obama will hear none of that.
[00:04:45.299 --> 00:04:50.943]  Anyone claiming that America's economy is in decline is peddling fiction.
[00:04:51.723 --> 00:04:53.285]  John Bowne for Infowars.com
[00:05:10.345 --> 00:05:15.626]  Want to keep up-to-date with what's going on in the world without logging into the internet ghettos of Facebook and Twitter?
[00:05:15.926 --> 00:05:20.168]  Then subscribe to the InfoWars Insider, our underground email newsletter.
[00:05:20.428 --> 00:05:24.189]  It's our daily digest of the day's most important stories and so much more.
[00:05:24.589 --> 00:05:28.610]  In it, you'll find exclusive articles that appear nowhere else than InfoWars.com.
[00:05:28.870 --> 00:05:29.070]  Email...
[00:05:29.950 --> 00:05:37.974]  Also receive unique video messages from Alex Jones, special reports, and exclusive secret specials to infowarestore.com.
[00:05:38.215 --> 00:05:43.638]  We also will take a look back on stories and video reports we've covered in the past and how they relate to current news.
[00:05:44.038 --> 00:05:47.300]  An arsenal of knowledge right to your inbox every day.
[00:05:47.540 --> 00:05:56.925]  The great part is your newsletter information cannot be censored or black-holed like we've caught Facebook, Twitter, YouTube, or Google doing to important information in the past.
[00:05:57.225 --> 00:06:02.849]  Log on to Infowars.com forward slash newsletter, watch the special message from Alex Jones, and subscribe.
[00:06:03.090 --> 00:06:09.835]  I'm David Knight with Infowars.com, and on behalf of the entire team here at the Central Texas Command Center, we thank you for your support.
[00:06:10.295 --> 00:06:15.099]  Over the years, there have been a lot of powerful advancements in the field of science and nutraceuticals.
[00:06:15.379 --> 00:06:24.047]  Yongevity integrates years of scientific research into creating fantastic products like Beyond Tangy Tangerine, plant-derived minerals, and much more.
[00:06:24.227 --> 00:06:27.991]  Yongevity also offers you an ingenious way to augment your income.
[00:06:28.171 --> 00:06:28.852]  And the best part?
[00:06:28.972 --> 00:06:31.534]  You'll be helping your friends and family along the way.
[00:06:31.855 --> 00:06:34.277]  Visit InfoWarsTeam.com today.
[00:06:34.457 --> 00:06:35.078]  Become a member.
[00:06:35.238 --> 00:06:39.302]  Get discounts on the amazing products and free shipping when you sign up for AutoShip.
[00:06:39.502 --> 00:06:46.006]  And you're able to promote the products to friends and family and neighbors in your community and make money while helping people at the same time.
[00:06:46.246 --> 00:06:46.946]  Another win-win.
[00:06:47.206 --> 00:06:50.749]  That's why I'm a member of the Longevity Team at Infowarsteam.com.
[00:06:50.929 --> 00:06:51.929]  And you can be too.
[00:06:52.169 --> 00:06:52.650]  It's simple.
[00:06:52.730 --> 00:06:55.531]  Just go to Infowarsteam.com today.
[00:06:55.671 --> 00:06:57.592]  Complete a short sign-up and you're part of the team.
[00:06:57.773 --> 00:07:00.834]  That's Infowarsteam.com or Infowarshealth.com.
[00:07:01.014 --> 00:07:07.178]  So many people call into my radio show and tell me how Longevity and the products at Infowarsteam.com have changed their lives.
[00:07:07.338 --> 00:07:08.639]  Check it out for yourself today.
[00:07:13.546 --> 00:07:22.931]  And it's that type of behavior that spurred me to do the research to develop a true nutraceutical formula that was designed to smooth out and help children focus.
[00:07:23.271 --> 00:07:25.852]  All of our children are hit with modern mind control.
[00:07:25.992 --> 00:07:29.333]  Television, music, fast food, GMOs, sugars, you name it.
[00:07:29.553 --> 00:07:35.556]  Young humans have not yet developed their nervous system and are being hammered daily by globulous concoctions.
[00:07:35.856 --> 00:07:39.798]  It's no wonder they can't focus and calm down and then are put on dangerous
[00:07:39.918 --> 00:07:40.198]  I think so.
[00:08:21.428 --> 00:08:27.533]  Defending the Republic from enemies foreign and domestic, it's Alex Jones!
[00:08:35.055 --> 00:08:40.299]  Ladies and gentlemen, it is Friday, the 15th day of January 2016.
[00:08:41.820 --> 00:08:45.342]  This is a big broadcast lined up today.
[00:08:45.442 --> 00:09:00.132]  David Knight's going to be in with a roundtable discussion with LeeAnn McAdoo, Jakari Jackson, Darren McBreen popping in from the other studio with some of the Twitter comments and InfoWars.com comments and Facebook comments from last night, taking your phone calls.
[00:09:00.432 --> 00:09:04.535]  We have several guests joining us today as well, dealing with the debates
