[00:00:12.174 --> 00:00:13.055]  We're live.
[00:00:13.115 --> 00:00:14.456]  It's Friday, the 26th day of August 2016.
[00:00:14.516 --> 00:00:16.998]  We'll be here for the next four hours.
[00:00:17.118 --> 00:00:18.459]  I am your host, Alex Jones.
[00:00:18.899 --> 00:00:21.701]  Our websites are InfoWars.com and PrisonPlanet.com.
[00:00:22.161 --> 00:00:24.123]  But if you're a TV viewer, you can see this right now.
[00:00:24.223 --> 00:00:25.844]  Radio listeners, go to DrudgeReport.com.
[00:00:26.184 --> 00:00:32.409]  The entire top left-hand corner of DrudgeReport.com is Clinton targets Alex Jones.
[00:00:32.549 --> 00:00:34.631]  He responds, I'm not scared of you, bully.
[00:00:35.171 --> 00:00:36.612]  Kimmel's pickle caper.
[00:00:37.172 --> 00:00:40.014]  Now it's the vast alternative right-wing conspiracy.
[00:00:40.374 --> 00:00:45.837]  And Paul Joseph Watson blows it out of the water with this report he just filed minutes ago.
[00:00:48.664 --> 00:00:55.107]  Hillary Clinton interrupted her coughing fits, seizures, and three-day naps to attack the alt-right.
[00:00:55.227 --> 00:00:59.330]  Clinton savaged Trump for weaving dark conspiracy theories.
[00:00:59.590 --> 00:01:05.173]  Oh, you mean dark conspiracy theories like a YouTube video being responsible for Benghazi?
[00:01:05.193 --> 00:01:07.734]  What difference at this point does it make?
[00:01:07.874 --> 00:01:17.619]  She then proceeded to weave her own gigantic dark conspiracy theory, namely that Vladimir Putin controls Infowars, Breitbart, and the entire alt-right.
[00:01:17.879 --> 00:01:27.103]  And the grand godfather of this global brand of extreme nationalism is Russian President Vladimir Putin!
[00:01:30.865 --> 00:01:35.246]  That's funny because I don't recall receiving my paycheck in the mail from the Kremlin.
[00:01:35.326 --> 00:01:39.687]  It's also what happens when you listen to the radio host Alex Jones.
[00:01:39.867 --> 00:01:53.210]  Right, so Trump is the conspiracy theorist for listening to Alex Jones, yet you just asserted that a former KGB officer under the communist government of the Soviet Union is now the leader of conservatives in America.
[00:01:53.310 --> 00:01:54.130]  What does that mean?
[00:01:54.270 --> 00:01:58.671]  Of course, Hillary failed to identify the real leader of the alt-right.
[00:02:00.447 --> 00:02:07.491]  Oh yeah, and according to another one of Hillary's dark conspiracy theories, Trump is responsible for bullying in schools.
[00:02:07.691 --> 00:02:08.832]  The Trump effect.
[00:02:09.012 --> 00:02:11.934]  Bullying and harassment are on the rise in our schools.
[00:02:12.134 --> 00:02:19.459]  Right, because it's not like Trump supporters have been viciously attacked and harassed by leftists for the last six months solid.
[00:02:19.579 --> 00:02:21.460]  But wait, it gets even funnier.
[00:02:21.780 --> 00:02:26.143]  Hillary began reading out headlines written by Milo Yiannopoulos.
[00:02:29.264 --> 00:02:32.189]  Birth control makes women unattractive and crazy.
[00:02:32.390 --> 00:02:33.431]  Nobody wants to fuck you.
[00:02:33.572 --> 00:02:37.018]  Would you rather your child had feminism or cancer?
[00:02:40.774 --> 00:02:47.617]  He is taking hate groups mainstream and helping a radical fringe take over.
[00:02:47.837 --> 00:03:01.083]  Oh, you mean like you and Obama have been doing for the last two years by mainstreaming Black Lives Matter, a group that has inspired cop killers and whose ideological inspiration is on the FBI's most wanted terrorists list.
[00:03:01.203 --> 00:03:14.546]  These are racist ideas, race-baiting ideas, anti-Muslim, anti-immigrant, anti-women, all key tenants making up the emerging racist ideology known as the alt-right.
[00:03:14.666 --> 00:03:28.428]  So posting dank memes makes you an evil racist, but openly praising and describing as your mentor a man who founded a KKK chapter, called black people mongrels, and campaigned against the Civil Rights Act?
[00:03:28.729 --> 00:03:30.829]  My friend and mentor Robert Seabird
[00:03:31.069 --> 00:03:31.970]  That's just fine.
[00:03:32.090 --> 00:03:35.553]  Hillary also said that the alt-right is anti-women.
[00:03:35.713 --> 00:03:43.460]  This from the so-called feminist who takes hundreds of millions of dollars from a country that treats women little better than cattle.
[00:03:43.720 --> 00:03:53.629]  Nigel Farage, who stoked anti-immigrant sentiments to win the referendum, to have Britain leave the European Union, campaigned with Donald Trump in Mississippi.
[00:03:53.729 --> 00:03:55.970]  Yeah, the key word there, Hillary, is win.
[00:03:56.370 --> 00:04:00.951]  He won because the tactic of constantly calling him a racist failed.
[00:04:01.051 --> 00:04:02.152]  Just like your speech.
[00:04:04.372 --> 00:04:14.875]  But seriously, if the alt-right are trolls, who inside Hillary's campaign thought it was a bright idea to do the one thing you're not supposed to do with trolls?
[00:04:15.696 --> 00:04:16.996]  Witches feed the trolls.
[00:04:17.136 --> 00:04:20.297]  The alt-right only succeeds if you respond.
[00:04:20.677 --> 00:04:22.958]  You just walked straight into a trap.
[00:04:23.798 --> 00:04:24.698]  It's a trap!
[00:04:24.858 --> 00:04:31.600]  The people running your campaign are complete f***ing idiots who don't understand how the internet works.
[00:04:31.760 --> 00:04:35.641]  This has backfired more than any of us could ever dream of.
[00:04:35.741 --> 00:04:47.883]  Hundreds of thousands of new people are now coming to our websites, where we'll continue to educate them about your failing health, rampant corruption, and sneering, arrogant elitism.
[00:04:47.943 --> 00:04:48.783]  Thanks, Hillary.
[00:04:48.983 --> 00:04:49.444]  Racist.
[00:04:57.120 --> 00:05:01.668]  Ladies and gentlemen, start your engines, because this is the Info War.
[00:05:02.048 --> 00:05:02.849]  It's Friday.
