[00:00:14.232 --> 00:00:15.373]  You have the power.
[00:00:15.713 --> 00:00:17.274]  Humanity has the power.
[00:00:17.694 --> 00:00:18.795]  We have the power.
[00:00:18.815 --> 00:00:19.876]  Do you want to fight?
[00:00:20.116 --> 00:00:22.237]  You better believe you got one!
[00:00:24.559 --> 00:00:29.002]  Rallying patriots worldwide in defense of human liberty.
[00:00:29.582 --> 00:00:31.063]  It's Alex Jones.
[00:00:34.825 --> 00:00:36.867]  Ladies and gentlemen, I am back in the saddle.
[00:00:36.907 --> 00:00:38.908]  Back in the Central Texas Command Center.
[00:00:38.968 --> 00:00:40.309]  Back in the crow's nest.
[00:00:41.089 --> 00:00:41.750]  In the cockpit.
[00:00:43.352 --> 00:00:44.623]  And I am ready!
[00:00:45.450 --> 00:00:45.652]  Wow!
[00:00:48.376 --> 00:00:54.700]  The Supreme Court ruled that Obama can't keep bringing illegals in and violating the law, so he came out and said, I don't care what they say, I'm going to continue it.
[00:00:54.900 --> 00:00:55.601]  But it gets worse.
[00:00:56.041 --> 00:01:00.024]  It's mainstream news that the UN is actually running the program.
[00:01:00.064 --> 00:01:02.926]  We already told you that, but it's now in mainstream news.
[00:01:02.986 --> 00:01:04.307]  Mainstream TV is reporting it.
[00:01:05.187 --> 00:01:09.650]  Let's go to this report, though, on the British exit and how big this really is for everybody out there.
[00:01:09.870 --> 00:01:11.632]  This is a devastating victory for humanity.
[00:01:12.352 --> 00:01:14.093]  I'm telling you, we are turning the tide.
[00:01:14.133 --> 00:01:17.295]  We've not completely won yet, but this is a massive event.
[00:01:17.335 --> 00:01:18.236]  Here's John Bowne reporting.
[00:01:18.436 --> 00:01:21.798]  The New World Order is getting its butt kicked at high noon.
[00:01:22.078 --> 00:01:38.829]  Thankfully, the highly suspicious demise of Supreme Court Justice Antonin Scalia has, for the time being, not been a factor in the Supreme Court's decision on Obama's dangerously lawless immigration policy, as Obama pushes the country to the brink of anarchy.
[00:01:39.070 --> 00:01:47.255]  Of course, it didn't take long for the Obama administration to thumb its nose at the deadlocked judicial branch and the will of the American people.
[00:01:47.455 --> 00:01:51.857]  Deferred action policy that has been in place for the last four years is not affected by this rule.
[00:01:53.018 --> 00:01:58.081]  Enforcement priorities developed by my administration are not affected by this ruling.
[00:01:59.101 --> 00:02:13.389]  This means that the people who might have benefited from the expanded deferred action policies, long-term residents, raising children who are Americans or legal residents, they will remain low priorities for enforcement
[00:02:13.737 --> 00:02:26.521]  But like a castle made of sand, the fragile globalist secret world government has been dealt a strong blow by the waves of consciousness, inevitably finding a way to the shore of a free world.
[00:02:26.781 --> 00:02:41.145]  Adan Salazar writes, Nigel Farage, the leader of the UK's Independence Party, which played a huge part in mobilizing UK citizens behind the Brexit, speculated the momentum behind the results could usher in a Trump presidency.
