[00:00:20.242 --> 00:00:22.388]  Welcome to the Info Wars Nightly News.
[00:00:22.488 --> 00:00:23.831]  I'm your host, Jakari Jackson.
[00:00:24.312 --> 00:00:28.302]  It is April 13th, 2016, and here's a look at our top stories.
[00:00:32.139 --> 00:00:39.121]  Tonight, already the federal government has taken in a record one and a half trillion dollars in just the first half of this year.
[00:00:39.481 --> 00:00:47.764]  But happy days are here again as the government parties like it's 1929 as the big April 15th payday approaches.
[00:00:48.644 --> 00:00:53.906]  Meanwhile, Colorado voters cut out of the process by the rule of the GOP elite are
[00:00:56.978 --> 00:01:00.560]  And the Friday protest looms in Colorado.
[00:01:00.801 --> 00:01:10.546]  Then, the National Review laughed at Trump and called him an Alex Jones Show caller when Trump called for the release of the secret 28 pages of the 9-11 report.
[00:01:10.826 --> 00:01:17.470]  But now people across the political spectrum are calling for their release, and Obama says he'll consider it.
[00:01:17.970 --> 00:01:20.952]  All that and more on tonight's InfoWars Nightly News.
[00:02:10.433 --> 00:02:16.755]  I began to get into iodine a few years ago because it was helping me and my family so much get healthy and detoxify.
[00:02:17.115 --> 00:02:18.575]  I believe our research is conclusive.
[00:02:18.615 --> 00:02:19.976]  This is the best iodine out there.
[00:02:20.256 --> 00:02:21.376]  And I know this for a fact.
[00:02:21.916 --> 00:02:26.697]  Nobody else has got iodine based on these pure crystals, ladies and gentlemen.
[00:02:26.817 --> 00:02:30.558]  For a limited time, experience the ancient power of Survival Shield X2.
[00:02:31.299 --> 00:02:32.759]  I believe our research is conclusive.
[00:02:32.799 --> 00:02:34.139]  This is the best iodine out there.
[00:02:34.179 --> 00:02:36.300]  Take advantage of this at InfoWarsLife.com.
[00:03:03.123 --> 00:03:10.889]  Tax time is once again upon us, and if you're a single male with no dependents like I am, you're being stuck for every dollar that the federal government can get out of you.
[00:03:11.270 --> 00:03:19.296]  But it's very interesting when you consider this $1.48 trillion government collects record high taxes in the first half of the fiscal year of 2016.
[00:03:20.737 --> 00:03:38.928]  Inflation-adjusted federal tax revenues hit a record $1.48 trillion for the first half of fiscal year 2016, but the federal government still ran a $461 billion deficit during that time, according to the latest monthly Treasury Department statement.
[00:03:39.248 --> 00:03:42.390]  So, which is to say, even though they're raking in records amount
[00:03:42.950 --> 00:03:43.330]  I don't
[00:03:59.645 --> 00:04:07.211]  Fun Planned Parenthood, we got commies running around and crawling over trash cans, and then even things that we really legitimately need, like a defense budget.
