[00:00:13.634 --> 00:00:22.982]  Yeah, we're in Chevy.
[00:00:25.324 --> 00:00:40.857]  From the InfoWars.com News Center, deep behind enemy lines in occupied Texas, broadcasting worldwide, you're listening to the voice of human resistance against the technotronic technocracy takeover.
[00:00:42.308 --> 00:00:50.573]  You're listening to Alex Jones.
[00:00:50.773 --> 00:00:57.176]  In 1949, the Central Intelligence Agency, this was declassified 14 years ago, put Mao Zedong in power.
[00:00:57.216 --> 00:00:59.217]  He then killed 80 plus million of his own people.
[00:01:00.418 --> 00:01:10.083]  And the globalists from David Rockefeller to Brzezinski have all written books admitting their master plan to use Chinese slave labor and Chinese ingenuity
[00:01:11.138 --> 00:01:12.179]  To take over the planet.
[00:01:12.899 --> 00:01:22.745]  They would use laws domestically in the West to shut us down while moving all industry and all rare earth minerals and basically all deep water port operations to the Chinese.
[00:01:23.746 --> 00:01:32.211]  They would then double-cross the West and do a counter-strike on Russia with nuclear weapons, and that too has been declassified.
[00:01:32.231 --> 00:01:37.595]  Now, they could always double-cross the Chinese.
[00:01:40.011 --> 00:01:42.193]  But the elites have made their bed with China.
[00:01:42.373 --> 00:01:54.444]  Now I was going to walk in here today, because I really meditated on it, focused on it for hours this morning, and I was going to announce that Hillary Clinton is a communist Chinese spy.
[00:01:55.816 --> 00:02:03.379]  And that the Communist Chinese are clearly the number one manipulators of our domestic operations, allied with Saudi Arabia and others.
[00:02:03.719 --> 00:02:04.719]  And the evidence is all there.
[00:02:05.620 --> 00:02:08.601]  Now, I've been told that by current and former high-level Pentagon people.
[00:02:08.641 --> 00:02:11.082]  I've been told that by former and current spy chiefs.
[00:02:11.762 --> 00:02:12.982]  But I don't need to listen to them.
[00:02:13.182 --> 00:02:13.503]  I know.
[00:02:13.523 --> 00:02:16.884]  I see the propaganda on TV and in movies and in print.
[00:02:18.131 --> 00:02:33.591]  Well, there's almost no criticism of China and execution mills and mobile execution vans and people being forced to work 18 hours a day and the most inhuman activities in the world and Christians and Buddhists being grabbed and their organs being sold beyond any horror movie you can imagine.
[00:02:35.114 --> 00:02:40.456]  Every science fiction movie I go see, or every adventure movie I see, the Chinese are the innovators.
[00:02:40.496 --> 00:02:41.416]  They run NASA.
[00:02:41.676 --> 00:02:42.556]  We're all idiots.
[00:02:43.216 --> 00:02:44.537]  The Politburo loves us.
[00:02:44.677 --> 00:02:45.797]  Red flags are flying.
[00:02:46.457 --> 00:02:49.178]  This is like what old men are telling Hollywood to do.
[00:02:49.258 --> 00:02:50.738]  It's so ham-fisted.
[00:02:50.858 --> 00:02:51.619]  It's so crazy.
[00:02:52.199 --> 00:02:56.880]  I don't need to open the newspaper up to tell you China is taking over Hollywood.
[00:02:57.380 --> 00:03:02.782]  And if you think Hollywood drooling and hating Christians and gun owners and veterans was bad,
[00:03:03.522 --> 00:03:07.383]  That's why they just merge perfectly with the inhuman communist Chinese.
[00:03:10.985 --> 00:03:14.266]  Then I go to DrudgeReport.com after I'd already decided to do this today.
[00:03:15.726 --> 00:03:16.607]  And guess what I see?
[00:03:19.327 --> 00:03:19.788]  Right there.
[00:03:20.508 --> 00:03:20.948]  In the middle.
[00:03:21.768 --> 00:03:22.809]  The Hollywood Reporter.
[00:03:22.849 --> 00:03:24.609]  This is Hollywood telling you this.
[00:03:26.570 --> 00:03:29.191]  Meet Hollywood's new ruler, China's richest man.
[00:03:30.848 --> 00:03:37.852]  Which is tied into the very families and groups that made the deal in 1949 with the Communists and the CIA.
[00:03:38.813 --> 00:03:44.816]  And they're leveraging everything they've got to buy all six Hollywood studios.
[00:03:46.537 --> 00:03:54.342]  And the Hollywood studios have been like hookers on a street corner, shaking their asses, sticking their legs out, promising they give the best time.
[00:03:56.690 --> 00:04:02.480]  I mean, I have been watching Hollywood in a total worship fest for Communist China.
[00:04:04.143 --> 00:04:08.591]  The most bloodthirsty, murderous operation the globe has ever seen.
[00:04:10.768 --> 00:04:15.110]  I'm driving home last night and Rob Duke calls me and he says, have you seen the new Pchenik video?
[00:04:15.291 --> 00:04:17.232]  Pchenik hasn't shown his face in 20-something years.
[00:04:17.712 --> 00:04:18.993]  Co-author of Clancy's books.
[00:04:19.553 --> 00:04:24.896]  He wasn't just in the State Department, I'll stop right there, or the founders of Delta Force involved in overthrowing eight countries.
[00:04:24.916 --> 00:04:29.038]  Stuff he talks about here on air, you know, days later the FBI routinely shows up at his house.
[00:04:29.698 --> 00:04:30.439]  This is not a game.
[00:04:31.903 --> 00:04:35.387]  Patrick called me last week and said, get ready, you know, we're launching a counter operation.
[00:04:35.407 --> 00:04:36.708]  I know people are doing that.
[00:04:36.768 --> 00:04:37.289]  Okay, great.
[00:04:37.789 --> 00:04:38.670]  Come on as soon as you can.
[00:04:38.690 --> 00:04:40.633]  Nico had him set up, I think, tomorrow.
[00:04:40.653 --> 00:04:41.674]  He's coming on in 30 minutes.
[00:04:43.988 --> 00:04:52.730]  And Bochenek, his bottom line, said, absolutely, that's what's known, is that it's not just influence of the Chinese, they're making a move with Hillary on the U.S.
[00:04:53.190 --> 00:05:01.552]  That's why the intelligence agencies are having to move on her, not that they're even perfect, but they know, as General Flynn has advised Trump, this is the end of America.
[00:05:02.292 --> 00:05:06.733]  If you don't elect Trump, and if we don't stop Hillary, we're going into full resistance mode.
[00:05:06.773 --> 00:05:08.013]  We have been taken over, okay?
[00:05:09.209 --> 00:05:26.916]  Benny Smith, out of Memphis, Tennessee, discovered what I would characterize as a master key, which essentially lets one person control with invisibly and with remarkable precision, down to the precinct level and down to the type of voting, many different locations at once, multiple counties and multiple states.
[00:05:26.956 --> 00:05:30.798]  It was put in the system in 2001, but it came into wide use in 2006.
[00:05:30.838 --> 00:05:33.299]  And he was amazed when he found that the
[00:05:35.620 --> 00:05:43.425]  These pieces were built in to commit very large scale fraud using a feature that had been very little known before.
[00:05:43.585 --> 00:05:47.287]  You need to do what in finance they call an allocation.
[00:05:47.347 --> 00:05:53.011]  You say whatever number of people show up, the guy is going to get X percent of those votes.
[00:05:53.091 --> 00:05:59.275]  The databases can be configured any way you want and they should be configured and used to be configured to count each vote as a whole number.
[00:05:59.335 --> 00:06:00.736]  It's called counting it as an integer.
[00:06:00.896 --> 00:06:02.537]  He went in and looked and said, let me see.
[00:06:02.617 --> 00:06:04.138]  It should count it as a whole integer.
[00:06:04.218 --> 00:06:08.141]  They had changed the setting in all of the voting machines in America.
[00:06:08.402 --> 00:06:20.570]  Whatever anyone thinks about the candidate, when he has brought to the front the issue of tampering with elections, it's one of the most important services that could have been done in the United States ever.
[00:06:20.590 --> 00:06:22.232]  Things have been very surprising of late.
[00:06:22.612 --> 00:06:26.535]  But if she is still viable in any way, whether or not she wins, she will win.
[00:06:26.735 --> 00:06:29.437]  And as you may recall, Richard Nixon was right in the middle.
[00:06:29.497 --> 00:06:34.500]  He had been four months into Watergate scandals and was re-elected and removed from office later.
[00:06:34.961 --> 00:06:44.968]  But what's so disturbing about that is, you know, there's actually some Republican elite who might prefer getting her in and removing her from office.
[00:06:45.188 --> 00:06:46.109]  This is not a theory.
[00:06:46.149 --> 00:06:46.689]  This is real.
[00:06:46.769 --> 00:06:48.550]  This is something that was put into the system.
[00:06:48.970 --> 00:06:50.512]  They actually changed the setting.
[00:06:50.592 --> 00:06:55.375]  We can actually go back and figure out now that we know exactly the date that the setting was changed.
[00:06:55.988 --> 00:06:59.530]  And then it migrated to all the other manufacturers in the U.S.
[00:06:59.930 --> 00:07:09.574]  So now, at this point, the setting is in there to be able to allocate votes by percent to basically 99% of the votes in the U.S.
[00:07:09.834 --> 00:07:12.135]  And then he went on and he proved it.
[00:07:12.335 --> 00:07:14.236]  It is stunning when you see the demo.
[00:07:14.276 --> 00:07:18.077]  There's this one central computer which, at the end of the day, all the votes come to it.
[00:07:18.557 --> 00:07:19.498]  That's where you take it.
[00:07:23.370 --> 00:07:24.370]  We're good to go.
[00:07:40.476 --> 00:07:44.377]  One of them was the entire state of Alaska, the vote database from the 2004 election.
[00:07:44.477 --> 00:07:48.337]  I was able to change every precinct in the state of Alaska in four seconds.
[00:07:48.357 --> 00:07:55.079]  Dominion is one of the ones that brought the Premier Diebold stuff, and they have now admitted that they fractionalize the count.
[00:07:55.119 --> 00:08:08.601]  There's a group called Defend the Vote in Illinois, and the woman involved with that, Sharon Maroney, actually confronted Dominion and said, and they admitted that they do fractionalize the count, and she asked them why, and they said, for marketing purposes.
[00:08:10.922 --> 00:08:12.764]  Of course the elections will not be rigged.
[00:08:12.884 --> 00:08:13.685]  What does that mean?
[00:08:14.085 --> 00:08:14.786]  First of all, it's rigged.
[00:08:15.406 --> 00:08:17.128]  And I'm afraid the election's going to be rigged.
[00:08:17.148 --> 00:08:17.748]  I have to be honest.
[00:08:18.148 --> 00:08:22.152]  That somewhere between 2 and 5 percent of illegal voters vote.
[00:08:22.172 --> 00:08:26.556]  Stop, stop, stop, or I'm going to have to cut this interview short.
[00:08:26.676 --> 00:08:36.544]  Have you seen the recent videos that Project Veritas released showing Democratic operatives talking about how they've been working to commit election fraud?
[00:08:37.746 --> 00:08:40.528]  Um, well we don't have election fraud in America.
