[00:00:21.303 --> 00:00:23.445]  Waging war on corruption.
[00:00:23.945 --> 00:00:29.169]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:00:29.189 --> 00:00:36.776]  31-year-old Mohamed Lahou Yage Bouhoulel
[00:00:49.949 --> 00:00:51.871]  From Tunisia, North Africa.
[00:00:54.213 --> 00:00:56.715]  Ran over and killed 83 people last night.
[00:00:57.175 --> 00:01:02.440]  He targeted a celebration he knew was full of men, women and most importantly, children.
[00:01:03.360 --> 00:01:11.367]  And witnesses are reporting that he attempted to, like something out of a dystopic Road Warrior movie, target and run down the children.
[00:01:13.048 --> 00:01:15.270]  Will there be a Mad Max response to this?
[00:01:15.350 --> 00:01:16.071]  Certainly not.
[00:01:16.491 --> 00:01:18.233]  We'll be taught more sensitivity training.
[00:01:19.963 --> 00:01:21.783]  That's what the London Mayor is calling for.
[00:01:21.823 --> 00:01:24.364]  You need to submit to the Muslims and they'll stop killing you.
[00:01:24.704 --> 00:01:27.405]  But don't worry, it's up on Infowars.com.
[00:01:28.845 --> 00:01:34.907]  Media blames truck, not terrorists, or Islam, for the Nice attack.
[00:01:35.627 --> 00:01:38.948]  And we have CNN, we have the New York Times.
[00:01:39.288 --> 00:01:43.069]  When you go to CNN.com, like I did this morning, I took these screenshots,
[00:01:44.082 --> 00:01:44.822]  And send them to Watson.
[00:01:45.203 --> 00:01:55.668]  When you go and look at this, there were more than 15 articles I looked at, scrolling down, that said truck attack, truck maniac, man in truck goes berserk.
[00:01:55.948 --> 00:02:03.291]  No, it was a cold calculated jihad attack on little children.
[00:02:04.992 --> 00:02:13.016]  Now, when a cop who's wrong, or a cop who's in a bad situation, or a cop who's psycho, shoots an innocent person in the back, be they black or white, you're going to see it on the news.
[00:02:14.428 --> 00:02:15.569]  They're going to be personalized.
[00:02:16.831 --> 00:02:19.193]  One man dies is a tragedy, 10,000 dies is a statistic.
[00:02:19.613 --> 00:02:27.001]  But when Islam does this, you try to show the footage on Facebook, YouTube, you name it, they are shutting you down.
[00:02:28.283 --> 00:02:29.083]  I've seen the footage.
[00:02:29.504 --> 00:02:32.507]  It was about 5.30, I just got home, I was walking in to say hi to my children.
[00:02:35.130 --> 00:02:35.951]  I'm sitting there in
[00:02:37.639 --> 00:02:41.503]  The parking lot of my house, in the driveway, and I go, I'm gonna check in full force.
[00:02:42.004 --> 00:02:45.788]  And I go there, boom, dozens run over in niche.
[00:02:46.609 --> 00:02:49.893]  I go, okay, I know where to go to have something even ahead of us.
[00:02:51.018 --> 00:02:52.099]  This just happened 50 minutes ago.
[00:02:52.119 --> 00:02:52.759]  Boom, got a drug.
[00:02:52.779 --> 00:02:54.340]  There's like 15 articles, everything.
[00:02:54.400 --> 00:02:56.181]  Bam, bam, bam, bam, bam, bam.
[00:02:57.061 --> 00:02:58.702]  You know, 50-something dead at that time.
[00:02:58.722 --> 00:02:59.742]  Now it's 80-plus.
[00:03:00.483 --> 00:03:04.065]  And I just turned the car around and drove right back over here to the office.
[00:03:04.085 --> 00:03:08.167]  We did two hours of InfoWars Nightly News live and then aired the news after that.
[00:03:10.652 --> 00:03:20.801]  As I said months ago, as I said years ago, and it's kind of a sick feeling to see Bill O'Reilly now picking it up, and Newt Gingrich, because they're usually so wrong, but they're totally right this time.
[00:03:22.042 --> 00:03:24.063]  This is a war against the West.
[00:03:24.924 --> 00:03:31.910]  This is a slow motion Tet Offensive, or Tet 2, as we've been warning you, and this is only the beginning.
[00:03:32.130 --> 00:03:35.093]  You notice the attacks are getting bigger, and they're getting closer together.
[00:03:37.034 --> 00:03:39.675]  And France is close to 30% Islamic now.
[00:03:39.695 --> 00:03:41.456]  A lot of folks are converting under pressure.
[00:03:45.858 --> 00:03:46.779]  They're not going to go back.
[00:03:47.439 --> 00:03:50.241]  You can't deport them without a civil war.
[00:03:50.501 --> 00:03:51.541]  France is gone.
[00:03:52.262 --> 00:03:52.642]  It's gone.
[00:03:53.782 --> 00:03:54.843]  England is almost gone.
[00:03:54.883 --> 00:03:56.544]  The mayor has declared it's an Islamic city.
[00:03:57.124 --> 00:03:58.185]  He said, we don't care about Brexit.
