[00:00:00.169 --> 00:00:01.050]  and get free shipping.
[00:00:01.190 --> 00:00:06.173]  This is a limited time offer, so order your unit today and receive free shipping and $20 off.
[00:00:06.393 --> 00:00:09.095]  Go to InfowarsStore.com or call 888-253-3139.
[00:00:09.175 --> 00:00:11.456]  You're listening to the Alex Jones Show!
[00:00:25.692 --> 00:00:32.958]  Jones on the GCN Radio Network and now live from Austin, Texas, Alex Jones.
[00:00:52.462 --> 00:00:58.251]  Ladies and gentlemen, thank you so much for joining us on this 12th day of January 2016.
[00:00:58.291 --> 00:01:00.294]  We're going to be live here for the next...
[00:01:03.482 --> 00:01:25.964]  Four hours, because we've expanded the broadcast to four hours a day, and then of course the one hour nightly news, seven o'clock central, so that's five hours of transmission a day, four of it live, and then of course many times the nightly news itself is live and expanded, and upwards of six to eight hours long, when we're covering elections, debates, or other major events, we'll be covering the
[00:01:27.245 --> 00:01:32.229]  First presidential Republican debate of 2016 from Fox Business Channel.
[00:01:32.249 --> 00:01:42.015]  We'll be analyzing the pundits and of course the candidates and more, both at the kiddie table debate and the big kid debate.
[00:01:42.176 --> 00:01:50.942]  Obviously huge economic unravelings continuing today as the world hurdles into the financial abyss.
[00:01:52.165 --> 00:01:56.128]  We couldn't hurtle towards the financial abyss if we had an economy based on goods and services.
[00:01:56.768 --> 00:02:07.876]  But more and more, it is based not on mining, not on farming, not on commerce, based on actual material or ideas.
[00:02:08.256 --> 00:02:20.365]  It's based on derivatives, which are counterfeit frauds, which the establishment has created thousands of trillions of the last 30 years to take over and buy up the world with fraudulent paper.
[00:02:21.340 --> 00:02:27.625]  And that's why, as long as we defend that system, we give them total political power over us, the insiders.
[00:02:28.126 --> 00:02:32.269]  We let them pick the winners and losers, and it's untenable.
[00:02:33.390 --> 00:02:42.738]  And so they're telling us, get ready for austerity and to be poor and to live in 200 square foot coffin apartments so we can pay more taxes and more rent to the owners.
[00:02:43.278 --> 00:02:45.820]  You're going to pay more for the 200 square foot apartment.
[00:02:46.641 --> 00:02:49.804]  You're not going to be able to get a thousand square foot apartment, is the point.
[00:02:50.524 --> 00:02:53.626]  All the yuppies think, oh, I'm going to get a cheaper apartment and save money.
[00:02:54.006 --> 00:02:54.766]  No, you're not.
[00:02:55.126 --> 00:03:00.509]  It's designed to take everything you've got and make it to where you can never become self-sufficient.
[00:03:00.749 --> 00:03:07.212]  That's the name of the game on a reservation with Native Americans stuck on it.
[00:03:09.813 --> 00:03:12.755]  Or a British concentration camp, say, in Georgia in 1779.
[00:03:19.810 --> 00:03:24.354]  You never let the occupied population be anywhere self-sufficient.
[00:03:24.395 --> 00:03:26.176]  That's how you control them.
[00:03:27.838 --> 00:03:31.061]  And I know I'm stating incredibly obvious simple things here, but it's amazing.
[00:03:31.381 --> 00:03:32.703]  Big developments on Syria.
[00:03:34.710 --> 00:03:41.373]  Big developments on the campaign trail with Bernie Sanders in New Hampshire, surging 14 points ahead of Clinton.
[00:03:41.393 --> 00:03:43.774]  More and more mainstream media begins to turn on Clinton.
[00:03:44.434 --> 00:03:48.816]  She's got a lot of inside power, though, so who knows what's really going to happen.
[00:03:48.856 --> 00:03:51.216]  I mean, it's hard to bring her down.
[00:03:51.797 --> 00:03:58.939]  Rumors of her demise have been exaggerated, to quote Mark Twain, but the bigger they are, the harder they fall, and she's close to it.
[00:03:59.540 --> 00:04:02.341]  She's hanging on by her fingernails, but the witch
[00:04:03.567 --> 00:04:04.628]  is a flying monkey.
[00:04:05.268 --> 00:04:09.631]  And so the wings don't really let her fly, but they help keep her up and keep some of the weight off.
[00:04:09.671 --> 00:04:11.832]  So, you know, she's not just holding on by her fingernails.
[00:04:11.872 --> 00:04:14.994]  She's got those little, those little, little flying monkey wings.
[00:04:15.995 --> 00:04:25.381]  I'm being sarcastic, obviously, before the New York Times puts out a report that I believe Hillary Clinton has monkey wings, flying monkey wings.
[00:04:26.482 --> 00:04:29.644]  This morning, I got up and I saw DrugsReport.com.
[00:04:29.684 --> 00:04:31.365]  I can show folks a shot of that.
[00:04:32.216 --> 00:04:35.099]  And it says, X-Files goes Alex Jones.
[00:04:36.860 --> 00:04:38.302]  And I'll just be honest with you.
[00:04:40.544 --> 00:04:42.586]  I'm used to seeing so many articles about me every day.
