[00:00:19.464 --> 00:00:20.305]  You want answers?
[00:00:20.325 --> 00:00:21.967]  Well, so does he.
[00:00:22.627 --> 00:00:24.469]  It's Alex Jones.
[00:00:26.271 --> 00:00:28.973]  Welcome to the Alex Jones Show.
[00:00:29.013 --> 00:00:31.295]  I'm David Knight, your host here in the Austin studios.
[00:00:31.315 --> 00:00:35.039]  We're going to be joining Paul Joseph Watson in London in just a few moments.
[00:00:35.059 --> 00:00:37.722]  We're also going to have special reports from Alex Jones.
[00:00:37.962 --> 00:00:40.344]  It is an amazing news day today.
[00:00:40.364 --> 00:00:44.007]  You know, we've been talking about these email scandals from Hillary Clinton.
[00:00:44.708 --> 00:00:48.012]  I thought there was a very interesting couple of revelations that have happened in the last couple of days.
[00:00:48.032 --> 00:01:02.107]  First, we had William Binney, who's the former technical head of the NSA for many, many years, and one of the first NSA whistleblowers, telling the public that the NSA was violating the Constitution by doing dragnet surveillance on the American public.
[00:01:02.918 --> 00:01:11.749]  He has spoken about his concern that these leaks may not be coming from the Russians, but from people within the intelligence community.
[00:01:11.769 --> 00:01:15.073]  And as I mentioned when we talked about this earlier in the week,
[00:01:16.069 --> 00:01:17.170]  They have plenty of motivation.
[00:01:17.390 --> 00:01:23.853]  All these people who take national security seriously understand that they will not be given a pass.
[00:01:23.913 --> 00:01:26.275]  As a matter of fact, FBI Director Comey even said that.
[00:01:26.315 --> 00:01:38.041]  He said, don't try this at home, essentially, after laying out the multiple felonies that Hillary Clinton had done, talking about how carelessly she had handled national security secrets.
[00:01:38.361 --> 00:01:40.743]  So these people understand that they're
[00:01:41.763 --> 00:01:51.510]  Their future, going to jail, is on the line if they were to commit this kind of careless actions with national security.
[00:01:52.210 --> 00:01:53.611]  They also take it seriously.
[00:01:53.771 --> 00:01:59.415]  I mean, these are real secrets that she was exposing, not the kind of stuff they tried to trump up against some of the NSA whistleblowers.
[00:02:00.035 --> 00:02:19.830]  But now we have Judge Napolitano who has spoken to William Binney and to other sources and we have a video from him that we're going to play saying that the intelligence community is actually very fearful of Hillary Clinton, not just resentful of the fact that she's betrayed national security, resentful of the fact that she broke the law with multiple felonies and got away with it, but they're very afraid.
[00:02:20.592 --> 00:02:29.938]  As a matter of fact, he said he believes, and others in the intelligence community believe, that people lost their lives because of information that was exposed in that.
[00:02:30.519 --> 00:02:31.359]  So that is developing.
[00:02:31.379 --> 00:02:35.322]  We're also going to be talking about the attacks on Donald Trump.
[00:02:35.342 --> 00:02:41.406]  You know, we've had Barack Obama as well as Francois Hollande talk about how Trump is unfit.
[00:02:41.986 --> 00:02:46.809]  These guys are poster children for unfit presidents.
[00:02:47.449 --> 00:02:50.291]  I mean, it's absolutely amazing that these two guys do this.
[00:02:50.511 --> 00:03:01.397]  Of course, they're trying to deflect criticism away from their failed regimes, but there's another tact that we're also going to talk about, and that is something that's been developing ever since we had John Allen.
[00:03:02.418 --> 00:03:04.640]  A guy who has a lot in common, actually, with Hillary Clinton.
[00:03:04.660 --> 00:03:07.182]  You know, he has had an email scandal in his past.
[00:03:07.222 --> 00:03:10.045]  He's had sexual misconduct scandals in his past.
[00:03:10.345 --> 00:03:11.866]  He's enabled ISIS.
[00:03:12.827 --> 00:03:16.690]  He's got a lot to offer a Clinton administration, be a great fit for them.
[00:03:17.150 --> 00:03:24.617]  Well, this guy who spoke at the DNC prior to Hillary Clinton is now floating the idea, along with others in the military,
[00:03:25.157 --> 00:03:27.839]  That Donald Trump can't be trusted with nuclear weapons.
[00:03:27.879 --> 00:03:32.904]  We're going to tell you why Hillary Clinton can't be trusted with the presidency, beyond national security.
[00:03:32.924 --> 00:03:37.527]  We're going to look not only at what's going on, and we've talked a lot about Benghazi.
[00:03:37.948 --> 00:03:39.609]  Nobody has really talked too much.
[00:03:39.629 --> 00:03:41.150]  We covered it on the nightly news last night.
