[00:00:20.128 --> 00:00:20.968]  Good evening, everyone.
[00:00:21.008 --> 00:00:23.070]  Welcome to the Infowars Nightly News.
[00:00:23.190 --> 00:00:24.070]  I'm Darren McBreen.
[00:00:24.210 --> 00:00:26.091]  It is Tuesday, July 19th, 2016.
[00:00:26.411 --> 00:00:29.273]  Here's a quick look at what's coming up.
[00:00:32.975 --> 00:00:33.395]  Tonight...
[00:00:35.697 --> 00:00:45.803]  With over 140,000 signatures in tow, the White House scoffs at the petition labeling Black Lives Matter a terrorist organization.
[00:00:46.924 --> 00:00:51.246]  And cowardly commies attack Alex Jones from behind.
[00:00:52.167 --> 00:00:52.827]  That's next.
[00:01:18.191 --> 00:01:22.156]  It looks like the Comet has started to attack, Alex, and he defended himself.
[00:02:00.996 --> 00:02:02.377]  Hi, I'm Dr. David Jones.
[00:02:02.478 --> 00:02:05.420]  I've been in practice for over 30 years in dentistry.
[00:02:05.720 --> 00:02:09.444]  In our health histories, we've always asked what people's primary complaint were.
[00:02:09.464 --> 00:02:12.006]  A third of the time, it's, I want whiter teeth.
[00:02:12.446 --> 00:02:26.279]  In the early days of dentistry, we used some fairly harsh chemicals in order to bleach the teeth and whiten them, and people were happy with the results, even though it created hypersensitivity and some problems that I consider fairly high risk.
[00:02:26.599 --> 00:02:29.901]  Recently, I was exposed to the Ghost Smile System.
[00:02:30.081 --> 00:02:36.324]  It allows a whitening gel to be applied to the teeth with a very good ultrasonic toothbrush system.
[00:02:36.484 --> 00:02:51.691]  The gel is activated by a light-emitting diode, or actually two light-emitting diodes, so it's a simple and elegant procedure that delivers office-quality whitening, and you don't have to spend the $600 it typically costs for an in-office treatment.
[00:02:52.091 --> 00:02:55.795]  In my opinion, it's the most elegant and best value that I've ever seen.
[00:02:56.016 --> 00:02:59.820]  To get your GoSmile system, go to Infowarsstore.com.
[00:03:02.335 --> 00:03:11.702]  Barack Hussein Obama has rejected a petition to designate Black Lives Matter as a terrorist organization.
[00:03:12.183 --> 00:03:28.095]  It didn't take long for the White House to respond to a petition that managed to get over 140,000 signatures in less than two weeks, asking the Obama administration to declare Black Lives Matter as a terrorist group.
[00:03:28.715 --> 00:03:33.397]  No doubt, the longer Obama sat on this petition, the more signatures it would have gotten.
[00:03:33.477 --> 00:03:41.901]  And I think if it wasn't rejected so quickly, we might have been eventually looking at a million or so signatures.
[00:03:42.661 --> 00:03:44.762]  But it was rejected.
[00:03:44.842 --> 00:03:55.287]  The petition's lifespan was cut short, much like the lifespans of police officers in Dallas and more recently in Baton Rouge.
[00:03:56.007 --> 00:03:56.548]  Cut short!
[00:03:57.506 --> 00:04:02.928]  In all fairness, there's also been plenty of people out there whose lives have been cut short by the police.
[00:04:03.288 --> 00:04:08.069]  People like Philando Castillo, and Kelly Thomas, and countless others.
[00:04:08.670 --> 00:04:22.834]  Now, I want to read what it says in this petition, and then we'll give you Barack Obama's response, plus we'll take a look at what Hillary Clinton says about all this, and we'll compare all that to honest, reasonable, and rational thinking.
[00:04:23.355 --> 00:04:23.995]  Because this is
[00:04:24.955 --> 00:04:31.680]  Two ideologies that we're talking about here, and they're both very, very different from one another.
[00:04:32.020 --> 00:04:35.102]  First, let's take a look at what is in this petition.
[00:04:35.903 --> 00:04:53.735]  It is time for the Pentagon to be consistent in its actions, and just as they rightfully declared ISIS as a terror group, they must declare Black Lives Matter a terrorist group on the grounds of principle, integrity, morality, and safety.
[00:04:54.275 --> 00:05:00.640]  Terrorism is defined as the use of violence and intimidation in pursuit of political gains.
[00:05:01.160 --> 00:05:01.981]  You got that right.
[00:05:02.021 --> 00:05:09.246]  And this definition is the same definition used to declare ISIS and other groups as terrorists.
[00:05:09.746 --> 00:05:11.407]  Signed, we the people.
[00:05:13.240 --> 00:05:18.203]  Makes a lot of sense to me, but once you know it, Obama doesn't see it that way.
[00:05:18.884 --> 00:05:28.050]  In fact, he predictably disagrees, and once again, he gives the impression that he's actually siding with Black Lives Matter on this issue.
[00:05:28.790 --> 00:05:33.433]  Obama responded to the petition first by flat out rejecting it.
[00:05:33.954 --> 00:05:39.017]  He said the White House plays no role in designating domestic terror organizations.
[00:05:39.538 --> 00:05:43.060]  Yeah, unless they just happen to be constitutionalist or sovereign citizens, right?
[00:05:44.080 --> 00:05:51.623]  He went on to say he knows that there are some people who have criticized even the phrase Black Lives Matter.
[00:05:52.004 --> 00:05:52.584]  Imagine that.
[00:05:53.164 --> 00:05:59.047]  As if the notion is that other lives don't matter and that is simply not the case.
[00:06:00.387 --> 00:06:09.791]  When incidents like this occur, there's a big chunk of our fellow citizenry that feels as if
[00:06:12.602 --> 00:06:16.585]  And because of the color of their skin, they are not being treated the same.
[00:06:19.868 --> 00:06:20.369]  And that hurts.
[00:06:37.068 --> 00:06:38.529]  You pull your puss out, you bust out.
[00:06:38.929 --> 00:06:42.451]  Because at the end of the day, it's gonna be you against this.
[00:06:42.811 --> 00:06:43.552]  We need action!
[00:06:43.592 --> 00:06:45.233]  You better f***ing take action!
[00:06:45.253 --> 00:06:49.015]  I don't give a f*** whether you knock him over, whether you run up on him.
